N	2gram	Bakhtin_sl	NovoeSre
416	и она	2	1
417	он может	3	1
418	большинстве случаев	11	1
419	оно должно	1	1
420	в атмосфере	2	1
421	как часто	1	1
422	и воля	2	1
423	что мы	1	1
424	и которые	2	1
425	человеке и	3	1
426	в этих	8	1
427	и русский	1	1
428	и отдельных	1	1
429	но если	1	1
430	по себе	4	1
431	единству и	2	1
432	и объединения	1	1
433	в речах	3	1
434	приводит к	2	1
435	только для	1	1
436	оно может	3	1
437	в области	1	1
438	того и	1	1
439	все более	1	1
440	нуждается в	3	1
441	с ним	12	1
442	и только	2	1
443	человек не	1	1
444	он создает	1	1
445	есть только	1	1
446	ли он	4	1
447	от всех	1	1
448	отнесены к	1	1
449	ней нет	1	1
450	к той	1	1
451	к единству	1	1
452	всяком случае	7	1
453	речи о	1	1
454	судьбах человеческого	1	1
455	и оно	2	1
456	все слова	3	1
457	зависимости от	4	1
458	друг друга	3	1
459	в эти	1	1
460	связанный с	1	1
461	глубоком и	1	1
462	с большей	1	1
463	к своим	1	1
464	в это	1	1
465	того же	7	1
466	в известном	2	1
467	знает что	1	1
468	весь характер	1	1
469	на их	1	1
470	в чем	2	1
471	в каком	1	1
472	формах и	3	1
473	ничего нет	1	1
474	не был	2	1
475	движения и	1	1
476	есть своя	1	1
477	и его	45	1
478	в эту	3	1
479	и особенно	2	1
480	к своеобразному	1	1
481	слова в	19	1
482	союзы и	1	1
483	основе их	2	1
484	и у	2	1
485	одного и	1	1
486	на это	1	1
487	но сама	1	1
488	за его	2	1
489	был в	1	1
490	жизнью и	1	1
491	римской империи	1	1
492	связано с	3	1
493	от этого	2	1
494	мира с	1	1
495	и нет	3	1
496	лишь те	1	1
497	сознание должно	1	1
498	себя и	2	1
499	к нему	7	1
500	становится в	1	1
501	дня а	1	1
502	чтобы понять	1	1
503	ему не	2	1
504	на них	2	1
505	людей в	1	1
