N	2gram	Bakhtin_fo	EvropaiE
319	точка зрения	4	2
320	бы в	1	2
321	в год	1	2
322	не можем	1	2
323	и наконец	6	2
324	в органическом	1	2
325	что на	3	2
326	есть не	4	2
327	не к	2	2
328	меньше чем	1	2
329	эти не	2	1
330	жизни но	7	1
331	внутри этих	1	1
332	за несколько	1	1
333	ближе к	1	1
334	во всем	3	1
335	время для	1	1
336	находим в	1	1
337	мире и	3	1
338	и другие	6	1
339	видели в	1	1
340	одних и	2	1
341	которую они	1	1
342	они должны	1	1
343	находятся в	1	1
344	все что	2	1
345	ее и	1	1
346	в состав	1	1
347	для всех	3	1
348	в более	2	1
349	в центре	2	1
350	здесь на	5	1
351	что оно	1	1
352	к другу	2	1
353	один из	5	1
354	человеческой жизни	9	1
355	та же	4	1
356	не выходит	1	1
357	значение в	5	1
358	самой природе	1	1
359	друг к	2	1
360	выходит за	1	1
361	она и	1	1
362	течение которого	1	1
363	мир в	6	1
364	рода и	1	1
365	аналогии с	1	1
366	мы принуждены	1	1
367	как с	1	1
368	может не	1	1
369	права и	1	1
370	и было	4	1
371	о будущем	1	1
372	но за	1	1
373	и всей	2	1
374	указать на	2	1
375	должно быть	6	1
376	в случаях	1	1
377	к этой	1	1
378	имеют в	1	1
379	время с	1	1
380	от природы	3	1
381	от нее	1	1
382	до него	1	1
383	том числе	7	1
384	вполне понятно	4	1
385	уже в	5	1
386	например в	7	1
387	которых мы	1	1
388	был бы	3	1
389	в жизни	6	1
390	внимание на	2	1
391	в состоянии	1	1
392	для себя	8	1
393	или это	1	1
394	том же	4	1
395	часть его	1	1
396	в xviii	1	1
397	в указанном	1	1
398	для всякого	1	1
399	до эпохи	1	1
400	всего мира	1	1
401	время не	2	1
402	дело с	1	1
403	большую роль	4	1
404	при этом	8	1
405	xix и	2	1
406	для него	5	1
407	эта идея	1	1
408	и культур	2	1
409	говорили в	1	1
410	бы на	1	1
411	мире в	1	1
412	в разных	6	1
413	с ним	5	1
414	тем как	1	1
415	кроме того	7	1
416	с некоторым	1	1
417	указанных выше	1	1
418	в формах	1	1
419	что идеология	1	1
420	он на	1	1
421	значение его	1	1
422	находились в	1	1
423	не как	2	1
424	и лучше	1	1
425	а затем	3	1
426	они действуют	1	1
427	нас в	3	1
428	не являются	3	1
429	с природой	2	1
430	к выводу	1	1
431	чем если	1	1
432	ибо то	1	1
433	у нас	2	1
434	далее в	3	1
435	к определенному	1	1
436	исторического процесса	2	1
437	борьбы с	1	1
438	нами в	1	1
439	эпох и	1	1
440	это есть	1	1
441	смысле этого	1	1
442	развернуть в	1	1
443	и художественное	1	1
444	с их	2	1
445	приходит к	1	1
446	весь мир	3	1
447	в русском	1	1
448	мы находим	2	1
449	иначе если	1	1
450	в ином	1	1
451	тому же	2	1
452	однако не	2	1
453	а на	1	1
454	мыслится как	2	1
455	оговориться что	1	1
456	существует только	1	1
457	оно не	3	1
458	стран и	1	1
459	человека этот	1	1
460	как они	1	1
461	не было	8	1
462	связи с	14	1
463	психологии и	1	1
464	бы нас	2	1
465	если не	3	1
466	особого рода	1	1
467	сущность этого	1	1
468	на свой	1	1
469	и единственно	1	1
470	живет и	1	1
471	не о	2	1
472	но все	6	1
473	все ее	3	1
474	и сам	2	1
475	как по	2	1
476	и философские	1	1
477	с ней	1	1
478	на несколько	1	1
479	так называемый	2	1
480	по природе	2	1
481	это состояние	1	1
482	это мы	1	1
483	по отношению	3	1
484	одновременно с	2	1
485	в точном	3	1
486	будущее не	1	1
487	которые как	1	1
488	что не	3	1
489	как его	3	1
490	в ту	1	1
491	для развития	1	1
492	в построении	1	1
493	или на	1	1
494	и всего	2	1
495	не делает	1	1
496	в идеологической	1	1
497	из всего	1	1
498	качестве одной	1	1
499	то время	4	1
500	раздроблен и	1	1
501	значение лишь	1	1
502	сводится к	1	1
503	или иная	1	1
504	рядом с	4	1
505	можно назвать	2	1
506	тому что	1	1
507	xx века	1	1
508	в корне	2	1
509	которые при	1	1
510	конечно не	7	1
511	в связи	13	1
512	правда в	2	1
513	лишь на	1	1
514	те же	5	1
515	в последнем	3	1
516	есть нечто	1	1
517	с ними	1	1
518	в соответствии	2	1
519	время как	5	1
520	действуют и	1	1
521	с такими	1	1
522	что по	1	1
523	но нельзя	1	1
524	все эти	12	1
525	себя как	1	1
526	на земле	2	1
527	все же	12	1
528	имеется в	1	1
529	но когда	2	1
530	есть только	2	1
531	только ее	1	1
532	этого слова	2	1
533	и т	21	1
534	одно из	3	1
535	к концу	3	1
536	человека имеют	1	1
537	как более	1	1
538	свой счет	1	1
539	его жизни	11	1
540	на минуту	2	1
541	обладает и	1	1
542	почти все	4	1
543	в новом	1	1
544	о которых	1	1
545	только и	5	1
546	в двух	1	1
547	и следовательно	5	1
548	войти в	1	1
549	с большей	2	1
550	к культуре	1	1
551	и это	5	1
552	в каждой	1	1
553	играть в	1	1
554	от конкретных	1	1
555	об этом	3	1
556	на себе	1	1
557	к созданию	1	1
558	что как	1	1
559	этих положений	1	1
560	уже не	5	1
561	в одной	2	1
562	и вообще	3	1
563	от плоти	1	1
564	в аспекте	2	1
565	всем его	1	1
566	повсюду где	2	1
567	к жизни	2	1
568	в индивидуальном	1	1
569	но его	1	1
570	нет ничего	4	1
571	совершенно определенных	1	1
572	эпохи мы	1	1
573	могли бы	1	1
574	приобретают характер	1	1
575	же все	1	1
576	становится ясным	1	1
577	человеческого развития	1	1
578	своей судьбой	1	1
579	где этот	1	1
580	приближающейся к	1	1
581	рассматривать как	1	1
582	может жить	1	1
583	того в	2	1
584	больше чем	1	1
585	в основе	9	1
586	переходит в	1	1
587	не перед	1	1
588	и сами	1	1
589	и происходит	1	1
590	возвращается к	1	1
591	этот новый	2	1
592	отличие от	3	1
593	такая борьба	1	1
594	мы увидим	2	1
595	такие же	1	1
596	что мы	2	1
597	на этом	2	1
598	чтобы в	1	1
599	значит что	2	1
600	но нам	1	1
601	когда мы	2	1
602	на острове	4	1
603	ведь в	1	1
604	единое целое	1	1
605	к участию	1	1
606	собой это	1	1
607	бы она	2	1
608	тех кто	1	1
609	мы говорили	3	1
610	то и	1	1
611	и разнообразие	1	1
612	плоть от	1	1
613	так называемой	1	1
614	человеческого бытия	1	1
615	нужно как	1	1
616	всего этого	3	1
617	связана с	1	1
618	в мировой	2	1
619	ту же	4	1
620	более того	4	1
621	этом мире	7	1
622	и неизбежно	1	1
623	не быть	3	1
624	на такие	1	1
625	с совершенно	1	1
626	государственной власти	1	1
627	времени в	14	1
628	в этот	5	1
629	значительной мере	2	1
630	в новой	1	1
631	ни была	2	1
632	из себя	1	1
633	слова и	4	1
634	стороне от	1	1
635	быть и	4	1
636	пребывают в	1	1
637	для нее	1	1
638	увидим что	1	1
639	находящихся в	1	1
640	значение для	3	1
641	должны быть	2	1
642	но они	3	1
643	культур в	1	1
644	и их	11	1
645	что люди	2	1
646	в человеческом	2	1
647	говорить о	1	1
648	на его	1	1
649	свое существование	1	1
650	за свои	1	1
651	тех же	2	1
652	в тех	1	1
653	связь между	2	1
654	от других	1	1
655	за пределы	1	1
656	такова постановка	1	1
657	плоти и	2	1
658	не обязательно	2	1
659	в начале	3	1
660	каком же	2	1
661	еще в	1	1
662	входит в	3	1
663	где в	1	1
664	и до	7	1
665	даже не	2	1
666	на берегу	1	1
667	значительной степени	1	1
668	развития так	1	1
669	принадлежит не	2	1
670	и затем	1	1
671	и те	4	1
672	в совершенно	3	1
673	чтобы не	1	1
674	свое значение	1	1
675	что из	1	1
676	как то	1	1
677	мы здесь	1	1
678	иной степени	1	1
679	со множеством	1	1
680	пространства и	6	1
681	области где	1	1
682	но этот	1	1
683	в каких	1	1
684	лишь в	8	1
685	о таких	1	1
686	на которые	2	1
687	этого мира	5	1
688	но какой	1	1
689	которыми и	1	1
690	и быта	1	1
691	числе и	4	1
692	значение и	7	1
693	вопрос в	1	1
694	в отличие	3	1
695	жизни почти	1	1
696	ней по	2	1
697	соответствии с	2	1
698	связанного с	1	1
699	каждой из	1	1
700	этого времени	2	1
701	политические и	1	1
702	она может	1	1
703	что тот	1	1
704	та или	1	1
705	него не	1	1
706	затем в	3	1
707	для такого	1	1
708	и тот	2	1
709	друг другу	4	1
710	стран с	1	1
711	начале xx	1	1
712	той же	2	1
713	тех случаях	1	1
714	которые в	2	1
715	их к	3	1
716	значение имеет	2	1
717	и ее	4	1
718	которое мы	1	1
719	такая же	1	1
720	тот же	4	1
721	и несколько	2	1
722	оказались бы	3	1
723	в нашем	3	1
724	к созерцанию	1	1
725	с собой	2	1
726	не значит	1	1
727	когда дело	1	1
728	с положительной	1	1
729	берегу моря	1	1
730	как те	1	1
731	по этому	2	1
732	мы будем	5	1
733	с которым	1	1
734	вплоть до	3	1
735	суша и	1	1
736	жизни эти	1	1
737	бытия и	2	1
738	бы как	1	1
739	в полном	2	1
740	и о	1	1
741	в форму	1	1
742	одна из	3	1
743	весьма часто	2	1
744	географическом и	1	1
745	этом процессе	1	1
746	включает в	1	1
747	с его	10	1
748	и его	26	1
749	этого же	1	1
750	его к	2	1
751	реальность и	1	1
752	т д	3	1
753	что во	1	1
754	есть к	1	1
755	что даже	2	1
756	существенное значение	1	1
757	но кроме	1	1
758	в отдельных	2	1
759	идут в	1	1
760	в нем	28	1
761	речи о	1	1
762	отдельных стран	1	1
763	но это	1	1
764	если мы	2	1
765	становится при	1	1
766	она есть	1	1
767	с ее	7	1
768	всех этих	9	1
769	к какой	1	1
770	в самой	3	1
771	только наиболее	1	1
772	мы сказали	1	1
773	и искусства	1	1
774	это случается	1	1
775	чем обычно	1	1
776	одного и	6	1
777	или ее	1	1
778	своих произведений	1	1
779	и неизвестно	2	1
780	время совершенно	1	1
781	что имеет	2	1
782	степени и	1	1
783	его можно	1	1
784	гораздо более	1	1
785	части этого	1	1
786	ними но	1	1
787	мы привели	1	1
