N	2gram	Tiupa_Hudo	Poddanst
339	чтобы в	1	1
340	этого процесса	1	1
341	в настоящее	1	1
342	среди окружающих	1	1
343	всего что	1	1
344	теми же	1	1
345	но на	1	1
346	что его	1	1
347	в результате	2	1
348	в рамках	2	1
349	в которой	2	1
350	оказывается в	1	1
351	в прошлом	1	1
352	в отрыве	1	1
353	в этой	11	1
354	числе и	1	1
355	прежде чем	2	1
356	этом не	1	1
357	из нее	1	1
358	тот или	1	1
359	в отличие	1	1
360	по преимуществу	6	1
361	и которая	1	1
362	на нее	1	1
363	молодежи и	1	1
364	себя в	11	1
365	из двух	1	1
366	известном смысле	1	1
367	настоящее время	1	1
368	при сохранении	1	1
369	на две	1	1
370	ней и	1	1
371	же как	4	1
372	можно судить	1	1
373	на себя	3	1
374	она может	2	1
375	а она	1	1
376	что не	4	1
377	иначе как	1	1
378	та или	4	1
379	но для	1	1
380	в ходе	4	1
381	чисто внешних	1	1
382	судить по	1	1
383	к другим	1	1
384	и творческой	1	1
385	русской литературы	1	1
386	должны в	1	1
387	или иная	4	1
388	на наш	6	1
389	т и	1	1
390	происходит и	1	1
391	находится в	1	1
392	давно уже	3	1
393	это ощущение	1	1
394	углубляется в	1	1
395	представляют собой	2	1
396	в какой	1	1
397	ясно что	2	1
398	с собой	2	1
399	имеет к	1	1
400	к внешнему	2	1
401	без того	1	1
402	место в	3	1
403	как и	16	1
404	и силы	1	1
405	с которым	1	1
406	во времена	1	1
407	на будущее	1	1
408	также в	2	1
409	мир от	1	1
410	или иной	2	1
411	и внутренне	3	1
412	к миру	1	1
413	личный опыт	1	1
414	первой половине	3	1
415	глубоко в	1	1
416	наш взгляд	6	1
417	одновременно и	5	1
418	не та	1	1
419	говорить об	2	1
420	все еще	3	1
421	иной раз	1	1
422	известно не	1	1
423	наиболее же	1	1
424	именно потому	1	1
425	внимание к	1	1
426	на то	4	1
427	бы эти	1	1
428	к а	1	1
429	на фоне	5	1
430	ли не	1	1
431	когда-то и	1	1
432	и по	3	1
433	в природе	1	1
434	и я	1	1
435	не два	1	1
436	личности не	3	1
437	там где	2	1
438	т д	5	1
439	и жизнь	1	1
440	он живет	1	1
441	широты и	1	1
442	века в	2	1
443	и только	2	1
444	что именно	1	1
445	к предмету	1	1
446	друг с	1	1
447	казалось бы	12	1
448	всяком случае	1	1
449	нисколько не	1	1
450	о котором	2	1
451	не будут	1	1
452	не все	2	1
453	в условиях	1	1
454	он будет	3	1
455	когда в	4	1
456	друг друга	5	1
457	в себя	3	1
458	в движении	1	1
459	в это	4	1
460	с ее	7	1
461	творения в	1	1
462	в известном	1	1
463	эта вторая	1	1
464	с другом	1	1
465	и чем	1	1
466	во времени	2	1
467	гораздо более	1	1
468	не просто	1	1
469	он был	1	1
470	культурной традиции	1	1
471	не имеет	2	1
472	есть и	3	1
473	и скоро	1	1
474	м е	2	1
475	смысл этого	1	1
476	одно из	4	1
477	или менее	1	1
478	пути к	1	1
479	и ее	3	1
480	с явлениями	1	1
481	особенно в	3	1
482	выступает как	1	1
483	относиться к	1	1
484	которая и	1	1
485	и среди	1	1
486	собой его	1	1
487	обратиться к	1	1
488	виде то	1	1
489	из этой	1	1
490	в душе	6	1
491	и быть	4	1
492	и м	2	1
493	никогда не	8	1
494	не ослабевает	1	1
495	к истокам	1	1
496	еще не	10	1
497	люди и	1	1
498	рождается и	1	1
