N	2gram	Vinokur_St	Literetu
176	самом деле	14	6
177	как о	2	6
178	в слове	5	6
179	поэзии и	3	6
180	еще и	5	6
181	то и	1	6
182	тем же	3	6
183	и др	1	6
184	и то	6	6
185	что ему	2	6
186	том числе	3	6
187	в ней	9	6
188	далеко не	1	6
189	при всем	1	6
190	как будто	5	6
191	право на	1	6
192	и только	3	6
193	и к	5	5
194	самого себя	1	5
195	к этой	1	5
196	с собой	1	5
197	в соответствии	1	5
198	хотя бы	8	5
199	в нашем	1	5
200	как я	1	5
201	он сам	1	5
202	от себя	1	5
203	свое собственное	1	5
204	том чтобы	1	5
205	несмотря на	4	5
206	ни было	1	5
207	тем не	4	5
208	и за	3	5
209	не знает	2	5
210	одном из	4	5
211	права на	1	5
212	между тем	7	5
213	так что	8	5
214	эти слова	1	5
215	обращается к	1	5
216	во втором	5	5
217	в сущности	2	5
218	в россии	7	5
219	в романе	4	5
220	себя и	1	5
221	общего дела	1	5
222	не с	1	5
223	идет о	3	5
224	быть не	2	5
225	так как	7	5
226	мы не	3	5
227	как у	1	5
228	что и	8	5
229	читателя в	1	5
230	но с	7	5
231	в равной	2	5
232	но уже	1	5
233	на свете	1	5
234	в поэме	3	5
235	как он	3	5
236	место в	2	5
237	или иной	1	5
238	не к	2	5
239	а я	1	5
240	более того	1	5
241	что было	3	4
242	которая в	1	4
243	оказывается не	1	4
244	в них	2	4
245	с тем	3	4
246	во всяком	8	4
247	то это	3	4
248	входит в	1	4
249	не должен	2	4
250	для того	15	4
251	не всегда	2	4
252	в руках	2	4
253	только на	1	4
254	за собой	1	4
255	не вполне	1	4
256	как мы	1	4
257	я с	3	4
258	него не	1	4
259	во всей	1	4
260	к этому	4	4
261	не мог	3	4
262	бы то	2	4
263	в повестях	6	4
264	хотя и	4	4
265	для своего	2	4
266	этой книге	1	4
267	что его	1	4
268	очевидно что	1	4
269	себе и	1	4
270	в сторону	2	4
271	на этом	1	4
272	ту же	1	4
273	то ни	2	4
274	и что	8	4
275	за пределы	2	4
276	но без	1	4
277	общего с	3	4
278	к своему	3	4
279	могут быть	5	4
280	и есть	1	4
281	можно сказать	2	4
282	из этого	1	4
283	на рубеже	1	4
284	а потому	2	4
285	о которой	3	4
286	со всеми	2	4
287	от своего	2	4
288	и все	3	4
289	в пределах	1	4
290	отношения к	2	4
291	по собственному	1	4
292	никем не	2	4
293	бы не	2	4
294	ни к	1	4
295	совершенно не	7	4
296	не является	5	4
297	тех же	1	4
298	более чем	3	4
299	на том	1	4
300	со всей	1	4
301	каждый из	1	4
302	при котором	1	4
303	одной из	4	4
304	но это	9	4
305	таким образом	16	4
306	как к	3	4
307	свидетельствует о	2	4
308	и вот	1	4
309	для нас	7	4
310	этом в	1	4
311	в г	10	4
312	ср у	3	4
313	на его	2	4
314	для которого	1	4
315	в каждой	1	4
316	вовсе не	24	4
317	не могу	2	4
318	но при	1	4
319	для кого	2	4
320	во второй	10	4
321	не оставляет	2	4
322	а по	1	4
323	зависимость от	1	4
324	такой же	6	4
325	на то	5	4
326	нуждается в	2	4
327	не надо	2	4
328	какого бы	1	3
329	все что	1	3
330	же и	4	3
331	о чем	4	3
332	в этих	5	3
333	по себе	3	3
334	в первом	2	3
335	мысль о	2	3
336	литературного письма	1	3
337	нет в	1	3
338	ответственности перед	1	3
339	речь идет	6	3
340	вопрос о	9	3
341	душа моя	1	3
342	он был	5	3
343	во многих	3	3
344	времени в	1	3
345	особое место	1	3
346	превращается в	2	3
347	так же	7	3
348	себе в	2	3
349	не становится	1	3
350	который в	1	3
351	не удивительно	1	3
352	не просто	2	3
353	крайней мере	2	3
354	говорить о	3	3
355	именно так	1	3
356	что такое	2	3
357	а с	6	3
358	отношения между	1	3
359	а за	1	3
360	и перед	2	3
361	в чем	4	3
362	той или	1	3
363	но как	1	3
364	текста и	1	3
365	же как	5	3
366	к новым	1	3
367	никого не	1	3
368	и является	1	3
369	но только	2	3
370	ту или	1	3
371	же это	3	3
372	над ним	1	3
373	в москве	4	3
374	однако если	1	3
375	в иных	2	3
376	не раз	2	3
377	писал в	2	3
378	т п	11	3
379	он в	1	3
380	произведения в	2	3
381	что для	4	3
382	его личности	1	3
383	в первой	12	3
384	и от	2	3
385	там где	6	3
386	себе как	1	3
387	в особенности	1	3
388	не так	2	3
389	однако с	1	3
390	если в	2	3
391	во время	5	3
392	должна быть	3	3
393	был бы	1	3
394	из которых	1	3
395	мы в	1	3
396	в отношении	11	3
397	целом ряде	1	3
398	и вполне	4	3
399	не на	3	3
400	можно было	14	3
401	если не	4	3
402	если бы	11	3
403	с ней	1	3
404	где в	1	3
405	xx века	1	3
406	и т	36	3
407	они не	2	3
408	не имеет	5	3
409	да и	4	3
410	не знали	2	3
411	вследствие этого	1	3
412	которая не	1	3
413	ничего общего	3	3
414	по крайней	2	3
415	бы и	4	3
416	здесь поэт	1	3
417	такую же	1	3
418	в роли	1	3
419	того чтобы	15	3
420	на два	1	3
421	из его	3	3
422	и тогда	2	3
423	тех пор	1	3
424	и уже	3	3
425	не могло	4	3
426	отношении к	3	3
427	и до	2	3
428	в истории	5	3
429	а во	3	3
430	как например	2	3
431	самого пушкина	6	3
432	в творчестве	1	3
433	что же	6	3
434	том же	3	3
435	в сознании	2	3
436	здесь не	1	3
437	столько в	1	3
438	всяком случае	8	3
439	текста как	1	3
440	тот же	2	3
441	ничего не	6	3
442	различие между	1	3
443	ни с	3	3
444	сколько в	2	3
445	о нем	1	3
446	ее в	2	3
447	в полном	1	3
448	на самом	8	3
449	или иную	1	3
450	с их	2	3
451	а на	4	3
452	этого рода	2	3
453	на нее	3	3
454	дело в	9	3
455	в ту	1	3
456	а то	3	3
457	в какой	4	3
458	и вовсе	1	3
459	все эти	7	3
460	за его	1	3
461	и потому	3	3
462	а к	2	3
463	на один	1	3
464	поэт не	2	3
465	также и	10	3
466	не по	5	3
467	когда он	1	3
468	стороны и	1	3
469	только то	1	3
470	еще на	1	3
471	числе и	2	3
472	отношение к	3	3
473	и о	4	3
474	художественного произведения	1	3
475	в той	9	2
476	от него	1	2
477	еще раз	1	2
478	легкой руки	1	2
479	в свое	3	2
480	по праву	1	2
481	время не	1	2
482	потому не	1	2
483	него в	1	2
484	народ и	1	2
485	литературной и	2	2
486	в результате	5	2
487	ценность и	1	2
488	их не	1	2
489	чтобы в	1	2
490	для понимания	2	2
491	в борьбе	1	2
492	подобного рода	1	2
493	из двух	3	2
494	и другим	1	2
495	я от	1	2
496	вещей в	1	2
497	что по	1	2
498	стих не	1	2
499	на эту	5	2
500	роль в	1	2
501	в это	3	2
502	свою собственную	3	2
503	в форму	1	2
504	так например	12	2
505	за то	5	2
506	вести о	1	2
507	сам же	1	2
508	полемика с	1	2
509	сделать в	1	2
510	действительности в	1	2
511	на мой	1	2
512	за рамки	1	2
513	в котором	11	2
514	по тем	1	2
515	сам не	1	2
516	даже и	2	2
517	но даже	1	2
518	это его	1	2
519	с другим	1	2
520	к своей	1	2
521	которая по	1	2
522	значительной степени	3	2
523	уже и	1	2
524	еще более	5	2
525	он писал	3	2
526	всего что	2	2
527	второй половины	1	2
528	пути от	1	2
529	освободиться от	1	2
530	сказать что	9	2
531	для всей	1	2
532	и у	2	2
533	могло бы	3	2
534	быть в	2	2
535	имеем дело	2	2
536	тогда он	1	2
537	тем более	4	2
538	в текст	1	2
539	быть вообще	1	2
540	по поводу	13	2
541	для этой	1	2
542	о ней	1	2
543	гораздо более	5	2
544	к нему	2	2
545	только не	2	2
546	не зная	2	2
547	что у	8	2
548	на протяжении	1	2
549	как нам	1	2
550	так я	1	2
551	но еще	1	2
552	внимание на	5	2
553	у каждого	1	2
554	и всегда	2	2
555	по мнению	4	2
556	согласно которой	2	2
557	мой взгляд	1	2
558	и притом	1	2
559	что вы	1	2
560	но он	5	2
561	и некоторые	1	2
562	и говорит	1	2
563	извлечь из	1	2
564	ответственности за	1	2
565	xviii века	1	2
566	выписка из	2	2
567	тому что	8	2
568	одно дело	2	2
569	лишь на	1	2
570	и вместе	1	2
571	в ряду	1	2
572	по дороге	1	2
573	же касается	3	2
574	а только	1	2
575	это тоже	1	2
576	слово как	1	2
577	бы в	2	2
578	не был	1	2
579	и м	1	2
580	если оно	1	2
581	не означает	1	2
582	в исторической	1	2
583	лишь при	1	2
584	это прежде	2	2
585	чтобы он	1	2
586	например мы	1	2
587	я должен	1	2
588	с легкой	1	2
589	в работе	1	2
590	с какой	1	2
591	села на	1	2
592	кажется что	5	2
593	на долю	1	2
594	если б	5	2
595	бы они	1	2
596	на нем	1	2
597	но зато	1	2
598	одно и	1	2
599	политики в	1	2
600	и хотя	1	2
601	из нас	1	2
602	ему кажется	2	2
603	как известно	2	2
604	в школе	1	2
605	сам в	3	2
606	пушкина в	40	2
607	эпохи в	3	2
608	мысль в	1	2
609	в общем	2	2
610	всю жизнь	1	2
611	бы быть	1	2
612	писателя в	2	2
613	и по	6	2
614	этой системе	1	2
615	нет не	1	2
616	чтобы не	1	2
617	в статье	9	2
618	однако и	2	2
619	языка который	1	2
620	иначе говоря	1	2
621	на почве	2	2
622	своего времени	4	2
623	и который	3	2
624	героя в	1	2
625	тогда когда	1	2
626	на первом	1	2
627	из таких	2	2
628	и при	1	2
629	была бы	10	2
630	впрочем в	2	2
631	что они	9	2
632	человек с	1	2
633	и ранее	1	2
634	романа и	1	2
635	никак не	1	2
636	он на	1	2
637	нашего времени	1	2
638	для них	2	2
639	оно не	3	2
640	борьба с	2	2
641	значение в	1	2
642	если это	3	2
643	можно назвать	3	2
644	евгения онегина	6	2
645	к его	2	2
646	с ними	1	2
647	целый мир	1	2
648	которого является	1	2
649	каждого из	3	2
650	который не	3	2
651	и было	1	2
652	перед нами	1	2
653	свое время	3	2
654	именно такой	1	2
655	это и	5	2
656	со временем	1	2
657	в прозе	1	2
658	и более	4	2
659	в диалог	2	2
660	а если	2	2
661	что ей	2	2
662	в значительной	2	2
663	из этих	7	2
664	так чтобы	1	2
665	на основе	1	2
666	во мне	1	2
667	время в	1	2
668	и теперь	2	2
669	могло быть	3	2
670	в значении	1	2
671	и ему	2	2
672	и об	7	2
673	так называемого	1	2
674	и наоборот	1	2
675	им в	2	2
676	нет и	1	2
677	мог бы	1	2
678	начиная с	2	2
679	не за	1	2
680	всякий раз	2	2
681	то как	1	2
682	где бы	1	2
683	с тех	1	2
684	не видит	1	2
685	у них	1	2
686	с каким	1	2
687	чуть ли	2	2
688	пример в	1	2
689	вокруг которого	1	2
690	текста в	5	2
691	этом случае	3	2
692	очищенный от	1	2
693	ответ на	4	2
694	на вопрос	7	2
695	своих читателей	1	2
696	второй половине	1	2
697	мы имеем	2	2
698	не для	3	2
699	бы на	1	2
700	себя самого	1	2
701	писал что	1	2
702	имел в	1	2
703	по этому	5	2
704	раз в	4	2
705	что роман	1	2
706	ведь это	1	2
707	от всех	1	2
708	что к	1	2
709	этом не	1	2
710	чем он	3	2
711	в последнем	1	2
712	впрочем не	1	2
713	и без	4	2
714	нас к	2	2
715	есть в	2	2
716	и следовало	1	2
717	другом месте	2	2
718	при таком	2	2
719	перед собой	2	2
720	к концу	3	2
721	по словам	7	2
722	должно стать	1	2
723	в такой	2	2
724	собственной жизни	1	2
725	должен быть	3	2
726	начале своего	1	2
727	и тех	1	2
728	но такой	1	2
729	и самого	1	2
730	в полной	1	2
731	в таком	4	2
732	а как	5	2
733	всю свою	1	2
734	она не	3	2
735	его не	3	2
736	дело не	4	2
737	ни был	1	2
738	что касается	4	2
739	нужно было	2	2
740	не знаю	2	2
741	всякая иная	2	2
742	люди с	1	2
743	говорит я	1	2
744	моя не	1	2
745	к власти	2	2
746	с кем	1	2
747	даже по	1	2
748	на это	2	2
749	мысли об	1	2
750	эту тему	4	2
751	в понимании	1	2
752	для такого	1	2
753	ю н	1	2
754	что есть	1	2
755	равной мере	2	2
756	только по	1	2
757	этом и	2	2
758	слова в	1	2
759	которое в	1	2
760	в лице	1	2
761	что на	3	2
762	можно указать	1	2
763	еще несколько	2	1
764	к подлинному	2	1
765	дело однако	1	1
766	всего это	1	1
767	чужую жизнь	3	1
768	является в	1	1
769	несомненно что	1	1
770	пушкин в	4	1
771	в настоящем	1	1
772	случае в	4	1
773	этого в	1	1
774	никогда и	1	1
775	что начало	1	1
776	в лицейском	1	1
777	по тому	1	1
778	в момент	1	1
779	он совершил	1	1
780	как историк	1	1
781	его личного	1	1
782	которые не	3	1
783	и самому	1	1
784	будто на	2	1
785	за исключением	1	1
786	до него	3	1
787	сверх того	1	1
788	без исключения	1	1
789	дело с	2	1
790	на работу	1	1
791	в ряде	1	1
792	с самим	1	1
793	к числу	3	1
794	думаю что	6	1
795	о них	3	1
796	литературы а	1	1
797	в пользу	5	1
798	которой в	3	1
799	литература и	1	1
800	в некоторых	3	1
801	какой бы	1	1
802	говорит о	5	1
803	что человек	1	1
804	с той	3	1
805	свет в	1	1
806	осмелился бы	1	1
807	себе о	1	1
808	на темы	1	1
809	впрочем это	1	1
810	в апреле	1	1
811	личность но	1	1
812	путем в	2	1
813	которую он	3	1
814	у пушкина	17	1
815	что слово	1	1
816	а там	1	1
817	предполагает в	1	1
818	мнению автора	1	1
819	более или	2	1
820	делает в	2	1
821	на свой	2	1
822	но все	9	1
823	то было	1	1
824	а во-вторых	2	1
825	и просто	1	1
826	некоторые другие	1	1
827	этом от	1	1
828	это может	1	1
829	для осуществления	1	1
830	если и	1	1
831	широкого и	1	1
832	естественно не	1	1
833	слова с	1	1
834	он эту	1	1
835	в построении	1	1
836	уже на	1	1
837	и конечно	1	1
838	не пошел	2	1
839	аналогий с	1	1
840	мира это	1	1
841	самому и	1	1
842	само собою	2	1
843	в наиболее	1	1
844	стороны в	2	1
845	кстати сказать	2	1
846	борисе годунове	21	1
847	их в	2	1
848	притом в	1	1
849	в неприкосновенности	1	1
850	работает в	1	1
851	здесь дело	2	1
852	ему по	1	1
853	что почти	1	1
854	прочим и	1	1
855	принадлежу к	1	1
856	на точку	2	1
857	что должны	1	1
858	что писал	3	1
859	не его	1	1
860	и стал	1	1
861	материала для	3	1
862	всем его	1	1
863	связано с	1	1
864	с этим	6	1
865	но всё	3	1
866	всегда возможны	1	1
867	говорится о	1	1
868	немалое значение	1	1
869	но решительно	1	1
870	лет назад	2	1
871	если судить	1	1
872	этой социальной	1	1
873	с остальным	1	1
874	ответить на	1	1
875	на человека	1	1
876	некоторые из	1	1
877	при условии	1	1
878	было в	2	1
879	не могли	1	1
880	знал что	1	1
881	где-то в	1	1
882	его жизни	3	1
883	которой он	1	1
884	совершенно особое	1	1
885	требуется чтобы	1	1
886	имеет право	2	1
887	но кто	1	1
888	почти исключительно	1	1
889	но эти	2	1
890	на ее	1	1
891	вот почему	1	1
892	именно там	1	1
893	москве с	1	1
894	как частного	1	1
895	а после	1	1
896	этот текст	2	1
897	время чумы	2	1
898	имея в	1	1
899	точно и	2	1
900	с ума	1	1
901	героини и	1	1
902	но они	3	1
903	все в	2	1
904	втором случае	2	1
905	и когда	1	1
906	лет спустя	1	1
907	несколько примеров	5	1
908	нужно быть	1	1
909	своего поэтического	1	1
910	внимания к	1	1
911	начале xix	1	1
912	конечно не	2	1
913	и те	4	1
914	от той	1	1
915	особое положение	1	1
916	я буду	1	1
917	и общества	1	1
918	самого начала	3	1
919	и далее	1	1
920	что карамзин	1	1
921	подозрения в	1	1
922	дело и	1	1
923	маленькими трагедиями	1	1
924	бы свой	1	1
925	его за	1	1
926	собственному признанию	1	1
927	убежден что	1	1
928	казалось что	1	1
929	из всех	1	1
930	в рядах	1	1
931	претензии на	1	1
932	революции в	1	1
933	особую остроту	1	1
934	годунове и	1	1
935	но разве	3	1
936	русского классического	1	1
937	в самое	1	1
938	на него	3	1
939	к которому	4	1
940	во времена	4	1
941	из романа	2	1
942	без того	1	1
943	в зависимости	2	1
944	не умеет	1	1
945	которым в	1	1
946	традиций и	1	1
947	не обязанность	1	1
948	во всякой	1	1
949	от них	1	1
950	тут же	1	1
951	в отдельных	2	1
952	на котором	1	1
953	в стихи	2	1
954	году писал	1	1
955	языка к	1	1
956	я чувствую	1	1
957	обязанность не	1	1
958	эпохи с	1	1
959	направлен в	1	1
960	два стиха	1	1
961	представить себе	1	1
962	весь в	1	1
963	как справедливо	1	1
964	могли быть	1	1
965	той мере	2	1
966	этому пути	1	1
967	возможность стать	1	1
968	после того	5	1
969	стихах о	1	1
970	здесь нет	1	1
971	пушкина от	5	1
972	последний год	1	1
973	в исторических	1	1
974	в стиле	1	1
975	стороны или	1	1
976	проявляется в	1	1
977	в строфе	1	1
978	традиция в	1	1
979	не своей	1	1
980	в образе	3	1
981	пушкинского творчества	1	1
982	утверждает что	1	1
983	что при	3	1
984	я нашел	1	1
985	опоры в	1	1
986	оказался в	1	1
987	года после	1	1
988	поэта в	1	1
989	многих отношениях	1	1
990	что создает	1	1
991	в корне	1	1
992	участию в	1	1
993	не станет	1	1
994	как ученый	1	1
995	поэта как	1	1
996	видит в	1	1
997	не была	2	1
998	чем в	3	1
999	слиться в	1	1
1000	ссср в	2	1
1001	столько же	3	1
1002	в которой	13	1
1003	что там	2	1
1004	не о	2	1
1005	говорит в	3	1
1006	века не	1	1
1007	борьбы с	3	1
1008	как по	1	1
1009	прежде чем	1	1
1010	на которое	2	1
1011	и позволяет	1	1
1012	за ту	1	1
1013	но совершенно	1	1
1014	будто бы	4	1
1015	что за	1	1
1016	с самого	4	1
1017	всем что	1	1
1018	но для	3	1
1019	о смерти	1	1
1020	в среде	1	1
1021	в последних	1	1
1022	на пути	1	1
1023	ссылки на	1	1
1024	в деле	3	1
1025	между ними	1	1
1026	также в	2	1
1027	литературным фактам	1	1
1028	и иные	2	1
1029	между прочим	10	1
1030	романтизма не	1	1
1031	пользы для	1	1
1032	место и	1	1
1033	екатерины и	1	1
1034	но между	1	1
1035	именно такова	1	1
1036	я скажу	1	1
1037	путь в	1	1
1038	от этого	2	1
1039	должно было	5	1
1040	о которых	3	1
1041	больше всего	2	1
1042	в свете	1	1
1043	в двух	4	1
1044	в первые	1	1
1045	и всякого	1	1
1046	находя в	1	1
1047	из москвы	1	1
1048	полагает что	1	1
1049	о в	1	1
1050	в эту	3	1
1051	в других	2	1
1052	сих пор	12	1
1053	подобные явления	1	1
1054	вопроса о	3	1
1055	пребывания в	3	1
1056	имеет ничего	2	1
1057	в борисе	19	1
1058	к истине	1	1
1059	какой степени	1	1
1060	собственную личность	1	1
1061	в лучшем	1	1
1062	утверждая что	1	1
1063	опираясь на	1	1
1064	мы можем	1	1
1065	и быть	1	1
1066	это были	3	1
1067	вообще в	1	1
1068	к великим	1	1
1069	системе и	1	1
1070	современного читателя	2	1
1071	не выше	1	1
1072	которых в	3	1
1073	капитанской дочке	1	1
1074	виде эта	1	1
1075	таким каким	1	1
1076	в наше	1	1
1077	именно потому	1	1
1078	еще только	1	1
1079	пути с	1	1
1080	не один	1	1
1081	в перспективе	1	1
1082	является его	1	1
1083	в ответ	1	1
1084	и общественного	1	1
1085	в развитии	2	1
1086	внимание лишь	1	1
1087	и разумеется	1	1
1088	пушкин совершенно	1	1
1089	литературного прошлого	1	1
1090	возвращаясь к	1	1
1091	не были	2	1
1092	русских поэтов	1	1
1093	в приведенном	1	1
1094	потребность в	1	1
1095	себя на	1	1
1096	даже не	5	1
1097	была не	2	1
1098	примеры и	2	1
1099	о мире	2	1
1100	когда мы	1	1
1101	она была	2	1
1102	этом у	1	1
1103	многих случаях	2	1
1104	с большой	1	1
1105	занимает в	3	1
1106	что никакого	1	1
1107	поэзия и	1	1
1108	показать что	1	1
1109	только с	4	1
1110	два года	2	1
1111	или о	2	1
1112	бы его	1	1
1113	это делает	1	1
1114	несомненно и	1	1
1115	истории русской	1	1
1116	лучше сказать	2	1
1117	что только	2	1
1118	пушкине и	2	1
1119	этих словах	2	1
1120	которая на	1	1
1121	для тебя	1	1
1122	и была	2	1
1123	свои силы	2	1
1124	пушкиным в	14	1
1125	развитие русского	1	1
1126	которые были	1	1
1127	правило к	1	1
1128	на существование	1	1
1129	таких примеров	1	1
1130	независимо от	1	1
1131	всех этих	2	1
1132	что этот	3	1
1133	в какой-то	1	1
1134	в один	1	1
1135	сколь бы	1	1
1136	в одну	1	1
1137	он должен	2	1
1138	не случайным	1	1
1139	наше время	1	1
1140	что до	3	1
1141	он говорил	1	1
1142	связях с	1	1
1143	уже тем	1	1
1144	предъявлять к	1	1
1145	с неба	1	1
1146	можно только	1	1
1147	с этих	1	1
1148	и мн	3	1
1149	к сожалению	4	1
1150	были отмечены	1	1
1151	при жизни	2	1
1152	же поэта	2	1
1153	на чем	2	1
1154	ты знаешь	1	1
1155	первую очередь	2	1
1156	основе этой	1	1
1157	на деле	1	1
1158	ее появления	1	1
1159	до сих	13	1
1160	он уже	1	1
1161	и этот	1	1
1162	и здесь	2	1
1163	онегин и	1	1
1164	для русской	2	1
1165	например что	1	1
1166	котором не	1	1
1167	для каждой	1	1
1168	них в	1	1
1169	такова же	1	1
1170	текст в	2	1
1171	с и	1	1
1172	которой не	1	1
1173	представлял собой	1	1
1174	в литературной	1	1
1175	с такой	1	1
1176	и никто	1	1
1177	и кто	1	1
1178	своего образа	1	1
1179	представляют собой	1	1
1180	что это	5	1
1181	содержит в	1	1
1182	пушкин и	9	1
1183	текста является	1	1
1184	литературных явлений	1	1
1185	целого ряда	2	1
1186	ему все	1	1
1187	явление в	1	1
1188	поэтому в	4	1
1189	разного рода	2	1
1190	в живых	1	1
1191	и сальери	2	1
1192	бы между	1	1
1193	и делает	1	1
1194	от ума	1	1
1195	он лишь	1	1
1196	за это	1	1
1197	после прочтения	1	1
1198	не могут	2	1
1199	строгой и	1	1
1200	такого же	1	1
1201	должен был	5	1
1202	на полу	3	1
1203	беседует с	1	1
1204	смотреть на	2	1
1205	с некоторыми	1	1
1206	оказывается в	2	1
1207	своего романа	1	1
1208	в основание	1	1
1209	иметь в	2	1
1210	в моем	1	1
1211	ни одно	1	1
1212	именно не	1	1
1213	у читателя	1	1
1214	мы говорим	1	1
1215	предполагать что	1	1
1216	даже более	1	1
1217	но вот	1	1
1218	эстетики и	1	1
1219	с общим	1	1
1220	необходимой для	1	1
1221	и действительно	1	1
1222	времени не	5	1
1223	в процессе	3	1
1224	текст по	1	1
1225	не проще	1	1
1226	который сам	1	1
1227	это время	3	1
1228	за свое	1	1
1229	и так	3	1
1230	с собою	1	1
1231	состоит из	1	1
1232	рифмы в	1	1
1233	от его	2	1
1234	никто не	4	1
1235	и читатели	1	1
1236	правда не	1	1
1237	в которых	5	1
1238	уважение к	1	1
1239	татьяны в	1	1
1240	ему и	1	1
1241	о котором	2	1
1242	том как	4	1
1243	именно поэтому	2	1
1244	зависимости от	2	1
1245	в капитанской	1	1
1246	он выражается	1	1
1247	в известном	3	1
1248	этом его	1	1
1249	друг от	1	1
1250	к другому	1	1
1251	он заявляет	1	1
1252	языка на	1	1
1253	это самое	1	1
1254	то здесь	1	1
1255	работе над	1	1
1256	такое отношение	2	1
1257	к какой	1	1
1258	только одно	1	1
1259	тому кто	1	1
1260	и находя	1	1
1261	одним и	2	1
1262	не нужен	1	1
1263	на самого	1	1
1264	сказано что	1	1
1265	тот кто	1	1
1266	сам поэт	1	1
1267	отличается от	2	1
1268	была найдена	1	1
1269	языка и	4	1
1270	что мы	5	1
1271	это явление	2	1
1272	пушкина как	9	1
1273	на какой	1	1
1274	совпадает с	3	1
1275	задний план	3	1
1276	не полно	1	1
1277	здесь всего	1	1
1278	в иной	1	1
1279	бы по	1	1
1280	не должно	1	1
1281	художественных произведений	1	1
1282	примирения с	2	1
1283	в середине	2	1
1284	место у	1	1
1285	те или	2	1
1286	именно на	1	1
1287	и вся	2	1
1288	значение для	2	1
1289	что лучше	1	1
1290	и пушкинского	1	1
1291	чтобы она	1	1
1292	россии в	1	1
1293	на основании	2	1
1294	бы показаться	1	1
1295	тем обстоятельством	1	1
1296	он по	2	1
1297	целый ряд	3	1
1298	ни были	2	1
1299	не имела	2	1
1300	времени и	4	1
1301	только тем	2	1
1302	приемлемым в	1	1
1303	что такая	1	1
1304	теперь не	1	1
1305	не заметил	1	1
1306	я хотел	1	1
1307	лишь то	1	1
1308	перед глазами	1	1
1309	среди которых	1	1
1310	в каком	4	1
1311	душой за	1	1
1312	есть такое	1	1
