N	2gram	Nazirov_Tr	VrazhdaK
283	роль в	1	1
284	ввел в	1	1
285	еще к	1	1
286	на стол	1	1
287	и я	2	1
288	свое понимание	1	1
289	навсегда и	1	1
290	с нечаевым	1	1
291	никто не	3	1
292	но у	1	1
293	этом романе	1	1
294	веру в	2	1
295	в условиях	1	1
296	это было	1	1
297	для публики	1	1
298	что образ	3	1
299	во сне	2	1
300	не имеет	2	1
301	но мы	1	1
302	тем не	1	1
303	человеком и	1	1
304	раз и	2	1
305	героев романа	1	1
306	под влиянием	2	1
307	гораздо больше	1	1
308	года и	1	1
309	в записках	2	1
310	не был	2	1
311	с первого	2	1
312	на них	1	1
313	время с	1	1
314	нашему мнению	1	1
315	и образ	1	1
316	жизнь и	3	1
317	во всех	1	1
318	а поскольку	1	1
319	сам же	1	1
320	да я	1	1
321	во всяком	1	1
322	в стиле	1	1
323	это и	1	1
324	года с	1	1
325	портрет и	1	1
326	я вижу	1	1
327	№ он	1	1
328	было в	2	1
329	возвращается к	1	1
330	не могли	1	1
331	эти строки	1	1
332	а ставрогин	1	1
333	что этот	2	1
334	ему нужно	1	1
335	роману отцы	1	1
336	которой он	1	1
337	ли это	1	1
338	встречался с	1	1
339	к роману	1	1
340	образа петра	1	1
341	это как	1	1
342	на страницах	3	1
343	не любил	1	1
344	но при	2	1
345	потому что	2	1
346	но достоевский	4	1
347	до исступления	1	1
348	одну из	1	1
349	обратился к	1	1
350	петруша это	1	1
351	iii князь	1	1
352	ранней стадии	1	1
353	романа отцы	1	1
354	в рассказе	2	1
355	к своей	1	1
356	года во	1	1
357	он стал	1	1
358	для достоевского	2	1
359	тургеневскому роману	1	1
360	в развитии	1	1
361	с помощью	1	1
362	в частности	2	1
363	над которым	1	1
364	никого не	1	1
365	увидел что	1	1
366	но они	2	1
367	и их	1	1
368	и ненависти	1	1
369	что эта	1	1
370	точно так	2	1
371	как он	1	1
372	один раз	1	1
373	не могла	1	1
374	свой роман	1	1
375	это была	1	1
376	исповеди ставрогина	1	1
377	в форме	1	1
378	к смерти	1	1
379	себя на	1	1
380	и своею	1	1
381	доходит до	1	1
382	творчества достоевского	1	1
383	тем самым	3	1
384	мертвого дома	2	1
385	их отношения	1	1
386	что ее	1	1
387	по своей	1	1
388	к людям	3	1
389	стал смотреть	1	1
390	вы не	1	1
391	в обоих	1	1
392	так он	1	1
393	человека и	1	1
394	по сей	2	1
395	самую суть	1	1
396	составляет самую	1	1
397	и т.д	1	1
398	у которого	1	1
399	опошленного нигилизма	1	1
400	годов в	1	1
401	иисуса христа	1	1
402	это же	1	1
403	…> я	1	1
404	идиот и	1	1
405	или вообще	1	1
406	в эпизоде	1	1
407	ее матери	1	1
408	у себя	1	1
409	достоевского этот	1	1
410	ее не	1	1
411	руку и	1	1
412	той же	1	1
413	заключается в	1	1
414	могут быть	1	1
415	впрочем он	1	1
416	мы бы	1	1
417	он сказал	1	1
418	только по	1	1
419	на пороге	1	1
420	имя его	1	1
421	до конца	2	1
422	в высшей	1	1
423	из первых	1	1
424	и от	1	1
425	и есть	1	1
426	роль играет	1	1
427	сегодня мы	1	1
428	образа князя	1	1
429	на этот	1	1
430	никому не	1	1
431	всю жизнь	1	1
432	но я	1	1
433	в декабре	1	1
434	белых ночей	2	1
435	тут же	2	1
436	всяком случае	1	1
437	глаза в	1	1
438	конце концов	1	1
439	враждебное отношение	1	1
440	друг друга	2	1
441	событий и	1	1
442	ее своей	1	1
443	с ее	3	1
444	бы в	1	1
445	не просто	2	1
446	года а	1	1
447	ни разу	1	1
448	долга и	1	1
449	чтоб я	1	1
450	из высшей	1	1
451	только о	2	1
452	в целом	4	1
453	декабре года	1	1
454	и наконец	1	1
455	некоторые черты	1	1
456	в известной	2	1
457	ничего не	2	1
458	вплоть до	1	1
459	с улыбкой	1	1
460	поэтому он	1	1
461	к нему	3	1
462	высшей степени	1	1
