N	2gram	Medvedev_S	StatiiOP
207	наука а	1	1
208	они ни	1	1
209	заключается что	2	1
210	жизни он	1	1
211	его работах	1	1
212	стр очевидно	1	1
213	и темы	1	1
214	к вопросам	1	1
215	наука но	1	1
216	иначе говоря	1	1
217	представить себе	1	1
218	не выходит	1	1
219	ввести в	2	1
220	тогда и	1	1
221	два типа	1	1
222	не исчерпываются	1	1
223	утверждает в	1	1
224	литературе и	1	1
225	между ними	1	1
226	и принципов	1	1
227	существу это	1	1
228	слишком много	1	1
229	правильно говорит	1	1
230	благодаря тому	1	1
231	полагает что	1	1
232	серьезно и	1	1
233	не один	1	1
234	это по	1	1
235	в цельном	1	1
236	ни одно	1	1
237	вот в	1	1
238	и голова	1	1
239	в систему	1	1
240	на отдельные	1	1
241	и есть	1	1
242	в силу	1	1
243	вопросом о	1	1
244	против этого	1	1
245	и должно	1	1
246	с ним	1	1
247	понимать что	1	1
248	том и	1	1
249	все то	1	1
250	поэтической формы	1	1
251	что таким	1	1
252	основании таких	1	1
253	говорит за	1	1
254	литературе о	1	1
255	автор не	1	1
256	пишет следующее	1	1
257	какие же	1	1
258	художественных произведений	1	1
259	в те	1	1
260	друг от	1	1
261	далеки от	1	1
262	должно сказать	1	1
263	не из	1	1
264	пришлось бы	1	1
265	на тех	1	1
266	этих мелочах	1	1
267	знания нельзя	1	1
268	но одно	1	1
269	от друга	1	1
270	в свои	1	1
271	перейти к	1	1
272	право на	1	1
273	быть для	1	1
274	мысли в	1	1
275	наука о	1	1
276	он ни	1	1
277	это как	1	1
278	и остаются	1	1
279	работы как	1	1
280	его исторической	1	1
281	только то	1	1
282	и какие	1	1
283	не наука	1	1
284	только поэзия	1	1
285	него и	1	1
286	со своими	1	1
287	изучения и	1	1
288	неудачей но	1	1
289	их на	1	1
290	им не	2	1
291	больше того	1	1
