N	3gram	Bakhtin_KF	Istorich
139	не менее в	1	1
140	быть дано только	1	1
141	должен быть признан	1	1
142	и этот момент	1	1
143	но не было	1	1
144	пока еще не	1	1
145	ведь это не	1	1
146	прочим и в	1	1
147	из которых как	1	1
148	как бы два	1	1
149	мы должны видеть	1	1
150	вокруг него в	1	1
151	не в нем	1	1
152	особенно часто имеют	1	1
153	она требует чтобы	1	1
154	противоречит то что	1	1
155	случае мы имеем	1	1
156	в этом смысле	3	1
157	ко мне в	2	1
158	и небо и	1	1
159	все в этом	1	1
160	для нас важно	2	1
161	этого мира не	1	1
162	несмотря на то	1	1
163	все это только	1	1
164	он может быть	2	1
165	вовсе не есть	2	1
166	и в котором	1	1
167	он вступает в	1	1
168	и в каких	1	1
169	не зависит от	1	1
170	с ним и	1	1
171	на своем месте	2	1
172	никогда не может	1	1
173	что может быть	1	1
174	все это в	1	1
175	средних веков и	1	1
176	нет места для	1	1
177	если бы не	1	1
178	не знать что	1	1
179	и для этой	1	1
180	том случае когда	1	1
181	как одно из	1	1
182	время от времени	1	1
183	своем месте и	1	1
184	со стороны ее	2	1
185	никто не живет	1	1
186	в себе в	1	1
187	это значило бы	2	1
188	в один момент	1	1
189	не содержит в	1	1
190	то или иное	2	1
191	ничего не знаю	1	1
192	нашей точки зрения	1	1
193	сводится к следующему	1	1
194	быть и то	1	1
195	не может ничего	1	1
196	или в виде	1	1
197	по которой он	1	1
198	себя в нем	1	1
199	в том случае	1	1
200	потому что в	1	1
201	конечно все это	1	1
202	но прежде всего	1	1
203	то что этот	1	1
204	тем или иным	1	1
205	все что есть	1	1
206	в этом мире	1	1
207	но не по	1	1
208	как бы он	1	1
209	не было и	1	1
210	к которой он	1	1
211	но это уже	2	1
212	но уже не	1	1
213	и в его	1	1
214	в непосредственной близости	1	1
215	то же время	2	1
216	в обе стороны	1	1
217	никогда не было	1	1
218	в значительной степени	1	1
219	и в этом	3	1
220	с нашей точки	1	1
221	во второй половине	1	1
222	того или иного	3	1
223	для нее в	2	1
224	он должен быть	1	1
225	только по отношению	2	1
226	что и она	1	1
227	к нему в	4	1
228	при таком положении	1	1
229	одновременно и в	1	1
230	во всем его	2	1
231	но здесь мы	1	1
232	может быть дано	1	1
233	и одна из	1	1
234	ту или иную	1	1
235	и не в	1	1
236	конечно не в	1	1
237	со мной в	1	1
238	только в этом	1	1
239	в то же	2	1
240	того что в	1	1
241	и не должен	1	1
242	в противном случае	1	1
243	между жизнью и	1	1
244	на этом пути	1	1
245	в первом случае	1	1
246	они находятся в	1	1
247	отражается и в	1	1
248	я не могу	1	1
249	и та же	2	1
250	формальной а не	1	1
251	но в то	1	1
252	том смысле в	1	1
253	уже не только	1	1
254	а не просто	1	1
255	место это не	1	1
256	она не живет	1	1
257	одна и та	2	1
258	это отнюдь не	1	1
259	и все эти	2	1
260	может быть распространено	1	1
261	до конца и	1	1
262	в основе своей	1	1
