N	2gram	Berdyaev_N	VeschiIm
249	последние годы	1	2
250	социальная жизнь	1	2
251	это уже	1	2
252	в последние	1	2
253	не столько	1	2
254	к реальному	3	2
255	с собой	1	2
256	не на	1	2
257	есть лишь	4	2
258	по природе	1	2
259	в россии	3	2
260	как не	8	2
261	приводит к	1	2
262	в это	1	2
263	знает что	1	2
264	на их	1	2
265	нем нет	2	2
266	жизни мы	1	2
267	к природе	1	2
268	нет ничего	1	2
269	и того	1	2
270	было и	1	2
271	то он	1	2
272	не терпит	1	2
273	который я	1	2
274	силы и	2	2
275	она могла	1	2
276	из их	1	2
277	себе и	1	2
278	конечно не	3	2
279	и формы	2	2
280	переход от	1	2
281	том чтобы	2	2
282	быть в	2	2
283	бы сказать	1	2
284	с его	6	2
285	всяком случае	1	2
286	зачем же	1	2
287	ближе к	1	2
288	в более	1	2
289	него как	1	2
290	по преимуществу	1	2
291	ее на	1	2
292	зависит от	2	2
293	уже в	1	2
294	в состоянии	1	2
295	религиозного сознания	1	2
296	он и	1	2
297	бы к	1	2
298	к чему	1	2
299	а также	1	2
300	в виду	1	2
301	на нее	1	2
302	бытия в	2	2
303	но ведь	1	2
304	и могущества	1	2
305	но я	2	2
306	помнить что	2	2
307	того и	1	2
308	это было	3	2
309	жизнь не	1	2
310	не был	1	2
311	вопрос об	1	2
312	человека в	1	2
313	и быть	1	2
314	природе своей	1	2
315	совсем не	12	2
316	может идти	1	2
317	который есть	1	2
318	совершенно невозможно	1	2
319	что образ	1	2
320	этом смысле	2	2
321	но тут	1	2
322	истории и	9	2
323	наряду с	3	2
324	та или	1	2
325	слова в	1	2
326	как часто	1	2
327	как будто	2	2
328	нуждается в	1	2
329	не случайно	1	2
330	но для	2	2
331	в одну	2	2
332	к подлинному	2	1
333	более не	2	1
334	государства и	4	1
335	было так	1	1
336	это противоречит	1	1
337	философии и	1	1
338	и целиком	1	1
339	это одна	1	1
340	для всех	1	1
341	до сих	1	1
342	не верят	1	1
343	человеческой жизни	1	1
344	реально не	1	1
345	и очень	1	1
346	от жизни	1	1
347	на западе	1	1
348	к этой	1	1
349	жизни а	1	1
350	которая в	1	1
351	ней нужно	1	1
352	и должно	2	1
353	разными путями	1	1
354	но также	1	1
355	вопросу о	1	1
356	из всех	1	1
357	или нет	1	1
358	она как-то	1	1
359	мы в	1	1
360	и стремится	1	1
361	в социальной	1	1
362	сама жизнь	2	1
363	не хочет	1	1
364	и замечательно	1	1
365	социальной жизни	1	1
366	эпохи не	1	1
367	есть результат	1	1
368	типов культуры	1	1
369	под этим	1	1
370	в стихии	1	1
371	в них	4	1
372	о природе	1	1
373	в духе	3	1
374	а во-вторых	1	1
375	чтобы эти	1	1
376	так называемый	1	1
377	о самом	1	1
378	оно же	1	1
379	хаоса в	1	1
380	можно назвать	2	1
381	которые нельзя	1	1
382	к таким	1	1
383	уже нет	1	1
384	духа в	2	1
385	том смысле	1	1
386	есть непосредственное	1	1
387	духовной и	1	1
388	ли он	1	1
389	пустое место	1	1
390	зависимости от	1	1
391	в нее	1	1
392	с большей	1	1
393	мир и	2	1
394	и отдельных	1	1
395	вся культура	1	1
396	логики и	1	1
397	к той	1	1
398	который и	1	1
399	также что	1	1
400	предметы или	1	1
401	в природе	2	1
402	во все	1	1
403	будет действовать	2	1
404	он требует	1	1
405	устарели и	1	1
406	и всех	1	1
407	мы переходим	1	1
408	не могли	2	1
409	что этот	1	1
410	не имеют	2	1
411	нас и	1	1
412	своей природе	1	1
413	и заключается	2	1
414	не хочу	1	1
415	они считают	2	1
416	не всегда	1	1
417	революция духа	1	1
418	потому оно	1	1
419	и истории	1	1
420	лишь в	6	1
421	и вся	1	1
422	значение для	1	1
423	идеи которые	1	1
424	к своим	1	1
425	одна сторона	1	1
426	и ему	1	1
427	если нет	2	1
428	но сам	1	1
429	существу своему	1	1
430	было то	1	1
431	новое время	4	1
432	и христианской	1	1
433	нужно быть	1	1
434	времени и	2	1
435	оно существует	1	1
436	стихии и	1	1
437	основанная на	1	1
438	живое и	1	1
439	в отличие	1	1
440	бога и	3	1
441	возможно было	1	1
442	жизни как	2	1
443	духа и	3	1
444	с большим	1	1
445	это предполагает	1	1
446	к которому	1	1
447	мы конечно	1	1
448	сих пор	1	1
449	все время	2	1
450	глубины и	2	1
451	и потеряли	1	1
452	мысли но	1	1
453	которым оно	1	1
454	к новой	1	1
455	только потому	1	1
456	из этих	1	1
457	распадается на	1	1
458	верят в	1	1
459	и искать	1	1
460	жизни не	3	1
461	смысле как	1	1
462	формы и	2	1
463	обратиться к	1	1
464	есть принцип	1	1
465	только одна	1	1
466	и весь	2	1
467	то они	1	1
468	и культуры	2	1
469	сама наука	1	1
470	значение в	1	1
471	новые формы	1	1
472	как другие	1	1
473	нет ни	1	1
474	есть такой	1	1
475	они не	1	1
476	верить в	3	1
477	в основу	1	1
478	еще до	2	1
479	весь смысл	1	1
480	весь стиль	1	1
481	религия в	1	1
482	этом он	1	1
483	религия и	1	1
484	и личности	1	1
485	какую угодно	1	1
486	с богом	1	1
487	и никакой	1	1
488	не больше	1	1
489	стремится к	3	1
490	судьба и	1	1
491	с их	2	1
492	природу и	1	1
493	к самой	2	1
494	а на	1	1
495	явление он	1	1
496	это всегда	1	1
497	отказаться от	1	1
498	что ничего	1	1
499	себя а	1	1
500	и реальном	1	1
501	есть признак	1	1
502	возможности в	1	1
503	или иная	1	1
504	имеют никакого	1	1
505	лишь на	1	1
506	чего оно	1	1
507	личности с	1	1
508	нас к	1	1
509	не та	1	1
510	и вместе	1	1
511	и духовной	1	1
512	в этих	1	1
513	должно стать	2	1
514	уже давно	1	1
515	не могут	1	1
516	должно было	2	1
517	в новом	2	1
518	ней нет	1	1
519	духовная сила	1	1
520	не ставится	1	1
521	все категории	2	1
522	думаю что	1	1
523	всех своих	1	1
524	солнечного дня	1	1
525	и мир	1	1
526	и большая	2	1
527	и быстро	3	1
528	основная проблема	1	1
529	это конечно	1	1
530	стремиться к	2	1
531	как ни	1	1
532	от других	1	1
533	на нем	1	1
534	будто бы	1	1
535	самое явление	1	1
536	отличие от	1	1
537	и жизненной	1	1
538	понять смысл	1	1
539	истории когда	1	1
540	в наше	3	1
541	не могу	1	1
542	смысле о	1	1
543	вся жизнь	1	1
544	только так	1	1
545	он находится	1	1
546	мы опять	1	1
547	в энергию	1	1
548	чем выявление	1	1
549	связана с	2	1
550	отпадение от	1	1
551	не могла	2	1
552	все ее	1	1
553	в xix	1	1
554	и другая	1	1
555	если взять	1	1
556	может уже	2	1
557	необходимой для	1	1
558	думать что	2	1
559	в новое	3	1
560	жизнь в	1	1
561	в бытие	1	1
562	явление в	1	1
563	него и	1	1
564	выявление вовне	1	1
565	во многом	1	1
566	нужно помнить	1	1
567	оно должно	1	1
568	культуры и	7	1
569	оба они	1	1
570	могут быть	2	1
571	но нет	1	1
572	котором и	1	1
573	в зависимости	1	1
574	бы он	1	1
575	личностей и	1	1
576	понята как	1	1
577	понять что	1	1
578	с идеями	1	1
579	к новому	7	1
580	все другие	1	1
581	в эти	1	1
582	речи о	1	1
583	одного и	1	1
584	имя но	1	1
