N	2gram	Tiupa_Narr	NovoeSre
188	том случае	1	1
189	можно сказать	11	1
190	и мысли	1	1
191	все что	4	1
192	человек как	1	1
193	человека так	1	1
194	человека в	2	1
195	то они	3	1
196	это одна	1	1
197	во все	1	1
198	для всех	1	1
199	и быть	1	1
200	в более	1	1
201	до сих	3	1
202	мире а	1	1
203	а к	3	1
204	и более	2	1
205	не верят	1	1
206	в котором	3	1
207	по природе	1	1
208	по преимуществу	1	1
209	и мира	4	1
210	значение в	1	1
211	тоже не	1	1
212	ничем не	1	1
213	что этот	1	1
214	отличие от	6	1
215	христианской культуры	1	1
216	и всеми	1	1
217	приблизиться к	1	1
218	жизни без	1	1
219	сам себя	2	1
220	они не	3	1
221	из них	4	1
222	на самоопределение	1	1
223	к ней	3	1
224	и красота	1	1
225	жить в	1	1
226	случае если	1	1
227	и сейчас	1	1
228	который не	2	1
229	свидетельствует о	4	1
230	о человеке	1	1
231	мы уже	1	1
232	жизни а	4	1
233	которая в	2	1
234	не останется	1	1
235	своей природе	1	1
236	уже давно	1	1
237	этом я	1	1
238	без обращения	1	1
239	есть время	1	1
240	не могу	2	1
241	уже в	1	1
242	на ее	2	1
243	и про	2	1
244	может идти	1	1
245	к себе	11	1
246	в свою	4	1
247	в значительной	1	1
248	для себя	3	1
249	борьбы со	1	1
250	иного мира	1	1
251	из этих	6	1
252	во всяком	2	1
253	том числе	1	1
254	всего мира	1	1
255	одну из	1	1
256	но во	1	1
257	но также	1	1
258	природе своей	1	1
259	для того	4	1
260	не по	5	1
261	быть не	3	1
262	вся жизнь	2	1
263	не для	1	1
264	же мере	1	1
265	ее жизни	1	1
266	лишь для	1	1
267	не всегда	4	1
268	из их	1	1
269	и счастья	1	1
270	истории он	2	1
271	имея в	1	1
272	это уже	3	1
273	он и	2	1
274	что вся	1	1
275	было бы	2	1
276	мы должны	1	1
277	в сущности	2	1
278	в формах	2	1
279	в его	12	1
280	особое место	4	1
281	значительной степени	1	1
282	и личности	1	1
283	к такой	1	1
284	когда она	2	1
285	народов и	1	1
286	истории как	2	1
287	но ведь	1	1
288	и вся	1	1
289	и через	2	1
290	не с	1	1
291	вступает в	2	1
292	одному из	1	1
293	бытия и	1	1
294	и ему	1	1
295	может остаться	1	1
296	как результат	1	1
297	у нас	4	1
298	и когда	3	1
299	время когда	1	1
300	это была	3	1
301	для них	2	1
302	не столько	2	1
303	с другими	1	1
304	часто не	3	1
305	людей и	2	1
306	сказать мы	1	1
307	вопроса о	1	1
308	в виду	2	1
309	еще в	4	1
310	только изнутри	1	1
311	превращается в	2	1
312	и до	1	1
313	слова а	1	1
314	нет никакого	1	1
315	выразить свое	1	1
316	с собой	2	1
317	только в	23	1
318	в xix	1	1
319	неизбежно будет	1	1
320	не на	1	1
321	не могут	1	1
322	по своей	3	1
323	в нее	2	1
324	он есть	1	1
325	от других	1	1
326	чего он	1	1
327	в зависимости	3	1
328	в большинстве	1	1
329	было и	2	1
330	а во	5	1
331	оно не	4	1
332	их не	1	1
333	а на	2	1
334	сами по	2	1
335	это всегда	1	1
336	вот этот	1	1
337	или не	5	1
338	но он	2	1
339	нашей жизни	1	1
340	значение и	1	1
341	в которой	2	1
342	смысле как	1	1
343	заключает в	2	1
344	в этой	8	1
345	жизни это	2	1
346	этого не	2	1
347	числе и	1	1
348	внутри и	1	1
349	к чему	3	1
350	человеческой жизни	3	1
351	во взаимной	1	1
352	а по	2	1
353	а также	11	1
354	и еще	2	1
355	нее входит	1	1
356	как на	2	1
357	в отличие	6	1
358	так называемый	1	1
359	будто бы	2	1
360	него и	1	1
361	на нее	2	1
362	теперь и	2	1
363	во многом	1	1
364	в будущее	1	1
365	переход от	2	1
366	нем не	2	1
367	из всех	1	1
368	быть только	1	1
369	что не	2	1
370	но все	1	1
371	истории ее	1	1
372	легче чем	1	1
373	он видел	1	1
374	тем что	1	1
375	не верит	1	1
376	мир который	1	1
377	к этой	1	1
378	новые формы	1	1
379	то время	1	1
380	лишь к	1	1
381	мира но	1	1
382	это время	1	1
383	в конце	4	1
384	и гибель	1	1
385	них не	1	1
386	так как	1	1
387	приобретает характер	1	1
388	в образе	1	1
389	к которому	1	1
390	в своем	7	1
391	давно уже	2	1
392	характер и	3	1
393	исторический период	1	1
394	в последние	2	1
395	человечества и	1	1
396	лишь на	1	1
397	что платон	1	1
398	нас к	1	1
399	сих пор	3	1
400	что он	7	1
401	на себя	5	1
402	известном смысле	4	1
403	в исторический	1	1
404	и она	1	1
405	их в	4	1
406	в силу	5	1
407	он может	1	1
408	большинстве случаев	1	1
409	всю жизнь	1	1
410	которые могут	2	1
411	что мы	2	1
412	про него	1	1
413	так на	1	1
414	в обнаружении	1	1
415	в этих	3	1
416	в период	1	1
417	далеко ушла	1	1
418	том смысле	1	1
419	перед лицом	1	1
420	тайной жизни	1	1
421	по себе	4	1
422	приводит к	2	1
423	не имел	2	1
424	в области	4	1
425	и другая	2	1
426	того и	1	1
427	к новой	1	1
428	жизни мы	2	1
429	в такой	1	1
430	нуждается в	1	1
431	с ним	6	1
432	для другого	2	1
433	мыслей и	1	1
434	и только	2	1
435	человек не	1	1
436	и возврат	1	1
437	есть только	1	1
438	ли он	2	1
439	существенным моментом	1	1
440	к той	1	1
441	обращения к	1	1
442	всяком случае	2	1
443	который можно	1	1
444	настоящего и	1	1
445	и оно	1	1
446	все слова	1	1
447	зависимости от	3	1
448	во время	2	1
449	друг друга	2	1
450	только потому	1	1
451	приобщается к	1	1
452	с большей	1	1
453	убеждения в	1	1
454	того же	2	1
455	в известном	4	1
456	мира не	1	1
457	во времени	9	1
458	не случайно	2	1
459	в чем	3	1
460	в каком	1	1
461	и его	12	1
462	и особенно	1	1
463	слова в	4	1
464	и у	4	1
465	одного и	2	1
466	человека оказывается	1	1
467	не удалось	1	1
468	себе и	2	1
469	понять что	1	1
470	жизни с	1	1
471	жизнью и	1	1
472	героя но	3	1
473	и рождается	1	1
474	связано с	2	1
475	истины о	1	1
476	и нет	1	1
477	обратиться к	2	1
478	который и	1	1
479	к нему	5	1
480	ему не	1	1
