N	2gram	Losev_Vlad	Hudozhes
205	всех подобных	1	2
206	жизни в	3	2
207	у одного	2	2
208	в итоге	1	2
209	всей своей	2	2
210	в каком	3	2
211	своей жизни	5	2
212	о том	13	2
213	при всем	1	2
214	свою очередь	2	2
215	это и	2	2
216	еще и	10	2
217	ни к	2	2
218	ними и	2	2
219	не могли	2	2
220	духовной жизни	1	2
221	во мне	2	2
222	но во	2	2
223	времени в	2	2
224	между двумя	1	2
225	и больше	3	2
226	для меня	8	2
227	не могло	2	2
228	говорит что	4	2
229	и это	4	2
230	времени и	1	2
231	для которого	1	2
232	в отсутствие	1	2
233	не вполне	3	2
234	так же	4	2
235	еще один	2	2
236	было и	1	2
237	об этом	13	2
238	с самим	2	2
239	в нашем	5	2
240	имеем дело	1	2
241	который в	1	2
242	одна из	1	2
243	этого слова	1	2
244	до известной	1	2
245	здесь не	6	2
246	на котором	2	2
247	он и	8	2
248	не просто	1	2
249	в самой	1	2
250	никогда не	15	2
251	и по	10	2
252	жизни но	1	2
253	начиная с	3	2
254	бы то	2	2
255	то в	6	2
256	но на	3	2
257	этих двух	2	2
258	одной из	2	2
259	несмотря на	7	2
260	ни было	1	2
261	в формах	1	2
262	которого он	2	2
263	в литературе	1	2
264	что такое	3	2
265	ее в	1	2
266	все это	7	2
267	что и	6	2
268	к жизни	2	2
269	слова не	1	2
270	у него	28	2
271	от всех	1	2
272	или в	1	2
273	говорит в	2	2
274	и более	1	2
275	одним из	3	2
276	он оказывается	1	2
277	что она	2	2
278	согласно характеристике	1	2
279	тому что	1	2
280	случае не	1	2
281	в какой	1	2
282	я не	8	2
283	личности с	2	2
284	мира и	1	2
285	к своему	4	2
286	в сторону	1	2
287	в чем	4	2
288	это тоже	1	2
289	вовсе не	8	2
290	тем более	4	2
291	а для	1	2
292	и потому	8	2
293	но как	6	2
294	а с	5	2
295	на этом	3	2
296	то ни	2	2
297	дело не	3	2
298	и весьма	2	2
299	в значительной	1	2
300	быть и	1	2
301	к такой	1	2
302	но она	4	2
303	не с	1	2
304	свою жизнь	1	2
305	за пределы	3	2
306	но только	3	2
307	таких случаях	1	2
308	от своего	2	2
309	всей его	2	2
310	собственно говоря	4	2
311	в этой	4	2
312	что может	1	2
313	и особенно	6	2
314	тот кто	1	2
315	для такого	1	2
316	и др	1	2
317	о его	7	2
318	столь же	1	2
319	из этого	6	2
320	автора как	1	2
321	отнюдь не	3	2
322	однако все	1	2
323	в особенности	4	1
324	то субъективное	1	1
325	с которыми	2	1
326	наконец наиболее	1	1
327	к такому	1	1
328	от него	3	1
329	однако и	1	1
330	никак нельзя	3	1
331	все что	2	1
332	для всех	2	1
333	ночь и	1	1
334	и против	1	1
335	можно говорить	2	1
336	и здесь	3	1
337	за ним	1	1
338	же и	1	1
339	как с	1	1
340	и свою	1	1
341	сойти с	1	1
342	если в	1	1
343	как содержание	1	1
344	которая в	1	1
345	тех кто	2	1
346	я этого	2	1
347	между этими	1	1
348	теперь в	1	1
349	дело с	2	1
350	можно назвать	1	1
351	есть для	2	1
352	вопросу о	1	1
353	к числу	2	1
354	и другим	1	1
355	думаю что	1	1
356	что это	2	1
357	содержит в	1	1
358	от нас	2	1
359	в сущности	2	1
360	в другой	1	1
361	говорит о	1	1
362	те же	2	1
363	менее не	1	1
364	и решительно	1	1
365	разного рода	8	1
366	одному из	1	1
367	например с	2	1
368	представлений о	1	1
369	по образцу	1	1
370	в результате	6	1
371	фразы в	1	1
372	быть может	1	1
373	ему принадлежат	1	1
374	и вполне	4	1
375	отдельно от	1	1
376	за это	2	1
377	не могут	2	1
378	живые существа	1	1
379	со всеми	1	1
380	сравнении с	2	1
381	как было	2	1
382	должен был	3	1
383	чтобы в	1	1
384	и даже	23	1
385	если не	4	1
386	он уже	7	1
387	все то	1	1
388	с некоторыми	1	1
389	до этого	1	1
390	чего бы	1	1
391	имеет значение	1	1
392	жизнь в	2	1
393	любовь и	2	1
394	мысль о	1	1
395	одновременно с	2	1
396	на руках	1	1
397	тем что	2	1
398	из всего	1	1
399	и действительно	3	1
400	то время	6	1
401	если он	1	1
402	видно из	2	1
403	для своей	1	1
404	меня в	2	1
405	к нам	1	1
406	с такими	1	1
407	я из	1	1
408	что по	1	1
409	который впрочем	1	1
410	о судьбе	1	1
411	одновременно и	1	1
412	а иной	4	1
413	вместе с	9	1
414	с собою	1	1
415	все же	11	1
416	по душе	1	1
417	майора ковалева	1	1
418	участвовать в	1	1
419	не имеет	2	1
420	а этот	1	1
421	в сравнении	2	1
422	но у	1	1
423	да и	6	1
424	в историческом	1	1
425	о котором	2	1
426	его личной	1	1
427	жизни если	1	1
428	в это	6	1
429	у достоевского	2	1
430	на их	1	1
431	свою собственную	1	1
432	которой не	1	1
433	но мы	3	1
434	на первый	4	1
435	по крайней	1	1
436	он мог	1	1
437	перед нами	1	1
438	всем его	1	1
439	после его	1	1
440	и ясный	1	1
441	свое время	7	1
442	вследствие своей	1	1
443	жизни так	1	1
444	с этим	3	1
445	мир как	1	1
446	сам же	1	1
447	года на	3	1
448	владимир соловьев	4	1
449	бы и	1	1
450	он же	2	1
451	не существует	1	1
452	жизнь для	1	1
453	ему принадлежит	1	1
454	в котором	10	1
455	из других	1	1
456	в действительности	1	1
457	и такие	2	1
458	и пр	1	1
459	жизни когда	1	1
460	по своим	3	1
461	по тем	1	1
462	более чем	1	1
463	возвращаясь из	1	1
464	заключать в	1	1
465	некоторого рода	2	1
466	то и	3	1
467	с моей	1	1
468	наконец в	3	1
469	ей было	2	1
470	и поэтому	1	1
471	из жизни	1	1
472	платона и	3	1
473	быть не	1	1
474	действительность в	1	1
475	во многих	2	1
476	а после	1	1
477	из его	6	1
478	а через	2	1
479	котором по	1	1
480	время в	4	1
481	с которой	2	1
482	и теперь	4	1
483	жизни и	8	1
484	одновременно он	1	1
485	чего не	1	1
486	из своего	3	1
487	значение для	2	1
488	только на	3	1
489	в которую	2	1
490	время ее	1	1
491	точно так	2	1
492	к одному	1	1
493	и внешнее	1	1
494	в различных	1	1
495	столь существенного	1	1
496	о своем	3	1
497	на основании	3	1
498	чем с	1	1
499	в мир	1	1
500	не так	1	1
501	и те	1	1
502	русского поэта	1	1
503	не что	2	1
504	в истории	4	1
505	руках и	1	1
506	в природу	1	1
507	является как	2	1
508	каждый из	1	1
509	до того	1	1
510	перед ним	1	1
511	этих позиций	1	1
512	отчет в	1	1
513	жизни по	2	1
514	в прошлом	1	1
515	на которые	1	1
516	есть его	1	1
517	к ним	1	1
518	самом начале	1	1
519	у себя	1	1
520	не для	1	1
521	настоящее время	2	1
522	нас на	1	1
523	него не	4	1
524	затем в	1	1
525	той же	6	1
526	его труда	1	1
527	именно так	2	1
528	становится для	1	1
529	до конца	8	1
530	с нею	1	1
531	за его	1	1
532	с этими	4	1
533	только во	1	1
534	только при	1	1
535	как я	2	1
536	раз и	4	1
537	что все	2	1
538	еще одна	1	1
539	том же	4	1
540	впечатлений в	1	1
541	но если	1	1
542	не участвовать	1	1
543	по поводу	15	1
544	стороны не	2	1
545	что даже	2	1
546	общем виде	1	1
547	в композиции	1	1
548	не имело	1	1
549	казалось бы	1	1
550	в произведениях	1	1
551	нет никаких	2	1
552	к этим	1	1
553	стороны а	1	1
554	друг друга	3	1
555	конца однако	1	1
556	это духовная	1	1
557	все с	2	1
558	книги в	1	1
559	то я	1	1
560	освобождения от	1	1
561	в настоящее	2	1
562	это совмещение	1	1
563	писал в	1	1
564	не будучи	1	1
565	крайней мере	1	1
566	из них	3	1
567	едва ли	3	1
568	характерно что	1	1
569	тот же	7	1
570	конечно с	1	1
571	а об	1	1
572	о ней	1	1
573	его можно	1	1
574	возлагает на	1	1
575	жизни толстой	1	1
576	могли быть	1	1
577	все мы	1	1
578	именно к	2	1
579	в строгой	1	1
580	что они	4	1
581	этом случае	1	1
582	в свое	6	1
583	только не	2	1
584	интересом к	1	1
585	которой я	1	1
586	промежутке между	1	1
587	в более	3	1
588	к индивидуальной	1	1
589	нами не	1	1
590	со мной	1	1
591	остаться за	1	1
592	тоже не	2	1
593	так как	11	1
594	на которую	1	1
595	от его	1	1
596	что иное	2	1
597	они не	1	1
598	может не	1	1
599	после того	2	1
600	не во	1	1
601	на вопрос	2	1
602	но из	1	1
603	свидетельствует о	3	1
604	глубокий и	1	1
605	должно быть	1	1
606	новой жизни	1	1
607	время и	3	1
608	же этот	1	1
609	внимание на	1	1
610	в состоянии	1	1
611	в полусне	1	1
612	а и	1	1
613	xix веке	1	1
614	чем у	2	1
615	что несмотря	1	1
616	как у	3	1
617	для нас	9	1
618	и через	3	1
619	не содержит	1	1
620	из своих	1	1
621	у нас	11	1
622	на которой	1	1
623	и от	6	1
624	этом в	2	1
625	и есть	2	1
626	быть или	1	1
627	но относится	1	1
628	в русском	2	1
629	мы находим	2	1
630	поэтому не	1	1
631	не путем	1	1
632	тому же	3	1
633	раз в	1	1
634	отношения между	1	1
635	но с	1	1
636	в таких	1	1
637	не было	12	1
638	как видно	1	1
639	как кризис	1	1
640	к чему	1	1
641	для других	1	1
642	слухи о	3	1
643	что его	8	1
644	самые разнообразные	1	1
645	всех его	1	1
646	этим и	1	1
647	не прямо	2	1
648	на нее	1	1
649	дело в	7	1
650	но одно	1	1
651	читателя это	1	1
652	что не	3	1
653	xviii века	1	1
654	в совокупности	1	1
655	и непосредственное	1	1
656	в конце	22	1
657	мнения о	1	1
658	той самой	1	1
659	индивидуальности и	1	1
660	в последние	3	1
661	с той	1	1
662	и без	2	1
663	роль принадлежит	1	1
664	среди прочих	1	1
665	также в	1	1
666	и достоевского	1	1
667	на земле	2	1
668	всем своем	1	1
669	не есть	4	1
670	говорят о	1	1
671	между прочим	18	1
672	заметил что	1	1
673	и религии	1	1
674	явления жизни	1	1
675	ли не	1	1
676	смерти в	1	1
677	того и	3	1
678	и я	7	1
679	в такой	1	1
680	больше и	1	1
681	его жизни	12	1
682	по его	3	1
683	это было	9	1
684	тех же	3	1
685	на его	7	1
686	человек имеет	1	1
687	себе и	2	1
688	из москвы	1	1
689	в одной	1	1
690	действительности и	1	1
691	о своих	2	1
692	связаны с	1	1
693	бы в	1	1
694	деятельности и	1	1
695	ему не	2	1
696	на них	1	1
697	людей в	2	1
698	и мир	1	1
699	в каждом	1	1
700	это проявилось	1	1
701	только к	3	1
702	в полной	3	1
703	как ни	1	1
704	он говорит	2	1
705	в своих	7	1
706	он ни	1	1
707	второй и	1	1
708	эти последние	4	1
709	говоря в	1	1
710	говорил о	1	1
711	речи с	2	1
712	до нас	1	1
713	этой своей	1	1
714	а напротив	1	1
715	в современных	1	1
716	чему не	1	1
717	оно написано	1	1
718	ему на	1	1
719	также и	13	1
720	ту же	1	1
721	не один	1	1
722	человека как	3	1
723	чувства и	1	1
724	на колени	1	1
725	просто не	2	1
726	из окна	2	1
727	что касается	6	1
728	а по	3	1
729	так просто	1	1
730	по одним	1	1
731	не могла	3	1
732	это была	3	1
733	тем и	1	1
734	позицию в	1	1
735	эта сторона	1	1
736	только то	1	1
737	и жизни	1	1
738	к кому	1	1
739	у нее	1	1
740	вследствие его	1	1
741	миросозерцания в	1	1
742	наиболее глубокий	1	1
743	когда мы	2	1
744	он еще	1	1
745	этом не	3	1
746	на это	2	1
747	было бы	7	1
748	не по	2	1
749	становится его	1	1
750	из нее	1	1
751	весьма различной	1	1
752	так называемого	1	1
753	он переживает	1	1
754	но без	1	1
755	же самое	1	1
756	как мы	17	1
757	все человеческие	1	1
758	жизни не	1	1
759	к изучению	2	1
760	своей стороны	1	1
761	общего с	1	1
762	что для	5	1
763	его как	2	1
764	узкое и	1	1
765	подход к	1	1
766	которые в	2	1
767	его личности	2	1
768	это делает	3	1
769	когда они	1	1
770	приводят к	1	1
771	над его	1	1
772	этом и	2	1
773	первый том	1	1
774	как внутреннее	1	1
775	основания для	1	1
776	наличие у	1	1
777	а можно	1	1
778	по этому	3	1
779	так что	13	1
780	с которым	4	1
781	теми же	2	1
782	однако по	1	1
783	же в	3	1
784	требует от	1	1
785	бытия и	1	1
786	некоторого основания	1	1
787	всю жизнь	4	1
788	иной раз	8	1
789	как будто	2	1
790	я невольно	1	1
791	на то	7	1
792	я люблю	1	1
793	этом у	1	1
794	а как	1	1
795	здесь мы	4	1
796	толстого в	4	1
797	в него	1	1
798	случае это	1	1
799	и объект	1	1
800	именно это	1	1
801	и совершенно	2	1
802	настоящего времени	1	1
803	дело здесь	1	1
804	в известной	1	1
805	есть не	1	1
806	жизнью и	1	1
807	кажется что	3	1
808	иное как	2	1
809	можно только	1	1
810	котором он	2	1
811	в статье	2	1
812	с этих	1	1
