N	2gram	Tiupa_Hudo	UchenyiS
195	не делает	1	1
196	ее как	1	1
197	впадая в	1	1
198	об анне	1	1
199	того как	1	1
200	в ноги	1	1
201	переходит в	1	1
202	отсюда и	2	1
203	в таком	3	1
204	жизнь души	1	1
205	тех кто	2	1
206	то и	5	1
207	него уже	2	1
208	так много	1	1
209	ссылка на	1	1
210	она не	6	1
211	в произведении	1	1
212	смысле и	1	1
213	в течение	1	1
214	но именно	3	1
215	до конца	3	1
216	правило не	1	1
217	она в	5	1
218	в своем	9	1
219	с тем	1	1
220	в наиболее	1	1
221	в значительной	3	1
222	входит в	1	1
223	для себя	9	1
224	по теории	2	1
225	стороны в	1	1
226	только как	1	1
227	тем в	2	1
228	его на	1	1
229	одной стороны	4	1
230	именно к	1	1
231	относится к	1	1
232	возвращается в	1	1
233	время не	1	1
234	конструктивный принцип	1	1
235	мы имеем	1	1
236	для читателя	1	1
237	но также	1	1
238	тому чтобы	1	1
239	не связанных	1	1
240	их в	2	1
241	же в	3	1
242	установка на	1	1
243	не для	1	1
244	с самим	2	1
245	в ней	6	1
246	будет не	1	1
247	или даже	2	1
248	мыслей о	2	1
249	впервые в	2	1
250	частности с	1	1
251	вообще во	1	1
252	в данное	1	1
253	даже не	1	1
254	чем была	1	1
255	и так	3	1
256	путь и	1	1
257	известно не	1	1
258	в этот	1	1
259	историческая поэтика	2	1
260	на то	4	1
261	он и	2	1
262	значимость и	1	1
263	это же	1	1
264	только для	4	1
265	без этого	1	1
266	словами как	1	1
267	сюда же	1	1
268	в которых	1	1
269	по мнению	6	1
270	к этому	1	1
271	полагаем что	1	1
272	так и	19	1
273	обе эти	1	1
274	это то	1	1
275	о нем	4	1
276	из которых	1	1
277	где бы	1	1
278	вообще по	1	1
279	друг с	1	1
280	это в	4	1
281	отнюдь не	4	1
282	о которой	3	1
283	ее существование	1	1
284	в качестве	13	1
285	о котором	2	1
286	пишет в	1	1
287	до предела	1	1
288	в нем	5	1
289	художественного впечатления	1	1
290	работ в	1	1
291	он не	8	1
292	независимо от	1	1
293	может служить	1	1
294	всего лишь	7	1
295	поскольку он	1	1
296	что нельзя	1	1
297	все что	4	1
298	и слово	1	1
299	произведения а	1	1
300	на его	2	1
301	и что	3	1
302	в известном	1	1
303	художником и	1	1
304	одно из	4	1
305	что для	1	1
306	смысле можно	1	1
307	отказ от	2	1
308	и это	7	1
309	в различных	1	1
310	с одной	4	1
311	с другом	1	1
312	он был	1	1
313	в первую	2	1
314	данное время	1	1
315	когда бы	1	1
316	они в	2	1
317	должно быть	2	1
318	уже знакомый	1	1
319	что при	3	1
320	об этом	8	1
321	не обладает	1	1
322	которых так	1	1
323	себя на	1	1
324	то о	2	1
325	самое что	2	1
326	в виду	1	1
327	к которой	1	1
328	не случайной	1	1
329	или менее	1	1
330	в пределах	4	1
331	тот же	1	1
332	уже не	12	1
333	ценность в	2	1
334	о том	21	1
335	толстой в	1	1
336	по его	4	1
337	далеко не	1	1
338	тем более	1	1
339	оно все	1	1
340	того что	5	1
341	искусства в	1	1
342	что еще	1	1
343	обращение к	2	1
344	у него	13	1
345	в словах	1	1
346	друг другу	1	1
347	вне пределов	1	1
348	в котором	5	1
349	не впадая	1	1
350	не существует	1	1
351	доведенный до	1	1
352	бы в	2	1
353	в виде	2	1
354	той же	3	1
355	приводит к	5	1
356	никогда не	8	1
357	человека и	4	1
