N	2gram	Losev_Dial	SlovoVZh
497	к тому	4	1
498	именно и	1	1
499	из двух	4	1
500	в свои	1	1
501	другая форма	1	1
502	что можно	2	1
503	самому существу	1	1
504	и можно	5	1
505	с таким	1	1
506	зрения уже	1	1
507	иной социальной	1	1
508	из нее	2	1
509	что здесь	3	1
510	равно как	2	1
511	ведь это	2	1
512	в физической	1	1
513	существуют для	1	1
514	существуют и	1	1
515	и мы	6	1
516	находиться в	1	1
517	как мы	4	1
518	это мы	1	1
519	что она	13	1
520	самой своей	1	1
521	бытия и	5	1
522	и о	9	1
523	на который	1	1
524	показать что	1	1
525	о самом	1	1
526	всегда лежит	1	1
527	что для	5	1
528	и вне	3	1
529	если мы	5	1
530	он будет	3	1
531	на одну	1	1
532	или о	1	1
533	него не	1	1
534	от всего	6	1
535	и эта	1	1
536	не те	1	1
537	бьют мимо	1	1
538	наряду с	1	1
539	но есть	1	1
540	ибо нет	1	1
541	представлять себе	1	1
542	чрезвычайно важный	1	1
543	и во	3	1
544	именно в	5	1
545	и таким	1	1
546	только одна	3	1
547	уже на	1	1
548	и всего	1	1
549	тем кто	2	1
550	нужно думать	1	1
551	они должны	1	1
552	то время	6	1
553	конечном счете	1	1
554	мы это	1	1
555	не можем	3	1
556	в таком	15	1
557	но прежде	1	1
558	всех сторон	1	1
559	оно по	2	1
560	например в	3	1
561	сама по	11	1
562	что я	3	1
563	форма и	3	1
564	само собою	1	1
565	тот же	1	1
566	и знаемого	1	1
567	относятся к	1	1
568	к которому	1	1
569	эти вопросы	1	1
570	имеем дело	2	1
571	время не	1	1
572	человек и	1	1
573	с которой	2	1
574	и без	4	1
575	случае нельзя	1	1
576	на вещи	1	1
577	конечно гораздо	1	1
578	же оно	1	1
579	быть простым	1	1
580	что все	16	1
581	же две	1	1
582	как о	6	1
583	эти три	1	1
584	ее внутренней	1	1
585	ее истории	3	1
586	себе не	3	1
587	социальная среда	2	1
588	том же	1	1
589	и она	4	1
590	формы это	1	1
591	в общем	1	1
592	есть в	4	1
593	же как	4	1
594	исходит из	2	1
595	том кто	1	1
596	как часто	1	1
597	в порядке	1	1
598	момент в	1	1
599	и прежде	6	1
600	даже тогда	1	1
601	выйти из	1	1
602	в слове	3	1
603	живет и	1	1
604	слова из	1	1
605	как будто	3	1
606	жизни в	1	1
607	что именно	10	1
608	есть только	13	1
609	дальше и	1	1
610	ровно ничего	9	1
611	того если	1	1
612	и всякого	2	1
613	но если	11	1
614	они не	3	1
615	и понимания	2	1
616	в словах	1	1
617	при таком	2	1
618	них и	1	1
619	ли кто-нибудь	1	1
620	на себя	3	1
621	от его	2	1
622	наравне с	1	1
623	тех или	6	1
624	своем движении	1	1
625	зрения и	1	1
626	чем мы	1	1
627	и только	6	1
628	явлениями и	1	1
629	по своей	1	1
630	именно эта	1	1
631	по самому	2	1
632	и художественного	1	1
633	взаимоотношения и	1	1
634	или иного	3	1
635	может и	3	1
636	событием и	1	1
637	и оно	1	1
638	друг друга	3	1
639	но самый	1	1
640	в эти	1	1
641	лучшем случае	2	1
642	природой и	1	1
643	для этого	3	1
644	так если	1	1
645	и искусство	1	1
646	не из	1	1
647	если она	4	1
648	себе и	1	1
649	чтобы убедиться	1	1
650	и обратно	1	1
651	в особом	2	1
652	легче всего	1	1
653	в смысле	4	1
654	не всегда	3	1
655	на их	1	1
656	чтобы не	4	1
657	может находиться	1	1
658	мы еще	2	1
659	является то	1	1
660	бы действительно	1	1
661	не нужно	2	1
662	в одной	4	1
663	ничего общего	2	1
664	в лице	1	1
665	себя в	3	1
666	крайней мере	10	1
667	и из	2	1
668	и становится	2	1
669	или менее	1	1
670	в который	3	1
671	вовсе не	18	1
672	с соответствующими	1	1
673	другого и	1	1
674	думать что	3	1
675	от предмета	1	1
676	в пространстве	1	1
677	не то	3	1
678	самый принцип	3	1
679	я и	2	1
680	гораздо больше	1	1
681	тем более	5	1
682	по крайней	10	1
683	формы как	1	1
684	свой смысл	1	1
685	перед нами	5	1
686	включает в	1	1
687	понять и	1	1
688	и другого	1	1
689	бы это	3	1
690	более подробно	1	1
691	же мы	5	1
692	вне ее	1	1
693	что чисто	1	1
694	зато она	1	1
695	всяком случае	3	1
696	на них	2	1
697	высшей степени	1	1
698	не нуждаются	1	1
699	можно только	5	1
