N	3gram	Vinokur_Vv	Marksizm
245	он мог бы	1	1
246	то о чем	1	1
247	бы взять в	1	1
248	в новейшее время	1	1
249	на язык как	1	1
250	пор пока не	1	1
251	между тем мы	1	1
252	второй половины xix	2	1
253	отношению к нему	1	1
254	в большей или	1	1
255	каждом из них	1	1
256	не может еще	1	1
257	а как на	1	1
258	цель и в	1	1
259	не говоря уже	2	1
260	в особых исключительных	1	1
261	в обоих случаях	1	1
262	на то или	1	1
263	иной степени в	1	1
264	но уже в	1	1
265	не что иное	5	1
266	дело в том	3	1
267	чем та которая	1	1
268	в лучшем случае	1	1
269	особых исключительных случаях	1	1
270	подобно тому как	2	1
271	самом деле как	2	1
272	как мы видим	1	1
273	и т.д и	1	1
274	от этого не	1	1
275	по его словам	1	1
276	не менее совершенно	1	1
277	в этом качестве	1	1
278	в тех областях	1	1
279	не сам по	1	1
280	и теми же	1	1
281	но во всяком	1	1
282	сих пор и	1	1
283	что и эта	1	1
284	и без того	1	1
285	тем или иным	2	1
286	того чтобы сделать	1	1
287	между тем именно	2	1
288	мысли как мы	1	1
289	чтобы убедиться в	1	1
290	уже о том	1	1
291	всего того что	1	1
292	она может быть	1	1
293	друг для друга	1	1
294	языка но и	1	1
295	но теперь мы	1	1
296	не как на	1	1
297	притом не только	1	1
298	все это делает	1	1
299	что такое язык	3	1
300	грамматические и стилистические	1	1
301	самое что история	1	1
302	и обратно в	1	1
303	филолог и историк	1	1
304	между прочим и	1	1
305	это прежде всего	1	1
306	отчет в том	1	1
307	между языком и	1	1
308	после того как	2	1
309	том что не	1	1
310	что несмотря на	2	1
