N	3gram	Medvedev_V	Formalny
311	в новое время	1	1
312	в том отношении	2	1
313	понимать творчество как	1	1
314	может быть признана	1	1
315	же как и	1	1
316	светлое поле сознания	1	1
317	мы знаем не	1	1
318	художественный замысел как	1	1
319	по меньшей мере	1	1
320	становится в искусстве	1	1
321	никогда не может	1	1
322	том случае если	1	1
323	по этому вопросу	2	1
324	та или иная	3	1
325	между собой не	1	1
326	в большей или	2	1
327	никак между собой	1	1
328	одна из них	1	1
329	искусстве но даже	1	1
330	отдельных его элементах	1	1
331	вопрос о том	1	1
332	это и есть	3	1
333	материала в зависимости	1	1
334	можно было бы	2	1
335	только в единстве	1	1
336	он не создает	1	1
337	может быть при	1	1
338	является не чем	1	1
339	евгения онегина не	1	1
