N	3gram	Kanaev_Sov	Myshleni
199	это совершенно невозможно	1	1
200	образом один и	1	1
201	заключают в себе	1	1
202	совершенно независимо от	1	1
203	сводится только к	1	1
204	знаем что это	1	1
205	до наших дней	1	1
206	при этом с	1	1
207	но все эти	1	1
208	является ли оно	1	1
209	в дальнейшем мы	1	1
210	одному и к	1	1
211	по его мнению	1	1
212	этом смысле можно	1	1
213	вместе с понятием	1	1
214	мы можем назвать	2	1
215	развития таким образом	1	1
216	не только ничего	1	1
217	не в том	1	1
218	и есть то	1	1
219	важную роль в	1	1
220	в дальнейшем и	1	1
221	собственно и составляет	1	1
222	в биологии и	1	1
223	и в то	1	1
224	в этом эксперименте	1	1
225	каждая из этих	1	1
226	ни одного из	1	1
227	должен быть поставлен	1	1
228	в ином направлении	1	1
229	таким образом один	1	1
230	развития той или	1	1
231	равно как и	1	1
232	мы видим не	1	1
233	первое и основное	1	1
234	готовом виде и	1	1
235	самый вопрос о	2	1
236	только ничего не	1	1
237	наших экспериментах мы	1	1
238	что же это	3	1
239	со всеми ее	1	1
240	вопрос о методе	1	1
241	из которых в	1	1
242	где можно было	1	1
243	в данной области	1	1
244	он может быть	1	1
245	что дело идет	1	1
246	между собой но	1	1
247	познания человека и	1	1
248	конце развития мы	1	1
249	в целом при	1	1
250	как мы видим	1	1
251	не подлежит сомнению	2	1
252	том что эта	1	1
253	но отнюдь не	1	1
254	всяком случае не	1	1
255	но только не	1	1
256	что произошло в	1	1
257	как одной из	1	1
258	не является исключением	1	1
259	его развития но	1	1
260	самого начала от	1	1
