N	2gram	Berdyaev_N	VelikijI
261	у него	2	1
262	власти и	1	1
263	не существует	3	1
264	так же	2	1
265	имеет никакой	1	1
266	свободно и	1	1
267	никогда на	1	1
268	не был	1	1
269	их не	1	1
270	в будущем	2	1
271	и всех	1	1
272	и злобой	1	1
273	всего что	1	1
274	считать себя	1	1
275	в платоновском	1	1
276	отказаться от	1	1
277	нашу эпоху	2	1
278	с другой	3	1
279	в бытие	1	1
280	в которой	1	1
281	но все	1	1
282	не утверждение	1	1
283	вот что	1	1
284	и с	2	1
285	к ним	3	1
286	жизнь в	1	1
287	способ выражения	1	1
288	человеческого общества	1	1
289	временному и	1	1
290	на нее	1	1
291	на путь	1	1
292	известном смысле	1	1
293	бытия и	1	1
294	в мир	1	1
295	истина должна	1	1
296	для вечности	1	1
297	и ложь	1	1
298	и начало	3	1
299	и небытию	1	1
300	от неба	1	1
301	окончательно в	1	1
302	но нет	1	1
303	и до	1	1
304	лишь к	1	1
305	всякого содержания	1	1
306	к языческому	1	1
307	истина не	1	1
308	смысле и	1	1
309	в своем	1	1
310	неба и	1	1
311	был в	1	1
312	к жизни	3	1
313	в познании	1	1
314	и от	2	1
315	лишь на	1	1
316	быть может	4	1
317	но дух	1	1
318	весь мир	1	1
319	свое и	1	1
320	заключается что	2	1
321	зла в	1	1
322	духа в	2	1
323	и очень	1	1
324	сама идея	1	1
325	ней и	1	1
326	платоновском смысле	1	1
327	в атмосфере	1	1
328	вместе с	2	1
329	но я	2	1
330	и вместе	1	1
331	но под	1	1
332	и которые	1	1
333	переход к	2	1
334	как в	3	1
335	жизни в	3	1
336	значение в	1	1
337	роль в	2	1
338	со злом	1	1
339	небом и	1	1
340	о религиозном	1	1
341	себя и	1	1
342	человечества социализм	1	1
343	человеке и	1	1
344	менее всего	1	1
345	который я	1	1
346	ли он	1	1
347	не будут	2	1
348	мира и	2	1
349	духа все	1	1
350	для чего	2	1
351	зависимости от	1	1
352	бытия в	2	1
353	в другие	1	1
354	в известном	1	1
355	к ее	3	1
356	себе и	1	1
357	не случайно	1	1
358	индивидуализм есть	1	1
359	жизни не	3	1
360	теперь и	1	1
361	нелюбовь к	1	1
362	нет бога	1	1
363	царства божьего	3	1
364	жизни с	1	1
365	политикой с	1	1
366	в речах	1	1
367	бог не	1	1
368	и нет	1	1
369	к нему	1	1
