N	2gram	Tiupa_Teor	OGranits
142	тем что	1	2
143	и др	3	2
144	могут быть	5	2
145	вовсе не	3	2
146	в действительности	1	2
147	в связи	3	2
148	имеет место	3	2
149	объект и	1	2
150	в зависимости	1	2
151	во всей	3	2
152	с ними	2	2
153	говорить об	1	2
154	все эти	3	2
155	с другой	9	2
156	как в	5	2
157	художественных произведений	1	2
158	разрыв между	1	2
159	и внутренняя	1	2
160	не менее	6	2
161	нуждается в	1	2
162	не имеет	1	2
163	к предмету	1	2
164	в структуре	2	2
165	том что	11	2
166	в нем	7	2
167	или иного	6	2
168	языка но	1	2
169	зависимости от	1	2
170	а не	14	2
171	всей своей	2	2
172	в чем	2	2
173	в целом	4	2
174	художественное произведение	3	2
175	и ее	4	2
176	тот же	1	2
177	собственно говоря	2	2
178	к тому	4	2
179	есть не	1	2
180	кажется что	1	2
181	слова и	1	2
182	бы в	1	2
183	более того	1	2
184	этого термина	1	1
185	в особенности	1	1
186	но у	1	1
187	только одно	1	1
188	как к	5	1
189	в каждой	1	1
190	к которому	3	1
191	и наоборот	2	1
192	языка в	4	1
193	состоит не	1	1
194	значимым и	1	1
195	обычно в	1	1
196	зрения и	2	1
197	для всех	2	1
198	который пытается	1	1
199	только к	1	1
200	произведение и	1	1
201	один из	2	1
202	как ни	1	1
203	можно говорить	1	1
204	и здесь	2	1
205	осуществляется в	1	1
206	бы несколько	1	1
207	общения в	1	1
208	телу в	1	1
209	она и	1	1
210	искусства есть	1	1
211	отличие от	7	1
212	одном случае	1	1
213	вопрос о	1	1
214	строф в	1	1
215	членения и	1	1
216	жизни когда	1	1
217	на этом	2	1
218	они не	1	1
219	представляется не	1	1
220	строя и	1	1
221	автору и	1	1
222	человеческое тело	1	1
223	поэт не	1	1
224	или иная	1	1
225	в хх	1	1
226	ее на	1	1
227	его эстетической	3	1
228	стиля в	1	1
229	художественного высказывания	3	1
230	должно быть	1	1
231	если он	1	1
232	картины мира	3	1
233	и который	2	1
234	сводятся к	3	1
235	и вот	3	1
236	говоря и	2	1
237	теории литературы	2	1
238	такого рода	13	1
239	высказывания и	2	1
240	более или	6	1
241	это особенно	1	1
242	когда я	1	1
243	повести гоголя	2	1
244	потому что	3	1
245	в значительной	2	1
246	на первом	1	1
247	хх веке	1	1
248	не сумеет	2	1
249	от первого	1	1
250	того чтобы	5	1
251	же как	1	1
252	или иных	3	1
253	воспринимающее сознание	3	1
254	автора и	2	1
255	можно лишь	1	1
256	ту или	2	1
257	и более	1	1
258	мы имеем	7	1
259	не должно	1	1
260	языкового знака	2	1
261	также и	1	1
262	ту же	1	1
263	это и	2	1
264	для того	5	1
265	совсем не	1	1
266	мира это	1	1
267	три стороны	1	1
268	с вещами	1	1
269	тому как	3	1
270	художественного впечатления	6	1
271	тому что	2	1
272	все то	1	1
273	и дает	1	1
274	литературы как	3	1
275	с одним	1	1
276	организации художественного	6	1
277	его за	1	1
278	в современных	1	1
279	он и	2	1
280	хх века	4	1
281	своем составе	3	1
282	эстетическим объектом	1	1
283	своей ценностной	1	1
284	ними и	2	1
285	не всегда	2	1
286	в своем	7	1
287	или же	1	1
288	ограниченного числа	1	1
289	речи и	4	1
290	тем как	1	1
291	время в	1	1
292	точно и	1	1
293	с языком	3	1
294	из наиболее	1	1
295	тем не	3	1
296	в другой	1	1
297	как это	10	1
298	в художественной	3	1
299	нее как	1	1
300	вследствие этого	2	1
301	становится эстетическим	1	1
302	и лучше	1	1
303	что такое	2	1
304	мы в	2	1
305	с системой	1	1
306	только на	2	1
307	и через	1	1
308	из того	1	1
309	об этом	2	1
310	из существеннейших	1	1
311	вступает в	2	1
312	разница в	1	1
313	никто не	3	1
314	при наличии	2	1
315	и что	4	1
316	этим словом	1	1
317	говоря словами	4	1
318	или иную	2	1
319	в различных	1	1
320	вечного и	1	1
321	можно было	1	1
322	в этой	3	1
323	для данного	1	1
324	в широком	1	1
325	иметь в	1	1
326	в виду	5	1
327	ее восприятия	1	1
328	к другому	2	1
329	быть может	1	1
330	и до	1	1
331	поэтики в	1	1
332	сводится к	12	1
333	интонации и	1	1
334	с их	2	1
335	и есть	1	1
336	для своей	1	1
337	подобно тому	3	1
338	этой внутренней	1	1
339	и вполне	1	1
340	и систематизации	1	1
341	только то	1	1
342	позиции в	1	1
343	не вполне	2	1
344	по себе	2	1
345	понимается как	1	1
346	в совершенно	1	1
347	в истории	1	1
348	они хотят	2	1
349	косвенной речи	1	1
350	звуков в	1	1
351	средств и	1	1
352	по своей	8	1
353	же время	8	1
354	поэтому не	1	1
355	и иных	2	1
356	его в	4	1
357	о литературе	3	1
358	на основе	2	1
359	со всеми	1	1
360	человека и	2	1
361	то или	1	1
362	каждый из	1	1
363	а на	3	1
364	быть это	1	1
365	или иное	1	1
366	однако если	3	1
367	ко второму	1	1
368	жизни он	1	1
369	не было	1	1
370	когда мы	1	1
371	связи с	3	1
372	содержания в	1	1
373	если не	1	1
374	этой точки	2	1
375	что касается	1	1
376	состоит в	22	1
377	не знает	4	1
378	является таким	1	1
379	или в	3	1
380	от одного	1	1
381	статье о	1	1
382	в основе	6	1
383	в организации	3	1
384	и эстетического	1	1
385	ценностная активность	1	1
386	на то	1	1
387	теоретической и	1	1
388	произведения есть	1	1
389	исторической поэтики	1	1
390	же самое	1	1
391	слова могут	1	1
392	речь в	1	1
393	из нее	1	1
394	в отличие	7	1
395	рассчитана на	1	1
396	носителем и	1	1
397	иных жизненных	1	1
398	их в	3	1
399	заключается в	2	1
400	одним из	3	1
401	объекта и	3	1
402	отношение к	7	1
403	мышления но	1	1
404	между людьми	1	1
405	если говорить	1	1
406	впервые в	1	1
407	вещами как	1	1
408	отношений и	1	1
409	сказать что	4	1
410	на себя	2	1
411	в конечном	6	1
412	та или	1	1
413	виду что	1	1
414	него не	1	1
415	или менее	6	1
416	по которым	1	1
417	и находит	1	1
418	а у	1	1
419	в совокупности	1	1
420	сознания но	1	1
421	в строке	3	1
422	конечном счете	6	1
423	в конце	2	1
424	выбор слова	1	1
425	произведения не	1	1
426	обратимся к	1	1
427	одной из	2	1
428	например в	3	1
429	между индивидуальными	1	1
430	свести к	1	1
431	как несомненно	1	1
432	в контексте	3	1
433	протопопа аввакума	1	1
434	отношений здесь	1	1
435	такого понимания	1	1
436	взаимодействия людей	2	1
437	к более	2	1
438	в одной	1	1
439	за которым	1	1
440	долгое время	1	1
441	и как	3	1
442	в понимании	1	1
443	до конца	1	1
444	всякое высказывание	1	1
445	что он	4	1
446	в узком	3	1
447	столь же	3	1
448	в собственном	1	1
449	времени в	2	1
450	звучит один	1	1
451	синтаксической конструкции	1	1
452	что она	2	1
453	языкового сознания	1	1
454	или даже	4	1
455	не существует	1	1
456	всем своем	1	1
457	далеко не	4	1
458	и о	5	1
459	бы быть	1	1
460	является не	1	1
461	в мире	26	1
462	что основной	1	1
463	вместе с	2	1
464	для понимания	2	1
465	же точно	1	1
466	который в	2	1
467	одна из	1	1
468	этого слова	4	1
469	своей полноте	1	1
470	событии художественного	1	1
471	но не	13	1
472	так в	4	1
473	включает в	2	1
474	в лирике	3	1
475	в ряду	1	1
476	но если	1	1
477	здесь и	1	1
478	одно из	1	1
479	с его	6	1
480	иных произведений	1	1
481	ли не	1	1
482	при таком	1	1
483	себя и	2	1
484	особенности в	1	1
485	по поводу	1	1
486	этому содержанию	1	1
487	что говоря	1	1
488	тех или	3	1
489	в такой	1	1
490	выбора все	1	1
491	быть и	2	1
492	в то	9	1
493	общем виде	1	1
494	больше и	1	1
495	с первых	1	1
496	о художественном	1	1
497	отнюдь не	3	1
498	комплексов в	1	1
499	замысла и	1	1
500	понятие о	3	1
501	следует иметь	1	1
502	не объективно	1	1
503	может и	2	1
504	в условиях	1	1
505	полагая что	1	1
506	в себя	5	1
507	художественной формы	1	1
508	воздействия на	2	1
509	в системе	2	1
510	или их	1	1
511	для этого	1	1
512	с ее	4	1
513	художественного творчества	5	1
514	и это	2	1
515	которого только	1	1
516	того же	4	1
517	говорит следующее	1	1
518	в самой	2	1
519	языка наиболее	1	1
520	только о	2	1
521	от него	1	1
522	эта возможность	1	1
523	одно слово	2	1
524	и становится	1	1
525	звука и	1	1
526	лишь одного	1	1
527	к нему	2	1
528	едва ли	1	1
529	и синтаксические	1	1
530	встречаются в	1	1
531	счете к	1	1
532	тем более	2	1
533	искусства в	5	1
534	революции в	1	1
535	как система	2	1
536	особенно в	1	1
537	не входит	2	1
538	внутренней речи	13	1
539	его можно	1	1
540	своего развития	1	1
541	себе а	1	1
542	и особенно	2	1
543	т.д как	1	1
544	еще не	6	1
545	в статье	1	1
