N	2gram	Berdyaev_O	Formalny
396	не нужна	1	1
397	ней не	1	1
398	в заслугу	1	1
399	вносит свои	1	1
400	это лишь	1	1
401	любовь к	2	1
402	отношениях к	1	1
403	вопросу о	1	1
404	в разных	1	1
405	и теории	1	1
406	и был	1	1
407	мысли и	3	1
408	но тем	1	1
409	все новое	1	1
410	и достоевский	1	1
411	одно из	2	1
412	которые будут	1	1
413	иначе чем	1	1
414	всей ее	1	1
415	и против	2	1
416	его лишь	1	1
417	не той	1	1
418	в борьбе	1	1
419	это должно	1	1
420	показывает нам	1	1
421	и проблема	1	1
422	вот что	1	1
423	и сам	1	1
424	из самых	1	1
425	ведет к	1	1
426	одинаково как	1	1
427	существует лишь	1	1
428	приходит в	1	1
429	духа в	1	1
430	и русский	1	1
431	а ее	1	1
432	у достоевского	19	1
433	художник и	1	1
434	и положительно	1	1
435	нем нет	3	1
436	же вопрос	1	1
437	где оно	1	1
438	не таков	1	1
439	нет у	1	1
440	для человека	2	1
441	и дело	1	1
442	что связано	1	1
443	было не	1	1
444	на человека	1	1
445	не существует	1	1
446	всего и	2	1
447	когда будет	1	1
448	из жизни	1	1
449	гениальных и	1	1
450	с трудом	1	1
451	за собой	1	1
452	и когда	1	1
453	людей и	1	1
454	произвол и	1	1
455	вообще но	1	1
456	разных сторон	2	1
457	в раскрытии	1	1
458	не вполне	1	1
459	можно ли	2	1
460	врезывается в	1	1
461	в чистом	1	1
462	всегда и	1	1
463	художественном творчестве	2	1
464	или тебе	1	1
465	самом начале	1	1
466	которого они	1	1
467	жизни как	1	1
468	когда человек	1	1
469	ключ к	1	1
470	не являлось	1	1
471	он создал	1	1
472	с каким-то	1	1
473	не показал	1	1
474	образе в	1	1
475	что все	2	1
476	трагедии и	1	1
477	как будто	1	1
478	своих художественных	1	1
479	лишь один	1	1
480	но там	1	1
481	л толстого	1	1
482	действительно в	1	1
483	с разных	2	1
484	быть что	1	1
485	ближе к	1	1
486	его собственного	1	1
487	и все-таки	2	1
488	по природе	1	1
489	она и	1	1
490	тем острее	1	1
491	чем на	3	1
492	есть одно	1	1
493	что сама	1	1
494	противоречий и	1	1
495	и противоположное	1	1
496	всегда является	1	1
497	и бесконечно	2	1
498	него также	1	1
499	у него	22	1
500	находятся и	1	1
501	и ценности	1	1
502	с духом	1	1
503	тема о	1	1
504	качества и	1	1
505	во внутренней	1	1
506	чего бы	1	1
507	в пределы	1	1
508	его жизни	1	1
509	больше всего	1	1
510	связанным с	1	1
511	себе и	1	1
512	связанная с	1	1
513	что их	1	1
514	в противоречии	1	1
515	человека а	2	1
516	собственно в	1	1
517	в русской	3	1
518	для его	1	1
519	разрушения и	1	1
520	что нет	1	1
521	нельзя найти	1	1
522	стремится к	1	1
523	человек его	1	1
524	его творчества	1	1
525	более всего	3	1
526	из романов	1	1
527	для художника	1	1
528	возможен лишь	1	1
529	уже указывали	1	1
530	всегда дана	1	1
531	достоевский и	1	1
532	проникнуть в	1	1
533	по своей	1	1
534	этот период	1	1
535	что во	1	1
536	и никогда	2	1
537	и каждый	1	1
538	о его	5	1
539	было дано	1	1
540	что только	1	1
541	был в	1	1
542	но ничего	1	1
543	лишь путем	1	1
544	ее внутреннее	1	1
545	лишь его	1	1
546	лишь по	1	1
547	для многих	1	1
548	и гармонии	1	1
549	все основные	1	1
550	одном месте	1	1
551	а потому	1	1
552	е от	1	1
553	быт не	1	1
554	судьба его	1	1
555	он что	1	1
556	самой жизни	1	1
557	темой о	1	1
558	интерес к	1	1
559	он лишь	3	1
560	потребность в	2	1
561	психологии и	1	1
562	и делают	1	1
563	самим собой	1	1
564	что у	2	1
565	возможности и	1	1
566	состоит из	1	1
567	полемики против	1	1
568	сравнению с	1	1
569	к которой	1	1
570	нет ничего	7	1
571	рассказ ведется	1	1
572	и состоит	1	1
573	его менее	1	1
574	не имеют	1	1
575	это за	3	1
576	по сравнению	1	1
577	это все	1	1
578	быть не	1	1
579	проник в	1	1
580	из которой	1	1
581	этот случай	1	1
582	с которой	2	1
583	и больше	1	1
584	которую он	2	1
585	нет никакой	1	1
586	а те	1	1
587	он весь	2	1
588	в творчестве	5	1
589	движении и	1	1
590	и там	2	1
591	самой природе	1	1
592	и раньше	1	1
593	этого только	1	1
594	мысли не	1	1
595	которой может	1	1
596	уже с	1	1
597	знаменательно что	1	1
598	и противоречия	1	1
599	только одно	3	1
600	мир в	1	1
601	того как	1	1
602	эта не	1	1
603	этого она	1	1
604	других его	1	1
605	ведь может	1	1
606	чего не	1	1
607	и судьбу	1	1
608	а это	1	1
609	из путей	1	1
610	сказать про	1	1
611	и тут	1	1
612	уже сам	1	1
613	видеть в	1	1
614	бытие и	1	1
615	чтобы то	1	1
616	существенны и	1	1
617	себе что	1	1
618	этой отрицательной	1	1
619	самой последней	2	1
620	всегда есть	4	1
621	их взаимоотношения	1	1
622	бы признать	1	1
623	душе не	1	1
624	с той	1	1
625	так часто	1	1
626	пределы формы	1	1
627	он глубоко	1	1
628	есть уже	1	1
629	двойственность в	1	1
630	не стал	1	1
631	это так	1	1
632	не все	2	1
633	существенное содержание	1	1
634	он указывает	1	1
635	и природной	1	1
636	это конечно	1	1
637	и человека	1	1
638	стремиться к	1	1
639	указывали на	1	1
640	формы он	1	1
641	случае если	1	1
642	одну особенность	1	1
643	одной этой	1	1
644	и остаются	1	1
645	также и	1	1
646	что нужно	1	1
647	это для	1	1
648	связана с	1	1
649	всего его	1	1
650	для русского	1	1
651	слишком многое	1	1
652	в пустыне	1	1
653	человека с	1	1
654	не исчезает	3	1
655	у нее	1	1
656	и всех	1	1
657	не уничтожает	1	1
658	была поставлена	1	1
659	и мыслей	1	1
660	почему не	1	1
661	ведется от	1	1
662	бы еще	1	1
663	им для	1	1
664	для своих	1	1
665	все еще	2	1
666	жизни их	1	1
667	интереса к	1	1
668	формы все	1	1
669	бы от	1	1
670	ни был	1	1
671	это подтверждается	1	1
672	к каким	1	1
