N	3gram	Tiupa_Disk	Psycholo
376	произведение искусства не	1	1
377	том что с	1	1
378	перед ним он	1	1
379	разграничение этих двух	1	1
380	на первый взгляд	1	1
381	от басни и	1	1
382	по мнению автора	1	1
383	всего выступают в	1	1
384	а не за	1	1
385	это отнюдь не	2	1
386	присоединиться к его	1	1
387	то что они	1	1
388	тому как мы	1	1
389	и не только	2	1
390	нельзя как нельзя	1	1
391	а нередко и	1	1
392	к себе и	1	1
393	в истории литературы	1	1
