N	2gram	Kanaev_Sov	Mirosoze
408	не более	1	1
409	мы говорим	1	1
410	можно назвать	2	1
411	для каждого	1	1
412	что такой	1	1
413	он осуществляет	1	1
414	и красота	1	1
415	зависимости от	4	1
416	на их	2	1
417	ничего общего	1	1
418	все они	1	1
419	чем же	1	1
420	не является	1	1
421	не допускает	1	1
422	жизни оно	1	1
423	быть при	1	1
424	то и	2	1
425	а может	1	1
426	и вся	1	1
427	совпадают с	1	1
428	в которую	2	1
429	силы в	1	1
430	и наиболее	1	1
431	целостность целостность	1	1
432	в совершенно	1	1
433	же время	1	1
434	человек занимает	1	1
435	в обоих	1	1
436	происходит у	1	1
437	как например	1	1
438	как будет	1	1
439	несмотря на	1	1
440	на которые	1	1
441	в отличие	2	1
442	на две	3	1
443	тем же	2	1
444	только одна	6	1
445	одной из	1	1
446	же путем	1	1
447	живой организм	5	1
448	и значит	1	1
449	не из	1	1
450	только о	1	1
451	точку зрения	4	1
452	во внутреннем	1	1
453	могли быть	1	1
454	жизни но	1	1
455	в свое	1	1
456	то они	1	1
457	этот свой	1	1
458	значение в	2	1
459	и иначе	1	1
460	ее на	2	1
461	в первый	1	1
462	только своей	1	1
463	мы имеем	1	1
464	мира но	1	1
465	этот был	1	1
466	они одинаково	1	1
467	а это	1	1
468	будет ли	1	1
469	такое же	1	1
470	на которой	1	1
471	существенно отличается	1	1
472	а все	3	1
473	представлять себе	2	1
474	в виде	2	1
475	а на	2	1
476	и первое	1	1
477	а о	1	1
478	по существу	1	1
479	в ту	1	1
480	начала должны	1	1
481	уже совершенно	1	1
482	ее даже	1	1
483	с последней	1	1
484	первый период	2	1
485	так в	1	1
486	и могут	1	1
487	с другом	2	1
488	вовсе не	1	1
489	мысли в	1	1
490	мере в	1	1
491	этих двух	2	1
492	но этим	1	1
493	искать в	1	1
494	может иметь	2	1
495	том случае	1	1
496	на них	1	1
497	значение но	1	1
498	это за	2	1
499	в течение	1	1
500	и может	1	1
501	к области	1	1
502	каждый раз	6	1
503	человеком человек	1	1
504	факт что	1	1
505	на друга	1	1
506	без остатка	1	1
507	или как	1	1
508	первые два	2	1
509	идет о	1	1
510	на это	1	1
511	одного из	1	1
512	или так	1	1
513	же в	1	1
514	с поразительной	1	1
515	и прежде	1	1
516	говорить об	2	1
517	в области	3	1
518	же это	4	1
519	которая и	1	1
520	что вся	1	1
521	в целом	4	1
522	он с	1	1
523	и наконец	5	1
