N	2gram	Savitsky_P	TeoriaLi
135	если в	2	2
136	и который	1	2
137	жить и	1	2
138	а затем	1	2
139	существующее в	1	2
140	о в	5	2
141	но чтобы	1	2
142	по себе	4	2
143	в них	2	2
144	может оказаться	1	2
145	заключается в	3	2
146	к более	1	2
147	из тех	1	2
148	в одно	1	2
149	с ними	3	2
150	вместе с	1	2
151	не вполне	1	2
152	в известном	1	2
153	в каком	1	2
154	казалось бы	1	2
155	и политического	4	2
156	восходит к	1	2
157	в значительной	2	2
158	и иных	1	2
159	на основе	1	2
160	только на	1	2
161	и это	2	2
162	и наоборот	1	2
163	видим в	1	2
164	если мы	1	2
165	тем же	1	2
166	не просто	1	2
167	но на	1	2
168	в формах	1	2
169	все это	2	2
170	что и	1	2
171	тем в	1	2
172	xix века	6	2
173	мире можно	1	2
174	к жизни	1	2
175	к чему	2	2
176	этих двух	1	2
177	на себя	1	2
178	я и	3	2
179	в какой	1	2
180	на фоне	1	2
181	должен быть	1	2
182	тем более	2	2
183	могли бы	1	2
184	но как	1	2
185	человеческого бытия	1	2
186	этом мире	1	2
187	и весьма	2	2
188	есть как	1	2
189	одно и	1	2
190	в большинстве	1	2
191	так же	1	2
192	числе и	1	2
193	известном смысле	1	2
194	и особенно	1	2
195	может и	2	2
196	о и	2	2
197	мира с	2	2
198	к деградации	1	1
199	является в	2	1
200	как преодоление	1	1
201	можно говорить	1	1
202	такова же	1	1
203	также что	1	1
204	в случаях	1	1
205	тех кто	4	1
206	исторического бытия	1	1
207	живет в	1	1
208	чем глубже	1	1
209	и конца	1	1
210	теперь в	2	1
211	в которую	2	1
212	есть для	1	1
213	вопросу о	1	1
214	представляют собой	1	1
215	что это	1	1
216	которой в	1	1
217	никак не	2	1
218	какой бы	1	1
219	те же	1	1
220	не как	1	1
221	в результате	1	1
222	быть может	6	1
223	с собой	1	1
224	и само	1	1
225	сравнении с	3	1
226	их не	1	1
227	чтобы в	1	1
228	на каждого	1	1
229	в собственном	1	1
230	в наших	1	1
231	любовь и	1	1
232	мысль о	2	1
233	в соотношении	1	1
234	именно о	1	1
235	и пусть	2	1
236	если он	1	1
237	и другим	1	1
238	с тем	3	1
239	что по	1	1
240	все же	1	1
241	и право	2	1
242	ибо к	1	1
243	не имеет	1	1
244	в сравнении	3	1
245	да и	2	1
246	в историческом	1	1
247	о котором	1	1
248	в это	1	1
249	на каждом	1	1
250	будущее в	1	1
251	выступает как	1	1
252	с этим	2	1
253	своем значении	2	1
254	и я	1	1
255	облечена в	1	1
256	полноте и	1	1
257	в котором	4	1
258	и частной	1	1
259	осуществляется в	2	1
260	и пр	5	1
261	вопрос о	1	1
262	что явление	1	1
263	более чем	2	1
264	о явлениях	1	1
265	смерти но	1	1
266	связана с	1	1
267	единства в	1	1
268	только мы	1	1
269	в отдельности	1	1
270	во многих	1	1
271	время в	2	1
272	с которой	1	1
273	что из	2	1
274	различной природы	1	1
275	и теперь	1	1
276	и вся	1	1
277	духовного существа	1	1
278	не об	1	1
279	в различных	1	1
280	на основании	1	1
281	одно из	1	1
282	в мир	1	1
283	ни были	1	1
284	к сфере	1	1
285	явлена в	1	1
286	в истории	1	1
287	это имеет	1	1
288	каждый из	1	1
289	над собой	1	1
290	было и	1	1
291	всего что	1	1
292	в прошлом	1	1
293	духовный опыт	1	1
294	к ним	1	1
295	настоящее время	1	1
296	отдельности и	1	1
297	в реальной	1	1
298	в сфере	2	1
299	она может	1	1
300	духа и	2	1
301	смысле не	1	1
302	отношения в	1	1
303	что все	1	1
304	входят в	1	1
305	к миру	1	1
306	и достоевского	2	1
307	одна из	2	1
308	реальность и	2	1
309	не два	1	1
310	культуры и	1	1
311	к предмету	1	1
312	друг друга	1	1
313	большей степени	4	1
314	как явление	1	1
315	в настоящее	1	1
316	из них	2	1
317	тот же	3	1
318	друг другу	2	1
319	но два	1	1
320	не входят	1	1
321	в перспективе	2	1
322	представить себе	1	1
323	русской культуре	1	1
324	мы видим	1	1
325	это сфера	1	1
326	видения в	1	1
327	при сохранении	1	1
328	многих других	1	1
329	они не	1	1
330	может не	1	1
331	должно быть	2	1
332	обе эти	1	1
333	они едины	1	1
334	у каждого	1	1
335	начала и	2	1
336	бытия не	1	1
337	мире в	1	1
338	подчеркнуть что	1	1
339	xix веке	2	1
340	для нас	2	1
341	и через	1	1
342	одновременно и	1	1
343	и е	4	1
344	иными словами	1	1
345	наш век	1	1
346	сколько бы	2	1
347	весь мир	1	1
348	в русском	2	1
349	сознания к	1	1
350	что составляет	1	1
351	не было	2	1
352	и более	1	1
353	что его	1	1
354	и где	1	1
355	на нее	1	1
356	которое в	2	1
357	что не	1	1
358	в бытии	1	1
359	xviii века	1	1
360	или иная	1	1
361	мнения о	1	1
362	мира а	1	1
363	и без	3	1
364	также в	1	1
365	большинстве случаев	1	1
366	не есть	1	1
367	между прочим	2	1
368	в ряду	2	1
369	ли не	1	1
370	в условиях	1	1
371	точек зрения	2	1
372	особенно в	1	1
373	при виде	1	1
374	связаны с	1	1
375	же как	1	1
376	и мир	1	1
377	в каждом	1	1
378	полной мере	2	1
379	перед тем	1	1
380	что от	1	1
381	только к	1	1
382	в полной	2	1
383	как ни	1	1
384	не означает	1	1
385	эти последние	1	1
386	поэтики в	1	1
387	и жизненной	1	1
388	под покровом	1	1
389	окружающей их	1	1
390	она не	1	1
391	ему на	1	1
392	собою как	1	1
393	не более	1	1
394	так называемые	2	1
395	говорить об	1	1
396	в развитии	1	1
397	именно потому	1	1
398	полноты и	1	1
399	в последние	2	1
400	не могла	1	1
401	заключает в	2	1
402	тем и	1	1
403	в европейском	1	1
404	или его	1	1
405	стороны и	2	1
406	только то	1	1
407	в xix	2	1
408	также и	1	1
409	в иных	1	1
410	этом не	1	1
411	было бы	6	1
412	из нее	1	1
413	та или	1	1
414	и ясный	1	1
415	это ощущение	1	1
416	и есть	2	1
417	с которым	1	1
418	теми же	1	1
419	же в	4	1
420	иной раз	1	1
421	на территории	1	1
422	на то	1	1
423	бы ни	2	1
424	и только	1	1
425	душе своей	1	1
426	для этого	1	1
427	технических средств	1	1
428	являются наиболее	1	1
429	есть не	2	1
430	в е	2	1
431	в статье	2	1
