N	2gram	Berdyaev_O	PoTuStor
226	он прежде	2	1
227	него из	1	1
228	и мир	1	1
229	нет ничего	7	1
230	ко всему	1	1
231	с чего	2	1
232	его и	1	1
233	во внешнем	1	1
234	нужно отметить	1	1
235	человека в	11	1
236	он был	8	1
237	для его	1	1
238	а с	1	1
239	всего и	2	1
240	отличается от	1	1
241	вопрос о	10	1
242	характер и	1	1
243	не имеют	1	1
244	даже и	2	1
245	она не	1	1
246	его не	2	1
247	того чтобы	4	1
248	и ни	2	1
249	ничто не	2	1
250	в другом	2	1
251	для того	3	1
252	но всегда	1	1
253	быть не	1	1
254	в ней	1	1
255	у самого	1	1
256	человека как	1	1
257	в отношениях	1	1
258	человека все	2	1
259	от всех	1	1
260	когда он	3	1
261	одним словом	1	1
262	а не	11	1
263	в которую	1	1
264	в человеческом	2	1
265	и что	1	1
266	для человека	2	1
267	к чему	1	1
268	человеческой психики	1	1
269	можно ли	2	1
270	и острота	1	1
271	от того	1	1
272	в форму	1	1
273	чего же	1	1
274	человека и	10	1
275	отметить что	1	1
276	лишь в	7	1
277	истории и	1	1
278	что же	2	1
279	среди них	1	1
280	что для	2	1
281	когда человек	1	1
282	что есть	2	1
283	в самую	4	1
284	но нет	1	1
285	для нашего	1	1
286	бы он	1	1
287	о его	5	1
288	ничего но	1	1
289	с чем	2	1
290	все время	1	1
291	с духом	1	1
292	необходим для	1	1
293	что она	1	1
294	и прежде	1	1
295	одна из	1	1
296	любви к	1	1
297	в свой	1	1
298	бы ни	1	1
299	вовлекающее в	2	1
300	друг с	1	1
301	человек не	7	1
302	растворяется в	1	1
303	из него	1	1
304	него что	1	1
305	не случайно	1	1
306	ничего не	2	1
307	и самый	1	1
308	единство в	1	1
309	к нему	3	1
