N	2gram	Vinokur_Vv	Dialekti
132	мы уже	2	15
133	не мешает	1	15
134	самом деле	7	15
135	хотя и	5	15
136	в виде	4	15
137	также и	20	15
138	быть и	2	15
139	и о	1	15
140	на то	2	15
141	или нет	2	14
142	а именно	6	14
143	есть то	1	14
144	даже и	4	14
145	с ним	1	14
146	что тут	1	14
147	не было	2	14
148	д и	1	14
149	и ее	4	14
150	ни с	2	14
151	таком случае	1	14
152	жизнь и	1	14
153	и потому	2	14
154	же это	2	14
155	и к	3	13
156	говорит о	3	13
157	другой стороны	5	13
158	отличается от	1	13
159	что именно	2	13
160	не то	1	13
161	что они	2	13
162	и та	1	13
163	в силу	3	13
164	но в	10	13
165	мы находим	1	13
166	в ней	3	13
167	идея и	1	13
168	именно в	8	12
169	с этим	3	12
170	вопрос о	10	12
171	вещей и	1	12
172	нет никакого	1	12
173	но как	2	12
174	но тогда	1	12
175	но не	9	12
176	могут быть	6	12
177	иной раз	2	12
178	и стало	1	12
179	никак не	1	12
180	не могут	6	12
181	еще не	4	12
182	и тогда	3	12
183	все равно	2	12
184	все эти	3	12
185	тем более	2	12
186	а в	6	12
187	что если	2	11
188	в них	5	11
189	как только	2	11
190	в данном	11	11
191	только на	3	11
192	быть в	5	11
193	и тем	5	11
194	должны быть	1	11
195	из них	4	11
196	тех или	3	11
197	не значит	1	11
198	есть ли	1	11
199	можно только	2	11
200	та же	1	11
201	себе не	1	11
202	мы говорим	3	11
203	от того	3	11
204	мы имеем	4	11
205	или в	1	11
206	есть в	1	11
207	нисколько не	3	11
208	мы должны	2	11
209	только то	1	11
210	во всем	2	10
211	с этой	5	10
212	одно из	5	10
213	в результате	4	10
214	в жизни	1	10
215	к тому	4	10
216	во всяком	5	10
217	только как	7	10
218	для того	23	10
219	мы видим	1	10
220	то или	1	10
221	в ее	11	10
222	не больше	1	10
223	от этого	5	10
224	себе и	2	10
225	только потому	1	10
226	и для	4	10
227	если же	2	10
228	или иное	1	10
229	чтобы не	1	10
230	за пределы	1	10
231	оно не	1	10
232	времени и	4	10
233	наука не	2	10
234	если мы	1	10
235	история есть	1	10
236	только о	2	10
237	в его	12	10
238	возможно только	1	10
239	в их	12	10
240	это было	1	10
241	е в	4	10
242	в частности	3	10
243	и можно	1	10
244	как мы	11	10
245	бытия и	1	10
246	как будто	3	10
247	может и	1	10
248	и уже	3	10
249	история и	3	9
250	или по	1	9
251	при этом	3	9
252	тому что	2	9
253	случае не	2	9
254	не как	3	9
255	в этих	3	9
256	и на	3	9
257	в котором	4	9
258	в одном	4	9
259	превращается в	1	9
260	мы можем	2	9
261	же как	3	9
262	бы в	2	9
263	на этом	3	9
264	общего с	1	9
265	утверждать что	1	9
266	подобно тому	2	9
267	с ними	1	9
268	как о	4	9
269	и более	1	9
270	той же	4	9
271	и от	1	9
272	или иной	3	9
273	а если	2	9
274	имеется в	1	9
275	явно что	1	9
276	как он	6	9
277	лишь как	2	9
278	в истории	9	9
279	та или	1	9
280	тому как	2	9
281	вещи и	1	8
282	в разных	7	8
283	и говорить	1	8
284	в отношении	3	8
285	вопрос об	1	8
286	но все	4	8
287	теперь мы	1	8
288	в дальнейшем	2	8
289	вот почему	3	8
290	уже о	1	8
291	уже и	10	8
292	то как	1	8
293	всегда и	1	8
294	нет и	1	8
295	все время	2	8
296	себя в	2	8
297	с одной	4	8
298	или иная	1	8
299	не будет	1	8
300	этом смысле	11	8
301	в этой	3	8
302	что есть	1	8
303	или иначе	4	8
304	в одной	1	8
305	один из	6	8
306	и из	2	8
307	науки и	5	8
308	не на	1	8
309	как не	1	8
310	когда мы	2	8
311	у меня	1	8
312	при помощи	3	8
313	у нас	2	8
314	на самом	1	8
315	бы и	3	8
316	как нечто	8	8
317	и без	2	8
318	того или	1	8
319	бы только	1	8
320	все что	1	7
321	говоря уже	2	7
322	как она	4	7
323	е не	2	7
324	тем что	6	7
325	зависимости от	3	7
326	но он	1	7
327	не всегда	1	7
328	об отношении	3	7
329	точно так	2	7
330	как на	12	7
331	он сам	3	7
332	от себя	3	7
333	что существует	1	7
334	что уже	3	7
335	и сама	2	7
336	это конечно	1	7
337	связи с	3	7
338	во внимание	3	7
339	но для	1	7
340	в конце	3	7
341	в связи	2	7
342	а только	8	7
343	то ни	1	7
344	с какой	1	7
345	истории и	4	7
346	и ничего	1	7
347	и при	2	7
348	из которых	3	7
349	так или	4	7
350	заключается в	4	7
351	отношения к	1	7
352	как в	3	7
353	со стороны	16	7
354	в сравнении	1	7
355	и об	1	7
356	не потому	1	7
357	или вообще	5	7
358	что здесь	2	7
359	без всякого	1	7
360	он должен	1	7
361	и никакого	1	7
362	очень много	1	7
363	понимать как	1	7
364	что этот	1	7
365	и я	1	7
366	не говоря	2	7
367	из этих	9	7
368	так чтобы	3	7
369	нуждается в	3	7
370	можно и	1	6
371	о чем	4	6
372	более или	1	6
373	в природе	1	6
374	уже в	5	6
375	нем есть	1	6
376	одной стороны	4	6
377	в другом	3	6
378	в себя	1	6
379	в зависимости	3	6
380	одна из	3	6
381	во всех	2	6
382	она и	1	6
383	в которой	1	6
384	быть только	1	6
385	я и	1	6
386	именно как	3	6
387	можно было	8	6
388	того кто	1	6
389	с полной	2	6
390	с тем	6	6
391	что нет	2	6
392	вместе с	6	6
393	может не	1	6
394	о котором	8	6
395	не наука	1	6
396	еще и	4	6
397	ни к	2	6
398	того чтобы	22	6
399	не быть	1	6
400	на основании	5	6
401	мог бы	2	6
402	всяком случае	5	6
403	для него	1	6
404	природы и	2	6
405	они не	1	6
406	того как	3	6
407	сравнении с	1	6
408	ее в	1	6
409	то мы	1	6
410	с их	5	6
411	знания и	3	6
412	но с	5	6
413	по существу	2	6
414	вообще не	3	6
415	чтобы быть	1	6
416	по своему	5	6
417	его в	6	6
418	или менее	1	6
419	мере в	6	6
420	показывает что	1	6
421	это как	1	6
422	только так	2	6
423	дело не	5	6
424	не с	3	6
425	в науке	1	6
426	стороны и	3	6
427	и часто	1	6
428	идет речь	3	6
429	этой точки	2	6
430	отношение к	3	6
431	и прежде	1	6
432	для этого	3	6
433	и совершенно	2	6
434	в той	10	5
435	а есть	1	5
436	до сих	7	5
437	в своих	2	5
438	именно о	1	5
439	если он	1	5
440	например в	2	5
441	что по	1	5
442	даже просто	1	5
443	в одно	1	5
444	тем или	2	5
445	и истории	2	5
446	речь идет	2	5
447	или другим	1	5
448	об ее	1	5
449	е о	1	5
450	и той	3	5
451	одной и	2	5
452	может ли	2	5
453	смысле не	1	5
454	к этому	3	5
455	и становится	1	5
456	гораздо более	3	5
457	все в	1	5
458	что у	1	5
459	после этого	2	5
460	в качестве	8	5
461	тому же	1	5
462	есть еще	3	5
463	что его	1	5
464	самый принцип	1	5
465	на другую	1	5
466	и надо	1	5
467	в свете	1	5
468	и у	1	5
469	сих пор	7	5
470	действительности и	1	5
471	ли это	1	5
472	также не	1	5
473	не раз	1	5
474	чаще всего	2	5
475	же мы	1	5
476	независимо от	5	5
477	одного и	2	5
478	были бы	1	5
479	известно что	1	5
480	почти не	1	5
481	из того	2	5
482	если это	2	5
483	и так	2	5
484	состоит из	1	5
485	том смысле	2	5
486	сравнению с	4	5
487	которая не	1	5
488	это может	2	5
489	сразу и	1	5
490	это понятие	2	5
491	в течение	5	5
492	по сравнению	4	5
493	тех пор	1	5
494	только один	1	5
495	для нее	2	5
496	со всей	3	5
497	отношении к	2	5
498	говорил что	1	5
499	получается что	1	5
500	точку зрения	1	5
501	зависит от	3	5
502	а это	1	5
503	он и	2	5
504	что с	3	5
505	без этого	1	5
506	ведь это	1	5
507	становления и	1	5
508	с той	1	5
509	как целое	3	5
510	и другого	1	5
511	в области	4	5
512	надо было	2	5
513	или как	3	5
514	просто как	1	5
515	конце концов	2	5
516	и объект	1	5
517	что на	1	5
518	в возможности	1	4
519	можно говорить	3	4
520	есть наука	1	4
521	и очень	1	4
522	д но	5	4
523	еще более	1	4
524	самом же	1	4
525	далее в	1	4
526	как они	1	4
527	и самые	1	4
528	жизнь в	1	4
529	из самых	1	4
530	и наука	1	4
531	из всего	1	4
532	представление о	1	4
533	имеет права	1	4
534	в собственном	3	4
535	относиться к	1	4
536	в этот	2	4
537	и этого	3	4
538	и должно	2	4
539	поэтического образа	1	4
540	к ним	1	4
541	уже знаем	2	4
542	и науки	3	4
543	что даже	3	4
544	и искусство	1	4
545	о ней	1	4
546	представить себе	7	4
547	бы то	1	4
548	д все	2	4
549	время и	1	4
550	мы знаем	1	4
551	время не	2	4
552	и нужно	1	4
553	у него	1	4
554	чем собственно	1	4
555	но совершенно	1	4
556	самого по	1	4
557	будто бы	2	4
558	но ведь	4	4
559	есть та	1	4
560	не нужно	2	4
561	что их	1	4
562	тут нет	1	4
563	чтобы понять	4	4
564	что время	2	4
565	в каждом	4	4
566	в нечто	2	4
567	если не	1	4
568	или же	3	4
569	хотя в	2	4
570	и является	1	4
571	из двух	4	4
572	не по	1	4
573	т п	5	4
574	главным образом	1	4
575	а как	5	4
576	а главное	1	4
577	их понимание	1	4
578	а потому	5	4
579	взгляд на	1	4
580	и здесь	3	4
581	как с	1	4
582	это уже	2	4
583	нет вообще	1	4
584	можно назвать	1	4
585	том как	1	4
586	чем же	3	4
587	это только	4	4
588	быть не	1	4
589	для всякого	1	4
590	как например	6	4
591	потому и	1	4
592	заметить что	1	4
593	только одна	1	4
594	у них	2	4
595	смысле что	1	4
596	данном случае	5	4
597	и этим	1	4
598	этом отношении	4	4
599	не содержит	1	4
600	здесь в	1	4
601	них и	2	4
602	что ни	1	4
603	в общем	14	4
604	и эта	1	4
605	в глубине	1	4
606	помнить что	1	4
607	говорят о	1	4
608	но уже	2	4
609	то ясно	1	4
610	на них	1	4
611	что эти	1	4
612	и эти	1	4
613	себе что	3	4
614	совершенно невозможно	1	4
615	человека и	1	4
616	в каких	1	4
617	же самое	3	4
618	говорил о	1	4
619	же в	1	4
620	своим собственным	1	4
621	ведь и	1	4
622	из себя	1	4
623	что было	1	3
624	очевидно что	1	3
625	познания и	2	3
626	мысли и	2	3
627	в некоторых	1	3
628	не бывает	2	3
629	по мере	4	3
630	нет еще	1	3
631	вещей как	1	3
632	в первом	5	3
633	если и	1	3
634	из чего	1	3
635	и требует	2	3
636	ни было	1	3
637	обоих случаях	1	3
638	этой стороны	2	3
639	искусство и	2	3
640	одно время	1	3
641	понятно что	3	3
642	а лишь	1	3
643	не могли	2	3
644	о чем-то	1	3
645	не забудем	1	3
646	д в	2	3
647	могут не	2	3
648	говорит что	1	3
649	явление и	1	3
650	самого начала	1	3
651	от своего	1	3
652	в чистом	1	3
653	возможна ли	1	3
654	есть действительно	2	3
655	в основу	2	3
656	на вещи	2	3
657	без того	1	3
658	во всей	1	3
659	момент в	1	3
660	действительно в	1	3
661	всего в	1	3
662	знания есть	1	3
663	имеем дело	1	3
664	при чем	1	3
665	с другими	1	3
666	не от	1	3
667	как таковым	1	3
668	то она	2	3
669	совершенно ясно	1	3
670	судить о	1	3
671	и именно	13	3
672	и которые	1	3
673	следовательно и	2	3
674	о которых	2	3
675	что наука	1	3
676	это тоже	1	3
677	здесь как	1	3
678	не самый	1	3
679	а с	2	3
680	принять во	2	3
681	от характера	4	3
682	не дает	1	3
683	совсем не	3	3
684	между тем	10	3
685	с наукой	2	3
686	не мог	2	3
687	не приходится	1	3
688	самое что	2	3
689	та которая	1	3
690	она была	2	3
691	культуры и	1	3
692	но есть	1	3
693	с чем	2	3
694	мы теперь	2	3
695	или иного	1	3
696	и чем	2	3
697	понятия и	1	3
698	и сейчас	2	3
699	своего собственного	1	3
700	для себя	1	3
701	на почве	5	3
702	чем больше	2	3
703	особого рода	4	3
704	однако что	1	3
705	и будет	1	3
706	в слове	3	3
707	от его	1	3
708	в которых	6	3
709	своего предмета	2	3
710	чтобы убедиться	1	3
711	непосредственно и	1	3
712	как один	1	3
713	в очень	3	3
714	тех же	1	3
715	как одно	1	3
716	еще на	1	3
717	наукой и	2	3
718	или иных	3	3
719	о своем	1	3
720	ее с	1	3
721	входить в	1	3
722	одной из	4	3
723	и понимания	1	3
724	здесь не	3	3
725	знания но	1	3
726	только с	4	3
727	будет в	2	3
728	тот же	1	3
729	в свое	3	3
730	но на	1	3
731	и которая	1	3
732	для нас	1	3
733	указание на	1	3
734	место в	1	3
735	различия между	1	3
736	как именно	1	3
737	однако не	4	3
738	именно так	1	3
739	истории не	2	3
740	этого не	2	3
741	когда оно	1	3
742	представлять себе	1	3
743	склонность к	1	3
744	в какой	6	3
745	значило бы	1	3
746	к своему	2	3
747	по его	2	3
748	лежит в	2	3
749	чтобы эта	1	3
750	должен быть	4	3
751	ко всему	1	3
752	в разной	2	3
753	с самого	1	3
754	отличие от	4	3
755	на свои	2	3
756	до бесконечности	1	3
757	или иную	1	3
758	ту или	1	3
759	художественного образа	1	3
760	во время	1	3
761	просто не	1	3
762	в свою	2	3
763	искусством и	1	3
764	е по	1	3
765	далеко не	1	3
766	и всегда	1	3
767	лишь в	1	3
768	и многого	1	3
769	что можно	2	3
770	в который	2	3
771	них нет	1	3
772	это можно	1	3
773	это дает	1	3
774	действительно не	1	3
775	и тех	1	3
776	которая имеет	1	3
777	именно это	1	3
778	она действительно	1	3
779	не к	2	3
780	нужно однако	1	2
781	еще раз	2	2
782	если его	1	2
783	их из	1	2
784	здесь именно	1	2
785	выводу что	7	2
786	которые не	2	2
787	которая в	1	2
788	как особое	1	2
789	и имеет	1	2
790	пока мы	1	2
791	эта идея	1	2
792	какими бы	1	2
793	следует что	2	2
794	остановиться на	1	2
795	его от	1	2
796	в изображении	1	2
797	встречается в	1	2
798	в духе	1	2
799	именно он	1	2
800	не предполагает	1	2
801	собственном смысле	3	2
802	и сам	3	2
803	всяком выражении	1	2
804	существуют и	1	2
805	в некотором	1	2
806	том или	2	2
807	меня в	1	2
808	есть совершенно	1	2
809	широком смысле	8	2
810	науки в	6	2
811	связано с	1	2
812	сам же	2	2
813	при всей	2	2
814	перестает быть	1	2
815	ответить на	1	2
816	разная степень	1	2
817	на части	1	2
818	эта связь	1	2
819	он был	1	2
820	своей природе	3	2
821	всего что	1	2
822	не должен	1	2
823	искусства и	2	2
824	говорит об	1	2
825	одной общей	1	2
826	во многих	1	2
827	времени в	3	2
828	из их	1	2
829	цвета и	1	2
830	уже было	2	2
831	нечего и	1	2
832	смысле слова	7	2
833	пока не	2	2
834	о них	2	2
835	указать что	1	2
836	в различных	5	2
837	науки то	2	2
838	а между	2	2
839	науку и	3	2
840	самого понятия	1	2
841	не вполне	4	2
842	как оно	3	2
843	свою очередь	2	2
844	убедиться в	1	2
845	никакой истории	1	2
846	мере не	1	2
847	обратим внимание	2	2
848	объединяются в	1	2
849	еще нет	1	2
850	наряду с	3	2
851	они должны	1	2
852	зрения можно	1	2
853	к которому	1	2
854	понимать в	3	2
855	объект и	1	2
856	она может	1	2
857	всю ее	1	2
858	того есть	1	2
859	нем не	1	2
860	в идеале	2	2
861	и чувства	1	2
862	на котором	2	2
863	в пользу	1	2
864	в системе	1	2
865	превратился в	1	2
866	они только	1	2
867	то о	2	2
868	с первого	1	2
869	сознание но	1	2
870	или иным	2	2
871	ближе к	2	2
872	которую можно	1	2
873	он только	1	2
874	нами не	2	2
875	явления как	1	2
876	как такового	3	2
877	научного анализа	2	2
878	на том	3	2
879	но еще	1	2
880	именно для	1	2
881	и основной	1	2
882	то для	1	2
883	ее можно	1	2
884	мы условились	2	2
885	значит не	1	2
886	заключается вовсе	1	2
887	себе так	1	2
888	все прочие	1	2
889	котором мы	1	2
890	чем в	3	2
891	и других	3	2
892	в полной	1	2
893	на этот	6	2
894	ее от	2	2
895	в идее	1	2
896	которое в	2	2
897	подлинном смысле	1	2
898	не остается	1	2
899	теми или	1	2
900	между ними	3	2
901	человек в	1	2
902	должно было	1	2
903	больше всего	1	2
904	в сторону	1	2
905	достаточно чтобы	1	2
906	а для	1	2
907	вопроса о	1	2
908	науки но	3	2
909	что отношения	1	2
910	но которая	2	2
911	в лучшем	1	2
912	опыт и	1	2
913	себе это	1	2
914	науки а	4	2
915	этой идеи	1	2
916	и собственно	2	2
917	имеет целью	1	2
918	котором уже	1	2
919	но зато	2	2
920	в тех	2	2
921	не могла	1	2
922	а во-вторых	2	2
923	себе есть	1	2
924	сомневаться в	1	2
925	этот вопрос	7	2
926	как некая	1	2
927	с ней	2	2
928	диалектического материализма	1	2
929	как эта	1	2
930	сходство и	1	2
931	разной степени	1	2
932	ни одной	1	2
933	однако в	3	2
934	оба они	1	2
935	и др	2	2
936	образом в	1	2
937	которые были	2	2
938	его можно	2	2
939	в совершенстве	1	2
940	понять что	3	2
941	в подлинном	2	2
942	и самый	1	2
943	на деле	1	2
944	во втором	2	2
945	из возможных	1	2
946	нашего исследования	1	2
947	достоевского в	1	2
948	них в	1	2
949	также что	1	2
950	жизни а	1	2
951	этого и	1	2
952	исторического бытия	1	2
953	и прочих	1	2
954	в фактах	1	2
955	другого рода	2	2
956	но также	16	2
957	и далее	2	2
958	смысле они	1	2
959	природе и	2	2
960	заключается не	1	2
961	в область	1	2
962	от этой	1	2
963	разного рода	1	2
964	к выводу	7	2
965	существует и	1	2
966	находятся в	2	2
967	как предметы	1	2
968	все то	1	2
969	конечно и	1	2
970	что объект	1	2
971	именно оно	2	2
972	вещей в	1	2
973	имеет значение	1	2
974	целое не	1	2
975	понимать не	1	2
976	в точном	1	2
977	содержание и	1	2
978	только такой	1	2
979	в малом	1	2
980	бы уже	1	2
981	она имеет	1	2
982	если принять	1	2
983	оказалось что	2	2
984	знает что	1	2
985	возникает вопрос	2	2
986	слова о	1	2
987	он мог	3	2
988	было у	1	2
989	и многое	1	2
990	от прочих	1	2
991	и заключается	4	2
992	связана с	4	2
993	наконец в	1	2
994	это то	1	2
995	не должно	1	2
996	слово которое	1	2
997	с научной	2	2
998	внимание на	5	2
999	них как	1	2
1000	слова и	1	2
1001	что понятие	1	2
1002	именно на	2	2
1003	воплощается в	1	2
1004	и до	2	2
1005	тогда она	1	2
1006	существует ли	1	2
1007	взгляда на	4	2
1008	в обоих	2	2
1009	свое существование	2	2
1010	который хотя	1	2
1011	на первые	1	2
1012	имеем в	1	2
1013	же только	3	2
1014	но который	1	2
1015	к науке	1	2
1016	ее не	1	2
1017	но от	1	2
1018	или с	1	2
1019	может оказаться	3	2
1020	только при	1	2
1021	совсем другое	1	2
1022	к истории	6	2
1023	не лучше	1	2
1024	из него	2	2
1025	был в	2	2
1026	понять и	1	2
1027	этого термина	3	2
1028	как к	1	2
1029	дает нам	1	2
1030	сознание а	1	2
1031	что обе	2	2
1032	сторон в	1	2
1033	целое и	2	2
1034	что остается	2	2
1035	бы на	1	2
1036	в определенном	1	2
1037	его и	1	2
1038	в соответствующих	2	2
1039	и принципиально	1	2
1040	в каком-нибудь	1	2
1041	на одной	1	2
1042	в широком	7	2
1043	слово в	1	2
1044	качестве примера	1	2
1045	раз в	1	2
1046	осуществляется в	1	2
1047	ко второму	1	2
1048	существует как	1	2
1049	что будет	1	2
1050	на нее	3	2
1051	дело в	5	2
1052	это еще	2	2
1053	даже прямо	1	2
1054	просто и	1	2
1055	с теми	2	2
1056	ни одна	2	2
1057	мы ее	1	2
1058	цель и	1	2
1059	в такой	1	2
1060	не выходя	1	2
1061	в новом	1	2
1062	по самой	2	2
1063	на его	1	2
1064	в каждой	2	2
1065	а так	2	2
1066	руки и	1	2
1067	ему не	1	2
1068	этих двух	2	2
1069	разница между	1	2
1070	человека в	1	2
1071	что каждая	2	2
1072	ее ни	1	2
1073	каждом из	1	2
1074	чистом виде	1	2
1075	нужно сказать	1	2
1076	и воспринимать	1	2
1077	говорим о	1	2
1078	мысли в	1	2
1079	лучшем случае	1	2
1080	для каждой	1	2
1081	как таковые	1	2
1082	можно представить	2	2
1083	факт что	2	2
1084	еще в	1	2
1085	но дело	3	2
1086	это однако	2	2
1087	что идея	1	2
1088	с идеей	1	2
1089	всего то	3	2
1090	одного из	1	2
1091	содержанием и	1	2
1092	что история	6	2
1093	для такого	1	2
1094	выражения в	1	2
1095	только по	3	2
1096	наоборот в	1	2
1097	их можно	1	2
1098	говорим об	1	2
1099	и дальше	1	2
1100	только после	2	2
1101	до такого	1	2
1102	в эпоху	1	2
1103	в целом	5	2
1104	в чисто	4	2
1105	сейчас мы	1	2
1106	можно указать	1	2
1107	мира в	1	2
1108	нечто иное	1	2
1109	в практической	4	1
1110	ничего иного	1	1
1111	новое и	1	1
1112	и другие	2	1
1113	философии и	2	1
1114	такая наука	1	1
1115	главе с	1	1
1116	творчества пушкина	1	1
1117	между двумя	1	1
1118	из сторон	1	1
1119	имея в	1	1
1120	и содержания	1	1
1121	зрения на	1	1
1122	тему о	1	1
1123	хорошо знаем	1	1
1124	почва для	1	1
1125	на почву	2	1
1126	вв в	1	1
1127	сказано о	1	1
1128	знает не	1	1
1129	средних веков	2	1
1130	зрения совершенно	1	1
1131	роль и	1	1
1132	человека можно	1	1
1133	что также	1	1
1134	в применении	7	1
1135	его основные	1	1
1136	момента в	2	1
1137	с вещами	1	1
1138	формы в	1	1
1139	она стала	1	1
1140	к помощи	1	1
1141	так например	6	1
1142	объяснить его	2	1
1143	ее становления	1	1
1144	одна за	1	1
1145	не понимать	1	1
1146	одно дело	2	1
1147	объектов и	1	1
1148	типу знания	1	1
1149	литература но	1	1
1150	существует никакой	1	1
1151	есть продукт	1	1
1152	только одни	1	1
1153	этих понятий	2	1
1154	та область	1	1
1155	чтобы в	1	1
1156	быть названа	1	1
1157	стоит в	2	1
1158	приходим к	5	1
1159	на свой	1	1
1160	и понимать	4	1
1161	и соответствующих	1	1
1162	были только	1	1
1163	чтобы эти	1	1
1164	по их	2	1
1165	и внутри	1	1
1166	каким образом	2	1
1167	как об	9	1
1168	за ним	1	1
1169	научную систему	1	1
1170	но важно	1	1
1171	на связь	1	1
1172	наука а	1	1
1173	между прочим	1	1
1174	коснуться и	1	1
1175	о теории	1	1
1176	данностью и	1	1
1177	давно уже	1	1
1178	чтобы можно	2	1
1179	и творчества	2	1
1180	правда в	1	1
1181	находит себе	3	1
1182	самой идеи	2	1
1183	похож на	1	1
1184	равно не	1	1
1185	духа в	1	1
1186	одновременно и	3	1
1187	подлинный смысл	1	1
1188	это противопоставление	1	1
1189	или ином	2	1
1190	большей или	3	1
1191	другое дело	3	1
1192	е на	1	1
1193	и наукой	1	1
1194	себя не	1	1
1195	он вполне	1	1
1196	к культуре	2	1
1197	этих случаях	2	1
1198	по тому	1	1
1199	не его	1	1
1200	не вмещается	1	1
1201	ли быть	2	1
1202	для исследования	1	1
1203	казалось бы	2	1
1204	их применения	1	1
1205	большей части	2	1
1206	говорится о	1	1
1207	нам не	2	1
1208	только совокупность	1	1
1209	и дело	1	1
1210	нужно знать	2	1
1211	в центр	1	1
1212	факта что	1	1
1213	не прямо	1	1
1214	можно считать	2	1
1215	и такие	1	1
1216	и история	4	1
1217	как та	1	1
1218	направлено на	1	1
1219	руки его	1	1
1220	применении к	6	1
1221	нас и	1	1
1222	известных условиях	1	1
1223	входит в	3	1
1224	мы убеждаемся	1	1
1225	понятия в	2	1
1226	сложности и	1	1
1227	платона и	1	1
1228	трактоваться как	1	1
1229	образом связана	1	1
1230	не признать	4	1
1231	это очевидно	2	1
1232	в самых	1	1
1233	действительность не	1	1
1234	и трудно	1	1
1235	самом своем	2	1
1236	соответствующих научных	1	1
1237	из таких	2	1
1238	случае все	1	1
1239	может еще	1	1
1240	втором случае	1	1
1241	приходит к	1	1
1242	есть такие	1	1
1243	этим не	1	1
1244	разных сторон	1	1
1245	внимания к	2	1
1246	истории по	1	1
1247	рассуждение о	1	1
1248	история этой	1	1
1249	об абсолютной	1	1
1250	отчет в	3	1
1251	в прошлом	2	1
1252	о природе	7	1
1253	именно такого	1	1
1254	на те	1	1
1255	вообще и	3	1
1256	уже более	1	1
1257	просто выражение	1	1
1258	одного от	1	1
1259	том чтобы	6	1
1260	в реальном	1	1
1261	и возможна	1	1
1262	входят в	1	1
1263	не одно	1	1
1264	не похоже	1	1
1265	пока она	1	1
1266	науке о	1	1
1267	ли кто-нибудь	1	1
1268	в реальной	1	1
1269	что содержание	1	1
1270	речь о	1	1
1271	отличается тем	1	1
1272	историю и	2	1
1273	бы ее	2	1
1274	действительность это	1	1
1275	отношении его	1	1
1276	в европе	1	1
1277	здесь идет	1	1
1278	о действительности	1	1
1279	это впрочем	1	1
1280	большей степени	2	1
1281	смысле как	3	1
1282	в заключение	1	1
1283	с разных	1	1
1284	но поскольку	1	1
1285	вся эта	1	1
1286	деле то	1	1
1287	того о	1	1
1288	что об	1	1
1289	в подобных	1	1
1290	он очень	1	1
1291	заинтересована в	1	1
1292	к общему	1	1
1293	понимать что	1	1
1294	то очевидно	1	1
1295	находить и	1	1
1296	человека к	1	1
1297	в научной	2	1
1298	как две	3	1
1299	в принципе	3	1
1300	тот смысл	1	1
1301	а наоборот	1	1
1302	становится то	1	1
1303	после того	2	1
1304	к человеку	1	1
1305	о слове	1	1
1306	жить в	1	1
1307	на язык	1	1
1308	собой в	2	1
1309	от действительности	2	1
1310	искусство в	1	1
1311	отличная от	1	1
1312	время в	2	1
1313	однако задача	1	1
