N	2gram	Bakhtin_fo	VLabPisa
242	да и	4	2
243	хотя и	5	2
244	подчеркнуть что	1	2
245	о чем	4	2
246	не приходится	1	2
247	одном и	1	2
248	после этого	2	2
249	с более	1	2
250	а затем	3	2
251	как у	2	2
252	и через	1	2
253	за эти	1	2
254	для них	3	2
255	не столько	2	2
256	с другими	3	2
257	его от	3	2
258	по себе	3	2
259	частности в	1	2
260	об образе	1	2
261	единого и	1	2
262	в своих	1	2
263	составная часть	1	2
264	и даже	5	2
265	и непосредственно	1	2
266	сюжета и	2	2
267	этой точки	1	2
268	и наконец	6	2
269	этого рода	1	2
270	в которой	3	2
271	не о	2	2
272	и некоторые	1	2
273	всех его	2	2
274	как об	1	2
275	но не	9	2
276	в ней	4	2
277	и познания	1	2
278	включен в	1	2
279	точном смысле	3	2
280	между собою	1	2
281	в жизни	6	2
282	стороны в	1	2
283	в последнем	3	2
284	начинается с	2	2
285	не подлежит	1	2
286	же как	2	2
287	на эти	1	2
288	между прочим	1	2
289	что мы	2	2
290	на этом	2	2
291	другом месте	2	2
292	не вполне	1	2
293	именно этого	1	2
294	что действие	1	2
295	так сказать	14	2
296	только для	2	2
297	бы не	1	2
298	о более	1	2
299	может не	1	2
300	отличается от	1	2
301	на то	1	2
302	в точном	3	2
303	себе и	4	2
304	в чем	3	2
305	числе и	4	2
306	например у	4	2
307	могло бы	1	2
308	но к	2	2
309	сих пор	4	2
310	огромную роль	1	2
311	по его	1	2
312	от различных	2	2
313	от них	1	2
314	еще не	8	2
315	все они	4	2
316	в каждом	2	2
317	во всяком	5	2
318	и потому	4	2
319	понятно что	4	2
320	еще и	3	2
321	до сих	4	2
322	человека в	22	2
323	было в	2	2
324	а как	3	2
325	значит что	2	2
326	в целях	1	2
327	до нас	6	2
328	в течение	2	2
329	всяком случае	1	2
330	важно подчеркнуть	1	2
331	одной стороны	3	2
332	также и	6	2
333	ту же	4	2
334	в другом	2	2
335	не по	1	2
336	не быть	3	2
337	могут не	1	2
338	явления в	2	2
339	из себя	1	2
340	формы и	4	2
341	в образах	1	2
342	и может	2	2
343	лишь в	8	2
344	связана с	1	2
345	каждой из	1	2
346	в системе	1	2
347	должны быть	2	2
348	в различных	2	2
349	несколько примеров	1	2
350	образами и	1	2
351	даже не	2	2
352	стороны и	2	2
353	и сам	2	2
354	действительность в	1	2
355	даже самая	1	2
356	носит в	1	2
357	этому вопросу	2	2
358	искусстве и	4	2
359	и формы	1	2
360	ни одного	1	2
361	он и	1	2
362	к ним	3	2
363	же самое	2	2
364	для проявления	1	2
365	его художественного	1	2
366	начиная с	1	2
367	которые в	2	2
368	и у	8	2
369	они должны	1	2
370	вне его	2	2
371	одной из	3	2
372	в образе	8	2
373	на него	1	2
374	он не	6	2
375	во всей	3	2
376	или иной	4	2
377	в общем	1	2
378	он может	1	2
379	если они	2	2
380	и дальше	1	2
381	этом процессе	1	2
382	он сам	2	2
383	пародия на	1	2
384	в области	1	2
385	что даже	2	2
386	только с	1	2
387	у них	4	2
388	каждый образ	1	2
389	конце концов	1	2
390	чтобы не	1	2
391	этом же	1	2
392	и для	12	2
393	и том	2	2
394	но для	2	2
395	ни с	3	2
396	но в	16	2
397	вплоть до	3	2
398	отдельные элементы	1	1
399	этому типу	1	1
400	в той	5	1
401	сфере в	1	1
402	с которой	2	1
403	в большом	1	1
404	были бы	1	1
405	это на	1	1
406	неотделимы от	1	1
407	об его	1	1
408	то в	2	1
409	на почве	2	1
410	воскресения и	1	1
411	вот эта	1	1
412	события и	1	1
413	что один	1	1
414	в социальном	1	1
415	от него	1	1
416	именно к	1	1
417	и другие	6	1
418	роль играют	1	1
419	этом случае	1	1
420	и составляет	1	1
421	понятий и	1	1
422	смерть и	1	1
423	и то	5	1
424	форм и	1	1
425	ее и	1	1
426	образом и	2	1
427	ни в	9	1
428	мы видим	4	1
429	но на	4	1
430	еще одну	1	1
431	в более	2	1
432	что если	1	1
433	в прямом	1	1
434	не противоречит	1	1
435	таков первый	1	1
436	мы и	4	1
437	появляются и	1	1
438	ее основных	2	1
439	на протяжении	3	1
440	опирается на	2	1
441	а наоборот	1	1
442	со всем	1	1
443	типа как	1	1
444	полноту и	2	1
445	данном случае	2	1
446	действительности также	1	1
447	то есть	42	1
448	и свою	1	1
449	в действии	1	1
450	многообразие и	1	1
451	в поэзии	2	1
452	или только	1	1
453	к этой	1	1
454	и кончая	2	1
455	переходит в	1	1
456	время и	4	1
457	бы например	1	1
458	он только	2	1
459	есть одно	1	1
460	мы не	4	1
461	и имеет	3	1
462	в состоянии	1	1
463	он всегда	2	1
464	с этой	3	1
465	нет например	1	1
466	дело с	1	1
467	нет места	1	1
468	в обычных	1	1
469	еще более	7	1
470	своей социальной	1	1
471	есть для	1	1
472	или ее	1	1
473	несмотря на	1	1
474	из того	1	1
475	и дает	3	1
476	она обычно	2	1
477	и преодоления	1	1
478	не для	3	1
479	проявляется в	1	1
480	роман уже	1	1
481	отклонений и	1	1
482	материал по	1	1
483	формы в	1	1
484	в определенном	3	1
485	это значит	3	1
486	охватить и	1	1
487	с ним	5	1
488	природе и	1	1
489	романа в	7	1
490	кроме того	7	1
491	не являются	3	1
492	это обычно	1	1
493	указанных выше	1	1
494	не как	2	1
495	аналогии с	1	1
496	в частном	1	1
497	мы в	1	1
498	для нас	2	1
499	у гете	2	1
500	следующее эти	1	1
501	п все	1	1
502	в особенно	1	1
503	например с	1	1
504	место для	3	1
505	наконец у	1	1
506	не подлежащих	1	1
507	поэтому же	1	1
508	процесс этот	1	1
509	но что	1	1
510	сложность и	2	1
511	из форм	1	1
512	раскрывается в	1	1
513	вещие сны	2	1
514	нет никакого	1	1
515	исторического развития	1	1
516	бы при	1	1
517	мере и	1	1
518	природу и	1	1
519	у этого	1	1
520	в этих	6	1
521	в русском	1	1
522	быть сведены	1	1
523	и смысл	2	1
524	всей ее	1	1
525	в ином	1	1
526	в виде	1	1
527	к настоящему	2	1
528	исторического романа	1	1
529	не завершается	1	1
530	ее роли	1	1
531	ведь это	2	1
532	в таких	2	1
533	одну и	1	1
534	этим путем	1	1
535	деятельности это	1	1
536	о природе	1	1
537	сами по	2	1
538	если не	3	1
539	в математическом	1	1
540	говорим о	1	1
541	все то	2	1
542	но он	4	1
543	самом деле	2	1
544	так было	1	1
545	помощи которой	1	1
546	в несколько	1	1
547	но все	6	1
548	жизни это	2	1
549	в свои	1	1
550	в классическом	3	1
551	как мыслитель	1	1
552	а также	5	1
553	не обязательно	2	1
554	жизнь в	2	1
555	смысла и	2	1
556	сказал что	1	1
557	что будет	1	1
558	большом количестве	1	1
559	обходится без	1	1
560	даже на	1	1
561	мы говорим	1	1
562	этим и	1	1
563	это состояние	1	1
564	жанров но	1	1
565	и судьбы	1	1
566	ему самому	1	1
567	и все	10	1
568	и раскрыть	2	1
569	по аналогии	2	1
570	объединения их	1	1
571	эти образы	1	1
572	о своей	2	1
573	целый ряд	2	1
574	на себя	2	1
575	зрения на	1	1
576	роман обычно	1	1
577	тем что	4	1
578	от всего	1	1
579	и строится	1	1
580	данного человека	1	1
581	к более	1	1
582	последнем счете	3	1
583	чрезвычайно важно	1	1
584	и непосредственное	1	1
585	качестве одной	1	1
586	то время	4	1
587	ничего и	1	1
588	от реальной	1	1
589	в таком	4	1
590	без всякой	1	1
591	только два	2	1
592	очень много	1	1
593	о судьбе	1	1
594	сама по	1	1
595	между этими	4	1
596	можно назвать	2	1
597	места и	1	1
598	в стороне	2	1
599	для своей	2	1
600	характер этого	1	1
601	поэтов как	1	1
602	в движение	3	1
603	существенно видоизменяются	1	1
604	друг другу	4	1
605	практической жизни	1	1
606	же оно	1	1
607	понятия и	1	1
608	как не	1	1
609	в соответствии	2	1
610	время как	5	1
611	что по	1	1
612	или даже	1	1
613	в научной	1	1
614	это время	8	1
615	и так	2	1
616	как можно	3	1
617	состоит из	1	1
618	ними не	1	1
619	глубокая и	1	1
620	и вместе	1	1
621	эту проблему	1	1
622	покончить с	1	1
623	сил в	1	1
624	как в	10	1
625	и характер	3	1
626	этом свидетельствует	1	1
627	на одном	1	1
628	по своему	3	1
629	них и	2	1
630	себя и	6	1
631	не имеет	5	1
632	значительную роль	1	1
633	между собой	5	1
634	не создает	1	1
635	служит для	1	1
636	почти все	4	1
637	собою в	1	1
638	у романтиков	1	1
639	сравнению с	3	1
640	страсти и	1	1
641	это было	2	1
642	не знала	1	1
643	лежит в	2	1
644	связанный с	1	1
645	различные словесные	1	1
646	с большей	2	1
647	для их	1	1
648	в плоскости	2	1
649	образом у	1	1
650	и это	5	1
651	в каждой	1	1
652	сравнительно небольших	1	1
653	а только	2	1
654	в каком	2	1
655	на своем	1	1
656	очень важную	1	1
657	этих элементов	1	1
658	в единый	1	1
659	разнообразные формы	1	1
660	что тот	1	1
661	авантюрного романа	4	1
662	на себе	1	1
663	др и	1	1
664	что их	1	1
665	и охотно	1	1
666	жизни к	1	1
667	имеют громадное	1	1
668	так при	1	1
669	это самое	1	1
670	героя и	7	1
671	и символов	1	1
672	особенно часто	1	1
673	произведения которое	1	1
674	весь роман	2	1
675	моменты в	2	1
676	той или	3	1
677	чтобы понять	1	1
678	работа по	1	1
679	в дальнейшем	10	1
680	жизнь и	4	1
681	этих формах	1	1
682	нас этот	1	1
683	нет ничего	4	1
684	чтобы покончить	1	1
685	бросается в	1	1
686	и тех	2	1
687	ни к	3	1
688	его и	2	1
689	наконец и	4	1
690	характер этой	1	1
691	совершенно не	3	1
692	ними нет	1	1
693	может иметь	1	1
694	исходя из	1	1
695	на природу	1	1
696	человека так	3	1
697	это с	1	1
698	всего необходимо	4	1
699	на этой	4	1
700	о различных	2	1
701	в данном	4	1
702	не герои	1	1
703	всю его	1	1
704	от других	1	1
705	в основе	9	1
706	вообще в	1	1
707	его развития	1	1
708	тем более	4	1
709	наконец отчетливо	1	1
710	или частично	1	1
711	его таким	1	1
712	была найдена	1	1
713	художественное мышление	1	1
714	что этот	1	1
715	только природу	1	1
716	этой почве	1	1
717	вопрос о	2	1
718	трудового дня	2	1
719	всего человека	1	1
720	тех же	2	1
721	себе все	1	1
722	которой он	3	1
723	около двух	1	1
724	говорил о	1	1
725	к типу	1	1
726	и цельного	1	1
727	темы романа	1	1
728	очень часто	1	1
729	со всех	2	1
730	он был	2	1
731	от природы	3	1
732	это как	1	1
733	собой в	1	1
734	полнее и	1	1
735	как совершенно	1	1
736	есть в	3	1
737	конечно не	7	1
738	а чисто	1	1
739	так называемой	1	1
740	нужно как	1	1
741	был занят	1	1
742	нет даже	1	1
743	входит в	3	1
744	всего этого	3	1
745	нам в	1	1
746	в архиве	1	1
747	наконец в	2	1
748	в нескольких	1	1
749	процесс в	2	1
750	уже в	5	1
751	лежат в	2	1
752	бытия в	1	1
753	по сравнению	3	1
754	неотделимо от	2	1
755	имеет свой	1	1
756	необходимо подчеркнуть	1	1
757	основе этого	2	1
758	в теории	1	1
759	понимаем как	1	1
760	и золотой	1	1
761	это для	1	1
762	друг друга	3	1
763	потому что	11	1
764	в свою	2	1
765	этих идей	1	1
766	и тем	1	1
767	слова и	4	1
768	быть и	4	1
769	романы достоевского	1	1
770	в риме	1	1
771	от всех	2	1
772	состояние а	1	1
773	существенных отклонений	1	1
774	и поэтому	2	1
775	порядке как	1	1
776	в него	2	1
777	плана от	1	1
778	же типу	2	1
779	свойств и	1	1
780	только один	2	1
781	всеми этими	1	1
782	не могло	5	1
783	но она	2	1
784	значение для	3	1
785	только на	3	1
786	дошедших до	1	1
787	д обычно	1	1
788	одно и	4	1
789	на его	1	1
790	есть и	4	1
791	и та	2	1
792	вещь в	1	1
793	хотя в	1	1
794	пор не	1	1
795	и что	1	1
796	и определяет	1	1
797	и миром	1	1
798	типу относятся	1	1
799	дело не	1	1
800	это описание	1	1
801	как если	2	1
802	приходит к	1	1
803	за пределы	1	1
804	плоти и	2	1
805	приступает к	1	1
806	в начале	3	1
807	говоря о	1	1
808	явлений в	1	1
809	еще в	1	1
810	это то	2	1
811	этой жизни	2	1
812	бы уже	1	1
813	ним не	1	1
814	доходит до	1	1
815	и композиционные	1	1
816	историческая и	1	1
817	какого-то особого	1	1
818	и жизни	1	1
819	что еще	1	1
820	в истории	6	1
821	как оно	2	1
822	типы и	2	1
823	уже есть	1	1
824	романа и	4	1
825	знаем не	1	1
826	этой первой	2	1
827	глубину и	1	1
828	это имеет	1	1
829	что из	1	1
830	имеет свои	1	1
831	или как	5	1
832	самого начала	3	1
833	каждый из	2	1
834	и речи	6	1
835	бы совершенно	2	1
836	второму типу	1	1
837	в новое	4	1
838	себе в	1	1
839	свою очередь	1	1
840	на принципиальную	1	1
841	этой схемы	1	1
842	идей которые	1	1
843	нет противоречия	1	1
844	и ту	1	1
845	связанных с	3	1
846	в глаза	3	1
847	строение и	1	1
848	право говорить	1	1
849	и идей	3	1
850	личности и	2	1
851	значение и	7	1
852	имеем в	3	1
853	этого мира	5	1
854	на некоторые	1	1
855	его герои	1	1
856	и идеи	3	1
857	только наиболее	1	1
858	процесс и	1	1
859	и основной	1	1
860	единство и	1	1
861	стиль в	1	1
862	часто приводит	1	1
863	и еще	3	1
864	тот или	1	1
865	отношение к	5	1
866	как мы	19	1
867	целого произведения	1	1
868	со своими	1	1
869	входит как	1	1
870	соответствии с	2	1
871	всего может	1	1
872	и ряд	1	1
873	жизни не	3	1
874	к ней	2	1
875	и явлений	6	1
876	же так	1	1
877	в данной	2	1
878	но по	2	1
879	видим в	1	1
880	это вовсе	1	1
881	что всякий	1	1
882	они всегда	1	1
883	в понимании	1	1
884	но вместе	1	1
885	что во	1	1
886	мы определили	1	1
887	затем в	3	1
888	для такого	1	1
889	бы его	1	1
890	необходимо сделать	1	1
891	образов но	1	1
892	она у	1	1
893	различные бытовые	1	1
894	и во	13	1
895	что есть	1	1
896	особенностей и	1	1
897	их к	3	1
898	бы он	2	1
899	и бытие	1	1
900	благодаря этому	1	1
901	материала в	1	1
902	всех сторон	2	1
903	целого и	2	1
904	новое время	1	1
905	громадное значение	5	1
906	связи между	2	1
907	находится в	3	1
908	уже не	5	1
909	не значит	1	1
910	с положительной	1	1
911	в действительной	2	1
912	своих произведений	1	1
913	разрешал эту	1	1
914	сказать не	1	1
915	роль играет	1	1
916	и явлениями	1	1
917	забывать что	1	1
918	связи со	1	1
919	своей личности	1	1
920	же ночь	1	1
921	причем в	1	1
922	и художественной	1	1
923	на этот	1	1
924	различий в	1	1
925	всего бросается	1	1
926	человека вообще	1	1
927	формы для	3	1
928	не представляют	1	1
929	происходит в	2	1
930	героев это	1	1
931	и других	5	1
932	чаще всего	1	1
933	здесь не	5	1
934	о своих	1	1
935	и непосредственных	1	1
936	материал а	1	1
937	этими двумя	3	1
938	многих его	1	1
939	одного более	1	1
940	или не	2	1
941	является только	1	1
942	даже для	1	1
943	в ту	1	1
944	все для	1	1
945	речи о	1	1
946	связаны с	3	1
947	но это	1	1
948	на различные	2	1
949	классы и	1	1
950	труд в	1	1
951	вопросу и	1	1
952	широко и	1	1
953	эти формы	2	1
954	с ее	7	1
955	не имеющих	1	1
956	также была	1	1
957	из него	1	1
958	из сказанного	1	1
959	во времени	6	1
960	к полному	1	1
961	и особенностей	2	1
962	строго говоря	2	1
963	которой мы	1	1
964	в самой	3	1
965	не был	2	1
966	в какой-то	4	1
967	стороны он	1	1
968	и ни	1	1
969	он должен	2	1
970	характерно что	5	1
971	с реальным	1	1
972	исключительное значение	1	1
973	тому же	2	1
974	что на	3	1
975	проявляются в	1	1
976	в заключение	1	1
977	в совокупности	1	1
978	формы как	1	1
979	мира в	6	1
980	виду что	2	1
981	что должно	1	1
982	не к	2	1
983	и самый	3	1
984	его можно	1	1
985	у которого	1	1
