N	2gram	Vinokur_Ku	VrazhdaK
184	еще раз	2	1
185	можно говорить	4	1
186	и этот	1	1
187	которым он	1	1
188	из которых	3	1
189	вышла в	1	1
190	хочет быть	1	1
191	они не	4	1
192	этот закон	1	1
193	только что	2	1
194	один пример	3	1
195	этот процесс	1	1
196	если в	2	1
197	также что	2	1
198	того как	6	1
199	к этой	3	1
200	ясно почему	1	1
201	в основном	1	1
202	и уж	1	1
203	не сумев	1	1
204	через несколько	1	1
205	еще до	1	1
206	в литературной	1	1
207	их отношениях	1	1
208	дает нам	1	1
209	не хотел	1	1
210	еще более	1	1
211	предположить что	2	1
212	от которого	1	1
213	из всех	1	1
214	другого известного	1	1
215	что это	11	1
216	хотя и	7	1
217	а это	5	1
218	тому назад	1	1
219	что ныне	1	1
220	одному из	1	1
221	с тех	1	1
222	воспоминания о	1	1
223	он и	1	1
224	в ее	2	1
225	целого ряда	1	1
226	только не	1	1
227	того что	11	1
228	прямо в	1	1
229	не выдумано	1	1
230	в недрах	1	1
231	говорит о	1	1
232	продолжал считать	1	1
233	два дня	1	1
234	в качестве	12	1
235	в поэме	1	1
236	нас в	1	1
237	не хочет	2	1
238	прежде всего	14	1
239	далее в	1	1
240	это слово	7	1
241	и индивидуальное	1	1
242	своем дневнике	1	1
243	другой стороны	12	1
244	иными словами	10	1
245	быть может	1	1
246	лет тому	1	1
247	нет ничего	1	1
248	себе не	1	1
249	в этих	5	1
250	но на	1	1
251	так не	1	1
252	в их	3	1
253	о своем	1	1
254	все равно	4	1
255	мы находим	2	1
256	с утверждением	1	1
257	что слово	6	1
258	тому же	2	1
259	за что	1	1
260	но с	2	1
261	первая часть	1	1
262	что поэзия	1	1
263	он уже	1	1
264	крестьян и	1	1
265	в духе	3	1
266	в н	1	1
267	конечно в	1	1
268	такое понимание	1	1
269	же с	1	1
270	этого не	5	1
271	константин леонтьев	1	1
272	и сам	1	1
273	с такими	2	1
274	в одном	4	1
275	августа года	1	1
276	что за	3	1
277	во внимание	1	1
278	не хотят	1	1
279	следует рассматривать	1	1
280	историю той	1	1
281	что о	1	1
282	предполагать что	1	1
283	но не	11	1
284	но вот	3	1
285	но для	4	1
286	за тем	1	1
287	учился в	1	1
288	если это	1	1
289	следует искать	1	1
290	именно в	7	1
291	уже на	3	1
292	жизни и	1	1
293	представление о	3	1
294	действительно были	1	1
295	учиться у	3	1
296	в таком	3	1
297	в процессе	1	1
298	я очень	1	1
299	нам не	5	1
300	в жизни	1	1
301	более что	1	1
302	в числе	2	1
303	мы получаем	2	1
304	как говорит	1	1
305	литературе и	2	1
306	но ведь	3	1
307	правда в	1	1
308	ясно что	7	1
309	как о	2	1
310	также в	1	1
311	равно не	1	1
312	в предисловии	1	1
313	в соответствии	6	1
314	говорить об	1	1
315	этот раз	1	1
316	человек в	1	1
317	несравненно более	1	1
318	вряд ли	5	1
319	эры и	1	1
320	такие же	2	1
321	превращен в	1	1
322	не есть	4	1
323	а их	1	1
324	это время	1	1
325	между прочим	4	1
326	каким-то образом	1	1
327	не дают	1	1
328	живущим за	1	1
329	как в	6	1
330	внимание к	1	1
331	следовательно и	2	1
332	роль в	6	1
333	и надеюсь	1	1
334	ввел в	1	1
335	ли не	4	1
336	по своему	1	1
337	по преимуществу	3	1
338	эту сторону	1	1
339	сразу же	1	1
340	что им	1	1
341	но у	1	1
342	отличается от	2	1
343	да и	5	1
344	только руки	1	1
345	по его	1	1
346	широкое распространение	3	1
347	чувствовал себя	1	1
348	в свете	1	1
349	о котором	4	1
350	не знали	1	1
351	том как	3	1
352	в условиях	1	1
353	это было	2	1
354	которым не	1	1
355	к вопросу	4	1
356	в сторону	2	1
357	не имеет	6	1
358	ничего общего	2	1
359	полагает что	1	1
360	тем не	10	1
361	ведь не	1	1
362	раз и	1	1
363	под влиянием	3	1
364	что как	1	1
365	сих пор	5	1
366	это состояло	1	1
367	и вообще	1	1
368	гораздо больше	1	1
369	совершенно прав	1	1
370	романтизма и	1	1
371	не был	2	1
372	с первого	2	1
373	на них	1	1
374	дневника писателя	1	1
375	с этим	6	1
376	еще один	3	1
377	во всех	1	1
378	нас интересует	1	1
379	до того	2	1
380	у целого	1	1
381	во всяком	8	1
382	только от	1	1
383	в стиле	1	1
384	это и	6	1
385	п и	2	1
386	то он	1	1
387	выражение в	4	1
388	во все	2	1
389	это конечно	2	1
390	было в	2	1
391	бы больше	1	1
392	эти строки	1	1
393	к в	1	1
394	что этот	2	1
395	мне все	1	1
396	к источнику	1	1
397	не хуже	1	1
398	ему нужно	3	1
399	к запискам	1	1
400	ли это	4	1
401	свое место	2	1
402	этой традиции	1	1
403	имеется в	1	1
404	это как	2	1
405	тотчас же	1	1
406	действие в	2	1
407	совпадает с	1	1
408	на той	1	1
409	потому что	40	1
410	не знаю	2	1
411	разногласия и	1	1
412	также и	7	1
413	совсем не	1	1
414	именно этот	3	1
415	так называемую	1	1
416	нельзя не	1	1
417	только об	1	1
418	только как	3	1
419	ряда других	1	1
420	не всегда	4	1
421	начал писать	1	1
422	тех пор	2	1
423	к своей	1	1
424	в ответ	1	1
425	он стал	1	1
426	позволяет нам	1	1
427	в развитии	1	1
428	быть и	1	1
429	во второй	1	1
430	и общим	1	1
431	с помощью	12	1
432	в частности	6	1
433	не будет	1	1
434	из своего	1	1
435	но зато	2	1
436	нужно было	3	1
437	не могло	1	1
438	но они	1	1
439	и их	2	1
440	говорить о	5	1
441	не с	4	1
442	что эта	1	1
443	одно и	1	1
444	отношении к	1	1
445	всех этих	4	1
446	забудем что	1	1
447	этот блестящий	1	1
448	ни тот	1	1
449	точно так	4	1
450	как он	1	1
451	один раз	1	1
452	не могла	1	1
453	в форме	3	1
454	вслед за	1	1
455	б в	1	1
456	этот факт	1	1
457	человек который	1	1
458	этом смысле	8	1
459	тем самым	5	1
460	это влияние	1	1
461	состояло в	1	1
462	взгляд совершенно	1	1
463	что ее	1	1
464	можно найти	1	1
465	от того	5	1
466	вы не	1	1
467	в каком	6	1
468	каждый из	1	1
469	в москве	2	1
470	свою очередь	4	1
471	указания на	3	1
472	идет о	3	1
473	без преувеличения	1	1
474	с другой	14	1
475	тот ни	1	1
476	было бы	28	1
477	как эта	1	1
478	это же	1	1
479	всего то	1	1
480	одним лишь	1	1
481	вопросу о	4	1
482	же только	1	1
483	же на	1	1
484	что же	11	1
485	я думаю	1	1
486	не забудем	1	1
487	вторая часть	1	1
488	или вообще	1	1
489	среди них	1	1
490	как на	4	1
491	соответствии с	5	1
492	себя в	1	1
493	силу которой	1	1
494	ее не	1	1
495	однако в	2	1
496	выразилось в	1	1
497	нем можно	1	1
498	что для	3	1
499	а вот	1	1
500	партии и	1	1
501	той же	5	1
502	заключается в	3	1
503	с пушкиным	1	1
504	говорилось выше	1	1
505	как правило	2	1
506	могут быть	5	1
507	на пороге	1	1
508	не имел	1	1
509	сам в	1	1
510	за него	1	1
511	это можно	1	1
512	узнает в	1	1
513	до конца	3	1
514	к которому	3	1
515	пишущий эти	1	1
516	и раньше	1	1
517	это дает	2	1
518	во многих	3	1
519	что только	2	1
520	был в	2	1
521	есть по	1	1
522	и от	2	1
523	и есть	3	1
524	тем чтобы	1	1
525	и гораздо	1	1
526	в силу	16	1
527	на этот	4	1
528	по крайней	11	1
529	такой же	1	1
530	но я	1	1
531	есть все	1	1
532	в №	1	1
533	тем это	1	1
534	не все	4	1
535	от них	1	1
536	этом отношении	8	1
537	к книге	1	1
538	а следовательно	2	1
539	же это	2	1
540	каким был	1	1
541	всяком случае	8	1
542	конце концов	3	1
543	независимо от	1	1
544	из него	1	1
545	ни другой	1	1
546	бы в	8	1
547	у вас	1	1
548	не просто	7	1
549	того же	6	1
550	надеюсь что	1	1
551	только о	3	1
552	в целом	5	1
553	крайней мере	11	1
554	едва ли	1	1
555	одного и	2	1
556	в известной	1	1
557	ничего не	6	1
558	но нас	1	1
559	как общее	1	1
560	доказывает что	2	1
561	человека но	1	1
562	к нему	1	1
563	более того	2	1
564	в подобных	1	1
565	сам этот	1	1
