N	3gram	Vinokur_St	Freidism
166	во многих отношениях	1	1
167	данном случае в	2	1
168	в одной из	3	1
169	каких бы то	1	1
170	ничего общего с	3	1
171	общего с этим	1	1
172	в нем может	1	1
173	а между тем	2	1
174	и думаю что	1	1
175	как в самом	1	1
176	дело в том	7	1
177	иметь в виду	2	1
178	а есть только	1	1
179	ответ на этот	1	1
180	одно и то	1	1
181	он не понял	1	1
182	имея в виду	1	1
183	в основе этой	1	1
184	об этом сам	1	1
185	настолько велико что	1	1
186	так же как	5	1
187	только потому что	2	1
188	смысле этого слова	1	1
189	и таким образом	1	1
190	во всех этих	1	1
191	том что в	4	1
192	потому что оно	1	1
193	как говорит об	1	1
194	и никогда не	1	1
195	всяком случае в	2	1
196	точки зрения его	1	1
197	и в то	1	1
198	не давая себе	1	1
199	всей его жизни	1	1
200	с этим не	1	1
201	не только не	2	1
202	именно в области	1	1
203	но именно в	1	1
204	совершенно независимо от	1	1
205	всяком случае не	2	1
206	так как в	2	1
207	на чем не	2	1
208	нужно сказать что	5	1
209	те противоречия которые	1	1
210	плоть от плоти	1	1
211	деле вовсе не	2	1
212	об этом у	1	1
213	не сомневаюсь что	1	1
214	во второй половине	1	1
215	в наше время	1	1
216	что как раз	2	1
217	что с точки	1	1
218	таким образом этот	1	1
219	в пределах данной	1	1
220	что это не	2	1
221	но все же	3	1
222	и что он	1	1
223	в такой форме	1	1
224	как это делает	1	1
225	нам до сих	1	1
226	себе и в	1	1
227	как в отношении	1	1
228	как бы ни	2	1
229	мысль о возможности	1	1
230	но ведь именно	1	1
231	не то что	1	1
232	но в целом	2	1
233	и в голову	1	1
234	само собою разумеется	2	1
235	говорит об этом	2	1
236	при таких условиях	1	1
237	по своему идеологическому	1	1
238	можно было бы	8	1
239	того чтобы получить	1	1
240	в настоящее время	2	1
241	несколько слов о	1	1
242	то ни стало	1	1
