N	3gram	Bakhtin_fo	Myslijsy
290	читать про себя	1	1
291	и как он	1	1
292	с такою же	1	1
293	в том самом	1	1
294	в этом телесном	1	1
295	и в самой	1	1
296	какие мы видим	1	1
297	кроме того в	1	1
298	нисколько не противоречит	1	1
299	во всех случаях	1	1
300	другой стороны в	1	1
301	его жизни и	1	1
302	одна из форм	1	1
303	друг другу но	1	1
304	с другом и	1	1
305	есть и было	2	1
306	и во всей	2	1
307	и на ней	1	1
308	на второй план	1	1
309	так и на	1	1
310	быть самим собою	1	1
311	сих пор еще	1	1
312	мы будем называть	1	1
313	большую роль в	2	1
314	понятно что в	2	1
315	который был бы	1	1
316	могут быть сведены	1	1
317	же как и	2	1
318	и человеческой жизни	1	1
319	он не знает	1	1
320	так же мало	1	1
321	это то есть	2	1
322	и совсем не	1	1
323	всего того что	1	1
324	и все же	1	1
325	а не за	1	1
326	все в нем	1	1
327	и не могло	1	1
328	обращаем внимание на	1	1
329	не в смысле	3	1
330	в разных местах	1	1
331	из уст в	1	1
332	только свет и	1	1
333	в человеческой жизни	1	1
334	потому что они	1	1
335	и в поэзии	2	1
336	в виду что	2	1
337	и связанные с	1	1
338	сводится к тому	1	1
339	то должны будем	1	1
340	может быть и	4	1
