1	в том числе	8	15
284	конечно не в	2	1
285	в высоких жанрах	2	1
286	более глубокое и	1	1
287	здесь же мы	1	1
288	и ни грана	1	1
289	что касается до	1	1
290	необходимо указать на	1	1
291	с его специфической	1	1
292	себя неограниченное количество	1	1
293	мы уже знаем	1	1
294	также и в	3	1
295	же характер носит	1	1
296	в них нет	1	1
297	xvii и xviii	1	1
298	и в каждой	1	1
299	прямой авторской речи	1	1
300	в связи с	15	1
301	в целом и	1	1
302	и то же	5	1
303	то есть без	2	1
304	что он не	1	1
305	в его целом	4	1
306	были связаны с	1	1
307	характерно что и	1	1
308	вовсе не является	2	1
309	в мировой литературе	2	1
310	здесь вовсе не	1	1
311	с нашей точки	3	1
312	встречи человека с	1	1
313	мы наблюдаем в	1	1
314	мы можем сказать	1	1
315	в нем и	1	1
316	таковы основные особенности	1	1
317	и почти вовсе	1	1
318	все это были	1	1
319	в первых двух	1	1
320	в эпоху эллинизма	1	1
321	у стерна и	2	1
322	особенно в его	2	1
323	бы он ни	3	1
324	и вместе с	2	1
325	уже говорили что	1	1
326	не входит в	1	1
327	он утрачивает свою	1	1
328	к тому же	2	1
329	до некоторой степени	1	1
330	всех его вариациях	1	1
331	может войти в	2	1
332	и связанных с	1	1
333	выходит за пределы	1	1
334	греческого романа в	1	1
335	встречаем ее в	1	1
336	и все они	2	1
337	но в нем	2	1
338	так и для	1	1
339	со всеми его	2	1
340	сказать что жанр	1	1
341	себе самому и	2	1
342	как бы на	3	1
343	из того же	3	1
344	со всеми своими	1	1
345	в этом и	1	1
346	коснемся еще одного	1	1
347	вплоть до наших	1	1
348	и не могло	2	1
349	в высшей степени	1	1
350	с другом так	1	1
351	мы встречаем ее	1	1
352	на основе этого	2	1
353	в конце концов	1	1
354	равно как и	4	1
355	роль в романе	1	1
356	со своей специфической	1	1
357	и никогда не	1	1
358	в его мире	2	1
359	нашей работы мы	1	1
360	это не внешняя	1	1
361	снова и снова	1	1
362	у рабле в	2	1
363	они вовсе не	1	1
364	к смертной казни	1	1
365	беседа с самим	2	1
366	быть конечно и	2	1
367	явления и вещи	1	1
368	один из самых	1	1
369	здесь это не	1	1
370	далекого и разъединенного	1	1
371	но здесь эта	1	1
372	ее по существу	1	1
373	к ним как	2	1
374	это вовсе не	1	1
375	биографического времени и	2	1
376	такой же характер	1	1
377	как бы уже	1	1
378	ряд посредствующих звеньев	1	1
379	в некоторых из	1	1
380	в самую гущу	1	1
381	самим собою в	1	1
382	вполне понятно что	4	1
383	становится как бы	1	1
384	только с помощью	1	1
385	в самом содержании	1	1
386	и подходом к	1	1
387	его судьбы в	1	1
388	эпохи возрождения у	1	1
389	говорить здесь о	1	1
390	и на весь	1	1
391	вызывает никаких сомнений	1	1
392	могут быть найдены	1	1
393	же самое мы	1	1
394	один из его	1	1
395	жизнь до конца	1	1
396	дошедшие до нас	1	1
397	все более и	2	1
398	а затем и	1	1
399	но она не	1	1
400	и внутренне не	1	1
401	как то что	1	1
402	у рабле для	1	1
403	мир в зоне	1	1
404	богатство и разнообразие	1	1
405	для более глубокого	1	1
406	взгляд может показаться	1	1
407	на античной почве	6	1
408	вот для этого-то	1	1
409	в одном из	1	1
410	а не в	3	1
411	а вовсе не	2	1
412	в той же	1	1
413	в отличие от	7	1
414	в соответствии со	1	1
415	нет ничего что	2	1
416	как мы видим	2	1
417	могла быть только	1	1
418	к тому что	2	1
419	все это время	1	1
420	здесь конечно не	1	1
421	или иной форме	1	1
422	себя как бы	1	1
423	то есть между	1	1
424	сами по себе	3	1
425	и с другими	1	1
426	века и в	1	1
427	одной и той	1	1
428	вступают в брак	1	1
429	в дальнейшем мы	2	1
430	или хотя бы	1	1
431	не будем останавливаться	1	1
432	то же самое	3	1
433	жизни не может	1	1
434	к третьему типу	1	1
435	человеческой значительности в	1	1
436	с ее специфической	1	1
437	тон и стиль	2	1
438	при этом свое	1	1
439	развития литературы в	1	1
440	этой средневековой традиции	1	1
441	включает в себя	4	1
442	в так называемой	1	1
443	имеют особое значение	1	1
444	в основе их	1	1
445	могут быть названы	2	1
446	зрения этого нового	1	1
447	в своей жизни	1	1
448	прямо сказать что	3	1
449	жизни в этом	1	1
450	наше внимание на	1	1
451	и ту же	1	1
452	ко второму типу	1	1
453	все эти явления	1	1
454	их самих и	1	1
455	к вопросу о	3	1
456	мы коснемся только	1	1
457	и в сюжете	1	1
458	в землю но	1	1
459	времени а не	1	1
460	у него нет	2	1
461	разных вариациях и	1	1
462	то есть его	1	1
463	роман в письмах	1	1
464	и вступает в	1	1
465	как если бы	4	1
466	есть все то	1	1
467	рядом друг с	1	1
468	пространстве и времени	2	1
469	и все другие	2	1
470	по существу и	1	1
471	определяющего влияния на	1	1
472	и с точки	1	1
473	в данном случае	2	1
474	так же как	3	1
475	в применении к	1	1
476	дело идет именно	2	1
477	то есть чтобы	1	1
478	друг к другу	3	1
479	в центре находится	1	1
480	в точном смысле	3	1
481	или во всяком	1	1
482	и особенно у	1	1
483	как и во	1	1
484	так как он	2	1
485	и вся жизнь	1	1
486	зависимости от ранга	1	1
487	перед нами два	1	1
488	в греческих романах	1	1
489	только в сюжете	1	1
490	жизни и в	3	1
491	жизни и к	1	1
492	которой мы говорили	1	1
493	в результате всего	1	1
494	может быть только	3	1
495	точки зрения этого	1	1
496	и др и	1	1
497	в загробном мире	1	1
498	в себя неограниченное	1	1
499	мы находим у	1	1
500	то что можно	1	1
501	в этих романах	3	1
502	же время оно	1	1
503	между ними и	1	1
504	смысле слова и	1	1
505	есть и что	1	1
506	и затем в	1	1
507	в разных вариациях	2	1
508	вовсе еще не	1	1
509	касаемся здесь вопросов	1	1
510	мы в дальнейшем	1	1
511	между ними нет	2	1
512	в художественной литературе	1	1
513	и в самом	2	1
514	характерно что даже	1	1
515	мы будем говорить	2	1
516	не было и	2	1
517	в этом мире	10	1
518	и во всем	1	1
519	как необходимый момент	2	1
520	но они не	1	1
521	в прямой авторской	1	1
522	со смехом и	1	1
523	в годах учения	1	1
524	одну и ту	1	1
525	может быть еще	1	1
526	в ее целом	2	1
527	например в романе	1	1
528	в разных направлениях	1	1
529	античной почве в	1	1
