N	2gram	Nazirov_Tr	Otkroven
243	бы и	2	1
244	природу человека	1	1
245	и это	2	1
246	смысле этого	1	1
247	и до	2	1
248	этими двумя	2	1
249	доходит до	1	1
250	творчества достоевского	1	1
251	и женщины	1	1
252	с иваном	2	1
253	достоевский и	1	1
254	б это	1	1
255	не вполне	1	1
256	в русском	2	1
257	по своей	1	1
258	человека с	1	1
259	чего же	1	1
260	в них	1	1
261	вопрос об	1	1
262	в форме	1	1
263	говорит он	1	1
264	вы так	1	1
265	перед ним	1	1
266	его а	1	1
267	раскрывает свое	1	1
268	не случайно	2	1
269	и даже	4	1
270	в борьбе	1	1
271	в глаза	2	1
272	он еще	1	1
273	всего что	1	1
274	самом деле	1	1
275	говорит в	1	1
276	исходит от	1	1
277	открывается в	1	1
278	вот что	1	1
279	достоевский в	7	1
280	с ними	1	1
281	и сам	3	1
282	его собственная	1	1
283	он раскрывал	1	1
284	может ли	1	1
285	в виду	1	1
286	на этот	1	1
287	права на	2	1
288	из самых	2	1
289	в силах	2	1
290	и эта	1	1
291	в эпоху	1	1
292	его как	1	1
293	всегда оказывается	1	1
294	заключается в	1	1
295	но от	1	1
296	ведет к	1	1
297	еще ничего	1	1
298	в конце	3	1
299	указывает на	1	1
300	да неужто	1	1
301	например в	1	1
302	между этими	2	1
303	человеком и	1	1
304	бесах есть	1	1
305	достоевским в	2	1
306	в глазах	2	1
307	петр верховенский	7	1
308	это глубоко	1	1
309	лишь на	1	1
310	и как	3	1
311	то в	1	1
312	в голову	1	1
313	все время	1	1
314	было до	1	1
315	униженные и	9	1
316	так часто	1	1
317	приходит в	1	1
318	страха и	1	1
319	что она	2	1
320	всю жизнь	1	1
321	одна из	2	1
322	русской литературы	2	1
323	в мире	3	1
324	состоит из	2	1
325	одном из	2	1
326	который в	2	1
327	своей и	1	1
328	жизни ее	1	1
329	как в	3	1
330	этого слова	1	1
331	к ставрогину	1	1
332	как будто	3	1
333	но у	1	1
334	что говорит	2	1
335	эта тема	1	1
336	и я	2	1
337	нуждается в	1	1
338	случайно достоевский	1	1
339	ставрогина и	3	1
340	я хочу	1	1
341	сравнению с	1	1
342	но это	4	1
343	боль и	1	1
344	в это	2	1
345	чтобы не	1	1
346	любви и	2	1
347	показал что	1	1
348	под влиянием	2	1
349	уже не	2	1
350	с того	1	1
351	это была	1	1
352	с каким	1	1
353	бы в	1	1
354	поэтому он	1	1
355	отметить что	1	1
356	а что	2	1
357	людей в	1	1
