N	3gram	Medvedev_F	VeschiIm
166	же это не	1	1
167	он не есть	1	1
168	и то и	1	1
169	во все новые	1	1
170	все новые и	1	1
171	что бы то	3	1
172	что было в	1	1
173	понимания т е	1	1
174	до сих пор	7	1
175	она уже не	1	1
176	резко отличается от	1	1
177	бы оно было	2	1
178	с трудом можно	1	1
179	и еще более	1	1
180	с этой стороны	1	1
181	смысле этого слова	4	1
182	вопроса т е	1	1
183	т е как	3	1
184	тем же самым	1	1
185	крайней мере четыре	1	1
186	по своей природе	1	1
187	не вещь а	1	1
188	этой точке зрения	1	1
189	быть и речи	1	1
190	совершенно неотделимо от	1	1
191	должна быть и	1	1
192	это было в	1	1
193	в этом случае	1	1
194	к его пониманию	1	1
195	что между ними	1	1
196	не обладает никаким	1	1
197	точки зрения его	1	1
198	но в то	3	1
199	они вовсе не	1	1
200	каждой из них	1	1
201	что не в	1	1
202	по самому своему	1	1
203	что они не	1	1
204	этом смысле и	1	1
205	что как бы	1	1
206	в зависимости от	4	1
207	по существу и	1	1
208	с тем что	3	1
209	все эти теории	1	1
210	со всей полнотой	1	1
211	в новое время	1	1
212	если она есть	1	1
213	на то чтобы	2	1
214	не меньше чем	1	1
215	но как раз	1	1
216	со всем что	1	1
217	самом же деле	1	1
218	та или иная	1	1
219	именно из его	1	1
220	вместо того чтобы	1	1
221	на самом же	1	1
222	но в этом	2	1
223	на первый план	1	1
224	и пр это	1	1
225	таким образом чтобы	1	1
226	социальной действительности в	1	1
227	является одним из	1	1
228	и тогда как	1	1
229	не отрицал и	1	1
230	т е уже	1	1
231	тот или иной	1	1
232	или хотя бы	1	1
233	по тем же	1	1
234	новые и новые	1	1
235	и не может	5	1
236	только и может	4	1
237	реальности так и	1	1
238	внутренняя форма слова	1	1
239	а также и	1	1
240	е уже предполагается	1	1
241	может быть и	4	1
