N	3gram	Tiupa_Teor	Dialekti
102	в чистом виде	1	2
103	и не быть	1	2
104	– это не	1	2
105	в свою очередь	3	2
106	к чему не	1	2
107	всегда так или	1	2
108	еще не есть	1	2
109	как один из	1	2
110	в себе самом	1	2
111	не в состоянии	1	2
112	несмотря на свою	1	2
113	тот или иной	3	2
114	дело в том	1	2
115	уже не просто	1	2
116	в лучшем случае	1	2
117	при условии что	1	2
118	как особого рода	1	2
119	на первый взгляд	1	2
120	ни к чему	1	2
121	мы имеем дело	2	2
122	и религии миф	1	1
123	в мире –	1	1
124	что говоря о	1	1
125	отнюдь не в	1	1
126	у нее нет	1	1
127	мы говорим о	1	1
128	в нашем случае	2	1
129	не может зависеть	1	1
130	не просто о	1	1
131	это уже не	1	1
132	до известной степени	2	1
133	проявляет себя в	1	1
134	больше и больше	1	1
135	на задний план	1	1
136	точки зрения не	1	1
137	не менее чем	1	1
138	объективно и не	1	1
139	вопрос что такое	1	1
140	он мог бы	1	1
141	в мире без	1	1
142	в отдельности и	1	1
143	а в другом	1	1
144	из этих двух	1	1
145	было и не	1	1
146	тем и другим	1	1
147	собственно говоря и	1	1
148	только при условии	1	1
149	художественное произведение и	1	1
150	том что она	1	1
151	о своем отношении	1	1
152	или преступления –	1	1
153	в том случае	1	1
154	к своему собственному	1	1
155	в первом случае	1	1
156	те и другие	1	1
157	таким образом что	1	1
158	не в самом	2	1
159	субъект мыслится как	1	1
160	жизни которая не	1	1
161	– это тоже	2	1
162	их никто не	1	1
163	в этом мире	2	1
164	в душе моей	1	1
165	также что в	1	1
166	в отличие от	7	1
167	но в силу	1	1
168	а в том	1	1
169	каждой из них	1	1
170	в последней главе	1	1
171	чисто познавательного логического	1	1
172	не только на	1	1
173	и другого –	1	1
174	то ни было	2	1
175	в своей жизни	1	1
176	тех кто его	1	1
177	возможна только в	1	1
178	исходит из того	1	1
179	не входит в	1	1
180	в конечном счете	6	1
181	а не с	1	1
182	если бы для	1	1
183	если он не	1	1
184	чужой психики но	1	1
185	а с другой	2	1
186	своем отношении к	1	1
187	это было возможно	1	1
188	и не дает	1	1
189	таким образом и	1	1
190	имея в виду	1	1
191	не могли быть	1	1
192	это ведет к	1	1
193	и в этой	1	1
194	на театральной сцене	1	1
195	своего объекта и	1	1
196	– это и	1	1
197	в этих случаях	1	1
198	в том и	1	1
199	не сама жизнь	1	1
200	ни от кого	1	1
201	а только лишь	1	1
202	форма может быть	1	1
203	но прежде всего	1	1
204	никогда не бывает	1	1
205	себя и что	1	1
206	личности как это	1	1
207	картина мира и	1	1
208	при всей своей	1	1
209	мы видим в	1	1
210	места в мире	1	1
211	заключается в том	1	1
212	или иное логическое	1	1
213	имеем в виду	3	1
214	– с другой	1	1
215	или ином отношении	1	1
216	по большей части	2	1
217	с другой –	1	1
218	видим в нем	1	1
219	том или ином	1	1
220	в свое время	1	1
221	в каждом человеке	1	1
222	в чем собственно	1	1
223	исторического бытия и	1	1
224	всем потому что	1	1
225	но дело в	1	1
226	в полной мере	1	1
227	в основе всех	1	1
228	может и должен	1	1
229	в виду не	3	1
230	что он должен	1	1
231	а между тем	1	1
232	в себя и	1	1
233	личности а не	1	1
234	со всех сторон	1	1
235	имеем дело не	1	1
236	в себе никаких	1	1
237	включает в себя	2	1
238	именно в этом	1	1
239	как раз в	1	1
240	даже если она	1	1
241	так и его	2	1
242	мы имеем в	3	1
243	хома брут не	1	1
244	во всей его	2	1
245	в этом случае	1	1
246	мы имеем не	1	1
247	говорить о разных	1	1
248	том что он	2	1
249	в первую очередь	1	1
250	и его внешней	2	1
251	своими корнями в	1	1
252	в романе достоевского	1	1
253	в новое время	1	1
254	– независимо от	1	1
255	и в сущности	1	1
256	между тем в	1	1
257	жизнь личности в	1	1
258	том случае если	1	1
259	но я никогда	1	1
260	легко может быть	1	1
261	как того требует	1	1
262	как бы в	1	1
263	уходит своими корнями	1	1
264	в узком и	1	1
265	миф – это	1	1
266	то что они	2	1
267	точки зрения и	1	1
268	приводит к тому	2	1
269	отчет в том	1	1
270	чем собственно говоря	1	1
271	в себе никакого	1	1
272	при всем своем	1	1
273	что несмотря на	1	1
274	в основе своей	2	1
275	гоголевский хома брут	1	1
276	в своей собственной	1	1
