N	3gram	Medvedev_F	Literetu
144	что перед нами	2	1
145	жизни вовсе не	1	1
146	в зависимости от	4	1
147	и не о	1	1
148	в последнее время	1	1
149	и в то	4	1
150	со всеми другими	1	1
151	но и с	2	1
152	не только на	1	1
153	и без остатка	1	1
154	с обратным знаком	1	1
155	и в пределах	1	1
156	существует как бы	1	1
157	в первой главе	1	1
158	было бы наивно	1	1
159	в высшей степени	4	1
160	как раз и	4	1
161	рассматривается с точки	1	1
162	сама по себе	2	1
163	и там где	1	1
164	по этому поводу	1	1
165	каждый творческий акт	1	1
166	но все же	2	1
167	во всей ее	1	1
168	и нет в	1	1
169	произведения в его	1	1
170	по существу это	1	1
171	даже и не	1	1
172	и в том	1	1
173	мышления о мире	1	1
174	не было на	1	1
175	и в этом	6	1
176	в этом последнем	1	1
177	и потому не	1	1
178	а также и	1	1
179	жизнь и судьба	1	1
180	произведение искусства есть	1	1
181	с тем же	1	1
182	не тем что	1	1
183	в основе этой	2	1
184	вовсе не является	1	1
185	герой романа и	1	1
186	как мы знаем	2	1
187	как и для	1	1
188	именно в нем	2	1
189	бы ни были	2	1
190	и в особенности	1	1
191	в это время	1	1
192	не может и	1	1
193	один из моментов	1	1
194	том или ином	1	1
195	мира в его	1	1
196	на фоне и	1	1
197	как это было	2	1
198	как один из	2	1
199	только в качестве	1	1
200	конститутивным моментом самого	1	1
201	и для всех	1	1
202	не что иное	1	1
203	более и более	3	1
204	того что было	1	1
205	между прочим и	1	1
206	нет у нас	1	1
207	в своей основе	1	1
208	может быть вполне	1	1
209	эстетики и поэтики	1	1
210	она уже не	1	1
211	резко отличается от	1	1
212	но в то	3	1
213	в лучшем случае	3	1
214	как мы видели	5	1
215	это и не	1	1
216	и не менее	3	1
217	во всех этих	1	1
218	именно в том	2	1
219	в этом его	1	1
220	с самого начала	2	1
221	в сущности не	1	1
222	не перестает быть	3	1
223	тем обстоятельством что	1	1
224	не могут быть	4	1
225	извне и изнутри	1	1
226	а лишь поскольку	1	1
227	же время в	1	1
228	не могло не	3	1
229	понимать друг друга	1	1
230	что иное как	1	1
231	не выходит за	1	1
232	и притом в	1	1
233	как одной из	1	1
234	теми или иными	1	1
235	и не может	5	1
236	является одним из	1	1
237	идет о литературе	1	1
238	нет и не	2	1
239	же время здесь	1	1
240	самого по себе	1	1
241	тот или иной	1	1
242	мы не можем	3	1
243	новые и новые	1	1
244	может быть и	4	1
