N	2gram	Berdyaev_N	Analitik
191	все они	2	4
192	свидетельствует о	1	4
193	нас к	1	4
194	по своему	4	4
195	человека в	1	4
196	на всех	1	4
197	в значительной	1	4
198	в области	1	4
199	в центре	2	3
200	человеческой жизни	1	3
201	к этой	1	3
202	одному из	1	3
203	в виду	1	3
204	быть может	4	3
205	вопрос об	1	3
206	и с	2	3
207	в жизни	5	3
208	с тем	3	3
209	только для	1	3
210	в такой	1	3
211	вопрос о	3	3
212	это было	3	3
213	как на	1	3
214	что все	2	3
215	в зависимости	1	3
216	к ее	3	3
217	должно быть	4	3
218	в состоянии	1	3
219	не был	1	3
220	войне и	1	3
221	оно может	1	3
222	на место	1	3
223	во время	1	3
224	в одну	2	3
225	переходит от	1	3
226	можно было	2	3
227	оно не	1	3
228	сами по	1	3
229	до этого	1	3
230	есть лишь	4	3
231	времени не	1	3
232	ли он	1	3
233	зависимости от	1	3
234	человека и	3	3
235	ни к	2	3
236	то он	1	3
237	и заключается	2	3
238	быть не	1	3
239	свободу от	1	3
240	к содержанию	2	3
241	так как	1	3
242	они не	1	3
243	том числе	1	3
244	же мере	1	3
245	мира и	2	3
246	может иметь	1	3
247	она не	3	3
248	в ней	5	3
249	но он	1	3
250	мы должны	1	3
251	в категориях	2	3
252	слова в	1	3
253	жизни и	8	3
254	все еще	1	3
255	ведь и	2	3
256	для этого	2	3
257	не к	2	3
258	более высокой	1	2
259	и мира	1	2
260	я уже	2	2
261	над нами	1	2
262	и героя	1	2
263	или нет	1	2
264	о свободе	1	2
265	долгое время	1	2
266	жизнь в	1	2
267	их в	1	2
268	выход из	1	2
269	культуры в	5	2
270	тогда не	1	2
271	что этот	1	2
272	основанная на	1	2
273	своей природе	1	2
274	так же	2	2
275	в прошлом	3	2
276	этого мира	1	2
277	к ним	3	2
278	быть в	2	2
279	к которому	1	2
280	как я	1	2
281	сих пор	1	2
282	жизни не	3	2
283	но сама	1	2
284	зачем же	1	2
285	ближе к	1	2
286	но я	2	2
287	на протяжении	2	2
288	возвращение к	3	2
289	к себе	1	2
290	не должна	1	2
291	глубине своей	1	2
292	бытия и	1	2
293	или не	1	2
294	к чему	1	2
295	но ведь	1	2
296	всех своих	1	2
297	не означает	3	2
298	не могу	1	2
299	вообще не	1	2
300	не могла	2	2
301	других людей	1	2
302	когда мы	2	2
303	личность человека	1	2
304	культуры и	7	2
305	вера в	1	2
306	них не	1	2
307	в мировой	2	2
308	этой системе	1	2
309	для чего	2	2
310	приобщается к	1	2
311	в статье	1	2
312	до сих	1	2
313	существования и	1	2
314	вступить в	1	2
315	от жизни	1	2
316	и должно	2	2
317	истории в	5	2
318	сама жизнь	2	2
319	том и	2	2
320	под этим	1	2
321	творчества и	1	2
322	ни одно	1	2
323	о самом	1	2
324	оно есть	1	2
325	и рождается	1	2
326	не имеет	4	2
327	думать что	2	2
328	нет ничего	1	2
329	истории не	3	2
330	не имеют	2	2
331	всех сторон	4	2
332	вступление в	1	2
333	на это	1	2
334	в которую	1	2
335	но сам	1	2
336	от других	1	2
337	в мир	1	2
338	было и	1	2
339	не для	1	2
340	во внешней	1	2
341	он может	1	2
342	но если	1	2
343	власть над	1	2
344	мира не	1	2
345	освобождения от	1	2
346	который и	1	2
347	этом он	1	2
348	или к	1	2
349	значение в	1	2
350	рода и	1	2
351	зависит от	2	2
352	не способен	1	2
353	у нас	1	2
354	жизни это	1	2
355	по существу	2	2
356	перед собой	1	2
357	связаны с	2	2
358	а на	1	2
359	к одному	1	2
360	со всех	4	2
361	нет и	2	2
362	не по	1	2
363	при свете	1	2
364	от всех	1	2
365	к тем	1	2
366	это была	1	2
367	борьбе за	1	2
368	в большинстве	1	2
369	зависимость от	1	2
370	бы он	1	2
371	все более	1	2
372	и только	1	2
373	на большей	1	2
374	жизнью и	1	2
375	они являются	1	1
376	был и	1	1
377	и целиком	1	1
378	возможно лишь	1	1
379	же и	1	1
380	познания и	2	1
381	и имеет	1	1
382	не сознается	1	1
383	церковь а	1	1
384	мысли и	2	1
385	с собой	1	1
386	отпавшего от	1	1
387	в средневековой	1	1
388	но все	1	1
389	а во-вторых	1	1
390	ни одна	2	1
391	равно как	2	1
392	мысли как	1	1
393	давно уже	1	1
394	все другие	1	1
395	внешней жизни	1	1
396	к своим	1	1
397	мир и	2	1
398	и из	1	1
399	и означает	1	1
400	всего они	1	1
401	и пути	1	1
402	во все	1	1
403	уже давно	1	1
404	на человека	1	1
405	человека не	1	1
406	должна быть	3	1
407	заключается что	2	1
408	в этот	1	1
409	имея в	1	1
410	потому оно	1	1
411	смысле слова	3	1
412	особое место	1	1
413	и формы	2	1
414	говорит что	1	1
415	от формализма	1	1
416	будет и	2	1
417	и еще	1	1
418	вернуться к	2	1
419	в основу	1	1
420	и научной	1	1
421	во времена	1	1
422	т.п по	1	1
423	все время	2	1
424	они сами	1	1
425	распадается на	1	1
426	жизни с	1	1
427	людей в	1	1
428	и весь	2	1
429	как другие	1	1
430	нельзя сказать	1	1
431	весь смысл	1	1
432	как того	1	1
433	что такое	3	1
434	человек как	1	1
435	стремится к	3	1
436	свободы и	2	1
437	века не	1	1
438	что его	1	1
439	или иная	1	1
440	смысле и	1	1
441	характер и	1	1
442	в последние	1	1
443	личности с	1	1
444	же как	2	1
445	большинстве случаев	1	1
446	и воля	1	1
447	и вместе	1	1
448	выходит к	1	1
449	от этого	1	1
450	должно было	2	1
451	существенным моментом	1	1
452	лишь для	1	1
453	себе и	1	1
454	начало нового	3	1
455	теперь и	1	1
456	и у	1	1
457	искусство не	1	1
458	бог не	1	1
459	и мир	1	1
460	культуре и	1	1
461	должны помнить	1	1
462	есть бог	1	1
463	совсем не	12	1
464	эти слова	1	1
465	характерны для	1	1
466	есть неотъемлемое	1	1
467	на нем	1	1
468	должны быть	1	1
469	такой обособленности	1	1
470	себя на	1	1
471	в истинном	1	1
472	в нее	1	1
473	о русском	1	1
474	был в	1	1
475	превыше всего	1	1
476	в событиях	1	1
477	ни за	1	1
478	бытию не	1	1
479	которые могут	1	1
480	лишь по	1	1
481	она сама	1	1
482	от нее	1	1
483	быть только	1	1
484	характерная для	1	1
485	христианской культуры	1	1
486	жизни без	1	1
487	содержанию от	1	1
488	он стремится	1	1
489	и сейчас	1	1
490	жизни а	1	1
491	на ее	1	1
492	с миром	1	1
493	на иной	1	1
494	это уже	1	1
495	не погиб	2	1
496	для них	1	1
497	не ставит	2	1
498	в чуждом	1	1
499	и вполне	1	1
500	не на	1	1
501	о природе	1	1
502	более широкого	1	1
503	споры о	2	1
504	необходимой для	1	1
505	быть понят	1	1
506	то время	1	1
507	лишь к	1	1
508	как не	8	1
509	и жизни	1	1
510	том смысле	1	1
511	он есть	1	1
512	так после	1	1
513	свободно а	1	1
514	явление культуры	1	1
515	на их	1	1
516	нет в	1	1
517	что вообще	1	1
518	к той	1	1
519	лишь те	1	1
520	особенно для	1	1
521	движение от	2	1
522	можно лишь	1	1
523	от мира	1	1
524	в вечной	1	1
525	и вся	1	1
526	значение для	1	1
527	в это	1	1
528	этот переход	1	1
529	в ночь	1	1
530	в истории	3	1
531	в каком	1	1
532	например во	1	1
533	вот этот	1	1
534	ли есть	2	1
535	внешнюю жизнь	1	1
536	переход от	1	1
537	привел к	1	1
538	только одна	1	1
539	в образе	1	1
540	рода в	1	1
541	бы сказать	1	1
542	обращение к	2	1
543	оба они	1	1
544	друг друга	1	1
545	пути ее	1	1
546	формы и	2	1
547	и быть	1	1
548	к лицу	3	1
549	обращена к	1	1
550	во внешних	1	1
551	они возникают	1	1
552	творчества не	1	1
553	но оно	1	1
554	в более	1	1
555	менее чем	1	1
556	выходит за	1	1
557	ничем не	1	1
558	есть нарушение	1	1
559	не во	4	1
560	борьба и	2	1
561	эпоху когда	2	1
562	ее судьбы	1	1
563	и другая	1	1
564	роли какую	1	1
565	не значит	3	1
566	в формах	1	1
567	может остаться	1	1
568	за какие	1	1
569	лицом к	3	1
570	слова а	1	1
571	есть уже	1	1
572	к внутренней	1	1
573	отказаться от	1	1
574	и личности	1	1
575	на нее	1	1
576	в будущее	1	1
577	этого нельзя	1	1
578	не могли	2	1
579	чтобы быть	1	1
580	духовной культуры	1	1
581	помнить что	2	1
582	абсолютная человеческая	1	1
583	жизнью в	2	1
584	и возврат	1	1
585	таким центром	1	1
586	от своих	1	1
587	за его	1	1
588	войны и	2	1
589	ему не	1	1
590	на них	1	1
591	он нуждается	1	1
592	том случае	1	1
593	также что	1	1
594	нас и	1	1
595	творческий процесс	1	1
596	и русской	1	1
597	она должна	1	1
598	случае если	1	1
599	в наши	3	1
600	и религии	1	1
601	есть всегда	1	1
602	связана с	2	1
603	а по	1	1
604	но она	2	1
605	могли не	1	1
606	есть и	1	1
607	и ночи	2	1
608	во вне	2	1
609	и всех	1	1
610	этого не	1	1
611	числе и	1	1
612	будто не	1	1
613	к ней	1	1
614	дня и	3	1
615	эту мысль	1	1
616	понять что	1	1
617	самом себе	1	1
618	есть непосредственное	1	1
619	себя а	1	1
620	мужчине и	1	1
621	бытия в	2	1
622	он видел	1	1
623	к богу	2	1
624	производить впечатление	1	1
625	для другого	1	1
626	мира с	1	1
