N	2gram	Trubetskoy	Hudozhes
344	по крайней	1	1
345	перед нами	1	1
346	жизни является	1	1
347	ведет нас	1	1
348	образцу и	1	1
349	первый взгляд	1	1
350	с этим	2	1
351	все они	3	1
352	если с	1	1
353	и пути	1	1
354	тем в	1	1
355	в котором	2	1
356	зависит от	2	1
357	языка и	1	1
358	между несколькими	1	1
359	по своим	1	1
360	своей собственной	1	1
361	то и	1	1
362	она могла	1	1
363	имеет в	1	1
364	можно лишь	1	1
365	быть не	1	1
366	не быть	1	1
367	внутри себя	1	1
368	во многих	2	1
369	вступление в	1	1
370	а после	1	1
371	оно является	1	1
372	относится не	1	1
373	время в	2	1
374	и теперь	1	1
375	жизни и	4	1
376	к вопросу	4	1
377	только на	2	1
378	в противоречие	2	1
379	не об	1	1
380	точно так	2	1
381	к одному	1	1
382	в различных	1	1
383	на основании	2	1
384	не так	2	1
385	и те	2	1
386	в совершенно	4	1
387	в истории	1	1
388	от своей	2	1
389	себя если	1	1
390	в прошлом	1	1
391	вытекающей из	1	1
392	к ним	1	1
393	такого взаимодействия	1	1
394	двух других	1	1
395	у себя	1	1
396	не для	1	1
397	настоящее время	2	1
398	ее не	1	1
399	в сфере	1	1
400	она может	3	1
401	тем же	1	1
402	индивидуальный характер	1	1
403	именно так	1	1
404	игру в	1	1
405	до конца	1	1
406	с нею	3	1
407	только при	1	1
408	т.д эта	1	1
409	в каждый	1	1
410	что все	3	1
411	самопознания и	1	1
412	том же	2	1
413	в сознании	3	1
414	исходит из	1	1
415	культуры ибо	1	1
416	всех людей	2	1
417	но если	3	1
418	под именем	1	1
419	к новой	1	1
420	в отдельных	1	1
421	казалось бы	1	1
422	друг друга	3	1
423	они могут	1	1
424	в настоящее	2	1
425	не будучи	1	1
426	крайней мере	1	1
427	из них	3	1
428	его можно	1	1
429	себе самом	1	1
430	всего в	1	1
431	представить себе	2	1
432	русской культуре	1	1
433	что они	3	1
434	к общему	1	1
435	этом случае	3	1
436	только не	1	1
437	этой внутренней	1	1
438	нами не	1	1
439	не поддается	1	1
440	так как	4	1
441	ею как	1	1
442	они не	1	1
443	может не	3	1
444	себя только	1	1
445	не во	1	1
446	но из	1	1
447	должно быть	3	1
448	время и	1	1
449	из нового	1	1
450	действительно является	1	1
451	собой в	1	1
452	это особенно	1	1
453	в состоянии	1	1
454	обе эти	1	1
455	начале этой	1	1
456	на роль	1	1
457	проявляется в	2	1
458	души и	1	1
459	как элемент	1	1
460	для нас	2	1
461	существенное изменение	1	1
462	означало бы	1	1
463	в подобном	1	1
464	на которой	2	1
465	и от	2	1
466	противоречие между	1	1
467	и есть	2	1
468	в русском	1	1
469	когда же	1	1
470	тому же	1	1
471	от своих	1	1
472	не была	1	1
473	в таких	2	1
474	не было	3	1
475	бы для	2	1
476	от друга	2	1
477	как видно	1	1
478	к чему	2	1
479	что его	1	1
480	дело в	1	1
481	которое в	1	1
482	что не	1	1
483	но для	2	1
484	тоже является	1	1
485	окрашено в	1	1
486	в конце	3	1
487	в последние	5	1
488	и без	1	1
489	самоопределения в	1	1
490	не подлежит	2	1
491	что высшей	1	1
492	же как	1	1
493	на земле	4	1
494	не есть	3	1
495	все виды	1	1
496	между прочим	1	1
497	является не	2	1
498	при таком	1	1
499	и религии	1	1
500	перед собой	1	1
501	от этого	1	1
502	того и	1	1
503	в такой	1	1
504	этой соотносительности	1	1
505	его жизни	1	1
506	тех же	1	1
507	на его	1	1
508	себе и	4	1
509	путь к	4	1
510	в одной	1	1
511	и другого	1	1
512	связаны с	1	1
513	как сказано	1	1
514	природы этой	1	1
515	бы в	1	1
516	деятельности и	2	1
517	на них	1	1
518	людей в	1	1
519	основе его	1	1
520	может иметь	1	1
521	том случае	4	1
522	полной мере	1	1
523	только к	3	1
524	в полной	1	1
525	которому принадлежит	1	1
526	в своих	6	1
527	эти последние	1	1
528	свое место	1	1
529	случае если	3	1
530	зрения в	1	1
531	чему не	1	1
532	другом и	2	1
533	говоря только	1	1
534	также и	1	1
535	ту же	1	1
536	силе и	1	1
537	ибо всякое	1	1
538	на чем	1	1
539	что касается	1	1
540	а по	1	1
541	для этого	3	1
542	ни от	2	1
543	и является	2	1
544	не могла	1	1
545	реальная возможность	1	1
546	заключает в	1	1
547	иметь в	1	1
548	перестанет быть	1	1
549	стороны и	1	1
550	только то	1	1
551	из нас	1	1
552	этих случаях	1	1
553	следует признать	1	1
554	представляются в	1	1
555	людьми для	1	1
556	на свое	1	1
557	он еще	1	1
558	образом всякий	1	1
559	на это	2	1
560	такой культуры	1	1
561	было бы	5	1
562	дает ему	1	1
563	не по	1	1
564	из нее	1	1
565	это разумеется	2	1
566	же самое	1	1
567	их никто	1	1
568	как мы	1	1
569	что хотя	1	1
570	что для	3	1
571	та или	1	1
572	друг другу	2	1
573	каждый человек	1	1
574	подход к	1	1
575	его личности	1	1
576	в зависимости	1	1
577	когда они	4	1
578	приводят к	2	1
579	этом и	2	1
580	в лучшем	3	1
581	связи между	1	1
582	на отдельные	1	1
583	по этому	2	1
584	так что	2	1
585	с которым	1	1
586	теми же	1	1
587	бытия и	1	1
588	происходит в	1	1
589	чаще всего	1	1
590	как будто	2	1
591	идет не	1	1
592	на то	5	1
593	бы ни	2	1
594	себе еще	1	1
595	степени и	1	1
596	здесь мы	1	1
597	может и	1	1
598	лучшем случае	3	1
599	в известной	1	1
600	есть не	1	1
601	иное как	1	1
602	своем сознании	1	1
