N	3gram	Medvedev_F	Analitik
114	нет и не	2	2
115	из виду что	2	1
116	в целом ряде	2	1
117	не могла не	1	1
118	значение лишь в	1	1
119	или ином типе	1	1
120	на этом фоне	1	1
121	как и во	1	1
122	которое не может	1	1
123	что в литературе	1	1
124	и вся его	1	1
125	соединении с художественной	2	1
126	своего предмета и	1	1
127	определенной социальной группы	1	1
128	литературное произведение в	2	1
129	вещи но и	1	1
130	по себе а	2	1
131	в художественном произведении	3	1
132	в той же	2	1
133	мы видим что	1	1
134	искусства так и	1	1
135	и наконец в	2	1
136	к другому в	1	1
137	как одна из	1	1
138	и нисколько не	1	1
139	том что искусство	2	1
140	во всех этих	1	1
141	одним из первых	1	1
142	бы мы ни	1	1
143	самом деле в	1	1
144	то или иное	1	1
145	лишь одной из	1	1
146	однако и здесь	1	1
147	и заключается что	1	1
148	при изучении литературы	1	1
149	в области гуманитарных	1	1
150	об отсутствии в	1	1
151	произведение в его	2	1
152	целом все это	1	1
153	в системе языка	1	1
154	тем самым по	1	1
155	существует независимо от	1	1
156	и во всех	1	1
157	этого целого в	1	1
158	на нее как	1	1
159	друг от друга	2	1
160	первой из них	1	1
161	но они не	1	1
162	вместе с ними	1	1
163	сообщение о том	1	1
164	между двумя полюсами	1	1
165	в предыдущей части	1	1
166	идет уже не	1	1
167	в самом объекте	1	1
168	в том случае	2	1
169	не только на	1	1
170	и не должно	1	1
171	том и заключается	1	1
172	не для того	1	1
173	в нем определенные	1	1
174	с этой стороны	1	1
175	в отношении к	1	1
176	в конце концов	2	1
177	в его художественной	2	1
178	как и всякий	1	1
179	в то что	1	1
180	это было в	1	1
181	в отдельности и	1	1
182	таким образом в	1	1
183	в этой роли	1	1
184	произведения в ее	1	1
185	и свою собственную	1	1
186	и без остатка	1	1
187	чем иным как	1	1
188	что как бы	1	1
189	художественного творчества в	1	1
190	выходит за пределы	1	1
191	иного рода в	1	1
192	химическом соединении с	2	1
193	все же не	1	1
194	только то что	1	1
195	на самом же	1	1
196	том смысле что	2	1
197	противном случае мы	1	1
198	все без исключения	1	1
199	к роману как	1	1
200	за пределы этой	1	1
201	и в том	1	1
202	было в первом	1	1
203	произведение не только	1	1
204	или иного произведения	1	1
205	и в этой	2	1
206	в этом последнем	1	1
207	может и не	1	1
208	произведение искусства есть	1	1
209	и вступает в	1	1
210	лишь в тех	1	1
211	том случае если	1	1
212	с тем же	1	1
213	но он не	1	1
214	что литературное произведение	1	1
215	вместе с тем	5	1
216	не могли не	1	1
217	которая сама по	1	1
218	что во втором	1	1
219	этом отношении он	1	1
220	самом же деле	1	1
221	в большинстве случаев	5	1
222	в химическом соединении	2	1
223	познания и поступка	1	1
224	и может быть	1	1
225	но при этом	1	1
226	это не так	1	1
227	именно в нем	2	1
228	в том смысле	3	1
229	имеем в виду	1	1
230	не было и	1	1
231	и в особенности	1	1
232	говорить не приходится	2	1
233	в иные моменты	1	1
234	наука о литературе	1	1
235	бы столь же	1	1
236	художественного восприятия в	1	1
237	во внутренней речи	1	1
238	было бы сказать	1	1
239	как это было	2	1
240	как один из	2	1
241	только в качестве	1	1
242	только в том	1	1
243	в художественном творчестве	1	1
244	особое место в	2	1
245	а не как	1	1
246	во всех своих	2	1
247	не столько с	1	1
248	то и другое	1	1
249	в большей или	1	1
250	истории литературы как	1	1
251	в целом все	1	1
252	она ни была	3	1
253	он не есть	1	1
254	то что они	1	1
255	свою очередь является	2	1
256	еще в самом	2	1
257	равно как и	1	1
258	один из возможных	1	1
259	на самом деле	7	1
260	и должно было	1	1
261	и в частности	2	1
262	уже не о	1	1
263	очень близки к	1	1
264	как это свойственно	1	1
265	у разных авторов	1	1
266	или меньшей степени	1	1
267	науке о литературе	1	1
268	мы имеем в	1	1
269	как бы ни	3	1
270	всего может быть	2	1
271	не менее в	1	1
272	не сам по	1	1
273	в пределах одного	1	1
274	с художественной идеологемой	1	1
275	в этом его	1	1
276	в сущности не	1	1
277	входит в состав	1	1
278	же как и	1	1
279	в собственном смысле	1	1
280	конечно может быть	1	1
281	не изолированно а	1	1
282	учение о художественном	1	1
283	это столь же	1	1
284	как мы увидим	3	1
285	так и в	6	1
286	а вовсе не	2	1
287	или хотя бы	1	1
288	со стороны других	1	1
289	и на всю	1	1
290	между прочим и	1	1
291	по аналогии с	4	1
292	в самом широком	1	1
293	том числе и	1	1
294	что и в	2	1
295	среда в которой	1	1
296	с установкой на	1	1
