N	2gram	Savitsky_P	Vvedenie
261	это в	1	2
262	так называемые	2	2
263	большей степени	4	2
264	философской мысли	1	2
265	д а	3	2
266	в число	1	2
267	применительно к	1	2
268	находящееся в	1	2
269	не к	2	2
270	общий вопрос	1	2
271	что было	1	1
272	русской истории	1	1
273	были бы	1	1
274	сказывается в	2	1
275	и технике	1	1
276	был и	1	1
277	понимать что	1	1
278	мы видим	1	1
279	в гораздо	4	1
280	сравнении с	3	1
281	знать что	2	1
282	и многие	1	1
283	е с	6	1
284	как одна	1	1
285	по сохранившимся	1	1
286	уяснить себе	1	1
287	и очень	1	1
288	они не	1	1
289	может не	1	1
290	в момент	1	1
291	поскольку мы	1	1
292	смысле не	1	1
293	также что	1	1
294	ли они	1	1
295	ее представители	1	1
296	какой она	1	1
297	нужно было	2	1
298	как к	1	1
299	том числе	2	1
300	г о	4	1
301	у каждого	1	1
302	мы знаем	1	1
303	отношения к	2	1
304	здесь нужно	2	1
305	к сфере	1	1
306	еще более	2	1
307	должна в	1	1
308	эта идея	2	1
309	в определенном	1	1
310	входят в	1	1
311	к а	1	1
312	как подлинное	1	1
313	что при	1	1
314	положение что	1	1
315	к предмету	1	1
316	от этой	1	1
317	для нас	2	1
318	именно о	1	1
319	и этим	1	1
320	сфере художественной	1	1
321	и о	5	1
322	склонность к	1	1
323	европейской культуры	4	1
324	нет никакого	1	1
325	в русском	2	1
326	века но	1	1
327	но нужно	1	1
328	частности в	1	1
329	различия между	1	1
330	совершенно ясно	1	1
331	тем больше	1	1
332	вопрос об	1	1
333	что все	1	1
334	также в	1	1
335	чтобы в	1	1
336	этого процесса	1	1
337	есть нечто	2	1
338	более или	1	1
339	но на	1	1
340	есть проблема	1	1
341	г и	2	1
342	разрыва между	1	1
343	помнить что	2	1
344	из важнейших	2	1
345	что его	1	1
346	и техники	1	1
347	осуществляется в	2	1
348	слова но	2	1
349	в россии	3	1
350	первой половины	4	1
351	и судьбы	1	1
352	второй хотя	1	1
353	иными словами	1	1
354	в некотором	1	1
355	еще в	1	1
356	есть в	2	1
357	может и	2	1
358	иначе как	1	1
359	в эпоху	1	1
360	но для	1	1
361	первой половине	1	1
362	бы оно	1	1
363	или иная	1	1
364	я и	3	1
365	если он	1	1
366	в жизни	2	1
367	мысли но	1	1
368	давно уже	1	1
369	выражается в	1	1
370	с ними	3	1
371	что по	1	1
372	духа в	1	1
373	есть та	1	1
374	из чего	1	1
375	далеко не	1	1
376	между прочим	2	1
377	в одно	1	1
378	к характеру	1	1
379	и я	1	1
380	в сравнении	3	1
381	в свете	1	1
382	них в	1	1
383	формах и	1	1
384	в а	2	1
385	в эту	2	1
386	или менее	1	1
387	слова о	1	1
388	относиться к	1	1
389	бы нас	1	1
390	в природе	1	1
391	общественной мысли	1	1
392	говорится о	1	1
393	поскольку она	1	1
394	и тех	1	1
395	ней только	1	1
396	и судьбами	1	1
397	и эти	1	1
398	определенном смысле	1	1
399	в полной	2	1
400	имеют в	1	1
401	темы и	1	1
402	и более	1	1
403	в статье	2	1
404	и внутренне	1	1
405	о духе	1	1
406	не означает	1	1
407	в исторической	1	1
408	и глубины	1	1
409	и жизненной	1	1
410	важнее всего	1	1
411	и везде	1	1
412	исторического бытия	1	1
413	очень далеко	1	1
414	пор пока	1	1
415	может исчезнуть	1	1
416	во всей	2	1
417	русской культуры	1	1
418	к идеям	1	1
419	смысле могут	1	1
420	и должна	1	1
421	во многих	1	1
422	конечно и	1	1
423	е и	3	1
424	в себя	1	1
425	в которой	1	1
426	именно потому	1	1
427	как таковые	1	1
428	только один	1	1
429	одна сторона	1	1
430	и критика	1	1
431	историческом и	2	1
432	не могла	1	1
433	идут от	1	1
434	заключает в	2	1
435	только то	1	1
436	в xix	2	1
437	явление и	1	1
438	в историческом	1	1
439	что из	2	1
440	и всегда	1	1
441	в обстановке	7	1
442	всего что	1	1
443	многих случаях	1	1
444	соприкасается с	1	1
445	того кто	1	1
446	образом тем	1	1
447	проблема и	1	1
448	два различных	1	1
449	восточных культур	1	1
450	может отличаться	1	1
451	место в	1	1
452	тех пор	1	1
453	к науке	1	1
454	на две	1	1
455	к ним	1	1
456	в реальной	1	1
457	какой угодно	1	1
458	она может	1	1
459	культуры и	1	1
460	главным образом	2	1
461	если мы	1	1
462	гораздо большей	4	1
463	в ходе	1	1
464	но есть	1	1
465	и которая	1	1
466	не входят	1	1
467	что есть	1	1
468	же всего	1	1
469	всех стран	1	1
470	чем то	1	1
471	зрения можно	1	1
472	формы в	1	1
473	без того	1	1
474	теми же	1	1
475	настоящее время	1	1
476	же в	4	1
477	науки как	1	1
478	русской литературы	1	1
479	но новая	1	1
480	значило бы	1	1
481	до тех	1	1
482	момента и	1	1
483	он был	1	1
484	чем к	1	1
485	что изменения	1	1
486	были в	1	1
487	в европе	2	1
488	могут дать	1	1
489	та или	1	1
490	в настоящее	1	1
491	и особенно	1	1
492	свои собственные	1	1
493	тот же	3	1
494	с разных	1	1
495	смысле на	1	1
496	никак не	2	1
497	обратиться к	1	1
498	собой совокупность	1	1
