N	2gram	Nazirov_Vr	Hudozhes
336	в конце	3	1
337	мнения о	1	1
338	и эстетический	1	1
339	писал об	1	1
340	также в	1	1
341	и достоевского	9	1
342	человек в	1	1
343	же как	2	1
344	не есть	1	1
345	между прочим	1	1
346	рядом с	2	1
347	что ж	2	1
348	над тем	1	1
349	ли не	1	1
350	в авторском	1	1
351	и я	1	1
352	знаком и	1	1
353	его жизни	1	1
354	по его	1	1
355	служит для	1	1
356	в условиях	1	1
357	это было	1	1
358	при виде	1	1
359	встрече с	1	1
360	бы в	1	1
361	ему не	1	1
362	на них	1	1
363	и литературные	1	1
364	вошел в	1	1
365	в полной	1	1
366	в своих	4	1
367	свое место	1	1
368	любви она	1	1
369	дворянского гнезда	3	1
370	также и	1	1
371	одну из	1	1
372	нельзя не	1	1
373	человека как	1	1
374	и страшно	1	1
375	в развитии	1	1
376	можно признать	1	1
377	не могла	1	1
378	это была	1	1
379	что из	1	1
380	на свое	1	1
381	на это	2	1
382	было бы	1	1
383	а тем	1	1
384	писателей но	2	1
385	что для	1	1
386	этого типа	1	1
387	узнает в	1	1
388	личность и	2	1
389	с которым	2	1
390	же в	2	1
391	всю жизнь	1	1
392	в уме	1	1
393	говорить об	1	1
394	идет не	1	1
395	на то	3	1
396	что достоевский	4	1
397	в него	2	1
398	в известной	1	1
399	в е	1	1
400	к автору	2	1
401	более того	1	1
402	котором он	1	1
