N	2gram	Tiupa_Hudo	Otkroven
286	с какой	3	1
287	быть не	1	1
288	в ней	6	1
289	это часто	1	1
290	и своим	1	1
291	уже отмечали	3	1
292	и дело	3	1
293	самому себе	1	1
294	он видит	1	1
295	что это	2	1
296	в отношениях	1	1
297	а ведь	1	1
298	была поставлена	1	1
299	человека от	1	1
300	и тогда	2	1
301	этом отношении	4	1
302	один человек	2	1
303	может служить	1	1
304	жизни есть	1	1
305	всяком случае	1	1
306	он и	2	1
307	о чем	9	1
308	сознания в	2	1
309	в свое	1	1
310	в сущности	2	1
311	действующих лиц	3	1
312	человеческой индивидуальности	4	1
313	с достоевским	1	1
314	у его	2	1
315	но тем	2	1
316	в частности	10	1
317	говорит о	4	1
318	как это	8	1
319	ни был	1	1
320	может принимать	1	1
321	о нем	4	1
322	не оставляет	1	1
323	люди с	1	1
324	вкус к	1	1
325	чем у	1	1
326	только один	1	1
327	с утра	1	1
328	чего не	1	1
329	со всей	2	1
330	как у	2	1
331	что сам	1	1
332	со стороны	6	1
333	и через	1	1
334	своих героев	2	1
335	в которую	1	1
336	он должен	1	1
337	в науке	1	1
338	видеть в	1	1
339	не с	2	1
340	отношении к	1	1
341	внутренней своей	1	1
342	верю в	1	1
343	до вечера	2	1
344	за собой	1	1
345	всего его	1	1
346	и ему	5	1
347	с тобой	1	1
348	и что	3	1
349	в одном	3	1
350	силы в	1	1
351	на самом	2	1
352	они в	2	1
353	человеческого достоинства	1	1
354	его характер	3	1
355	он любил	1	1
356	в отношении	1	1
357	можно было	6	1
358	людей и	1	1
359	не потому	1	1
360	же не	3	1
361	бы и	2	1
362	заключает в	2	1
363	и это	7	1
364	ее с	1	1
365	в строгом	1	1
366	первые свои	1	1
367	всякого человека	1	1
368	и когда	4	1
369	и до	1	1
370	системы и	1	1
371	тайна и	1	1
372	этими двумя	1	1
373	утра до	1	1
374	проникнуть в	3	1
375	достоевского у	1	1
376	христианский писатель	1	1
377	по своей	5	1
378	от того	1	1
379	человека с	1	1
380	которая была	2	1
381	в них	3	1
382	у нее	10	1
383	действующие лица	2	1
384	в форме	2	1
385	развивал в	1	1
386	было и	1	1
387	любви к	2	1
388	не любит	2	1
389	видно что	3	1
390	в иных	1	1
391	некоторые места	1	1
392	перед ним	2	1
393	что нет	1	1
394	как например	2	1
395	не случайно	14	1
396	и даже	4	1
397	в чистом	1	1
398	все та	2	1
399	существа не	1	1
400	в глаза	1	1
401	всего что	1	1
402	это вопрос	1	1
403	часто случается	1	1
404	движении и	1	1
405	если бы	7	1
406	самом деле	6	1
407	и мыслей	1	1
408	говорит в	2	1
409	ведь все	1	1
410	и более	2	1
411	открывается в	1	1
412	самим собой	1	1
413	на примере	2	1
414	с ними	3	1
415	к чему	1	1
416	была бы	3	1
417	истории и	1	1
418	и сам	3	1
419	его собственная	1	1
420	у толстого	2	1
421	людей а	2	1
422	будто бы	6	1
423	в виду	1	1
424	в силу	2	1
425	самом начале	1	1
426	не иметь	1	1
427	мысли как	1	1
428	дело в	2	1
429	лишь по	1	1
430	не растворяется	1	1
431	которого они	1	1
432	места в	1	1
433	в мир	1	1
434	его творчества	1	1
435	и эта	3	1
436	в проповедях	1	1
437	во внешней	3	1
438	отношения к	1	1
439	жизни как	7	1
440	ошибочно было	1	1
441	ключ к	2	1
442	и каждый	2	1
443	заключается в	1	1
444	не делает	1	1
445	ее как	1	1
446	бы он	1	1
447	сказать в	1	1
448	еще ничего	1	1
449	в конце	5	1
450	например в	3	1
451	в жизни	9	1
452	между этими	1	1
453	человеком и	1	1
454	находится в	1	1
455	в глазах	11	1
456	в корне	1	1
457	характер и	3	1
458	во внутренней	1	1
459	с той	2	1
460	и без	1	1
461	на поверхности	1	1
462	как от	2	1
463	двух противоположных	1	1
464	и как	1	1
465	то в	6	1
466	этих словах	2	1
467	лишь с	1	1
468	в голову	3	1
469	все время	2	1
470	к его	1	1
471	о людях	1	1
472	так часто	1	1
473	в человеческой	1	1
474	человек в	3	1
475	приходит в	2	1
476	одно только	1	1
477	что она	10	1
478	а именно	1	1
479	личности чем	1	1
480	не самое	1	1
481	жизни и	10	1
482	всю жизнь	1	1
483	одна из	4	1
484	русской литературы	1	1
485	из путей	2	1
486	человека вообще	1	1
487	в мире	10	1
488	с тайной	1	1
489	в разных	1	1
490	одном из	1	1
491	который в	2	1
492	своей и	1	1
493	жизни ее	1	1
494	как в	11	1
495	как будто	7	1
496	против теории	1	1
497	речь о	1	1
498	даже до	1	1
499	на то	4	1
500	но у	2	1
501	что говорит	2	1
502	от этого	2	1
503	нет у	1	1
504	и я	1	1
505	есть на	1	1
506	нуждается в	2	1
507	и толстым	1	1
508	отличается от	1	1
509	да и	5	1
510	друг с	1	1
511	его жизни	6	1
512	счастья и	3	1
513	и достижения	1	1
514	ли он	1	1
515	ли может	1	1
516	говорит герой	1	1
517	и всемирной	1	1
518	нисколько не	1	1
519	и характер	1	1
520	интерес к	5	1
521	но это	2	1
522	мысли из	1	1
523	мыслей в	1	1
524	растворяется в	1	1
525	в движении	1	1
526	в это	4	1
527	не стал	2	1
528	которого не	1	1
529	себе и	3	1
530	чем и	1	1
531	с другом	1	1
532	и чем	1	1
533	которой нет	1	1
534	чтобы не	3	1
535	любви и	3	1
536	внутренней жизни	6	1
537	заглянуть в	1	1
538	сострадание к	2	1
539	она и	1	1
540	бы эта	1	1
541	к которой	1	1
542	жизни не	2	1
543	было не	1	1
544	к богу	1	1
545	из них	5	1
546	что их	1	1
547	вовсе не	2	1
548	это так	3	1
549	уже не	12	1
550	в одной	3	1
551	мысли в	2	1
552	с того	4	1
553	это была	2	1
554	особенно в	3	1
555	все внимание	1	1
556	с каким	1	1
557	говорится что	1	1
558	бы в	2	1
559	к другому	5	1
560	людей в	1	1
561	разговор с	2	1
