N	2gram	Kanaev_Sov	EvropaiC
146	может не	3	3
147	вследствие этого	1	3
148	и это	1	3
149	ничего общего	1	3
150	и вообще	1	3
151	только одно	1	3
152	и потому	3	3
153	на этой	3	3
154	в данном	1	3
155	отличие от	2	3
156	вопрос о	4	3
157	в ней	1	3
158	и может	1	3
159	если же	2	3
160	это не	4	3
161	и до	1	3
162	конечно не	1	3
163	в совершенно	1	3
164	а в	4	3
165	как известно	2	3
166	было бы	3	3
167	как мы	2	3
168	мы будем	1	3
169	но не	1	3
170	является ли	1	3
171	таким же	1	3
172	в настоящее	2	3
173	тот же	2	3
174	и наконец	5	3
175	подлежит сомнению	2	3
176	одной и	1	2
177	только не	1	2
178	во втором	1	2
179	надо всегда	1	2
180	все его	1	2
181	этот процесс	1	2
182	в общий	1	2
183	а это	1	2
184	те же	1	2
185	а затем	1	2
186	то и	2	2
187	но как	1	2
188	разобраться в	1	2
189	и из	1	2
190	в своих	1	2
191	не было	1	2
192	не знает	1	2
193	наконец не	2	2
194	теперь мы	1	2
195	вовсе не	1	2
196	что такой	1	2
197	такой же	2	2
198	но для	1	2
199	в один	2	2
200	и начало	1	2
201	жизни и	4	2
202	и будет	2	2
203	в процессе	1	2
204	между ними	1	2
205	их в	4	2
206	при таком	3	2
207	они не	1	2
208	не имеет	1	2
209	зависимости от	4	2
210	более как	1	2
211	нет в	1	2
212	должен быть	1	2
213	в эту	1	2
214	по его	1	2
215	этих двух	2	2
216	во всяком	2	2
217	этого явления	1	2
218	и более	1	2
219	и только	1	2
220	на этом	2	2
221	она не	1	2
222	всяком случае	2	2
223	к нему	1	2
224	в свою	2	2
225	одной стороны	1	2
226	на друга	1	2
227	в другом	1	2
228	не более	1	2
229	только один	2	2
230	всеми этими	1	2
231	говорить о	2	2
232	из двух	3	2
233	конечно в	2	2
234	заключает в	1	2
235	с общим	2	2
236	развития все	1	2
237	и те	1	2
238	этот вопрос	1	2
239	же время	1	2
240	из одного	2	2
241	свою очередь	2	2
242	очень мало	1	2
243	друг на	1	2
244	что же	5	2
245	промежуток времени	1	2
246	на такой	1	2
247	это конечно	1	2
248	той же	2	2
249	при условии	1	2
250	во всей	1	2
251	что она	3	2
252	одна из	3	2
253	но если	1	2
254	и его	1	2
255	мы видели	4	2
256	отнюдь не	3	2
257	в отдельных	1	2
258	в ту	1	2
259	независимо от	1	2
260	с ее	1	2
261	входящих в	1	2
262	тем же	2	2
263	и особенно	1	2
264	точку зрения	4	2
265	он должен	2	2
266	между всеми	2	1
267	видели что	3	1
268	мы видим	2	1
269	один из	1	1
270	оно может	1	1
271	это делает	1	1
272	точно такие	1	1
273	она и	1	1
274	один конец	1	1
275	правда весьма	1	1
276	отвлекается от	1	1
277	и свою	1	1
278	если в	1	1
279	ее на	2	1
280	и пр	2	1
281	рядом и	1	1
282	с и	1	1
283	в первое	1	1
284	уже в	3	1
285	мы не	9	1
286	чем объясняется	1	1
287	но еще	1	1
288	ним и	1	1
289	у каждого	3	1
290	отдельных элементов	1	1
291	еще более	2	1
292	приспособления к	1	1
293	заключают в	1	1
294	элементов и	1	1
295	человек с	1	1
296	или нет	1	1
297	кроме того	1	1
298	в корне	1	1
299	будет ли	1	1
300	не приходится	1	1
301	по мнению	2	1
302	ни другое	1	1
303	что такое	2	1
304	в область	1	1
305	только все	1	1
306	одному и	1	1
307	на которой	1	1
308	что каждый	1	1
309	нами в	1	1
310	а все	3	1
311	самое что	1	1
312	этом направлении	1	1
313	в ином	1	1
314	и развития	1	1
315	а на	2	1
316	например при	1	1
317	в зависимости	4	1
318	без всяких	1	1
319	в духе	1	1
320	или иной	2	1
321	ни одна	2	1
322	в первом	3	1
323	у всех	3	1
324	этого не	1	1
325	из приведенных	1	1
326	этого доказательства	1	1
327	который как	2	1
328	дело в	1	1
329	и эта	1	1
330	а но	1	1
331	развития в	2	1
332	только такой	1	1
333	бы все	1	1
334	мы получаем	3	1
335	случае не	1	1
336	на другую	1	1
337	определяет собою	1	1
338	ибо при	1	1
339	хотя конечно	1	1
340	для каждого	1	1
341	его мнению	1	1
342	рядом с	1	1
343	же остается	1	1
344	на эту	1	1
345	всю эту	1	1
346	жизни в	1	1
347	дело идет	1	1
348	так в	1	1
349	к концу	1	1
350	правда не	1	1
351	направление в	1	1
352	приводит к	2	1
353	именно эта	1	1
354	и следовательно	1	1
355	роль в	2	1
356	на его	2	1
357	для их	1	1
358	на их	2	1
359	конечно нет	1	1
360	много и	1	1
361	но мы	3	1
362	что следовательно	1	1
363	уже не	2	1
364	по крайней	1	1
365	науки в	1	1
366	отдельными частями	1	1
367	для этих	1	1
368	степень сложности	1	1
369	а потом	1	1
370	прошлого века	1	1
371	к одному	1	1
372	в каждом	8	1
373	это и	1	1
374	искать в	1	1
375	к среде	1	1
376	образом все	1	1
377	не является	1	1
378	только к	1	1
379	за шагом	1	1
380	бы к	1	1
381	вытекает из	1	1
382	с самого	3	1
383	для развития	2	1
384	все три	1	1
385	видим что	1	1
386	ведь в	1	1
387	время из	1	1
388	ли это	1	1
389	можем определить	1	1
390	и даже	2	1
391	для ее	1	1
392	на котором	2	1
393	шаг за	1	1
394	а из	1	1
395	совсем не	1	1
396	мы всегда	1	1
397	не быть	1	1
398	само собою	3	1
399	а может	1	1
400	в этот	1	1
401	просто не	1	1
402	на которых	1	1
403	когда этот	1	1
404	поэтому мы	3	1
405	в развитии	4	1
406	развития и	1	1
407	которой он	2	1
408	увидим что	1	1
409	только на	1	1
410	которые им	1	1
411	и та	1	1
412	следовательно они	1	1
413	в науке	2	1
414	все те	2	1
415	и наиболее	1	1
416	каждый раз	6	1
417	как всякая	1	1
418	можно было	1	1
419	ведь если	1	1
420	с понятием	1	1
421	самого начала	3	1
422	так называемых	3	1
423	не случайно	1	1
424	наука не	1	1
425	потом и	1	1
426	же самое	2	1
427	всегда и	1	1
428	и той	1	1
429	ни то	1	1
430	на которые	1	1
431	центр тяжести	1	1
432	может ли	1	1
433	и еще	1	1
434	тот или	2	1
435	он в	3	1
436	возможность и	2	1
437	вот к	1	1
438	эти доказательства	1	1
439	нет и	4	1
440	и благодаря	1	1
441	перед глазами	1	1
442	новое изменение	1	1
443	могут быть	2	1
444	на второй	1	1
445	благодаря этому	1	1
446	же они	1	1
447	от общей	1	1
448	быть в	1	1
449	жизни к	1	1
450	к которому	1	1
451	уже знаем	1	1
452	привилегированное положение	1	1
453	не знаем	2	1
454	этот остаток	1	1
455	на куски	1	1
456	причем эти	1	1
457	они одинаково	1	1
458	он может	3	1
459	в одинаковой	1	1
460	что роль	1	1
461	с его	1	1
462	от другой	1	1
463	сказать что	1	1
464	он сам	1	1
465	их на	1	1
466	все более	1	1
467	это просто	1	1
468	является только	1	1
469	важную роль	1	1
470	а не	3	1
471	может признать	1	1
472	каждого из	2	1
473	всюду где	1	1
474	крайней мере	1	1
475	ничего не	6	1
476	есть не	1	1
477	иное как	1	1
478	на них	1	1
479	вся эта	1	1
480	своего развития	1	1
481	такой путь	1	1
