N	2gram	Savitsky_P	Dialekti
455	находятся в	1	2
456	кто не	1	2
457	конечно и	1	2
458	в наших	1	2
459	существенно и	1	2
460	из тех	1	2
461	восприятия что	1	2
462	везде и	1	2
463	в которые	1	2
464	слова о	1	2
465	связана с	1	2
466	в древней	1	2
467	и образы	1	2
468	и теперь	1	2
469	именно на	1	2
470	и вся	1	2
471	идеи в	1	2
472	взгляда на	2	2
473	об идее	1	2
474	только это	2	2
475	было и	1	2
476	к науке	1	2
477	может оказаться	1	2
478	где бы	2	2
479	иного и	1	2
480	как к	1	2
481	ли или	1	2
482	эта не	1	2
483	в определенном	1	2
484	и живое	1	2
485	с которым	1	2
486	осуществляется в	2	2
487	очень и	1	2
488	на нее	1	2
489	в бытии	1	2
490	с другом	1	2
491	времени так	1	2
492	этих двух	1	2
493	там где	1	2
494	что каждая	1	2
495	обстановки и	1	2
496	есть как	1	2
497	как таковые	1	2
498	пусть не	1	2
499	еще в	1	2
500	веры в	1	2
501	и знать	1	2
502	и питаются	1	2
503	отличаться от	1	2
504	все еще	1	2
505	в эпоху	1	2
506	пусть в	1	2
507	слой в	1	1
508	и другие	1	1
509	нужно верить	1	1
510	выражена в	1	1
511	составе и	1	1
512	мира к	1	1
513	а никак	1	1
514	в применении	1	1
515	рассматривать с	1	1
516	формы в	1	1
517	сохранить и	1	1
518	думается что	1	1
519	iii в	2	1
520	миру в	1	1
521	в живом	1	1
522	этой последней	1	1
523	россии в	5	1
524	церковь и	1	1
525	чтобы в	1	1
526	люди и	1	1
527	всемирной истории	1	1
528	сфера где	1	1
529	воля и	1	1
530	идти в	1	1
531	это такое	1	1
532	сущности не	1	1
533	ведет к	1	1
534	исходить из	1	1
535	между прочим	2	1
536	и другим	1	1
537	силы они	1	1
538	давно уже	1	1
539	от первой	1	1
540	духа в	1	1
541	к небу	1	1
542	одновременно и	1	1
543	мы попали	1	1
544	казалось бы	1	1
545	говорится о	1	1
546	личности не	1	1
547	века в	1	1
548	применении к	1	1
549	что бога	1	1
550	нем в	1	1
551	бы из	1	1
552	если представить	1	1
553	который конечно	1	1
554	усилия и	1	1
555	ценности и	1	1
556	есть некоторая	1	1
557	своем значении	2	1
558	понять в	1	1
559	новую и	1	1
560	в прошлом	1	1
561	отдельности и	1	1
562	в язычестве	1	1
563	входят в	1	1
564	при виде	1	1
565	богов и	1	1
566	в реальной	1	1
567	без которой	1	1
568	бы ее	1	1
569	в европе	2	1
570	все существующее	1	1
571	в движении	1	1
572	большей степени	4	1
573	однако же	1	1
574	которая ни	1	1
575	с разных	1	1
576	у т	1	1
577	того чем	1	1
578	понимать что	1	1
579	жить и	1	1
580	она вообще	1	1
581	в психологии	1	1
582	время в	2	1
583	бытия не	1	1
584	прийти к	1	1
585	на этих	2	1
586	философской мысли	1	1
587	в недрах	2	1
588	идеи идея	1	1
589	положение что	1	1
590	и через	1	1
591	глаза на	1	1
592	сфер и	1	1
593	и мертвых	1	1
594	жизни она	1	1
595	есть с	1	1
596	сколько бы	2	1
597	упреков в	1	1
598	тем больше	1	1
599	христа и	1	1
600	является и	1	1
601	область где	1	1
602	плоть в	1	1
603	потому в	2	1
604	xviii века	1	1
605	до тех	1	1
606	интеллигенции как	1	1
607	живыми и	1	1
608	в обладании	1	1
609	и такое	1	1
610	всеми его	1	1
611	творения и	1	1
612	сущности а	1	1
613	в глубины	1	1
614	на какие	1	1
615	в эту	2	1
616	до которых	1	1
617	могли бы	1	1
618	есть признак	1	1
619	некотором смысле	1	1
620	действие в	1	1
621	ли не	1	1
622	мысль и	1	1
623	в философии	1	1
624	и понятиях	1	1
625	ему на	1	1
626	как осуществление	1	1
627	не верить	1	1
628	и весьма	2	1
629	в развитии	1	1
630	откровения и	1	1
631	из мира	1	1
632	полноты и	1	1
633	тем и	1	1
634	от церкви	1	1
635	выражается в	1	1
636	в историческом	1	1
637	для самой	1	1
638	над ним	1	1
639	литературы и	1	1
640	такова история	1	1
641	результат этого	1	1
642	не входят	1	1
643	теми же	1	1
644	бы оно	1	1
645	бы эти	1	1
646	ее нужно	1	1
647	теорий и	1	1
648	смысле на	1	1
649	и никому	1	1
650	поскольку не	1	1
651	бесконечное количество	1	1
652	теми кто	1	1
653	как одна	1	1
654	к другим	1	1
655	уяснить себе	1	1
656	такова же	1	1
657	в случаях	1	1
658	переходит в	1	1
659	с и	1	1
660	и который	1	1
661	себе слой	1	1
662	европа в	1	1
663	и менее	1	1
664	не тождественны	1	1
665	задача –	1	1
666	зрения той	1	1
667	xix в	1	1
668	ибо то	1	1
669	методами и	1	1
670	для них	2	1
671	совершенно явственно	1	1
672	но чтобы	1	1
673	знать что	2	1
674	могут стать	1	1
675	света как	3	1
676	нового не	1	1
677	оно ни	1	1
678	частях своих	1	1
679	почти исключительно	1	1
680	судить по	1	1
681	характер этого	1	1
682	эти явления	1	1
683	о мировом	1	1
684	в известном	1	1
685	уже она	1	1
686	факт она	1	1
687	широко и	1	1
688	приближением к	1	1
689	религиозного творчества	3	1
690	и часть	1	1
691	чем то	1	1
692	на основе	1	1
693	и наше	1	1
694	они несомненно	1	1
695	как высшее	1	1
696	в которую	2	1
697	одна сторона	1	1
698	вобрать в	1	1
699	при существовании	1	1
700	он пришел	1	1
701	уже невозможно	1	1
702	каждый из	1	1
703	нигде в	1	1
704	есть утверждение	1	1
705	и будущее	1	1
706	в отличие	1	1
707	переход от	2	1
708	мира но	1	1
709	какой она	1	1
710	в определенную	2	1
711	и самих	1	1
712	к миру	1	1
713	в отечестве	1	1
714	нужно говорить	1	1
715	виде то	1	1
716	исключительно в	2	1
717	весьма мало	2	1
718	обратиться к	1	1
719	из этой	1	1
720	так раскрывается	1	1
721	знание в	1	1
722	наших глазах	1	1
723	тем в	1	1
724	обе эти	1	1
725	в окружающем	1	1
726	не будем	2	1
727	лиц и	1	1
728	духа есть	1	1
729	– но	1	1
730	неотъемлемой ее	1	1
731	определенный момент	1	1
732	где он	1	1
733	признавать что	1	1
734	сторона –	1	1
735	к внешнему	1	1
736	в ином	1	1
737	царская власть	1	1
738	столь же	3	1
739	а также	4	1
740	этом не	1	1
741	в окружающих	1	1
742	слова но	2	1
743	считают себя	1	1
744	эта основная	1	1
745	несколько веков	1	1
746	в позднем	1	1
747	не та	1	1
748	я глубоко	1	1
749	на фоне	1	1
750	и утверждается	1	1
751	в церковь	1	1
752	не все	1	1
753	поскольку она	1	1
754	полной мере	2	1
755	мир с	1	1
756	за то	1	1
757	стремиться к	1	1
758	которую мы	2	1
759	философской и	1	1
760	суждения об	1	1
761	поскольку они	1	1
762	эти ценности	1	1
763	может идти	1	1
764	пор пока	1	1
765	этом мире	1	1
766	и простую	1	1
767	суть формы	1	1
768	к смерти	1	1
769	в пределах	8	1
770	как явление	1	1
771	пространство в	1	1
772	окружающем ее	1	1
773	человека с	1	1
774	что из	2	1
775	два различных	1	1
776	других же	1	1
777	о выходе	1	1
778	как некоего	1	1
779	можно быть	1	1
780	тем чтобы	1	1
781	науки как	1	1
782	и везде	1	1
783	в эти	1	1
784	протекает не	1	1
785	это в	1	1
786	которых не	1	1
787	которого невозможно	1	1
788	и скоро	1	1
