N	2gram	Tiupa_Disk	Morfolog
252	или по	1	2
253	не с	4	2
254	или нет	1	2
255	которое может	2	2
256	например с	1	2
257	лишь на	1	2
258	не на	3	2
259	оно не	2	2
260	в своих	6	2
261	более или	2	2
262	под углом	1	2
263	в россии	1	2
264	например в	4	2
265	с тем	1	2
266	в в	1	2
267	их в	2	2
268	обоих случаях	1	2
269	является функцией	1	2
270	в которых	5	2
271	себя и	2	2
272	не имеет	1	2
273	углом зрения	1	2
274	роль в	10	2
275	в каком	1	2
276	к другому	3	2
277	но оно	1	2
278	во всяком	3	2
279	его и	1	2
280	можно сказать	7	2
281	в данном	9	2
282	в основе	11	2
283	и более	1	2
284	что этот	1	2
285	в круг	1	2
286	в жены	1	2
287	чему не	1	2
288	но здесь	2	2
289	одной стороны	12	2
290	на друга	1	2
291	и иных	1	2
292	в другом	5	2
293	в каких	1	2
294	том как	1	2
295	на спине	1	2
296	к себе	2	2
297	этом явлении	1	2
298	в середине	1	2
299	в одном	5	2
300	в различных	2	2
301	превращается в	1	2
302	тогда как	28	2
303	в обоих	1	2
304	вот как	1	2
305	действия и	1	2
306	друг на	1	2
307	что же	4	2
308	в данной	3	2
309	тем же	1	2
310	тех случаях	1	2
311	одной из	4	2
312	из первых	1	2
313	на этот	1	2
314	что она	1	2
315	момент в	3	2
316	появляется в	1	2
317	всяком случае	2	2
318	чем это	1	2
319	себя в	8	2
320	для него	9	2
321	в свое	3	2
322	не сообщает	1	2
323	ответ на	1	2
324	к различным	2	2
325	то они	1	2
326	в научной	1	2
327	ничем не	1	2
328	является результатом	1	2
329	как такового	1	2
330	данном случае	6	2
331	собой в	1	2
332	с одной	12	2
333	и за	1	2
334	ни к	11	2
335	этом отношении	4	2
336	их как	1	2
337	и сказки	6	2
338	все это	2	2
339	для последующей	1	2
340	с другими	1	2
341	но с	1	2
342	иногда и	1	2
343	не знает	4	2
344	этого не	1	2
345	наших дней	2	2
346	с двумя	1	2
347	как таковая	1	2
348	а впоследствии	1	2
349	одним из	2	2
350	это еще	2	2
351	за которым	2	2
352	случаях когда	1	2
353	герой в	1	2
354	не от	2	2
355	по своему	3	2
356	в чем	2	2
357	или менее	2	2
358	в одной	4	2
359	а потом	2	2
360	нарушение запрета	1	2
361	обычно в	1	2
362	а с	8	2
363	и сказка	3	2
364	см ниже	1	2
365	случае если	1	2
366	и даже	4	2
367	в самых	1	2
368	она не	1	2
369	что ни	3	2
370	здесь только	1	2
371	не по	1	2
372	в поступках	1	2
373	дело не	3	2
374	быть и	2	2
375	в частности	18	2
376	из этих	3	2
377	должны быть	3	2
378	от отца	1	2
379	всех других	1	2
380	волшебной сказке	2	2
381	и басни	1	2
382	как их	2	2
383	из его	1	2
384	однако в	3	2
385	до наших	1	2
386	как будто	3	2
387	право на	1	2
388	в начальной	1	2
389	не определяет	1	2
390	но они	3	2
391	герой не	1	2
392	что до	1	2
393	во второй	1	2
394	в той	2	1
395	в особенности	5	1
396	были бы	1	1
397	во всем	2	1
398	не обязывающий	1	1
399	нет а	1	1
400	они имеют	1	1
401	однако и	2	1
402	и может	3	1
403	образом и	1	1
404	для всех	2	1
405	до сих	1	1
406	всего в	2	1
407	можно говорить	2	1
408	за ним	1	1
409	не нужна	1	1
410	и на	8	1
411	же и	1	1
412	как с	1	1
413	в рассказе	6	1
414	собой некоторую	1	1
415	действий в	1	1
416	в момент	2	1
417	рассказ о	3	1
418	его из	1	1
419	следует ли	1	1
420	его с	2	1
421	понятие как	1	1
422	на ее	2	1
423	но общий	1	1
424	красоте и	1	1
425	но им	1	1
426	или иных	1	1
427	дело с	2	1
428	приводит в	1	1
429	их поступки	1	1
430	при этом	22	1
431	даже в	1	1
432	тем как	1	1
433	не требует	3	1
434	те же	1	1
435	которые по	1	1
436	не являются	1	1
437	четкий и	1	1
438	одно из	4	1
439	не столько	3	1
440	из нескольких	1	1
441	и делает	1	1
442	достигается лишь	1	1
443	и охватывает	2	1
444	и создает	1	1
445	для данного	3	1
446	со всеми	1	1
447	в них	6	1
448	этом основании	1	1
449	как было	1	1
450	мотив в	1	1
451	или во	1	1
452	стоит в	1	1
453	он имеет	1	1
454	в некое	1	1
455	содержание сказки	1	1
456	наиболее известных	1	1
457	на свой	1	1
458	до этого	1	1
459	от одного	1	1
460	и с	2	1
461	от текста	1	1
462	которого можно	1	1
463	такая ситуация	1	1
464	равно как	1	1
465	и все	5	1
466	мысль о	3	1
467	более широкого	1	1
468	одновременно с	2	1
469	еще в	6	1
470	ведь для	1	1
471	в саду	1	1
472	комплекс мотивов	1	1
473	обращается к	1	1
474	именно в	5	1
475	ведет к	6	1
476	не делает	1	1
477	и действительно	1	1
478	исходить из	1	1
479	принадлежат к	3	1
480	том или	1	1
481	отношения к	2	1
482	литературных жанров	22	1
483	может получить	1	1
484	также не	1	1
485	данный текст	1	1
486	там же	3	1
487	как не	3	1
488	с ними	1	1
489	а именно	1	1
490	сложный случай	1	1
491	это время	1	1
492	в своей	10	1
493	одновременно и	3	1
494	и герой	3	1
495	отнесены к	1	1
496	представляли собой	1	1
497	это бывает	1	1
498	лица в	1	1
499	только третья	1	1
500	мотивов но	1	1
501	всех подобных	2	1
502	бы не	1	1
503	обычно оно	1	1
504	ключом к	2	1
505	о котором	2	1
506	влияния на	2	1
507	в это	1	1
508	в следующей	1	1
509	всей своей	2	1
510	которая не	1	1
511	на своем	1	1
512	к созданию	1	1
513	каждый тип	1	1
514	на русском	1	1
515	и нет	1	1
516	они по	1	1
517	к текстам	1	1
518	исследований и	1	1
519	сказки где	1	1
520	еще и	1	1
521	ситуации в	1	1
522	во все	1	1
523	на самого	3	1
524	в котором	7	1
525	как целое	1	1
526	которые однако	1	1
527	дает себя	1	1
528	она могла	1	1
529	говорить не	1	1
530	в свою	3	1
531	в первоначальном	1	1
532	лежат в	1	1
533	не должно	2	1
534	в отдельности	1	1
535	можно усмотреть	2	1
536	каждый в	2	1
537	а через	1	1
538	в этот	1	1
539	уже было	2	1
540	с помощью	1	1
541	между двумя	1	1
542	то все	1	1
543	только на	2	1
544	же относятся	1	1
545	втором случае	1	1
546	частности как	2	1
547	которых она	1	1
548	приходит к	1	1
549	которую он	1	1
550	е годы	2	1
551	и была	1	1
552	на примере	3	1
553	тому или	1	1
554	не будет	1	1
555	и до	2	1
556	двух точек	1	1
557	другому что	1	1
558	и те	1	1
559	не вполне	1	1
560	же время	9	1
561	самого начала	2	1
562	свою очередь	3	1
563	за тридевять	1	1
564	перед ним	2	1
565	же самое	2	1
566	о добывании	1	1
567	с другим	1	1
568	это разделение	1	1
569	известной степени	3	1
570	соглашаясь с	1	1
571	человека эта	1	1
572	этим создается	1	1
573	может ли	1	1
574	как на	1	1
575	что здесь	1	1
576	из наиболее	2	1
577	и там	1	1
578	текста к	2	1
579	одно и	2	1
580	от героя	1	1
581	он в	1	1
582	отношение к	6	1
583	не как	5	1
584	мог бы	1	1
585	сын и	1	1
586	русском языке	1	1
587	функций и	1	1
588	самого героя	1	1
589	а сам	4	1
590	рассматривать их	1	1
591	сказка но	1	1
592	она имела	1	1
593	такая же	1	1
594	сказку от	1	1
595	то она	2	1
596	видов не	1	1
597	и моральной	1	1
598	и ситуацию	1	1
599	как делает	1	1
600	формы для	1	1
601	же из	1	1
602	до известной	2	1
603	не стоит	1	1
604	он сам	2	1
605	в противном	1	1
606	что даже	2	1
607	и две	1	1
608	героя то	1	1
609	многие из	1	1
610	о чем	4	1
611	а для	1	1
612	тот свет	1	1
613	только о	2	1
614	в ее	4	1
615	своего труда	1	1
616	не то	2	1
617	эту форму	1	1
618	действительно в	1	1
619	другим что	2	1
620	грань между	1	1
621	об их	1	1
622	как к	2	1
623	и то	4	1
624	не зная	1	1
625	в себе	22	1
626	но на	1	1
627	книга о	1	1
628	собой и	1	1
629	ему в	3	1
630	героев в	1	1
631	его семью	1	1
632	зависит и	1	1
633	но прежде	1	1
634	указать на	3	1
635	должно быть	2	1
636	эта ситуация	1	1
637	тридевять земель	1	1
638	время и	2	1
639	в первый	1	1
640	сколько в	1	1
641	следует сказать	1	1
642	в состоянии	1	1
643	в его	9	1
644	у тебя	1	1
645	является следствием	1	1
646	он как	1	1
647	не стремится	1	1
648	на что	1	1
649	очерк не	1	1
650	целого а	1	1
651	бы на	1	1
652	каких же	1	1
653	как раз	1	1
654	что так	1	1
655	в формах	2	1
656	о нем	3	1
657	что с	2	1
658	в полном	2	1
659	что каждый	1	1
660	иными словами	1	1
661	стремится к	3	1
662	там и	1	1
663	делает это	1	1
664	слова а	1	1
665	таком случае	1	1
666	в их	5	1
667	вспомнить о	1	1
668	такого случая	1	1
669	в г	2	1
670	в рамках	11	1
671	и притом	1	1
672	о возможности	1	1
673	морфология сказки	1	1
674	или иной	8	1
675	впоследствии на	1	1
676	более близких	1	1
677	рассказа как	4	1
678	начала в	1	1
679	героя с	1	1
680	как нарушение	1	1
681	в виду	2	1
682	дело в	3	1
683	что не	4	1
684	как его	2	1
685	здесь возможны	1	1
686	как нечто	2	1
687	где нет	1	1
688	о жизни	1	1
689	и всю	1	1
690	в таком	1	1
691	бы быть	3	1
692	между ними	1	1
693	есть в	3	1
694	но по	1	1
695	эти две	1	1
696	не есть	3	1
697	говорят о	1	1
698	а их	1	1
699	мнение что	1	1
700	в мире	9	1
701	слова не	3	1
702	так в	1	1
703	противном случае	1	1
704	в ряду	4	1
705	к концу	1	1
706	на одном	1	1
707	на все	1	1
708	и со	1	1
709	с некоторой	1	1
710	остановимся на	1	1
711	со своей	2	1
712	качестве примера	2	1
713	служит для	2	1
714	сходным образом	1	1
715	о которых	1	1
716	бы мы	1	1
717	войти в	1	1
718	же касается	4	1
719	иногда не	2	1
720	и должны	1	1
721	точек зрения	1	1
722	и это	3	1
723	быть зафиксирована	1	1
724	из одного	1	1
725	вследствие чего	2	1
726	не нужно	2	1
727	и развития	1	1
728	из материала	1	1
729	могло бы	1	1
730	сих пор	1	1
731	вводит в	1	1
732	и вообще	2	1
733	той или	6	1
734	другом случае	1	1
735	людей в	1	1
736	в волшебной	2	1
737	из головы	1	1
738	этих двух	1	1
739	всех видов	1	1
740	в русской	4	1
741	в каждом	2	1
742	читателя в	1	1
743	здесь как	1	1
744	того или	3	1
745	более чем	3	1
746	и эти	1	1
747	же с	1	1
748	следит за	1	1
749	таким же	1	1
750	с самого	2	1
751	уже неоднократно	1	1
752	отличие от	13	1
753	значимости для	1	1
754	такие же	1	1
755	действия в	1	1
756	xv в	1	1
757	типа действительно	1	1
758	быть названа	1	1
759	он ничего	2	1
760	данное понятие	1	1
761	то чего	1	1
762	при отсутствии	2	1
763	вопрос на	1	1
764	и ни	1	1
765	одну из	2	1
766	на отношения	1	1
767	весьма ограниченно	1	1
768	самому себе	3	1
769	он обращается	1	1
770	так что	1	1
771	не более	3	1
772	и художественный	1	1
773	где герой	3	1
774	на которых	1	1
775	является его	1	1
776	это по	1	1
777	что отец	1	1
778	что касается	2	1
779	как объект	1	1
780	его не	1	1
781	но она	3	1
782	их действия	1	1
783	не приходится	2	1
784	значение или	1	1
785	ее решение	1	1
786	не дает	1	1
787	включается в	1	1
788	в нашей	1	1
789	его жизнь	1	1
790	но об	1	1
791	этом сказка	1	1
792	исключает все	1	1
793	впоследствии к	1	1
794	они хотят	1	1
795	неожиданно и	1	1
796	к которой	1	1
797	из важнейших	2	1
798	можно утверждать	1	1
799	он представляет	1	1
800	когда мы	1	1
801	следует вторая	1	1
802	рассматривать как	2	1
803	и несколько	1	1
804	что далеко	1	1
805	целом и	1	1
806	в тексте	5	1
807	чем она	1	1
808	состоят в	1	1
809	оно имеет	1	1
810	он вдруг	1	1
811	и каждый	1	1
812	они принадлежат	1	1
813	которые в	1	1
814	это делает	1	1
815	этом и	1	1
816	примерами в	1	1
817	ее а	1	1
818	брат и	1	1
819	собой уже	1	1
820	же картина	1	1
821	в голову	2	1
822	теми же	1	1
823	в силу	5	1
824	и художественной	1	1
825	здесь также	2	1
826	например о	1	1
827	что данная	1	1
828	такой же	1	1
829	сведения о	1	1
830	как при	1	1
831	из этого	1	1
832	при изучении	1	1
833	в области	3	1
834	его к	1	1
835	тех или	1	1
836	ее может	1	1
837	определить как	2	1
838	не отвечает	1	1
839	может трактоваться	1	1
840	ли в	1	1
841	может и	4	1
842	с ее	3	1
843	всех этих	1	1
844	он был	1	1
845	имеет свою	3	1
846	ср кто	1	1
847	или точнее	1	1
848	до его	1	1
849	текста на	1	1
850	их отношении	1	1
851	и наконец	2	1
852	еще одно	1	1
853	сказка как	1	1
854	вплоть до	2	1
855	где мы	1	1
856	в е	3	1
857	вопросом о	1	1
