N	2gram	Propp_Russ	Otkroven
247	на свободу	1	1
248	людей и	1	1
249	не потому	1	1
250	же не	2	1
251	и это	2	1
252	это подтверждается	2	1
253	ее с	2	1
254	там и	2	1
255	и до	3	1
256	же загадка	1	1
257	по содержанию	3	1
258	не вполне	1	1
259	в русском	4	1
260	за это	1	1
261	с великим	1	1
262	которые будут	1	1
263	иначе чем	1	1
264	есть уже	1	1
265	от того	1	1
266	человека с	1	1
267	остаются на	1	1
268	думать что	3	1
269	в них	10	1
270	в форме	3	1
271	счастье на	1	1
272	значение что	1	1
273	связь с	1	1
274	и всех	2	1
275	видно что	8	1
276	в иных	2	1
277	христа и	3	1
278	как например	6	1
279	не случайно	2	1
280	и даже	1	1
281	в глаза	3	1
282	подошел к	1	1
283	если бы	1	1
284	самом деле	1	1
285	у которых	2	1
286	иногда и	7	1
287	ii в	2	1
288	исходит от	1	1
289	и более	3	1
290	вот что	1	1
291	с ними	6	1
292	и сам	1	1
293	тут все	1	1
294	будто бы	10	1
295	в виду	3	1
296	в силу	2	1
297	и начинается	1	1
298	на этот	3	1
299	дело в	1	1
300	месте и	1	1
301	которого они	1	1
302	из самых	2	1
303	два и	1	1
304	его как	2	1
305	тем же	1	1
306	жизни как	1	1
307	но есть	3	1
308	и каждый	1	1
309	начиная с	4	1
310	ее как	1	1
311	связанным с	1	1
312	рисует картину	1	1
313	и действительно	2	1
314	в конце	1	1
315	например в	3	1
316	в жизни	2	1
317	человеком и	1	1
318	они живут	2	1
319	находится в	3	1
320	был в	1	1
321	с той	2	1
322	и без	1	1
323	на поверхности	1	1
324	как от	1	1
325	и как	2	1
326	все время	1	1
327	что она	4	1
328	есть та	1	1
329	а именно	2	1
330	жизни и	1	1
331	одна из	12	1
332	в древнем	4	1
333	о русской	1	1
334	он во	1	1
335	в разных	3	1
336	одном из	1	1
337	в одно	2	1
338	который в	2	1
339	как в	10	1
340	этого слова	3	1
341	другом месте	1	1
342	как будто	6	1
343	в совершенно	1	1
344	на то	2	1
345	но у	1	1
346	и раньше	1	1
347	говорят о	1	1
348	а иногда	6	1
349	быть назван	1	1
350	от этого	2	1
351	в народном	4	1
352	нуждается в	1	1
353	что во	1	1
354	друг с	1	1
355	ли он	1	1
356	православия и	1	1
357	видел в	2	1
358	и характер	1	1
359	интерес к	2	1
360	но это	5	1
361	в эти	4	1
362	и после	2	1
363	мыслей в	1	1
364	в это	4	1
365	мир и	1	1
366	женщины и	1	1
367	себе и	1	1
368	чем и	1	1
369	с другом	1	1
370	чтобы не	1	1
371	любви и	1	1
372	их во	1	1
373	что пишет	1	1
374	было не	1	1
375	из них	12	1
376	что их	1	1
377	под влиянием	1	1
378	это так	1	1
379	уже не	9	1
380	в одной	1	1
381	с того	1	1
382	есть один	1	1
383	говорится что	4	1
384	и самый	1	1
385	бы ни	1	1
386	к другому	2	1
