N	2gram	Tiupa_Narr	NovoeSre
302	в обнаружении	2	1
303	лишь новое	1	1
304	по себе	5	1
305	жили в	1	1
306	приводит к	2	1
307	оно может	2	1
308	нет у	2	1
309	в области	2	1
310	времени а	1	1
311	жизни мы	1	1
312	нуждается в	5	1
313	с ним	1	1
314	и только	2	1
315	человек не	1	1
316	от всех	2	1
317	обращения к	1	1
318	и оно	1	1
319	она могла	1	1
320	только потому	1	1
321	распадается на	1	1
322	убеждения в	1	1
323	в это	1	1
324	в универсуме	1	1
325	того же	1	1
326	в известном	2	1
327	во времени	8	1
328	не случайно	2	1
329	в чем	1	1
330	и его	5	1
331	что вообще	1	1
332	слова в	1	1
333	и у	1	1
334	одного и	1	1
335	но сама	2	1
336	жизни с	1	1
337	жизнью и	2	1
338	героя но	1	1
339	от этого	1	1
340	мира с	1	1
341	обратиться к	1	1
342	который и	1	1
343	себя и	2	1
344	к нему	5	1
345	становится в	1	1
346	ему не	1	1
347	на них	1	1
