N	2gram	Bakhtin_KF	PoTuStor
465	к такой	1	1
466	и входит	1	1
467	а не	17	1
468	ни один	1	1
469	значение для	1	1
470	должны быть	1	1
471	имеем в	2	1
472	в которую	1	1
473	и та	3	1
474	отношений между	1	1
475	всюду мы	1	1
476	других людей	3	1
477	единую ткань	1	1
478	так чтобы	1	1
479	где же	1	1
480	конечно в	2	1
481	этим не	2	1
482	ни одно	5	1
483	ориентируется в	1	1
484	говоря о	1	1
485	не следует	2	1
486	к чему	3	1
487	и жизни	4	1
488	уже и	1	1
489	можно ли	2	1
490	от того	3	1
491	акт ее	1	1
492	действительно бывшем	1	1
493	это может	1	1
494	человека и	3	1
495	всей его	2	1
496	а во	1	1
497	мы здесь	3	1
498	бы по	1	1
499	лишь в	8	1
500	нем и	3	1
501	нами и	1	1
502	ничего общего	2	1
503	я в	1	1
504	же на	1	1
505	же самое	1	1
506	в эту	1	1
507	выходит из	1	1
508	жизнь как	6	1
509	под ним	2	1
510	ее не	1	1
511	она может	1	1
512	культуры и	5	1
513	сознания т.е	1	1
514	главным образом	1	1
515	этом пути	1	1
516	со своего	5	1
517	плотью и	1	1
518	по которой	1	1
519	их а	1	1
520	той же	1	1
521	что есть	2	1
522	своем месте	2	1
523	социальные и	1	1
524	это приводит	1	1
525	него все	1	1
526	но нет	2	1
527	и культуры	1	1
528	бы он	2	1
529	исключительно на	1	1
530	о его	1	1
531	всех сторон	1	1
532	что я	5	1
533	теоретического познания	6	1
534	биологический и	1	1
535	что может	1	1
536	взаимоотношение двух	1	1
537	в нашем	1	1
538	с чем	1	1
539	только при	1	1
540	как я	1	1
541	абстрактный момент	2	1
542	лучше всего	1	1
543	все остальное	2	1
544	с которым	1	1
545	в духе	1	1
546	т.е как	1	1
547	или иной	2	1
548	же в	1	1
549	что она	1	1
550	при нашем	1	1
551	теории и	3	1
552	говорить об	1	1
553	одна из	1	1
554	любви к	1	1
555	формы и	1	1
556	этот момент	7	1
557	бы ни	1	1
558	считаем нужным	1	1
559	по поводу	1	1
560	его к	2	1
561	были в	1	1
562	человек не	2	1
563	это в	1	1
564	это уже	2	1
565	и имеют	1	1
566	жизни рождение	1	1
567	к этим	1	1
568	растворяется в	1	1
569	он действительно	1	1
570	мы должны	1	1
571	из него	4	1
572	него что	1	1
573	не случайно	1	1
574	себя в	8	1
575	одного и	2	1
576	тот же	3	1
577	деятельности и	2	1
578	ничего не	3	1
579	было с	1	1
580	имеет места	1	1
581	на пользу	1	1
582	лишь моментом	2	1
583	шопенгауэр и	1	1
584	человека но	1	1
585	своего развития	1	1
586	единство в	1	1
587	к нему	12	1
