N	3gram	Tiupa_Disk	StatiiOP
193	и именно в	1	1
194	может быть ни	1	1
195	гораздо проще чем	1	1
196	ту или иную	1	1
197	к такому состоянию	1	1
198	в результате этого	1	1
199	это в равной	1	1
200	к м годам	1	1
201	почти одновременно с	1	1
202	точка зрения на	1	1
203	так и на	1	1
204	не приходится удивляться	2	1
205	в такого рода	2	1
206	под углом зрения	1	1
207	не дошли но	1	1
208	это еще не	2	1
209	не совпадают с	1	1
210	именно в этом	1	1
211	одно и то	2	1
212	содержит в себе	3	1
213	то все же	1	1
214	прежде всего к	1	1
215	именно в той	1	1
216	не заметить что	1	1
217	но в большинстве	1	1
218	при всей их	1	1
219	можно даже сказать	1	1
220	одному и тому	1	1
221	именно в том	1	1
222	устных и письменных	1	1
223	он говорит и	1	1
224	не могут быть	1	1
225	и все же	3	1
226	том что не	1	1
227	по мнению автора	1	1
228	с другой в	1	1
229	не должно было	1	1
230	по мере его	1	1
231	дошли но есть	1	1
232	это делает вполне	1	1
233	тому как мы	1	1
234	однако и оно	1	1
235	и не только	2	1
236	также и в	1	1
237	одной стороны он	1	1
238	упускать из виду	2	1
239	с ней в	1	1
240	ни в чем	1	1
241	тот или иной	2	1
242	в другом случае	1	1
243	что этот человек	1	1
244	неотделимо от его	1	1
245	впоследствии исключил из	1	1
