N	2gram	Savitsky_P	EvropaiC
200	во всяком	1	2
201	знаем и	1	2
202	и более	1	2
203	в котором	4	2
204	до тех	1	2
205	и только	1	2
206	эти последние	1	2
207	она не	1	2
208	при отсутствии	1	2
209	всяком случае	1	2
210	именно потому	1	2
211	одной стороны	3	2
212	также и	1	2
213	только мы	1	2
214	не более	1	2
215	и уже	1	2
216	только один	1	2
217	говорить о	2	2
218	из двух	1	2
219	ценности и	1	2
220	заключает в	2	2
221	только то	1	2
222	же время	7	2
223	рассматривать как	1	2
224	промежуток времени	1	2
225	к ним	1	2
226	тех пор	1	2
227	современной европейской	2	2
228	во всей	2	2
229	в частности	2	2
230	одна из	2	2
231	отнюдь не	2	2
232	не будут	1	2
233	с ее	1	2
234	из европы	1	2
235	тем же	1	2
236	и особенно	1	2
237	и ее	1	2
238	друг друга	1	2
239	гораздо более	1	2
240	из этой	1	2
241	с к	7	1
242	и греческой	1	1
243	к сожалению	1	1
244	были бы	1	1
245	об отсталости	2	1
246	они являются	1	1
247	более мелких	1	1
248	и другие	1	1
249	культурного развития	1	1
250	чтобы это	1	1
251	мы видим	1	1
252	никакого сомнения	1	1
253	правила и	1	1
254	положение что	1	1
255	и среди	1	1
256	если в	2	1
257	на сторону	1	1
258	эта не	1	1
259	от этой	1	1
260	и пр	5	1
261	с и	1	1
262	том числе	2	1
263	уже в	1	1
264	мы не	3	1
265	наших глазах	1	1
266	время в	2	1
267	русские интеллигенты	1	1
268	у каждого	1	1
269	именно как	2	1
270	по всему	1	1
271	еще более	2	1
272	эта идея	2	1
273	себе те	1	1
274	создается в	2	1
275	на этих	2	1
276	в ее	2	1
277	никак не	2	1
278	мысли и	1	1
279	в качестве	9	1
280	чем тот	1	1
281	в тот	2	1
282	в прошлом	1	1
283	области техники	1	1
284	с европой	1	1
285	признавать что	1	1
286	быть может	6	1
287	к жизни	1	1
288	в отношении	10	1
289	в ином	1	1
290	тем больше	1	1
291	цивилизация есть	1	1
292	что составляет	1	1
293	и притом	1	1
294	в борьбе	1	1
295	и многие	1	1
296	называли себя	1	1
297	или иной	1	1
298	начала в	1	1
299	этом не	1	1
300	во многих	1	1
301	мысль о	2	1
302	на себя	1	1
303	развития в	1	1
304	за тем	1	1
305	есть признак	1	1
306	или иная	1	1
307	я и	3	1
308	например в	2	1
309	более что	1	1
310	отношения к	2	1
311	и другим	1	1
312	и как	3	1
313	есть нечто	2	1
314	для каждого	1	1
315	стремления к	1	1
316	стремление к	1	1
317	дело идет	1	1
318	отчасти и	1	1
319	заставить их	1	1
320	сливаются в	1	1
321	о господстве	1	1
322	и я	1	1
323	да и	2	1
324	с чертами	1	1
325	можно рассматривать	1	1
326	со стороны	2	1
327	идеи и	1	1
328	это имеет	1	1
329	смысл этого	1	1
330	в других	1	1
331	относиться к	1	1
332	бы это	1	1
333	связаны с	1	1
334	сильны и	1	1
335	русской истории	1	1
336	в каждом	1	1
337	нет ничего	1	1
338	ли они	1	1
339	тем в	1	1
340	к истине	1	1
341	ни на	1	1
342	ибо только	1	1
343	и эти	1	1
344	что от	1	1
345	только к	1	1
346	за то	1	1
347	с большою	1	1
348	среды в	1	1
349	она должна	1	1
350	которую мы	2	1
351	на свои	1	1
352	этого сделать	1	1
353	и главное	1	1
354	та или	1	1
355	эти ценности	1	1
356	и вот	2	1
357	в значительной	2	1
358	почти исключительно	1	1
359	подошел к	2	1
360	и весьма	2	1
361	в развитии	1	1
362	с которой	1	1
363	должна была	1	1
364	в государство	1	1
365	н с	2	1
366	сущность которого	1	1
367	об отношении	1	1
368	только на	1	1
369	два различных	1	1
370	борьбе с	1	1
371	одно и	1	1
372	не были	1	1
373	в различных	1	1
374	на пути	4	1
375	не могла	1	1
376	связь между	1	1
377	россии в	5	1
378	на основании	1	1
379	тем и	1	1
380	взгляда на	2	1
381	как оно	1	1
382	всего что	1	1
383	национального целого	1	1
384	того кто	1	1
385	числе и	1	1
386	может ли	2	1
387	и еще	1	1
388	к первому	1	1
389	тот или	1	1
390	возможно что	1	1
391	ней и	1	1
392	с у	1	1
393	главным образом	2	1
394	отличаться от	1	1
395	наряду с	3	1
396	многие русские	1	1
397	могут быть	3	1
398	находится в	1	1
399	во времена	1	1
400	народы мира	1	1
401	сходства между	1	1
402	к а	1	1
403	что именно	1	1
404	в современной	1	1
405	европы и	1	1
406	с его	1	1
407	бы ни	2	1
408	для тех	2	1
409	что во	1	1
410	это сделать	1	1
411	иначе как	1	1
412	современности и	1	1
413	а не	2	1
414	большей степени	4	1
415	более ранняя	1	1
416	ценности в	2	1
417	пути к	1	1
418	мы возьмем	1	1
419	применительно к	1	1
420	и тем	2	1
421	есть не	2	1
422	есть как	1	1
423	друг другу	2	1
424	не к	2	1
425	современной европе	1	1
426	и самих	1	1
