N	2gram	Ircho_Kome	Poddanst
213	действие в	1	1
214	с и	5	1
215	г ее	1	1
216	уже в	9	1
217	при отсутствии	1	1
218	более или	1	1
219	применении к	1	1
220	только как	1	1
221	насколько можно	1	1
222	того чтобы	4	1
223	мы знаем	5	1
224	и политики	1	1
225	власть и	1	1
226	к сфере	1	1
227	по всему	3	1
228	в применении	1	1
229	на основе	1	1
230	вв но	1	1
231	в древней	5	1
232	представляет собой	1	1
233	как известно	4	1
234	отрыве от	1	1
235	из всех	2	1
236	взывает к	1	1
237	что это	5	1
238	не более	2	1
239	к первой	1	1
240	в отношениях	1	1
241	знаем и	1	1
242	за последние	2	1
243	с трудом	1	1
244	которых не	2	1
245	думается что	1	1
246	два основных	1	1
247	о возникновении	1	1
248	и уже	2	1
249	из тех	1	1
250	культуры на	1	1
251	должна была	3	1
252	из этих	5	1
253	связанные с	2	1
254	именно на	2	1
255	и другие	3	1
256	только один	2	1
257	об отношении	2	1
258	а затем	4	1
259	что уже	1	1
260	в каждом	2	1
261	эта мысль	1	1
262	из мира	1	1
263	и вслед	1	1
264	только на	2	1
265	где он	2	1
266	лиц и	1	1
267	и этим	1	1
268	в идеологическом	1	1
269	не с	1	1
270	что эта	1	1
271	борьбе с	1	1
272	существующее в	1	1
273	xix в	1	1
274	в других	3	1
275	и при	1	1
276	и вождь	1	1
277	и что	2	1
278	в различных	1	1
279	не могла	2	1
280	при существовании	1	1
281	частности в	2	1
282	на основании	7	1
283	что и	10	1
284	в трех	1	1
285	связывается с	1	1
286	другой стороны	6	1
287	иными словами	1	1
288	еще в	9	1
289	из числа	6	1
290	государственной организации	1	1
291	веры в	1	1
292	идеи в	1	1
293	и охватывает	1	1
294	этом смысле	2	1
295	к жизни	1	1
296	что народ	2	1
297	стихии как	1	1
298	далеко не	1	1
299	в этих	5	1
300	не вполне	2	1
301	г а	2	1
302	что все	1	1
303	в истории	10	1
304	можно рассматривать	1	1
305	различия между	1	1
306	как по	2	1
307	так же	4	1
308	в рамки	1	1
309	также и	1	1
310	его в	6	1
311	над ним	1	1
312	вопрос об	1	1
313	каждый из	3	1
314	в большинстве	2	1
315	было и	1	1
316	в г	28	1
317	чуть ли	2	1
318	все же	7	1
319	времени с	1	1
320	и притом	2	1
321	чтобы в	1	1
322	идет речь	1	1
323	в борьбе	1	1
324	е а	2	1
325	теми же	1	1
326	рассматривать как	1	1
327	что его	1	1
328	в результате	5	1
329	явления которые	1	1
330	в рамках	3	1
331	и слова	1	1
332	в которой	9	1
333	оказывается в	1	1
334	должен быть	1	1
335	в отрыве	1	1
336	в этой	9	1
337	числе и	1	1
338	именно здесь	1	1
339	и еще	5	1
340	ведет в	1	1
341	к первому	1	1
342	что по	3	1
343	в отличие	3	1
344	в разложении	1	1
345	умещается в	1	1
346	себя в	2	1
347	из двух	2	1
348	само по	1	1
349	к науке	1	1
350	на две	3	1
351	же как	3	1
352	можно судить	4	1
353	чтобы понять	1	1
354	на себя	5	1
355	культуры и	1	1
356	что не	1	1
357	мы и	1	1
358	сохранение и	1	1
359	если мы	1	1
360	та или	1	1
361	в эпоху	1	1
362	тем же	2	1
363	в каком	1	1
364	насколько мы	1	1
365	в ходе	1	1
366	ответа на	1	1
367	ведет к	1	1
368	государства и	2	1
369	судить по	3	1
370	или хотя	1	1
371	возможно что	4	1
372	иной вопрос	1	1
373	под его	1	1
374	в сферу	1	1
375	более что	1	1
376	происходит и	1	1
377	и другим	1	1
378	положение с	1	1
379	в делах	1	1
380	находится в	2	1
381	уже несколько	1	1
382	мира а	1	1
383	в какой	2	1
384	работы в	1	1
385	ясно что	9	1
386	с собой	2	1
387	место в	7	1
388	как и	12	1
389	с которым	1	1
390	во времена	2	1
391	также в	3	1
392	или иной	1	1
393	в собственном	1	1
394	случаях когда	1	1
395	к миру	1	1
396	по одному	2	1
397	быта если	1	1
398	для каждого	1	1
399	большинстве случаев	2	1
400	из чего	1	1
401	первой половине	2	1
402	прибегают к	1	1
403	в одно	1	1
404	говорить об	1	1
405	все еще	1	1
406	именно потому	2	1
407	на то	3	1
408	современности в	1	1
409	ли не	8	1
410	которые были	2	1
411	и по	6	1
412	к характеру	1	1
413	общественной мысли	1	1
414	и я	2	1
415	были в	2	1
416	там где	1	1
417	в эти	2	1
418	т д	4	1
419	тех пор	2	1
420	духовной и	1	1
421	что во	1	1
422	и только	1	1
423	и первой	1	1
424	что именно	3	1
425	со столь	1	1
426	общественной и	1	1
427	с чертами	1	1
428	в и	3	1
429	о соотношении	2	1
430	казалось бы	3	1
431	и связывается	1	1
432	над собой	1	1
433	всяком случае	4	1
434	о котором	1	1
435	не все	2	1
436	сравнению с	1	1
437	в условиях	1	1
438	когда в	3	1
439	друг друга	2	1
440	в себя	3	1
441	многие из	3	1
442	в это	3	1
443	для этого	2	1
444	с ее	2	1
445	в известном	2	1
446	во времени	1	1
447	гораздо более	2	1
448	он был	4	1
449	пример такого	1	1
450	не имеет	1	1
451	за тем	2	1
452	в число	3	1
453	историю в	1	1
454	и особенно	7	1
455	одно из	1	1
456	или менее	2	1
457	пути к	1	1
458	и ее	5	1
459	слова о	2	1
460	особенно в	1	1
461	являются наиболее	1	1
462	выступает как	1	1
463	в развитии	2	1
464	к более	1	1
465	в душе	1	1
466	еще не	7	1
467	люди и	1	1
