N	2gram	Berdyaev_V	Hudozhes
175	говорит о	1	1
176	самой жизни	1	1
177	свободу личности	1	1
178	если нет	1	1
179	в результате	1	1
180	быть может	1	1
181	счастье но	1	1
182	не могут	2	1
183	постигнуть смысл	1	1
184	если не	3	1
185	чего бы	1	1
186	о мире	1	1
187	жизнь в	1	1
188	им по	1	1
189	значение в	1	1
190	тем что	2	1
191	из всего	1	1
192	и будет	3	1
193	нам уже	1	1
194	меня в	1	1
195	стороны в	1	1
196	к нам	2	1
197	о судьбе	1	1
198	вместе с	1	1
199	все же	1	1
200	не имеет	3	1
201	да и	2	1
202	зависимости от	1	1
203	поскольку он	1	1
204	себя не	1	1
205	личность как	2	1
206	но мы	2	1
207	по крайней	1	1
208	и пусть	1	1
209	художественный образ	1	1
210	хотят скрыть	1	1
211	возможно в	1	1
212	бы и	3	1
213	не существует	1	1
214	в котором	4	1
215	на части	1	1
216	более чем	2	1
217	то и	1	1
218	свою личность	4	1
219	только мы	1	1
220	не быть	1	1
221	людей как	1	1
222	и теперь	2	1
223	жизни и	3	1
224	в которую	1	1
225	и внешнее	1	1
226	теми которые	1	1
227	о своем	1	1
228	в мир	1	1
229	не так	2	1
230	в истории	8	1
231	от своей	2	1
232	до того	2	1
233	с отвращением	1	1
234	всего что	1	1
235	в прошлом	2	1
236	этого мира	3	1
237	выбора в	1	1
238	к ним	1	1
239	не для	1	1
240	него не	1	1
241	по которым	2	1
242	раз и	1	1
243	что все	4	1
244	их сознания	1	1
245	к миру	1	1
246	в сознании	1	1
247	тебя так	1	1
248	всех людей	3	1
249	свободного выбора	1	1
250	восстает против	3	1
251	освобождения от	2	1
252	крайней мере	1	1
253	тот же	3	1
254	всего в	2	1
255	что они	7	1
256	небытию в	1	1
257	мы видим	1	1
258	послужить материалом	2	1
259	тоже не	1	1
260	так как	9	1
261	личности а	2	1
262	они не	1	1
263	после того	1	1
264	себя только	1	1
265	должно быть	3	1
266	но лишено	1	1
267	в состоянии	1	1
268	ивана карамазова	2	1
269	переход к	1	1
270	души и	1	1
271	чем у	1	1
272	для нас	2	1
273	у нас	1	1
274	к творческим	1	1
275	смысла жизни	4	1
276	и от	1	1
277	кто бы	1	1
278	и есть	4	1
279	весь мир	1	1
280	в третьем	1	1
281	в русском	1	1
282	не была	1	1
283	но с	1	1
284	не было	3	1
285	к чему	3	1
286	существует как	1	1
287	на нее	1	1
288	это еще	4	1
289	места в	1	1
290	что не	4	1
291	в бытии	1	1
292	прошлом и	1	1
293	в конце	3	1
294	мировой жизни	4	1
295	за которым	1	1
296	лишь на	1	1
297	на земле	7	1
298	не есть	6	1
299	ибо к	1	1
300	от этого	3	1
301	и я	4	1
302	папы и	1	1
303	его воли	1	1
304	о счастье	5	1
305	своей свободы	2	1
306	себе и	1	1
307	ничего нельзя	1	1
308	бы в	1	1
309	людей в	3	1
310	и мир	1	1
311	могли бы	1	1
312	что от	2	1
313	он говорит	1	1
314	в своих	1	1
315	свое место	1	1
316	нельзя не	1	1
317	человека как	2	1
318	всего только	1	1
319	для таких	1	1
320	образа в	1	1
321	можно признать	1	1
322	этой тайны	1	1
323	из нас	1	1
324	не по	1	1
325	есть такое	1	1
326	утверждения ее	1	1
327	как мы	1	1
328	жизни не	1	1
329	выбора все	1	1
330	в понимании	1	1
331	этом пути	1	1
332	его личности	1	1
333	это ни	1	1
334	с бытием	1	1
335	по этому	3	1
336	с которым	1	1
337	бытия и	1	1
338	бы ни	1	1
339	может и	1	1
340	есть не	1	1
