N	3gram	Tiupa_Disk	Problema
348	обратим внимание на	1	1
349	так и с	1	1
350	не только от	1	1
351	и в басне	1	1
352	имеют дело с	1	1
353	том что хотя	1	1
354	не есть она	1	1
355	это понятие и	1	1
356	сказать что даже	1	1
357	но тут же	1	1
358	ориентации человека в	1	1
359	в них имеются	1	1
360	то есть отсутствует	1	1
361	в частности как	1	1
362	тем же словом	1	1
363	что на этом	1	1
364	несет в себе	3	1
365	к той же	1	1
366	есть она сама	1	1
367	до нас не	1	1
368	в речевой деятельности	1	1
369	в себе как	1	1
370	крайней мере двух	1	1
371	также и все	1	1
372	по мнению автора	1	1
373	того или нет	1	1
374	значимости то есть	1	1
375	рассматривать их в	1	1
376	в свое время	3	1
377	едва ли не	2	1
378	во всех областях	1	1
379	одной из возможных	1	1
380	имеем дело с	1	1
381	выхожу один я	1	1
