N	2gram	Medvedev_U	Problema
593	как таковыми	1	1
594	уже имеет	1	1
595	говорит он	1	1
596	а смыслом	1	1
597	такое понимание	1	1
598	произведение как	1	1
599	которые могли	1	1
600	одно замечание	1	1
601	и дается	1	1
602	для первого	1	1
603	отлична от	1	1
604	присущи и	1	1
605	принцип единства	1	1
606	единицы и	1	1
607	время на	1	1
608	он пытается	1	1
609	ничуть не	1	1
610	достоевского и	1	1
611	почти не	1	1
612	и теоретической	1	1
613	получаем от	1	1
614	природе и	1	1
615	очень легко	1	1
616	что угодно	1	1
617	и необходимым	1	1
618	есть слово	1	1
619	этих слов	1	1
620	при более	1	1
621	только единство	1	1
622	же остается	1	1
623	была у	1	1
624	думает о	1	1
625	но использование	1	1
626	было у	1	1
627	само же	1	1
628	методе и	1	1
629	ли является	1	1
630	другое произведение	1	1
631	чем то	1	1
632	своей работе	1	1
633	же время	3	1
634	слова правда	1	1
635	она все	1	1
636	к следующему	1	1
637	своем месте	1	1
638	где бы	1	1
639	присущей ему	1	1
640	невозможна без	1	1
641	толстой в	1	1
642	нельзя сводить	1	1
643	истории литературы	3	1
644	или просто	1	1
645	как элемент	1	1
646	по композиции	2	1
647	понятие формы	1	1
648	аристотеля при	1	1
649	возвращается в	1	1
650	нельзя свести	1	1
651	и понятий	1	1
652	а о	2	1
653	как таковая	1	1
654	перестают быть	1	1
655	он прежде	1	1
656	слова форма	1	1
657	но идея	1	1
658	наука о	1	1
659	у тех	1	1
660	это для	1	1
661	г v	1	1
662	к области	2	1
663	он знает	1	1
664	и необходимо	1	1
665	язык в	1	1
666	уже много	1	1
667	искусство как	1	1
668	надо было	2	1
669	не самодовлеющее	1	1
670	по нашему	3	1
