N	2gram	Berdyaev_O	formyVre
153	в своей	2	5
154	в это	1	5
155	было и	1	5
156	хотя бы	3	5
157	что все	2	5
158	и через	1	5
159	человек в	1	5
160	от этого	1	5
161	так что	2	5
162	все основные	1	5
163	по своей	1	5
164	в этой	5	5
165	и от	3	5
166	был бы	1	5
167	дороги и	1	5
168	что они	2	5
169	с ними	1	5
170	не имеет	2	5
171	да и	1	5
172	не имеют	1	5
173	он должен	1	5
174	места в	1	5
175	и ни	2	5
176	бы он	1	5
177	во всем	1	4
178	от него	7	4
179	же и	1	4
180	по себе	2	4
181	в своих	3	4
182	из самых	1	4
183	в корне	1	4
184	в одно	1	4
185	мир и	1	4
186	у достоевского	19	4
187	он был	8	4
188	в другом	2	4
189	людей и	1	4
190	в глаза	1	4
191	вопросу о	1	4
192	момент в	2	4
193	жизни как	1	4
194	все в	4	4
195	для раскрытия	1	4
196	чем в	2	4
197	что не	4	4
198	между этими	1	4
199	себе и	1	4
200	совсем не	2	4
201	уже указывали	1	4
202	природы и	2	4
203	любви и	1	4
204	и вот	3	4
205	что он	3	4
206	и более	1	4
207	нем нет	3	4
208	человек был	3	4
209	бытовой жизни	1	4
210	всяком случае	1	4
211	связан с	1	4
212	как у	1	4
213	у нас	1	4
214	у толстого	1	4
215	в одной	1	4
216	и о	2	4
217	человеческой природы	20	4
218	в центре	1	3
219	к другу	1	3
220	из всех	1	3
221	дается в	1	3
222	их не	2	3
223	в борьбе	1	3
224	этих романах	1	3
225	другом месте	1	3
226	во внешнем	1	3
227	не могли	2	3
228	вопрос о	10	3
229	распадается на	1	3
230	находится в	1	3
231	все время	1	3
232	в царстве	1	3
233	эпоху возрождения	1	3
234	человек не	7	3
235	и весь	1	3
236	на земле	4	3
237	одна из	1	3
238	и характер	1	3
239	под влиянием	1	3
240	бы в	1	3
241	связь с	1	3
242	как это	1	3
243	жизни все	3	3
244	и есть	3	3
245	в человеческой	1	3
246	и самый	1	3
247	над ними	1	3
248	и здесь	1	3
249	друг к	1	3
250	жизни а	1	3
251	нет никакого	1	3
252	том как	1	3
253	сравнению с	1	3
254	к другому	1	3
255	но оно	1	3
256	ни к	1	3
257	его и	1	3
258	бы и	1	3
259	не быть	1	3
260	он весь	2	3
261	в творчестве	5	3
262	тем же	1	3
263	но это	1	3
264	жизни не	1	3
265	что есть	2	3
266	ни с	7	3
267	в первый	1	3
268	совершенно не	1	3
269	от всех	1	3
270	дело в	1	3
271	в сферу	1	3
272	этими двумя	1	3
273	в новом	1	3
274	это было	3	3
275	он ни	1	3
276	она не	1	3
277	по сравнению	1	3
278	человеческого общества	1	3
279	к ней	2	3
280	человеческие отношения	1	3
281	ни был	1	3
282	природой и	1	3
283	человек может	1	2
284	в новые	1	2
285	и очень	2	2
286	и лишь	1	2
287	чего не	1	2
288	он всегда	7	2
289	что люди	1	2
290	одном месте	1	2
291	в строгом	1	2
292	всей ее	1	2
293	природа человека	1	2
294	вопрос об	1	2
295	человека для	1	2
296	жизни ее	1	2
297	отличается от	1	2
298	и нет	2	2
299	человека о	2	2
300	природы в	2	2
301	и дело	1	2
302	начале романа	1	2
303	в пределе	1	2
304	из жизни	1	2
305	с трудом	1	2
306	плоти и	1	2
307	природу человека	1	2
308	отметить что	1	2
309	в чистом	1	2
310	сила и	1	2
311	бога и	1	2
312	в каждом	1	2
313	он сам	4	2
314	лишь один	1	2
315	их жизни	1	2
316	к нему	3	2
317	то в	1	2
318	ее и	1	2
319	еще одну	1	2
320	что у	2	2
321	по природе	1	2
322	указать на	1	2
323	собой в	1	2
324	притом не	1	2
325	на этих	1	2
326	после этого	1	2
327	и этим	2	2
328	стремится к	1	2
329	человек по	1	2
330	человек и	4	2
331	вовлечены в	1	2
332	лишь на	1	2
333	одном из	1	2
334	в человеческом	2	2
335	каждом из	1	2
336	но к	1	2
337	характере и	1	2
338	в уста	2	2
339	личности и	2	2
340	никто не	3	2
341	мира по	1	2
342	и сам	1	2
343	природе своей	1	2
344	что во	1	2
345	его как	1	2
346	и каждый	1	2
347	но нет	1	2
348	о его	5	2
349	с чем	2	2
350	и против	2	2
351	быт не	1	2
352	достоевского в	3	2
353	они и	1	2
354	его с	1	2
355	должна быть	1	2
356	есть без	1	2
357	была бы	1	2
358	его образ	1	2
359	самом деле	1	2
360	самим собой	1	2
361	строгом смысле	1	2
362	и раскрыть	1	2
363	месте и	1	2
364	образе в	1	2
365	бросается в	1	2
366	то он	1	2
367	и всех	1	2
368	необходимо подчеркнуть	1	2
369	и тогда	1	2
370	из которой	1	2
371	с которой	2	2
372	которой нет	1	2
373	только один	1	2
374	отношении к	1	2
375	нет никакой	1	2
376	в мир	1	2
377	начиная с	1	2
378	этого слова	1	2
379	а вовсе	1	2
380	и после	1	2
381	попадает в	1	2
382	и пр	1	2
383	в бытовом	1	2
384	с их	1	2
385	в русском	1	2
386	не существует	1	2
387	ведь это	2	2
388	природной и	1	2
389	и эта	1	2
390	что их	1	2
391	нем все	1	2
392	человека не	1	2
393	его не	2	2
394	оказывается что	1	2
395	человека с	1	2
396	него и	4	2
397	сказать в	1	2
398	человек человек	1	2
399	в человеке	9	2
400	видели в	1	1
401	которой все	1	1
402	которая была	1	1
403	он находился	1	1
404	бы даже	1	1
405	возможностей и	2	1
406	это лишь	1	1
407	речи и	1	1
408	он видит	1	1
409	жизни есть	1	1
410	и был	1	1
411	она стала	1	1
412	что человек	3	1
413	него в	5	1
414	человеческих судеб	2	1
415	нужна ему	1	1
416	которые будут	1	1
417	женщины и	1	1
418	его лишь	1	1
419	ко всем	2	1
420	и проблема	1	1
421	ведь все	1	1
422	людей а	1	1
423	темы о	1	1
424	вовлекают в	1	1
425	из всего	2	1
426	его вечной	1	1
427	это глубоко	1	1
428	всегда в	1	1
429	не вполне	1	1
430	романов есть	1	1
431	и вечной	1	1
432	человека есть	2	1
433	в форму	1	1
434	и человеческие	1	1
435	с креста	1	1
436	и человеческих	1	1
437	мире это	1	1
438	реальных людей	1	1
439	совершенно ином	1	1
440	все и	1	1
441	к этой	2	1
442	имеет ни	1	1
443	его существование	1	1
444	и мысли	4	1
445	так для	1	1
446	ее у	1	1
447	диккенса и	1	1
448	и отец	1	1
449	высшее достижение	1	1
450	видно что	1	1
451	отец его	1	1
452	и формы	1	1
453	частное и	1	1
454	возрождения но	1	1
455	среди них	1	1
456	самом начале	1	1
457	время всегда	1	1
458	его изнутри	1	1
459	которого они	1	1
460	они всегда	1	1
461	него не	2	1
462	ключ к	1	1
463	ее как	1	1
464	отречения от	1	1
465	человека вообще	1	1
466	который в	1	1
467	речь о	1	1
468	проникновение в	1	1
469	человеческую природу	2	1
470	новая жизнь	1	1
471	быть что	1	1
472	и ограниченной	1	1
473	и положительное	1	1
474	ближе к	1	1
475	он создал	1	1
476	говорит о	1	1
477	к человеку	9	1
478	центральной и	1	1
479	есть одно	1	1
480	есть у	1	1
481	человеческий мир	1	1
482	свободу и	1	1
483	которой в	1	1
484	они в	1	1
485	всегда является	1	1
486	гибели и	1	1
487	природу и	1	1
488	бессмертия и	1	1
489	их природу	1	1
490	же принадлежит	1	1
491	человека человек	1	1
492	свободы и	2	1
493	говорит он	1	1
494	и природной	1	1
495	христа и	1	1
496	находятся и	1	1
497	как мыслитель	1	1
498	человек а	1	1
499	и ценности	1	1
500	жизненных форм	1	1
501	ставится проблема	1	1
502	свой особый	1	1
503	братья карамазовы	1	1
504	учение о	2	1
505	соотношений и	1	1
506	человеке и	5	1
507	человеческой природе	4	1
508	нужно видеть	1	1
509	больше всего	1	1
510	возможности для	1	1
511	человеческой и	1	1
512	что как	1	1
513	в противоречии	1	1
514	человека а	2	1
515	и постановка	1	1
516	и мир	1	1
517	в русской	3	1
518	до самой	3	1
519	царств и	1	1
520	для его	1	1
521	его судьбу	1	1
522	в публицистических	1	1
523	человека он	1	1
524	умереть в	1	1
525	быть осуществлено	1	1
526	судьбе о	1	1
527	человека как	1	1
528	вокруг образа	1	1
529	него лишь	1	1
530	действующих лиц	1	1
531	романы достоевского	1	1
532	из него	1	1
533	и что	1	1
534	потребность в	2	1
535	доходит до	1	1
536	проникнуть в	1	1
537	него совершенно	1	1
538	развития эти	1	1
539	разрешения ее	1	1
540	изображения человеческой	1	1
541	в иных	1	1
542	свобода человека	1	1
543	он в	2	1
544	уходят в	1	1
545	человеческих отношений	4	1
546	и никогда	2	1
547	оба они	1	1
548	но ничего	1	1
549	лишь путем	1	1
550	всю жизнь	1	1
551	свои силы	1	1
552	вовлекает в	1	1
553	свободной и	1	1
554	в глубину	2	1
555	человеке так	1	1
556	и чем	1	1
557	чтобы не	1	1
558	вопросом о	2	1
559	и гармонии	1	1
560	имя ему	1	1
561	жизни природа	1	1
562	изображена в	1	1
563	человек для	1	1
564	своих героев	1	1
565	есть для	1	1
566	что это	1	1
567	и из	2	1
568	он что	1	1
569	о которой	2	1
570	интерес к	1	1
571	личной судьбы	1	1
572	он раскрывает	1	1
573	достоевского преступление	1	1
574	судьбы человека	1	1
575	для человека	2	1
576	это есть	1	1
577	мира он	1	1
578	он лишь	3	1
579	связанная с	1	1
580	один человек	1	1
581	должен был	2	1
582	психологии и	1	1
583	о природе	3	1
584	особого рода	1	1
585	вместо того	2	1
586	дома но	1	1
587	любовь и	1	1
588	ни произведения	1	1
589	когда дело	1	1
590	подчеркнуть еще	1	1
591	преступление и	1	1
592	не делает	1	1
593	и действительно	1	1
594	о судьбе	1	1
595	она и	1	1
596	кем и	1	1
597	свой собственный	1	1
598	не проваливается	1	1
599	состоит из	1	1
600	возможности и	1	1
601	и вопрос	1	1
602	его судьбе	2	1
603	человека где	1	1
604	есть на	1	1
605	на своем	1	1
606	существование в	1	1
607	их во	1	1
608	только одно	3	1
609	попал в	1	1
610	заложенных в	2	1
611	всему этому	1	1
612	и хлеб	1	1
613	ли он	1	1
614	рода он	1	1
615	связана с	1	1
616	это все	1	1
617	быть не	1	1
618	природе и	1	1
619	и любовь	2	1
620	на два	1	1
621	человека от	1	1
622	и мрак	1	1
623	народа и	1	1
624	и больше	1	1
625	очищения и	1	1
626	его характер	1	1
627	ее с	1	1
628	цели и	1	1
629	обществе и	1	1
630	движении и	1	1
631	и путь	1	1
632	дано было	1	1
633	от которой	1	1
634	в самую	4	1
635	самой природе	1	1
636	на этот	1	1
637	его силы	1	1
638	через любовь	1	1
639	в народном	1	1
640	не жизнь	1	1
641	там это	1	1
642	но есть	1	1
643	уже с	1	1
644	путей развития	1	1
645	как к	2	1
646	ничего и	2	1
647	в свое	1	1
648	которым он	1	1
649	и наказание	1	1
650	человеческой природой	1	1
651	этого она	1	1
652	для всякого	2	1
653	всего мира	1	1
654	видеть в	1	1
655	образ и	1	1
656	от которого	1	1
657	а это	1	1
658	он и	1	1
659	этом он	2	1
660	трагедии и	1	1
661	о нем	1	1
662	на самом	1	1
663	смысле этого	1	1
664	бытие и	1	1
665	этой отрицательной	1	1
666	кто бы	1	1
667	было для	2	1
668	вечной жизни	1	1
669	движение в	2	1
670	него также	1	1
671	всегда есть	4	1
672	в обычном	1	1
673	указывает на	1	1
674	и без	1	1
675	не умирает	1	1
676	лишь с	1	1
677	бессмертии души	1	1
678	страха и	1	1
679	человеком в	1	1
680	он никогда	1	1
681	него всегда	2	1
682	и я	1	1
683	нисколько не	1	1
684	о бессмертии	4	1
685	черту и	2	1
686	природы с	1	1
687	людей в	1	1
688	к одному	1	1
689	от бога	1	1
690	ко всему	1	1
691	бытия как	1	1
692	в эти	1	1
693	и человека	1	1
694	указывали на	1	1
695	силе и	1	1
696	не по	1	1
697	но всегда	1	1
698	человек всегда	2	1
699	бытия человека	1	1
700	это для	1	1
701	в отношениях	1	1
702	и нигде	1	1
703	когда он	3	1
704	всего его	1	1
705	в поэме	1	1
706	он за	1	1
707	грани и	4	1
708	от того	1	1
709	не уничтожает	1	1
710	его а	1	1
711	у самого	1	1
712	и много	2	1
713	природной жизни	1	1
714	была поставлена	1	1
715	на то	1	1
716	нуждается в	1	1
717	же это	2	1
718	противоречии с	1	1
719	судьбы ее	1	1
720	к богу	1	1
721	по силе	1	1
