N	3gram	Trubetskoy	Myslijsy
146	это зависит от	1	1
147	но даже и	1	1
148	все они имеют	1	1
149	что во многих	1	1
150	указывает на ее	1	1
151	внутренней и внешней	1	1
152	приходит к сознанию	1	1
153	она не может	2	1
154	и состоит сущность	1	1
155	именно в силу	1	1
156	том числе и	1	1
157	но мы должны	1	1
158	может совершиться только	1	1
159	том что только	1	1
160	к тому же	1	1
161	так как это	1	1
162	роль в истории	1	1
163	но и от	1	1
164	то хотя бы	1	1
165	как сказано выше	1	1
166	из всего этого	1	1
167	одну и ту	1	1
168	народа точно так	1	1
169	в этих последних	1	1
170	может быть достигнуто	1	1
171	показать что и	1	1
172	к вопросу о	3	1
173	на себе отпечаток	1	1
174	но и к	2	1
175	есть та форма	1	1
176	чем больше в	1	1
177	о том чтобы	2	1
178	а в нем	1	1
179	и вопрос о	1	1
180	для всех народов	2	1
181	то ни стало	3	1
182	что и то	1	1
183	не признает за	1	1
184	за то что	1	1
185	том основании что	1	1
186	прежде всего на	1	1
187	друг с другом	14	1
188	и ту же	1	1
189	если мы в	1	1
190	или что все	1	1
191	и вместе с	2	1
192	в силу этого	1	1
193	потому что так	1	1
194	несмотря на все	1	1
195	как и при	1	1
196	в некоторых из	1	1
197	это то же	1	1
198	по которому оно	1	1
199	принадлежат к одному	1	1
200	еще не было	1	1
201	жизни но и	1	1
202	себе внутренние противоречия	1	1
203	что для этого	1	1
204	только в этом	1	1
205	в настоящее время	2	1
206	тем более что	1	1
207	от нас и	1	1
208	в себе внутренние	1	1
209	подлежит сомнению и	1	1
210	было бы доказать	1	1
211	что бы то	3	1
212	ни от какого	1	1
213	сих пор был	1	1
214	его жизни и	1	1
215	если признать что	1	1
216	с другом и	2	1
217	для него прежде	1	1
218	что оно есть	1	1
219	они в своем	1	1
220	в этом состоит	1	1
221	и при отсутствии	1	1
222	то это потому	2	1
223	те или другие	1	1
224	если бы все	1	1
225	от этого не	1	1
226	то этим самым	1	1
227	речь идет о	1	1
228	этого слова но	1	1
229	только стремление к	1	1
230	в зависимость от	2	1
231	особое значение и	1	1
232	но на самом	1	1
233	то-то и то-то	1	1
234	мы прежде всего	1	1
235	было бы упрекать	1	1
236	к ближнему и	1	1
237	представить себе что	1	1
238	и все же	1	1
239	мы можем думать	1	1
240	к которому принадлежит	1	1
241	человек только тогда	1	1
242	потому что они	1	1
243	именно так как	1	1
244	при таких условиях	3	1
245	сводится к тому	1	1
