N	2gram	Medvedev_V	Poddanst
187	должна быть	2	1
188	при отсутствии	1	1
189	более или	6	1
190	применении к	1	1
191	в творчестве	3	1
192	связана с	2	1
193	единства в	1	1
194	на личную	1	1
195	того чтобы	3	1
196	мы знаем	3	1
197	с определенной	1	1
198	к сфере	1	1
199	в применении	1	1
200	на основе	5	1
201	есть для	1	1
202	и менее	1	1
203	и всегда	1	1
204	как известно	2	1
205	отрыве от	1	1
206	формы в	1	1
207	в определенном	1	1
208	одно и	1	1
209	подчеркнуть что	2	1
210	думается что	6	1
211	вот как	4	1
212	что при	2	1
213	с которой	1	1
214	из тех	1	1
215	и упрощенно	1	1
216	и образы	3	1
217	науке и	1	1
218	из этих	7	1
219	идеи и	6	1
220	что если	1	1
221	положение что	1	1
222	не как	1	1
223	и другие	1	1
224	только один	1	1
225	а затем	2	1
226	в каждом	2	1
227	эта мысль	1	1
228	из мира	1	1
229	только на	1	1
230	и через	2	1
231	метафизиками и	1	1
232	не с	2	1
233	обе эти	1	1
234	что эта	1	1
235	и достоевский	2	1
236	например с	1	1
237	не об	2	1
238	и при	5	1
239	и что	1	1
240	в различных	2	1
241	сущность в	1	1
242	частности в	2	1
243	на основании	8	1
244	что и	3	1
245	процесс этот	1	1
246	мы хотим	1	1
247	другой стороны	8	1
248	раскрывается в	1	1
249	с того	1	1
250	еще в	1	1
251	нет никакого	1	1
252	идеи в	2	1
253	этом смысле	1	1
254	далеко не	3	1
255	только то	2	1
256	в этих	1	1
257	не вполне	2	1
258	них и	1	1
259	что все	4	1
260	в истории	1	1
261	как оно	1	1
262	что делать	1	1
263	в ином	1	1
264	так же	3	1
265	в рамки	1	1
266	также и	2	1
267	его в	3	1
268	это имеет	1	1
269	знаем что	2	1
270	каждый из	1	1
271	и наоборот	1	1
272	чуть ли	2	1
273	и движение	1	1
274	все же	6	1
275	этого процесса	1	1
276	но на	1	1
277	что его	2	1
278	его сущность	1	1
279	в результате	5	1
280	так было	1	1
281	и слова	2	1
282	в которой	2	1
283	не очень	1	1
284	должен быть	4	1
285	в этой	4	1
286	числе и	2	1
287	к ним	2	1
288	и еще	1	1
289	тот или	1	1
290	что по	1	1
291	и которая	1	1
292	и судьбы	1	1
293	различий в	1	1
294	видим в	1	1
295	же как	2	1
296	в реальной	2	1
297	чтобы понять	1	1
298	на себя	1	1
299	что не	3	1
300	мы и	1	1
301	развития в	1	1
302	та или	3	1
303	но для	2	1
304	почти исключительно	1	1
305	в каком	1	1
306	может идти	1	1
307	в ходе	1	1
308	что есть	1	1
309	ответа на	1	1
310	предостерегает от	1	1
311	или иная	3	1
312	если он	1	1
313	в сферу	1	1
314	свидетельство о	1	1
315	тогда когда	2	1
316	характер этого	1	1
317	не тождественны	1	1
318	находится в	1	1
319	представляют собою	2	1
320	в живом	1	1
321	в какой	1	1
322	работы в	1	1
323	эти явления	2	1
324	без того	1	1
325	как и	7	1
326	определяется как	1	1
327	следует понимать	5	1
328	или иной	2	1
329	многих других	1	1
330	по одному	2	1
331	одновременно и	1	1
332	сложной и	1	1
333	на то	2	1
334	к а	2	1
335	ее нужно	1	1
336	ли не	2	1
337	в поиски	1	1
338	и по	3	1
339	т д	16	1
340	и творческих	1	1
341	духовной и	1	1
342	что во	1	1
343	и первой	1	1
344	поэзии и	1	1
345	казалось бы	1	1
346	всяком случае	2	1
347	в свете	1	1
348	в явлении	3	1
349	о котором	1	1
350	в существе	1	1
351	не все	1	1
352	сравнению с	1	1
353	друг друга	1	1
354	многие из	2	1
355	над отдельными	1	1
356	для этого	1	1
357	с ее	1	1
358	качестве общего	1	1
359	в известном	1	1
360	во времени	1	1
361	он был	1	1
362	не имеет	1	1
363	есть и	1	1
364	и особенно	1	1
365	или менее	6	1
366	и ее	4	1
367	в которые	1	1
368	к более	1	1
369	связаны с	1	1
370	грань между	1	1
371	широко и	1	1
372	и быть	2	1
373	никогда не	5	1
374	еще не	2	1
