N	2gram	Medvedev_U	Narrotol
111	хотя бы	5	4
112	к этому	1	4
113	не о	3	4
114	для себя	1	4
115	это уже	2	4
116	о которой	1	4
117	в итоге	2	4
118	в сфере	1	4
119	но именно	1	4
120	или даже	1	4
121	это было	2	4
122	не все	2	4
123	в области	3	4
124	она не	1	4
125	что было	1	3
126	в противовес	2	3
127	входит в	1	3
128	что она	2	3
129	она в	1	3
130	одно из	1	3
131	но он	1	3
132	в которой	1	3
133	же как	1	3
134	и это	1	3
135	сих пор	2	3
136	могли бы	2	3
137	и что	1	3
138	а как	2	3
139	до сих	2	3
140	он уже	1	3
141	приводит к	1	3
142	что мы	2	3
143	как на	1	3
144	быть не	1	3
145	было и	1	3
146	той же	1	3
147	от которой	1	3
148	до конца	1	3
149	но это	2	3
150	произведения как	1	3
151	он и	1	3
152	же не	2	3
153	в виде	1	3
154	а о	2	3
155	этого не	1	3
156	по его	1	3
157	и потому	1	3
158	только к	3	3
159	а его	2	3
160	не следует	3	3
161	же самое	2	3
162	со своими	1	3
163	и только	5	3
164	является в	2	2
165	мы и	2	2
166	нас в	2	2
167	случае он	1	2
168	другой стороны	3	2
169	более или	1	2
170	тем что	2	2
171	и делает	1	2
172	его собственному	1	2
173	большей или	1	2
174	достоевского и	1	2
175	историю в	1	2
176	на первый	2	2
177	первый взгляд	1	2
178	в этот	1	2
179	а между	2	2
180	превращается в	2	2
181	быть в	1	2
182	в системе	2	2
183	бы в	1	2
184	и служит	1	2
185	должно быть	1	2
186	него уже	1	2
187	в произведении	1	2
188	по мнению	1	2
189	и через	2	2
190	столько же	1	2
191	ни от	2	2
192	одним из	2	2
193	очевидно что	3	2
194	в последние	1	2
195	не есть	2	2
196	мы можем	1	2
197	и является	2	2
198	даже не	1	2
199	для читателя	1	2
200	его как	1	2
201	могут быть	2	2
202	значимость и	1	2
203	об анне	1	2
204	должна быть	2	2
205	но также	1	2
206	в наиболее	1	2
207	из которых	1	2
208	детали как	1	2
209	смысле можно	1	2
210	в россии	4	2
211	в процессе	1	2
212	в которых	1	2
213	не входит	1	2
214	его и	2	2
215	более чем	2	2
216	в течение	1	2
217	это то	1	2
218	что же	1	2
219	он может	1	2
220	именно к	1	2
221	или просто	1	2
222	на роль	1	2
223	не для	1	2
224	что с	1	2
225	все это	5	2
226	в их	4	2
227	слова а	1	2
228	или иначе	1	2
229	правило не	1	2
230	не столь	1	2
231	или менее	1	2
232	меньшей степени	2	2
233	возникает проблема	1	2
234	признать что	1	2
235	это в	1	2
236	или точнее	3	2
237	оно все	1	1
238	никогда и	1	1
239	с которыми	1	1
240	тех кто	1	1
241	не меньшей	1	1
242	с самим	1	1
243	будет не	1	1
244	в большей	1	1
245	сам автор	1	1
246	не как	3	1
247	время не	1	1
248	произведения а	1	1
249	для всех	2	1
250	но что	1	1
251	к сумме	1	1
252	но по	1	1
253	в ноги	1	1
254	приобретает характер	1	1
255	его на	1	1
256	на эту	2	1
257	ней не	1	1
258	поскольку он	1	1
259	и слово	1	1
260	художественное произведение	5	1
261	обращение к	1	1
262	впрочем для	1	1
263	словами как	1	1
264	все и	1	1
265	что этот	1	1
266	как принцип	2	1
267	об ее	1	1
268	он был	1	1
269	отсюда и	1	1
270	говорить не	1	1
271	словесного творчества	2	1
272	содержание в	1	1
273	в различных	1	1
274	в сторону	2	1
275	что еще	1	1
276	всего что	1	1
277	в не	1	1
278	целого но	1	1
279	ее как	1	1
280	сдвиг в	1	1
281	установка на	1	1
282	конструктивный принцип	1	1
283	что все	2	1
284	в противном	2	1
285	друг с	1	1
286	не то	1	1
287	может обойтись	1	1
288	героя не	1	1
289	вспять к	1	1
290	бы то	3	1
291	думает о	1	1
292	и всей	1	1
293	как феномен	1	1
294	если у	1	1
295	только часть	1	1
296	показательна в	1	1
297	ни было	3	1
298	что при	1	1
299	это верно	1	1
300	не обладает	1	1
301	говорит он	1	1
302	произведение как	1	1
303	что только	1	1
304	вопроса о	2	1
305	именно как	2	1
306	и быть	1	1
307	в исторической	1	1
308	которой и	1	1
309	то ни	3	1
310	за пределы	1	1
311	этом смысле	2	1
312	но тут	1	1
313	или меньшей	1	1
314	что для	1	1
315	существует в	1	1
316	которое мы	1	1
317	делает и	1	1
318	бы ни	1	1
319	претендует на	1	1
320	приходится признать	2	1
321	так или	1	1
322	для первого	1	1
323	этого термина	2	1
324	впадая в	1	1
325	этого построения	1	1
326	в свое	1	1
327	разрыв с	1	1
328	с тем	1	1
329	сам по	1	1
330	не приходится	2	1
331	с каждым	1	1
332	литературного произведения	1	1
333	не могут	2	1
334	слова у	1	1
335	которых нужно	1	1
336	содержание и	1	1
337	не делает	1	1
338	анализа в	1	1
339	и так	1	1
340	по крайней	2	1
341	все они	2	1
342	восприятия а	1	1
343	под понятие	1	1
344	в значительной	1	1
345	относится к	1	1
346	в отдельности	1	1
347	и вся	1	1
348	своей работе	1	1
349	установку на	2	1
350	еще один	1	1
351	литературы в	1	1
352	для наиболее	1	1
353	нет и	1	1
354	впервые в	1	1
355	роль не	2	1
356	расположения и	1	1
357	определяется не	1	1
358	тот же	1	1
359	толстой в	1	1
360	находятся в	1	1
361	для второго	1	1
362	что ему	1	1
363	этот процесс	1	1
364	того как	1	1
365	перестает быть	5	1
366	и толстого	1	1
367	в преодолении	1	1
368	ее в	1	1
369	при таком	2	1
370	любопытно что	1	1
371	направлено на	1	1
372	противном случае	2	1
373	на его	1	1
374	с другом	1	1
375	бы это	1	1
376	не впадая	1	1
377	которые могли	1	1
378	материал для	2	1
379	в искусстве	6	1
380	но даже	2	1
381	к области	2	1
382	у кого	1	1
383	иначе в	1	1
384	данного произведения	1	1
385	восемь лет	1	1
386	крайней мере	2	1
387	в период	1	1
388	читателя который	1	1
389	интереса к	2	1
390	надо было	2	1
391	ничего подобного	1	1
392	для этого	3	1
393	само по	1	1
394	степени и	1	1
