N	2gram	Vinokur_St	VerxiiNi
429	говорить что	1	1
430	как нечто	1	1
431	не является	5	1
432	с их	2	1
433	с собой	1	1
434	народа уже	1	1
435	основана на	2	1
436	у него	3	1
437	за это	1	1
438	в их	3	1
439	в данном	16	1
440	ума и	1	1
441	его в	4	1
442	его тело	1	1
443	это предположение	1	1
444	всех прочих	1	1
445	чем в	3	1
446	их не	1	1
447	в своих	2	1
448	борьбу с	2	1
449	чтобы в	1	1
450	с царем	2	1
451	сами по	2	1
452	об уничтожении	1	1
453	в соответствии	1	1
454	самом деле	14	1
455	в первом	2	1
456	и некоторые	1	1
457	а во-вторых	2	1
458	что к	1	1
459	имеет для	1	1
460	две разные	1	1
461	некоторые другие	1	1
462	как по	1	1
463	о мире	2	1
464	прежде чем	1	1
465	ставит себе	4	1
466	их и	2	1
467	этом не	1	1
468	жизнь в	1	1
469	что его	1	1
470	общего правила	1	1
471	всех его	1	1
472	указывает в	3	1
473	который как	2	1
474	именно не	1	1
475	во внимание	2	1
476	заключается в	5	1
477	но эта	1	1
478	чтобы заполнить	1	1
479	которое в	1	1
480	зато в	2	1
481	образцом для	2	1
482	всем что	1	1
483	тем что	6	1
484	не обнаруживает	1	1
485	за свою	3	1
486	смотрел на	4	1
487	народа это	1	1
488	значения и	1	1
489	если он	1	1
490	отношения к	2	1
491	видно из	1	1
492	и другим	1	1
493	в корне	1	1
494	давно уже	3	1
495	показаться что	1	1
496	в одних	1	1
497	не повезло	1	1
498	лишь на	1	1
499	одном из	4	1
500	как и	11	1
501	как не	1	1
502	с ними	1	1
503	очень давно	1	1
504	к нам	1	1
505	время как	2	1
506	этот раз	2	1
507	их в	2	1
508	вряд ли	8	1
509	притом в	1	1
510	вследствие того	1	1
511	а именно	3	1
512	только то	1	1
513	в своей	12	1
514	в слове	5	1
515	и так	3	1
516	так легко	1	1
517	состоит из	1	1
518	особенно сильно	1	1
519	на эту	5	1
520	над тем	2	1
521	на этом	1	1
522	как в	15	1
523	стремление к	3	1
524	никто не	4	1
525	является лишь	1	1
526	лишь о	1	1
527	перед собой	2	1
528	а иногда	2	1
529	ли не	2	1
530	в запасе	1	1
531	от этого	2	1
532	является для	1	1
533	и могут	1	1
534	надо думать	1	1
535	в такой	2	1
536	эту сторону	2	1
537	тем или	3	1
538	так называемая	3	1
539	после того	5	1
540	о которых	3	1
541	том как	4	1
542	на какие	1	1
543	различие между	1	1
544	грамматики и	1	1
545	это было	2	1
546	вследствие этого	1	1
547	роль в	1	1
548	он сам	1	1
549	на его	2	1
550	от всей	1	1
551	кого больше	1	1
552	в сторону	2	1
553	в каждой	1	1
554	в чем	4	1
555	в каком	4	1
556	нет в	1	1
557	всех их	1	1
558	культуры в	3	1
559	это тоже	1	1
560	жизни то	1	1
561	что тот	2	1
562	представляется в	1	1
563	могло бы	3	1
564	в ином	1	1
565	в одной	3	1
566	и отдельные	1	1
567	как результат	1	1
568	тем более	4	1
569	к нашей	1	1
570	казалось бы	1	1
571	что они	9	1
572	вышел победителем	1	1
573	бы в	2	1
574	не был	1	1
575	мере в	3	1
576	и смерти	1	1
577	на них	2	1
578	с этим	6	1
579	это был	3	1
580	iv и	1	1
581	все были	1	1
582	еще и	5	1
583	ни к	1	1
584	ни на	3	1
585	совершенно не	7	1
586	это объясняется	2	1
587	материалом для	1	1
588	там где	6	1
589	в первую	2	1
590	бы и	4	1
591	и ясно	1	1
592	в уста	3	1
593	на человека	1	1
594	не существует	4	1
595	что от	2	1
596	к этой	1	1
597	и других	1	1
598	и более	4	1
599	чтобы найти	1	1
600	не могли	1	1
601	да и	4	1
602	бы с	1	1
603	замечательно что	1	1
604	не выше	1	1
605	и пр	4	1
606	отличие от	1	1
607	между собой	1	1
608	времени эти	1	1
609	не означает	1	1
610	по тем	1	1
611	в очень	4	1
612	существование и	1	1
613	было в	2	1
614	каждом из	1	1
615	которой не	1	1
616	до нас	1	1
617	от характера	1	1
618	в наше	1	1
619	виде эта	1	1
620	трудно было	1	1
621	совпадает с	3	1
622	от этих	1	1
623	эти проблемы	1	1
624	эти слова	1	1
625	эти два	1	1
626	чтобы он	1	1
627	входит в	1	1
628	именно потому	1	1
629	на первое	1	1
630	но даже	1	1
631	где я	1	1
632	не должно	1	1
633	отчет в	1	1
634	мы не	3	1
635	русского и	1	1
636	совсем не	3	1
637	с жаром	1	1
638	не по	5	1
639	камня на	1	1
640	в ней	9	1
641	ценное чем	1	1
642	но это	9	1
643	объясняется и	1	1
644	уже больше	1	1
645	дело не	4	1
646	характерны для	1	1
647	взглянуть на	2	1
648	но совершенно	1	1
649	является его	1	1
650	хотя это	2	1
651	двух или	1	1
652	собой совершенно	1	1
653	что дало	1	1
654	которых является	1	1
655	интерес и	1	1
656	что касается	4	1
657	и лишь	2	1
658	к тем	1	1
659	а по	1	1
660	но зато	1	1
661	нужно было	2	1
662	только на	1	1
663	но они	3	1
664	и vii	1	1
665	и их	3	1
666	в которую	2	1
667	речь идет	6	1
668	не были	2	1
669	не приходится	5	1
670	пор не	1	1
671	к одному	1	1
672	как она	1	1
673	и об	7	1
674	чтобы она	1	1
675	в количестве	1	1
676	связь между	1	1
677	совершенно так	1	1
678	из двух	3	1
679	имеет никакого	1	1
680	а между	2	1
681	в наказание	1	1
682	иметь в	2	1
683	факт что	6	1
684	по отношению	3	1
685	слова с	1	1
686	чем угодно	1	1
687	не следует	1	1
688	и до	2	1
689	на стороне	1	1
690	совершенно неправильно	2	1
691	тот факт	5	1
692	от своего	2	1
693	из нас	1	1
694	этот вопрос	6	1
695	вся история	1	1
696	участвовать в	1	1
697	что когда	1	1
698	при помощи	4	1
699	особое положение	1	1
700	тогда как	1	1
701	образы не	1	1
702	себе в	2	1
703	без труда	1	1
704	и всякая	1	1
705	должны были	1	1
706	когда мы	1	1
707	она была	2	1
708	не смотрел	2	1
709	тем фактом	1	1
710	образом уже	1	1
711	указания на	1	1
712	в глаза	1	1
713	всего что	2	1
714	бы по	1	1
715	как известно	2	1
716	в какой-то	1	1
717	на это	2	1
718	было бы	21	1
719	пустоту образовавшуюся	1	1
720	знает и	2	1
721	на одну	1	1
722	задний план	3	1
723	на более	1	1
724	что здесь	2	1
725	в отличие	1	1
726	в одну	1	1
727	без всякого	2	1
728	заметить что	1	1
729	возможно что	4	1
730	не совсем	1	1
731	на путь	1	1
732	которой можно	2	1
733	безусловно был	1	1
734	наконец что	1	1
735	настоящее время	2	1
736	грех перед	1	1
737	однако в	1	1
738	что среди	1	1
739	или о	2	1
740	тем же	3	1
741	найти в	1	1
742	по себе	3	1
743	могут быть	5	1
744	таких условиях	1	1
745	их с	1	1
746	соответствии с	1	1
747	но именно	3	1
748	в нашем	1	1
749	с этими	1	1
750	именно то	1	1
751	что самый	1	1
752	традиции не	1	1
753	которыми можно	1	1
754	и есть	1	1
755	место в	2	1
756	них как	1	1
757	во всей	1	1
758	надо иметь	1	1
759	том же	3	1
760	времени в	1	1
761	причем в	2	1
762	в сознании	2	1
763	же в	1	1
764	что она	5	1
765	такой же	6	1
766	бы быть	1	1
767	каком он	2	1
768	этого слова	2	1
769	много таких	1	1
770	работа в	1	1
771	в свой	2	1
772	и его	11	1
773	забывали что	1	1
774	а как	5	1
775	и никогда	1	1
776	даже в	5	1
777	только с	4	1
778	дела не	1	1
779	в ту	1	1
780	быть в	2	1
781	пути с	1	1
782	нет никаких	2	1
783	к этим	1	1
784	к своей	1	1
785	народу в	1	1
786	всех этих	2	1
787	для одной	1	1
788	не представляется	1	1
789	и тот	1	1
790	чтобы не	1	1
791	на камне	1	1
792	в настоящее	2	1
793	но для	3	1
794	и совершенно	1	1
795	должны быть	4	1
796	пришлось бы	1	1
797	себя в	1	1
798	не надо	2	1
799	здесь не	1	1
800	думать что	2	1
801	ничего не	6	1
802	видел в	2	1
803	похоже на	3	1
804	прямом смысле	2	1
805	могли быть	1	1
806	то время	2	1
807	и самый	2	1
808	эпохи с	1	1
809	чуть ли	2	1
810	здесь к	1	1
811	и во	3	1
812	он должен	2	1
813	той же	5	1
814	судя по	2	1
815	котором он	2	1
