N	2gram	Nazirov_Tr	SlovoVZh
275	рядом с	1	1
276	как будто	3	1
277	жизни в	1	1
278	что именно	1	1
279	но если	1	1
280	при таком	1	1
281	именно такую	1	1
282	на себя	1	1
283	не утратить	1	1
284	сводится только	1	1
285	по своей	1	1
286	именно эта	1	1
287	в двух	1	1
288	у которой	1	1
289	нем по	1	1
290	друг друга	2	1
291	но уже	1	1
292	первого же	2	1
293	этими словами	1	1
294	не из	1	1
295	чтобы не	1	1
296	она как	2	1
297	но особенно	2	1
298	в целом	4	1
299	я и	1	1
300	гораздо больше	1	1
301	форму то	1	1
302	перед нами	2	1
303	всяком случае	1	1
304	на них	1	1
305	высшей степени	1	1
