N	2gram	Medvedev_S	FransuaR
343	какие же	1	1
344	пришлось бы	1	1
345	чуть ли	1	1
346	истории литературы	10	1
347	что автор	1	1
348	этой области	1	1
349	монументальный труд	1	1
350	без этого	1	1
351	ли не	1	1
352	он ни	1	1
353	она должна	1	1
354	для изучения	1	1
355	и остаются	1	1
356	том именно	1	1
357	нужно было	2	1
358	которые предлагает	1	1
359	изучения и	1	1
360	лучшем случае	1	1
