N	2gram	Nazirov_Tr	Myslijsy
122	друг друга	2	12
123	все это	4	12
124	есть в	1	12
125	человека и	1	12
126	как мы	1	12
127	что на	1	12
128	и если	1	11
129	в первом	2	11
130	имеет для	1	11
131	из себя	1	11
132	только на	1	11
133	и это	2	11
134	к нему	3	11
135	его в	2	11
136	и притом	1	11
137	того чтобы	1	11
138	быть не	1	11
139	к ней	1	11
140	той же	1	11
141	к одному	1	11
142	на мысль	1	11
143	и их	1	11
144	указывает на	1	11
145	и с	7	10
146	хотя бы	1	10
147	мы видим	1	10
148	что при	1	10
149	бы в	1	10
150	мысль что	1	10
151	тем и	1	10
152	и от	1	10
153	и есть	1	10
154	он не	2	10
155	только по	1	10
156	тому что	1	10
157	ко всем	1	9
158	и даже	4	9
159	вопрос о	2	9
160	об отношении	1	9
161	связь между	1	9
162	что она	2	9
163	для самого	1	9
164	от нее	1	9
165	один из	3	9
166	известно что	1	9
167	самом деле	1	9
168	никто не	3	9
169	это было	1	9
170	в целом	4	9
171	и о	1	9
172	во всем	1	8
173	не как	1	8
174	но все	2	8
175	именно в	1	8
176	перестает быть	1	8
177	что даже	1	8
178	только не	1	8
179	судя по	1	8
180	не так	2	8
181	с ними	1	8
182	в ребенке	1	8
183	в глазах	2	8
184	не из	1	8
185	в самой	1	8
186	этом случае	1	8
187	на вопрос	1	8
188	на все	1	8
189	с этой	1	7
190	все эти	3	7
191	но мы	1	7
192	в данном	2	7
193	было в	2	7
194	самого начала	1	7
195	для понимания	1	7
196	что именно	1	7
197	на котором	1	7
198	несмотря на	5	7
199	одном из	2	7
200	но как	1	7
201	когда я	1	7
202	она не	1	7
203	за пределы	1	7
204	значение и	1	7
205	а как	2	7
206	все в	1	7
207	его с	1	7
208	вряд ли	2	7
209	этот образ	4	7
210	бы и	2	7
211	и теперь	1	7
212	только один	1	7
213	при самом	1	7
214	с самого	1	7
215	перед собою	1	6
216	в виду	1	6
217	вопрос об	1	6
218	в своей	1	6
219	к ним	1	6
220	после того	1	6
221	в ее	2	6
222	у него	6	6
223	но он	1	6
224	в мире	3	6
225	могло бы	1	6
226	например что	1	6
227	должна быть	1	6
228	заключается в	1	6
229	лишь в	1	6
230	в этой	4	6
231	и до	2	6
232	в обществе	1	6
233	мог бы	3	6
234	в образе	6	6
235	но если	1	6
236	что с	3	6
237	в виде	2	6
238	на нее	1	6
239	при таком	1	6
240	об этом	4	6
241	как он	1	6
242	мы бы	1	6
243	человек не	1	6
244	в той	1	5
245	не столько	1	5
246	или от	1	5
247	по мнению	2	5
248	но самое	1	5
249	когда в	1	5
250	начнем с	1	5
251	с другим	1	5
252	ли мы	1	5
253	одним из	1	5
254	одна из	2	5
255	рядом с	1	5
256	можно было	1	5
257	но только	1	5
258	известной степени	1	5
259	перед нами	2	5
260	ее не	1	5
261	на этот	1	5
262	и здесь	2	5
263	с каким	1	5
264	а это	1	5
265	без слов	1	5
266	но уже	1	5
267	в области	1	5
268	что эти	2	5
269	а к	1	5
270	но при	2	5
271	этого не	1	5
272	как же	2	5
273	отношение к	2	5
274	не к	1	5
275	в применении	1	4
276	от всего	2	4
277	а нечто	1	4
278	при создании	1	4
279	значение только	1	4
280	имеет в	2	4
281	в другом	1	4
282	не вполне	1	4
283	не я	1	4
284	над собою	1	4
285	без которой	1	4
286	не мог	2	4
287	есть такая	1	4
288	говорит он	1	4
289	я и	1	4
290	в связи	1	4
291	внешней формы	1	4
292	с его	2	4
293	на этом	1	4
294	эти слова	1	4
295	на другой	1	4
296	ту же	1	4
297	не могла	1	4
298	того кто	1	4
299	он в	1	4
300	его как	1	4
301	ничего не	2	4
302	что без	1	4
303	чтобы не	1	4
304	ведет к	1	4
305	взгляд на	1	4
306	ни в	2	4
307	но без	1	4
308	более чем	1	4
309	в понятие	1	4
310	он есть	1	4
311	только о	2	4
312	образы и	1	4
313	ему в	1	4
314	данном случае	2	4
315	и хотя	1	4
316	между этими	2	4
317	как нечто	1	4
318	но эта	2	4
319	виде в	1	4
320	стремление к	1	4
321	в такой	1	4
322	человеком и	1	4
323	на них	1	4
324	есть и	1	4
325	во многом	1	4
326	в голову	1	4
327	в разговоре	1	4
328	для ребенка	1	3
329	к этой	1	3
330	дело с	1	3
331	по-видимому не	1	3
332	в результате	1	3
333	также что	1	3
334	а что	2	3
335	время с	1	3
336	я вижу	1	3
337	что этот	2	3
338	применении к	1	3
339	этом мы	1	3
340	если так	1	3
341	их отношения	1	3
342	вместе со	2	3
343	именно так	1	3
344	быть в	1	3
345	входят в	1	3
346	он сам	7	3
347	к ее	1	3
348	его самого	1	3
349	что сам	1	3
350	что уже	1	3
351	тогда и	1	3
352	то для	1	3
353	и отношения	1	3
354	что за	3	3
355	эти образы	1	3
356	сходство с	1	3
357	в двух	1	3
358	не встречает	1	3
359	здесь мы	1	3
360	до этого	1	3
361	как это	3	3
362	что эта	1	3
363	в форме	1	3
364	даже не	1	3
365	я в	1	3
366	и др	1	3
367	не значит	1	3
368	в общем	1	3
369	и ее	2	3
370	не нашел	1	3
371	на сравнении	1	3
372	в мыслях	1	3
373	развития в	1	3
374	из тех	1	3
375	это чувство	1	3
376	боль и	1	3
377	вспомнить что	1	3
378	значение этого	1	3
379	таком виде	1	3
380	вызывает в	1	3
381	именно на	1	3
382	как искусство	1	3
383	как во	1	3
384	и наконец	1	3
385	что ему	1	3
386	ничем не	2	3
387	не нужен	1	3
388	и всегда	1	3
389	из своих	2	3
390	с которым	1	3
391	себя а	1	3
392	сливается с	1	3
393	и я	2	3
394	с первого	2	3
395	отличие от	2	3
396	это в	1	3
397	в развитии	1	3
398	этого образа	1	3
399	человека с	1	3
400	несколько раз	1	3
401	или как	1	3
402	и совершенно	1	3
403	в известной	2	3
404	как будто	3	3
405	еще раз	2	2
406	значение для	1	2
407	его за	2	2
408	так можно	1	2
409	этим объясняется	2	2
410	и сам	3	2
411	если он	1	2
412	приходит в	1	2
413	слов как	1	2
414	роль в	1	2
415	в это	2	2
416	и образ	1	2
417	говорится о	1	2
418	понятно что	1	2
419	не могли	1	2
420	эта связь	1	2
421	раз и	2	2
422	повторяет в	1	2
423	времени в	2	2
424	к своей	1	2
425	уже было	1	2
426	этой связи	1	2
427	такое решение	1	2
428	в глаза	2	2
429	но этот	1	2
430	факт что	1	2
431	может ли	1	2
432	и еще	1	2
433	теперь и	2	2
434	с этими	1	2
435	во времена	1	2
436	на две	1	2
437	который в	2	2
438	нужно для	1	2
439	теперь уже	1	2
440	форму то	1	2
441	но еще	1	2
442	не думает	1	2
443	и за	2	2
444	видит в	1	2
445	как его	1	2
446	из трех	1	2
447	я не	4	2
448	с образом	1	2
449	необходимое условие	1	2
450	тут же	2	2
451	от самого	1	2
452	в шутку	1	2
453	по своей	1	2
454	должны были	1	2
455	одному человеку	1	2
456	о его	2	2
457	обратимся к	1	2
458	боли и	2	2
459	слова нельзя	1	2
460	для чего	1	2
461	с ее	3	2
462	так нельзя	1	2
463	сосредоточился в	1	2
464	им как	1	2
465	с такой	1	2
466	и должно	1	2
467	но этого	2	2
468	и прозе	1	2
469	мы понимаем	1	2
470	его собственная	1	2
471	никакого значения	1	2
472	состоит из	2	2
473	во сне	2	2
474	это самое	1	2
475	это и	1	2
476	господствует над	1	2
477	того самого	1	2
478	нельзя же	1	2
479	своего происхождения	1	2
480	не понимает	1	2
481	друга и	1	2
482	что когда	1	2
483	слова были	1	2
484	в сфере	1	2
485	речи в	1	2
486	не за	2	2
487	и прямо	1	2
488	с сознанием	1	2
489	не для	1	2
490	стороне я	1	2
491	о нем	1	2
492	как у	2	2
493	где он	1	2
494	же не	1	2
495	по словам	2	2
496	а на	1	2
497	и первое	1	2
498	можно выразиться	1	2
499	больше в	1	2
500	даже на	2	2
501	и эта	1	2
502	и могут	1	2
503	со своей	1	2
504	в самое	1	2
505	только к	2	2
506	на нечто	1	2
507	на свои	1	2
508	связь и	1	2
509	а из	1	2
510	в отношениях	1	2
511	на меня	2	2
512	которую я	1	2
513	свое значение	1	2
514	скажет что	1	2
515	могло быть	1	2
516	нуждается в	1	2
517	носит в	1	2
518	говорит не	1	2
519	от силы	1	1
520	в особенности	1	1
521	ребенка и	2	1
522	как много	1	1
523	свою личную	1	1
524	в такое	1	1
525	всем моим	1	1
526	он считает	1	1
527	любовь к	1	1
528	собаки в	1	1
529	же мысль	1	1
530	не вызывает	1	1
531	и лучше	2	1
532	может так	1	1
533	важнее для	1	1
534	только за	1	1
535	из ее	1	1
536	разрушает эту	1	1
537	а там	1	1
538	в настоящем	1	1
539	в духе	1	1
540	голову что	1	1
541	было до	1	1
542	или вообще	1	1
543	и чужой	1	1
544	доставляет удовольствие	1	1
545	самом общем	1	1
546	я им	1	1
547	но становится	1	1
548	деятельность не	1	1
549	разговоре с	1	1
550	мысль он	1	1
551	он вполне	1	1
552	играть в	1	1
553	мы останавливаемся	1	1
554	только теперь	1	1
555	человека перед	2	1
556	в жизнь	1	1
557	совершенно в	1	1
558	даже отчасти	1	1
559	которой он	1	1
560	чувствует себя	1	1
561	нет своего	1	1
562	он был	2	1
563	силы и	1	1
564	ее наслаждение	1	1
565	итак для	1	1
566	это его	1	1
567	и должна	1	1
568	вот почему	1	1
569	миф о	1	1
570	по самой	1	1
571	правда ли	1	1
572	говорит что	2	1
573	сменяющие друг	1	1
574	потому нельзя	1	1
575	всегда будет	1	1
576	перед ним	1	1
577	всего этого	1	1
578	всего что	1	1
579	случае что	1	1
580	был более	1	1
581	на груди	1	1
582	именно такого	1	1
583	понятие в	1	1
584	казалось что	1	1
585	в голове	1	1
586	еще ничего	1	1
587	этого лица	1	1
588	это уже	2	1
589	распадается на	1	1
590	будущего и	1	1
591	общее выражение	1	1
592	и которое	1	1
593	передается и	1	1
594	на ту	1	1
595	в характеристику	1	1
596	которым человек	1	1
597	и он	3	1
598	сам автор	1	1
599	что наконец	1	1
600	она как	2	1
601	и эту	1	1
602	отнимает у	1	1
603	к себе	1	1
604	отказывается от	2	1
605	есть с	1	1
606	этими двумя	2	1
607	как есть	1	1
608	символическое значение	1	1
609	мы оставим	1	1
610	что вы	3	1
611	которые так	1	1
612	что под	1	1
613	и чисто	1	1
614	не исчерпываются	1	1
615	частью его	1	1
616	на себя	1	1
617	iii в	3	1
618	что противоречит	1	1
619	думать о	1	1
620	встречается в	1	1
621	на земле	1	1
622	между собой	1	1
623	всего предшествующего	1	1
624	встречается только	1	1
625	но все-таки	1	1
626	обращается в	1	1
627	всю ее	1	1
628	не был	2	1
629	это могло	1	1
630	как звезды	1	1
631	что же?	2	1
632	чтобы разъяснить	1	1
633	понимание этого	1	1
634	проникает в	1	1
635	области возможного	1	1
636	него есть	1	1
637	образами в	1	1
638	чтобы он	1	1
639	знает но	1	1
640	это должно	1	1
641	к образу	1	1
642	имеет целью	1	1
643	есть высшая	1	1
644	это может	1	1
645	над ним	1	1
646	что собака	1	1
647	не раз	1	1
648	ту сторону	1	1
649	жизнь как	1	1
650	непременно должно	1	1
651	характер ее	1	1
652	ее души	1	1
653	он сказал	1	1
654	роль играет	1	1
655	и внутренним	1	1
656	объясняется и	1	1
657	важной и	1	1
658	всю жизнь	1	1
659	любовь в	1	1
660	своей и	1	1
661	ее собственной	1	1
662	и чтобы	1	1
663	но они	2	1
664	намек на	1	1
665	любви и	2	1
666	к сожалению	1	1
667	своего рода	3	1
668	утверждать что	1	1
669	в последующих	1	1
670	не скажет	1	1
671	а теперь	1	1
672	смотреть на	1	1
673	от самой	1	1
674	и который	1	1
675	другие и	1	1
676	и далее	1	1
677	романа и	3	1
678	x у	1	1
679	по слову	1	1
680	себе этого	1	1
681	выражение лица	1	1
682	когда его	1	1
683	чем для	1	1
684	сознает свою	1	1
685	него нет	1	1
686	нас от	1	1
687	с г	2	1
688	быть понят	1	1
689	доходит до	1	1
690	который сам	1	1
691	не знал	1	1
692	мог быть	1	1
693	с такими	1	1
694	похожим на	1	1
695	жизни в	1	1
696	я хочу	1	1
697	с криком	1	1
698	имеет своих	1	1
699	связаны между	1	1
700	роли в	1	1
701	нечто большее	1	1
702	сравнению с	1	1
703	в душу	1	1
704	общем смысле	1	1
705	который до	1	1
706	растет и	1	1
707	тот кто	1	1
708	этом состоит	1	1
709	назовем ее	1	1
710	бросается в	2	1
711	я увидел	2	1
712	совершенно не	1	1
713	чем же	1	1
714	не является	1	1
715	нем ничего	1	1
716	как говорит	2	1
717	по сравнению	1	1
718	не быть	1	1
719	только раз	1	1
720	последнее слово	1	1
721	пусть мы	2	1
722	очень хорошо	1	1
723	он именно	1	1
724	и новые	1	1
725	чтобы она	1	1
726	на столе	1	1
727	самое мгновение	2	1
728	лишь бы	1	1
729	начала и	1	1
730	по сей	2	1
731	нет в	2	1
732	страдания и	1	1
733	знает что	2	1
734	есть необходимость	1	1
735	в отличие	2	1
736	и вне	1	1
737	что ее	1	1
738	но от	1	1
739	ответа на	1	1
740	в самую	2	1
741	какой она	1	1
742	действия не	1	1
743	из первых	1	1
744	почему бы	1	1
745	нами на	1	1
746	мать и	1	1
747	ее содержание	1	1
748	идея в	1	1
749	стояли на	1	1
750	вместо ответа	1	1
751	такое соединение	1	1
752	высшей степени	1	1
753	над всем	1	1
754	свидетельствует о	1	1
755	всегда быть	1	1
756	и вот	1	1
757	это часто	1	1
758	неизмеримо более	1	1
759	и зеленый	1	1
760	к истории	1	1
761	нам еще	1	1
762	видит что	1	1
763	из предшествующего	1	1
764	на одной	1	1
765	нет это	1	1
766	отвечает ему	2	1
767	чем он	2	1
768	xix века	1	1
769	ее к	2	1
770	а также	1	1
771	за этим	1	1
772	в силах	2	1
773	теперь еще	1	1
774	о жизни	2	1
775	вообще не	1	1
776	две неравные	1	1
777	совершает в	1	1
778	он бы	1	1
779	страха и	1	1
780	в переводе	1	1
781	идеи не	1	1
782	на источник	1	1
783	перед собой	1	1
784	виде что	1	1
785	уважения к	1	1
786	в условиях	1	1
787	а за	1	1
788	стыд как	1	1
789	однако есть	1	1
790	при его	1	1
791	время он	1	1
792	людей в	1	1
793	жизнь и	3	1
794	ко всему	1	1
795	правда что	1	1
796	за то	1	1
797	возвращается к	1	1
798	это мне	1	1
799	случае и	1	1
800	в поле	3	1
801	нет тайн	1	1
802	это как	1	1
803	взрослого человека	1	1
804	все усилия	1	1
805	солнце а	1	1
806	ребенка в	2	1
807	это был	2	1
808	один в	3	1
809	что нужно	1	1
810	ее жизни	2	1
811	особое значение	1	1
812	исследования в	1	1
813	загробной жизни	1	1
814	в частности	2	1
815	а по	1	1
816	от литературных	1	1
817	и смеялся	1	1
818	к области	2	1
819	это была	1	1
820	что образ	3	1
821	собою но	1	1
822	конечно в	1	1
823	еще в	2	1
824	в xix	1	1
825	на всю	1	1
826	на смерть	1	1
827	и т.д	1	1
828	в каких	1	1
829	но теперь	1	1
830	это происходит	1	1
831	со своими	1	1
832	самой своей	1	1
833	что сердце	1	1
834	природу человека	1	1
835	в ходе	2	1
836	своего слова	1	1
837	деле же	1	1
838	никому не	1	1
839	само это	1	1
840	право на	1	1
841	самого этого	1	1
842	на всем	2	1
843	образ на	1	1
844	он с	1	1
845	и критики	1	1
846	некоторые черты	1	1
847	жизнью и	2	1
848	а смерть	1	1
