N	2gram	Propp_Russ	Tvorches
207	не означает	2	4
208	как это	11	4
209	этот вопрос	4	4
210	считал что	2	4
211	ту же	2	4
212	как известно	2	4
213	однако в	1	4
214	могут быть	3	4
215	и есть	1	4
216	известно что	1	4
217	в область	1	4
218	утверждает что	1	4
219	с ними	6	4
220	в в	3	4
221	в которых	8	4
222	года и	1	4
223	перед нами	2	4
224	это и	1	4
225	его и	2	4
226	в основе	1	4
227	и более	3	4
228	сливается с	1	4
229	на землю	2	4
230	в отличие	4	4
231	на улице	1	4
232	того что	6	4
233	это был	1	4
234	зависит от	1	4
235	же не	2	4
236	он же	4	4
237	дело в	1	4
238	было в	1	4
239	к жизни	3	4
240	г к	1	4
241	отличие от	4	4
242	но он	3	4
243	в частности	2	4
244	еще в	6	4
245	далеко не	5	4
246	в xix	13	4
247	из жизни	1	4
248	считает что	2	4
249	такой же	3	4
250	и наконец	2	4
251	что на	5	4
252	и к	3	3
253	от него	1	3
254	только что	1	3
255	и мотивы	1	3
256	кроме того	3	3
257	в виду	3	3
258	но что	2	3
259	связь с	1	3
260	людей и	1	3
261	в первом	1	3
262	в жизни	2	3
263	ее по	1	3
264	только для	3	3
265	так например	7	3
266	к тому	4	3
267	на все	3	3
268	во всяком	1	3
269	можно сказать	1	3
270	в свете	5	3
271	вот почему	1	3
272	в этот	19	3
273	может служить	1	3
274	точно так	1	3
275	в одном	4	3
276	с другим	2	3
277	и еще	2	3
278	сказать что	1	3
279	к себе	1	3
280	мы знаем	1	3
281	несмотря на	4	3
282	к которому	1	3
283	тому же	1	3
284	как по	2	3
285	для того	6	3
286	на себя	4	3
287	на этом	6	3
288	всяком случае	1	3
289	эти слова	1	3
290	совсем не	1	3
291	и тем	1	3
292	должны быть	1	3
293	и что	8	3
294	как уже	6	3
295	даже не	1	3
296	что для	4	3
297	его как	2	3
298	и др	4	3
299	его к	3	3
300	там где	3	3
301	в один	2	3
302	и особенно	1	3
303	пришел к	1	3
304	вплоть до	4	3
305	во второй	1	3
306	если в	3	3
307	на западе	2	3
308	его с	4	3
309	живет в	1	3
310	для себя	1	3
311	года он	1	3
312	ее и	2	3
313	вряд ли	2	3
314	может не	1	3
315	о котором	1	3
316	на берегу	1	3
317	не является	2	3
318	времени на	1	3
319	и до	3	3
320	и время	1	3
321	е а	2	3
322	нет и	1	3
323	как мы	11	3
324	на этот	3	3
325	только с	2	3
326	друг друга	3	3
327	но на	1	3
328	свидетельствует о	1	3
329	он и	1	3
330	что с	2	3
331	ее в	7	3
332	на самом	3	3
333	у нас	11	3
334	таком случае	1	3
335	в русском	4	3
336	или в	7	3
337	этого вопроса	1	3
338	не все	4	3
339	не по	1	3
340	в ней	3	3
341	по этому	4	3
342	из этих	6	3
343	в него	2	3
344	а по	1	3
345	и их	4	3
346	не с	5	3
347	в начале	1	3
348	несколько раз	1	3
349	в другом	1	3
350	отношение к	1	3
351	к ней	4	3
352	во многих	14	3
353	жизни и	1	3
354	а н	21	3
355	этой связи	1	3
356	в области	3	3
357	это в	1	3
358	мы наблюдаем	2	2
359	все что	2	2
360	же и	1	2
361	воскрес во	1	2
362	этот момент	1	2
363	что где-то	1	2
364	думается что	1	2
365	смехом и	1	2
366	время не	1	2
367	по мере	1	2
368	из гроба	1	2
369	на смену	1	2
370	вот что	1	2
371	относится и	1	2
372	жизнь в	1	2
373	из нее	2	2
374	шел в	1	2
375	чем их	1	2
376	с тем	14	2
377	одном из	1	2
378	их в	7	2
379	и очень	1	2
380	в одно	2	2
381	от декабря	1	2
382	но мы	1	2
383	связано с	3	2
384	всякого рода	3	2
385	г в	5	2
386	и того	1	2
387	в первую	1	2
388	во все	1	2
389	в данном	7	2
390	из других	2	2
391	не могли	1	2
392	то это	1	2
393	чтобы вызвать	3	2
394	которой он	1	2
395	он был	2	2
396	входит в	4	2
397	только как	2	2
398	но даже	2	2
399	из себя	1	2
400	е годы	2	2
401	а между	1	2
402	гроба и	1	2
403	христа на	1	2
404	свою очередь	2	2
405	в глаза	3	2
406	на ней	1	2
407	но ни	2	2
408	пока еще	1	2
409	как на	2	2
410	настоящее время	3	2
411	нас на	1	2
412	н г	2	2
413	по поводу	1	2
414	о чем	7	2
415	точка зрения	1	2
416	не просто	3	2
417	того же	1	2
418	жизнь и	2	2
419	во всех	6	2
420	в жертву	1	2
421	не противоречит	2	2
422	здесь нет	1	2
423	и эту	1	2
424	с одной	1	2
425	на том	1	2
426	внимание на	1	2
427	в раннем	1	2
428	на этих	1	2
429	как раз	1	2
430	тем не	3	2
431	указал на	1	2
432	после этого	6	2
433	чем у	2	2
434	в качестве	5	2
435	к необходимости	1	2
436	с другими	3	2
437	и притом	1	2
438	связи с	6	2
439	лицо его	1	2
440	по улице	1	2
441	сходство с	3	2
442	тому что	4	2
443	в связи	4	2
444	между прочим	2	2
445	рядом с	1	2
446	между собой	4	2
447	в двух	2	2
448	лошади в	1	2
449	в эту	3	2
450	и м	22	2
451	смысл и	1	2
452	д с	1	2
453	мы уже	2	2
454	не дает	1	2
455	во что	1	2
456	не будет	1	2
457	для этой	3	2
458	если же	1	2
459	и та	1	2
460	при такой	1	2
461	в тех	5	2
462	кто же	1	2
463	себя на	1	2
464	в современной	1	2
465	было бы	3	2
466	что во	1	2
467	в доме	2	2
468	не значит	2	2
469	даже если	1	2
470	с которым	1	2
471	зато в	1	2
472	в силу	2	2
473	года когда	1	2
474	чаще всего	3	2
475	из этого	1	2
476	бы ни	1	2
477	а как	1	2
478	означает что	2	2
479	себя но	1	2
480	первую очередь	1	2
481	и здесь	3	2
482	о своих	1	2
483	от жизни	1	2
484	игрой в	1	2
485	а сами	2	2
486	представляют собой	13	2
487	человек с	1	2
488	для них	5	2
489	ни в	1	2
490	целом ряде	1	2
491	не могут	1	2
492	должен был	3	2
493	здесь мы	3	2
494	в целях	4	2
495	встречаются и	2	2
496	далее следует	1	2
497	как о	1	2
498	это время	4	2
499	быть назван	1	2
500	не имеет	9	2
501	ли он	1	2
502	несколько ниже	1	2
503	знает что	1	2
504	не во	1	2
505	в которые	1	2
506	не дают	1	2
507	наконец в	1	2
508	того чтобы	6	2
509	и поэтому	3	2
510	а может	1	2
511	а через	1	2
512	и теперь	1	2
513	что если	2	2
514	о своем	1	2
515	от других	1	2
516	не потому	1	2
517	через него	2	2
518	н а	5	2
519	и потом	4	2
520	переход от	3	2
521	характер в	1	2
522	он в	1	2
523	их с	1	2
524	за пределами	2	2
525	же он	1	2
526	точку зрения	1	2
527	д и	1	2
528	ответ на	2	2
529	что ему	2	2
530	значение в	2	2
531	данном случае	8	2
532	сам он	1	2
533	нас не	3	2
534	они живут	2	2
535	прямо в	1	2
536	во время	23	2
537	и всегда	1	2
538	в честь	5	2
539	некоторые из	2	2
540	особое значение	1	2
541	когда же	1	2
542	в таких	3	2
543	и некоторых	1	2
544	образом в	2	2
545	за этим	1	2
546	не от	1	2
547	очень много	2	2
548	в ряде	1	2
549	в стороне	2	2
550	или даже	3	2
551	при таком	1	2
552	стремление к	1	2
553	смерти в	2	2
554	сразу же	2	2
555	и без	1	2
556	в гробу	1	2
557	должен быть	2	2
558	но христос	1	2
559	и вообще	1	2
560	отсюда же	1	2
561	без всякой	1	2
562	ко всему	2	2
563	нуждается в	1	2
564	а к	3	2
565	в руки	2	2
566	не могу	1	2
567	она не	4	2
568	с особым	1	2
569	но она	3	2
570	всех этих	2	2
571	в нашей	1	2
572	и и	2	2
573	человека с	1	2
574	не сами	1	2
575	по всей	4	2
576	со своими	1	2
577	и о	4	2
578	говорилось выше	1	2
579	дня и	1	2
580	же в	5	2
581	их на	5	2
582	в е	2	2
583	надо было	1	2
584	однако все	1	2
585	но для	1	2
586	не к	3	2
587	что было	1	1
588	пословицы и	1	1
589	должна была	6	1
590	и своего	1	1
591	мы и	1	1
592	религии и	1	1
593	не единственный	2	1
594	упоминания о	1	1
595	уверенности что	2	1
596	а когда	1	1
597	эта теория	5	1
598	повторяли по	1	1
599	которые не	3	1
600	от имени	1	1
601	к этой	1	1
602	можно встретить	2	1
603	с детства	1	1
604	скорбь и	1	1
605	при исследовании	1	1
606	человек на	1	1
607	в применении	1	1
608	сопоставляется с	1	1
609	с виноградов	1	1
610	ссылаясь на	1	1
611	или нет	1	1
612	эта же	2	1
613	не нужны	1	1
614	но тем	2	1
615	ведьмы в	1	1
616	на ночь	1	1
617	с презрением	1	1
618	по приказу	2	1
619	не полностью	1	1
620	нас в	2	1
621	не являются	1	1
622	но смысл	1	1
623	самом же	2	1
624	одно из	6	1
625	живут в	2	1
626	тогда же	1	1
627	и другими	3	1
628	не бывает	1	1
629	чтобы на	3	1
630	по времени	1	1
631	заключалось в	1	1
632	характере этого	1	1
633	их не	2	1
634	следует тому	1	1
635	на которых	2	1
636	но все	3	1
637	его дома	1	1
638	можно говорить	2	1
639	происходит не	1	1
640	из самых	2	1
641	большей частью	1	1
642	что весь	1	1
643	или на	11	1
644	уже на	1	1
645	говорят о	1	1
646	из всего	1	1
647	в ноги	1	1
648	места и	1	1
649	сказывается и	1	1
650	имеет место	3	1
651	в собственном	1	1
652	что по	7	1
653	прошлого в	1	1
654	можно это	1	1
655	даже два	1	1
656	форма более	1	1
657	дома и	1	1
658	собой не	1	1
659	в окошко	2	1
660	в изобилии	1	1
661	же после	1	1
662	за ней	1	1
663	к своим	1	1
664	вместе и	1	1
665	и искали	1	1
666	он по	1	1
667	видит как	1	1
668	разные стороны	1	1
669	трех дней	1	1
670	смысл этого	1	1
671	занимать нас	1	1
672	как только	2	1
673	становятся в	4	1
674	он из	1	1
675	а вместе	1	1
676	и смерти	1	1
677	и летописец	1	1
678	первый взгляд	1	1
679	он искал	1	1
680	у которых	2	1
681	народа на	1	1
682	на этой	3	1
683	более широком	1	1
684	ее к	2	1
685	летопись и	1	1
686	можно считать	1	1
687	и такие	1	1
688	вопрос о	4	1
689	применении к	1	1
690	эта связь	2	1
691	сам и	1	1
692	н ф	2	1
693	смерти она	1	1
694	с лицом	1	1
695	общеизвестно что	1	1
696	представления о	2	1
697	собой как	2	1
698	всего этого	1	1
699	одной стороны	1	1
700	все свои	1	1
701	часто в	1	1
702	и другой	5	1
703	как отражение	1	1
704	а мои	1	1
705	в руках	3	1
706	поэтому мы	1	1
707	таким же	4	1
708	между двумя	2	1
709	но может	1	1
710	но они	4	1
711	же говорит	1	1
712	в различных	3	1
713	связь между	2	1
714	изображается как	5	1
715	с в	12	1
716	и те	3	1
717	не что	3	1
718	подробно описывает	2	1
719	в иерусалим	1	1
720	себе в	1	1
721	до того	3	1
722	подробнее об	1	1
723	характерной для	1	1
724	был более	1	1
725	в прошлом	2	1
726	мало чем	1	1
727	выше мы	1	1
728	к ним	4	1
729	совершенно ясна	1	1
730	в углу	1	1
731	под ним	2	1
732	может также	1	1
733	ее но	1	1
734	жизни как	1	1
735	него не	1	1
736	кладбища и	1	1
737	ее как	1	1
738	том чтобы	3	1
739	над этим	1	1
740	начиная со	1	1
741	а только	1	1
742	такая же	1	1
743	в нашем	2	1
744	у себя	1	1
745	с этими	1	1
746	под названием	3	1
747	как от	1	1
748	окна и	1	1
749	те и	1	1
750	с описанием	1	1
751	от них	4	1
752	под именем	3	1
753	даже у	1	1
754	а мы	2	1
755	нет никаких	1	1
756	к этим	1	1
757	он считал	1	1
758	это объяснение	1	1
759	вся эта	2	1
760	все мы	1	1
761	в церкви	2	1
762	к различным	1	1
763	по возвращении	2	1
764	сил то	2	1
765	к их	1	1
766	происходило в	2	1
767	хотелось бы	1	1
768	человеку не	1	1
769	а наоборот	1	1
770	что иное	3	1
771	года к	1	1
772	и всей	2	1
773	после чего	4	1
774	как средство	1	1
775	вообще а	1	1
776	что сам	1	1
777	есть одно	1	1
778	она имела	1	1
779	имеет тот	1	1
780	смысле в	1	1
781	объясняется тем	1	1
782	силой в	1	1
783	а и	7	1
784	народной жизни	1	1
785	однако совершенно	1	1
786	как дети	1	1
787	т е	41	1
788	лучше чем	1	1
789	не думает	1	1
790	не понимают	1	1
791	и за	2	1
792	из мертвых	1	1
793	от описания	1	1
794	обычно служит	1	1
795	и развитие	1	1
796	в одиночку	2	1
797	как можно	3	1
798	чем в	4	1
799	входящие в	1	1
800	крестьян и	1	1
801	в разные	4	1
802	в несколько	1	1
803	время во	1	1
804	и некоторые	3	1
805	они представляют	2	1
806	как видно	1	1
807	именно здесь	1	1
808	будто бы	10	1
809	в день	12	1
810	смысла но	1	1
811	школы все	1	1
812	с водой	1	1
813	через плечо	1	1
814	в среде	1	1
815	между ними	1	1
816	время как	1	1
817	большинстве случаев	2	1
818	такие же	4	1
819	так на	2	1
820	основная форма	1	1
821	уже давно	1	1
822	и жизнь	1	1
823	без которой	1	1
824	в первые	2	1
825	к вопросу	2	1
826	связанным с	1	1
827	себе и	1	1
828	полагает что	8	1
829	жизни то	1	1
830	что их	1	1
831	могло бы	1	1
832	под влиянием	1	1
833	в других	24	1
834	существенного значения	3	1
835	на которую	1	1
836	остается в	1	1
837	всей их	1	1
838	говорится в	1	1
839	но можно	2	1
840	вошел в	1	1
841	о происхождении	1	1
842	мы можем	2	1
843	весь мир	1	1
844	того в	3	1
845	в москву	2	1
846	из последних	1	1
847	и цель	1	1
848	где с	1	1
849	приводит его	1	1
850	к слову	3	1
851	они же	2	1
852	я тебе	1	1
853	говорилось о	2	1
854	не составляет	1	1
855	на другой	2	1
856	мотивы его	1	1
857	рост и	1	1
858	и русских	1	1
859	многих случаях	4	1
860	том где	1	1
861	под ней	1	1
862	на весь	3	1
863	или же	2	1
864	в случае	1	1
865	решить вопрос	2	1
866	в развитии	1	1
867	в городе	1	1
868	в детстве	1	1
869	однако эта	1	1
870	что эта	1	1
871	им свою	1	1
872	через нее	1	1
873	прочим в	1	1
874	можно было	3	1
875	в форме	3	1
876	это к	1	1
877	который мы	1	1
878	была не	1	1
879	во плоти	1	1
880	ни о	1	1
881	на коленях	1	1
882	также и	1	1
883	что бы	1	1
884	в семье	1	1
885	следует признать	2	1
886	должны были	3	1
887	в иных	2	1
888	которого в	2	1
889	их и	3	1
890	на некоторые	2	1
891	что дает	1	1
892	вторая часть	1	1
893	в гости	1	1
894	губернии и	3	1
895	другой день	2	1
896	возможно что	2	1
897	быт в	1	1
898	общего с	1	1
899	главным образом	5	1
900	вера в	2	1
901	найти в	1	1
902	каждый человек	1	1
903	при первой	1	1
904	над ней	1	1
905	вопрос этот	1	1
906	ней в	2	1
907	по улицам	4	1
908	событий но	1	1
909	деле это	1	1
910	если они	1	1
911	для людей	1	1
912	с малым	1	1
913	на место	2	1
914	очень редко	1	1
915	и чтобы	1	1
916	ты меня	1	1
917	это имеет	4	1
918	от октября	1	1
919	чем и	1	1
920	чтобы не	1	1
921	уходит в	1	1
922	каждого из	1	1
923	как указывает	1	1
924	одного и	1	1
925	сливаются в	1	1
926	раньше чем	2	1
927	многие другие	2	1
928	со слезами	1	1
929	что до	1	1
930	из окна	1	1
931	в особенности	3	1
932	к сожалению	1	1
933	люди в	1	1
934	и бессмертие	1	1
935	это неверно	1	1
936	однако и	1	1
937	прямо и	1	1
938	то время	3	1
939	по всем	3	1
940	происходят на	1	1
941	другие в	2	1
942	с и	1	1
943	довольно точно	1	1
944	оно могло	1	1
945	возникает еще	1	1
946	оно было	1	1
947	можно назвать	1	1
948	на ивана	8	1
949	очень верно	1	1
950	понимал и	1	1
951	природе и	1	1
952	бы говорить	1	1
953	должны иметь	1	1
954	и из	3	1
955	никак не	1	1
956	сходство это	1	1
957	здесь он	1	1
958	он на	1	1
959	истории в	1	1
960	на лице	1	1
961	на глазах	1	1
962	русского народа	3	1
963	разного рода	1	1
964	к выводу	3	1
965	что после	1	1
966	жизни путем	1	1
967	и вновь	1	1
968	смысла в	1	1
969	за это	1	1
970	не на	2	1
971	их нужно	1	1
972	от их	1	1
973	оно не	2	1
974	прощения за	1	1
975	сходно с	1	1
976	ряде других	1	1
977	собой и	2	1
978	в огонь	1	1
979	с ней	7	1
980	в ад	1	1
981	так называемый	2	1
982	из составных	1	1
983	с г	2	1
984	в различные	2	1
985	происхождение и	1	1
986	и действительно	2	1
987	считалось что	1	1
988	характер этого	2	1
989	это та	1	1
990	к самым	1	1
991	как не	2	1
992	к нам	2	1
993	по разным	1	1
994	и так	2	1
995	и просто	1	1
996	связанные с	5	1
997	совершенно естественно	1	1
998	себя и	2	1
999	при всех	2	1
1000	все другие	1	1
1001	нет в	2	1
1002	ничего общего	3	1
1003	и обратно	1	1
1004	это самое	1	1
1005	говорят об	1	1
1006	в любой	1	1
1007	можно в	1	1
1008	бросается в	3	1
1009	еще и	1	1
1010	этот день	19	1
1011	и должны	1	1
1012	в отчаянии	1	1
1013	когда мы	2	1
1014	когда вся	1	1
1015	видим что	1	1
1016	он подробно	1	1
1017	тех же	1	1
1018	выход на	1	1
1019	такую же	2	1
1020	где есть	2	1
1021	то и	4	1
1022	в течение	7	1
1023	на основе	1	1
1024	с а	1	1
1025	в деталях	1	1
1026	однако более	1	1
1027	он просто	1	1
1028	нечто вроде	2	1
1029	в середине	4	1
1030	совпадают с	3	1
1031	в фольклоре	3	1
1032	вывод что	5	1
1033	очень хорошо	1	1
1034	что также	2	1
1035	ночи и	1	1
1036	говорят что	1	1
1037	на столе	1	1
1038	внимания на	1	1
1039	люди не	1	1
1040	у других	1	1
1041	ее с	2	1
1042	целый ряд	1	1
1043	борьбу и	1	1
1044	и целый	1	1
1045	случае с	1	1
1046	выходить журнал	1	1
1047	не без	1	1
1048	года на	2	1
1049	например на	2	1
1050	невозможно вне	1	1
1051	состоит в	18	1
1052	дворец и	1	1
1053	на которые	1	1
1054	и а	4	1
1055	о религии	1	1
1056	советских ученых	1	1
1057	времени его	1	1
1058	исчезли из	1	1
1059	заметить что	3	1
1060	них же	1	1
1061	деле как	1	1
1062	не совсем	6	1
1063	ее не	1	1
1064	при котором	1	1
1065	значение имеет	1	1
1066	игра в	1	1
1067	vii в	3	1
1068	на первый	3	1
1069	с января	1	1
1070	и народ	1	1
1071	который по	1	1
1072	этого слова	3	1
1073	имеет другую	1	1
1074	она будет	1	1
1075	однако такое	2	1
1076	месте в	1	1
1077	власть над	1	1
1078	только потому	1	1
1079	и для	3	1
1080	в память	2	1
1081	мир и	1	1
1082	в настоящее	3	1
1083	иногда в	2	1
1084	в четвертом	1	1
1085	многочисленные связи	1	1
1086	с того	1	1
1087	они были	2	1
1088	в самих	3	1
1089	же сообщает	1	1
1090	такое же	2	1
1091	этом случае	9	1
1092	это наблюдение	1	1
1093	форм и	1	1
1094	рассматривается как	3	1
1095	в более	2	1
1096	и многие	2	1
1097	вокруг него	2	1
1098	ему в	1	1
1099	пока что	1	1
1100	с м	1	1
1101	они не	1	1
1102	№ в	2	1
1103	ряд других	2	1
1104	и было	1	1
1105	на тех	2	1
1106	того как	6	1
1107	за которую	1	1
1108	в первый	5	1
1109	сочетается с	1	1
1110	сколько в	1	1
1111	свое внимание	1	1
1112	принимает форму	1	1
1113	одна и	1	1
1114	кончается этот	1	1
1115	мы имеем	7	1
1116	их смерть	1	1
1117	что христос	1	1
1118	однако здесь	1	1
1119	христианского учения	1	1
1120	он называет	1	1
1121	без особой	1	1
1122	согласиться со	1	1
1123	что так	1	1
1124	нее как	1	1
1125	день и	2	1
1126	для нас	12	1
1127	видеть в	1	1
1128	западной европы	3	1
1129	на одной	1	1
1130	на которой	2	1
1131	вытекающее из	1	1
1132	что каждый	2	1
1133	однако не	1	1
1134	а на	8	1
1135	искал в	1	1
1136	и проклятия	1	1
1137	г чернышевский	1	1
1138	жизни это	1	1
1139	о склонности	1	1
1140	приводит нас	4	1
1141	а также	6	1
1142	этом не	2	1
1143	год с	1	1
1144	о характере	1	1
1145	который как	1	1
1146	в другую	1	1
1147	и начинается	1	1
1148	виду что	2	1
1149	он видел	2	1
1150	что однако	1	1
1151	вообще не	1	1
1152	только два	1	1
1153	еще далеко	2	1
1154	с той	2	1
1155	в какой	3	1
1156	на голову	6	1
1157	нас к	5	1
1158	этой цели	2	1
1159	есть в	2	1
1160	мнение что	2	1
1161	а иногда	6	1
1162	по своему	2	1
1163	более полное	1	1
1164	всецело и	1	1
1165	у древних	1	1
1166	в русских	1	1
1167	свет на	1	1
1168	человеком и	1	1
1169	а так	1	1
1170	может относиться	1	1
1171	тем более	1	1
1172	руки и	3	1
1173	в меру	1	1
1174	смерти и	3	1
1175	перешедшего в	1	1
1176	ему не	1	1
1177	разделяет и	1	1
1178	не была	1	1
1179	стоит и	1	1
1180	мнению в	1	1
1181	же деле	2	1
1182	одно место	1	1
1183	предположить что	5	1
1184	в г	6	1
1185	того или	1	1
1186	и эти	1	1
1187	дойдя до	1	1
1188	этих строк	1	1
1189	что от	4	1
1190	в полной	1	1
1191	чтобы как	1	1
1192	в народе	2	1
1193	в поле	18	1
1194	года так	1	1
1195	с первым	1	1
1196	а совершенно	1	1
1197	собой попытку	2	1
1198	должно быть	2	1
1199	так называемой	3	1
1200	жизни человека	1	1
1201	тем из	1	1
1202	а из	1	1
1203	это собственно	1	1
1204	плачут и	1	1
1205	в новый	6	1
1206	это для	1	1
1207	еще менее	1	1
1208	через которые	1	1
1209	мы должны	3	1
1210	другом месте	1	1
1211	их так	2	1
1212	своей книге	1	1
1213	к воплощению	1	1
1214	бою и	1	1
1215	совершенно ясны	1	1
1216	не о	1	1
1217	и детей	1	1
1218	есть и	2	1
1219	свиную голову	1	1
1220	же что	1	1
1221	от земли	2	1
1222	но такое	1	1
1223	только у	2	1
1224	или его	1	1
1225	в пределах	2	1
1226	стороны и	1	1
1227	время они	1	1
1228	из своей	2	1
1229	немецкий исследователь	1	1
1230	повод для	1	1
1231	думать что	3	1
1232	на всю	1	1
1233	напоминают нам	1	1
1234	при всем	1	1
1235	в большинстве	2	1
1236	этому поводу	3	1
1237	городах и	2	1
1238	быту и	1	1
1239	еще на	1	1
1240	этой теории	1	1
1241	в отрыве	1	1
1242	сохранилась и	1	1
1243	им не	1	1
1244	подымает в	1	1
1245	явление в	1	1
1246	в тексте	1	1
1247	типичен для	1	1
1248	раза в	1	1
1249	содержанием и	1	1
1250	не надо	1	1
1251	которые в	2	1
1252	или другому	1	1
1253	того времени	1	1
1254	вносимого в	1	1
1255	представляется весьма	1	1
1256	эта картина	1	1
1257	ему с	1	1
1258	раз этот	1	1
1259	как самого	1	1
1260	в период	2	1
1261	на то	2	1
1262	право на	2	1
1263	мы видели	3	1
1264	в эти	4	1
1265	и самый	1	1
1266	для этого	6	1
1267	именно это	1	1
1268	за городом	1	1
1269	из центральных	1	1
1270	не можем	5	1
1271	иное как	3	1
1272	книга по	1	1
1273	что такому	1	1
1274	из своих	2	1
1275	плачут а	1	1
