N	2gram	Bakhtin_Pr	NovoeSre
420	как например	2	1
421	а на	1	1
422	и связаны	1	1
423	вступить на	1	1
424	сами по	4	1
425	не их	1	1
426	всего что	2	1
427	или не	2	1
428	образ человека	1	1
429	в платоновском	1	1
430	но он	3	1
431	быть признан	1	1
432	значение и	1	1
433	в которой	6	1
434	и ложь	1	1
435	этого мира	6	1
436	смысле как	2	1
437	особого типа	2	1
438	в этой	5	1
439	вот что	2	1
440	числе и	1	1
441	человеческой жизни	4	1
442	а по	1	1
443	и еще	2	1
444	жизнь в	2	1
445	как на	4	1
446	в отличие	3	1
447	про себя	3	1
448	он в	3	1
449	явление в	1	1
450	будто бы	1	1
451	него и	1	1
452	мысли как	1	1
453	нет для	1	1
454	мы отлично	1	1
455	на нее	1	1
456	и роста	1	1
457	принципу но	1	1
458	оно есть	1	1
459	оставалось в	1	1
460	во многом	1	1
461	всегда есть	1	1
462	ней и	1	1
463	ведь прежде	1	1
464	из всех	1	1
465	менее всего	4	1
466	быть только	3	1
467	что не	6	1
468	но все	8	1
469	очень долго	1	1
470	он видел	2	1
471	тем что	5	1
472	вера в	2	1
473	русский народ	2	1
474	творческий процесс	1	1
475	и во	2	1
476	создать не	1	1
477	не хочет	1	1
478	к этой	1	1
479	новые формы	1	1
480	то время	3	1
481	и нами	1	1
482	огромное значение	1	1
483	нет надобности	2	1
484	мира но	2	1
485	она неизбежно	1	1
486	в конце	9	1
487	вообще не	1	1
488	ним она	1	1
489	или иная	1	1
490	чтобы быть	2	1
491	и гибель	1	1
492	идеями в	2	1
493	них не	2	1
494	так как	11	1
495	смысле и	1	1
496	сказать ни	1	1
497	мира эти	1	1
498	эти черты	1	1
499	в образе	4	1
500	к которому	1	1
501	в своем	12	1
502	характер и	1	1
503	для сознания	1	1
504	глубже чем	1	1
505	есть по	1	1
506	лишь на	3	1
507	и дух	1	1
508	с идеями	1	1
509	сих пор	3	1
510	и вполне	2	1
511	что он	16	1
512	на себя	3	1
513	бы сказать	1	1
514	известном смысле	1	1
515	направлена на	1	1
516	человека это	1	1
517	и она	1	1
518	их в	8	1
519	времени что	1	1
520	он может	4	1
521	сама идея	1	1
522	большинстве случаев	3	1
523	всю жизнь	1	1
524	мысли но	1	1
525	борьбы за	1	1
526	перестать быть	1	1
527	что мы	2	1
528	и которые	1	1
529	человека на	1	1
530	человеке и	1	1
531	в этих	5	1
532	для решения	1	1
533	том смысле	1	1
534	и отдельных	1	1
535	но если	1	1
536	по себе	13	1
537	и объединения	1	1
538	последних пределов	1	1
539	релятивизм и	1	1
540	в речах	2	1
541	приводит к	4	1
542	только для	2	1
543	оно может	2	1
544	это делали	1	1
545	в области	3	1
546	и повести	2	1
547	времени а	1	1
548	того и	1	1
549	видят в	1	1
550	с ним	13	1
551	мыслей и	1	1
552	и только	2	1
553	образа человека	2	1
554	человек не	1	1
555	есть только	5	1
556	ли он	2	1
557	от всех	1	1
558	человеческого духа	2	1
559	к той	2	1
560	всяком случае	3	1
561	и оно	2	1
562	все слова	1	1
563	зависимости от	5	1
564	та или	1	1
565	друг друга	10	1
566	идей и	1	1
567	распадается на	1	1
568	с большей	1	1
569	до начала	1	1
570	к своим	1	1
571	того же	1	1
572	в известном	1	1
573	мира не	2	1
574	тут мы	1	1
575	знает что	1	1
576	во времени	4	1
577	на их	1	1
578	в чем	2	1
579	в каком	2	1
580	собрать в	1	1
581	на новых	1	1
582	нет в	1	1
583	он действует	1	1
584	в какие	2	1
585	отказаться от	1	1
586	есть своя	1	1
587	и его	21	1
588	в эту	1	1
589	и особенно	2	1
590	нелюбовь к	1	1
591	и отраженной	1	1
592	к своеобразному	1	1
593	слова в	4	1
594	и у	6	1
595	одного и	2	1
596	на это	2	1
597	себе и	3	1
598	жизни с	1	1
599	разобраться в	2	1
600	к идее	4	1
601	героя но	2	1
602	в соприкосновение	2	1
603	выводы которые	1	1
604	лишь по	1	1
605	и рождается	2	1
606	от этого	2	1
607	мира с	1	1
608	и нет	2	1
609	к самосознанию	1	1
610	себя и	4	1
611	к нему	13	1
612	становится в	1	1
613	было быть	1	1
614	почвы и	3	1
615	ему не	2	1
616	на них	1	1
617	людей в	1	1
