N	2gram	Tiupa_Narr	VelikijI
257	на него	3	1
258	в своем	2	1
259	человек и	1	1
260	к жизни	1	1
261	целое и	1	1
262	и от	1	1
263	за которым	1	1
264	быть может	2	1
265	мы будем	1	1
266	ничего не	2	1
267	с ними	1	1
268	всегда в	1	1
269	к высшему	1	1
270	царем и	1	1
271	по крайней	1	1
272	в третьем	3	1
273	человек с	1	1
274	все же	7	1
275	идет по	2	1
276	мировой истории	1	1
277	как в	7	1
278	этого слова	2	1
279	в которых	1	1
280	жизни в	3	1
281	роль в	2	1
282	себя и	2	1
283	и по	1	1
284	их на	1	1
285	и могут	1	1
286	и эта	1	1
287	человека есть	1	1
288	в их	1	1
289	с которым	1	1
290	в двух	2	1
291	мира и	2	1
292	может и	1	1
293	том свете	2	1
294	бытия в	3	1
295	есть то	1	1
296	ни для	7	1
297	в известном	2	1
298	к ее	1	1
299	таким же	1	1
300	не случайно	2	1
301	в едином	1	1
302	последние дни	1	1
303	в целом	1	1
304	крайней мере	1	1
305	жизни не	1	1
306	и ее	2	1
307	вовсе не	1	1
308	что на	2	1
309	жизни с	1	1
310	есть не	1	1
311	старые и	1	1
312	это лишь	1	1
313	к нему	5	1
