N	2gram	Medvedev_U	formyVre
106	в различных	1	6
107	сказать что	1	6
108	в качестве	1	6
109	в таком	1	6
110	мы можем	1	6
111	за пределы	1	6
112	одной стороны	1	6
113	бы ни	1	6
114	а как	2	6
115	дан в	1	6
116	не могут	2	6
117	в которых	1	6
118	литературы в	1	6
119	имеем в	1	6
120	нет и	1	6
121	все они	2	6
122	мы не	2	6
123	в широком	2	6
124	мы и	2	5
125	о чем	2	5
126	одно из	1	5
127	тем что	2	5
128	в порядке	1	5
129	в своей	3	5
130	было и	1	5
131	отсюда и	1	5
132	хотя бы	5	5
133	что все	2	5
134	и через	2	5
135	и является	2	5
136	в этой	4	5
137	далеко не	1	5
138	той же	1	5
139	он может	1	5
140	мы имеем	1	5
141	не без	1	5
142	об этом	1	5
143	первый план	1	5
144	и только	5	5
145	другой стороны	3	4
146	по себе	2	4
147	равно как	1	4
148	из самых	1	4
149	его на	1	4
150	в данном	1	4
151	он был	1	4
152	все в	1	4
153	именно как	2	4
154	друг другу	1	4
155	их и	2	4
156	что он	2	4
157	и т.д	3	4
158	же самое	2	4
159	формы и	2	4
160	этом случае	1	4
161	находятся в	1	4
162	не для	1	4
163	у нас	3	4
164	у толстого	1	4
165	на его	1	4
166	тем более	1	4
167	и вне	1	4
168	с которыми	1	3
169	точном смысле	1	3
170	это значит	1	3
171	строго говоря	1	3
172	время не	1	3
173	нас в	2	3
174	в точном	1	3
175	вот почему	7	3
176	форма в	1	3
177	у стерна	1	3
178	как на	1	3
179	же как	1	3
180	бы в	1	3
181	очень часто	1	3
182	сюда же	1	3
183	литературы и	2	3
184	это уже	2	3
185	если не	2	3
186	произведения в	1	3
187	и так	1	3
188	правда не	1	3
189	не входит	1	3
190	его и	2	3
191	бы и	2	3
192	что мы	2	3
193	в течение	1	3
194	в значительной	1	3
195	искусство и	1	3
196	но это	2	3
197	все элементы	1	3
198	не столько	2	3
199	это было	2	3
200	но конечно	2	3
201	только к	3	3
202	она не	1	3
203	место и	1	3
204	надо было	2	3
205	можно сказать	1	3
206	как таковой	2	2
207	и истории	1	2
208	определяется не	1	2
209	перестает быть	5	2
210	переходит в	1	2
211	значительной мере	1	2
212	речи в	1	2
213	главное же	1	2
214	и всей	1	2
215	этой же	1	2
216	в буквальном	2	2
217	и дается	1	2
218	столько же	1	2
219	но для	1	2
220	нем но	1	2
221	вообще в	1	2
222	где бы	1	2
223	которой и	1	2
224	не связанных	1	2
225	и сплошь	1	2
226	себя на	1	2
227	даже не	1	2
228	была уже	1	2
229	его как	1	2
230	которое мы	1	2
231	момент является	1	2
232	должна быть	2	2
233	тогда когда	1	2
234	сколько угодно	2	2
235	литературного произведения	1	2
236	самом деле	2	2
237	целого но	1	2
238	данном случае	1	2
239	о котором	1	2
240	то и	1	2
241	это то	1	2
242	он становится	1	2
243	вне его	1	2
244	много в	1	2
245	но если	1	2
246	единства и	1	2
247	произведения как	1	2
248	не существует	1	2
249	ее к	1	2
250	и эта	1	2
251	слагается из	1	2
252	но по	1	2
253	или даже	1	2
254	не столь	1	2
255	и историческая	1	2
256	буквальном смысле	1	2
257	весь и	1	2
258	и разнообразие	1	2
259	в искусстве	6	2
260	не о	3	2
261	со своими	1	2
262	частности с	1	2
263	язык в	1	2
264	и бытовых	1	2
265	степени и	1	2
266	является в	2	1
267	которой все	1	1
268	быть по	1	1
269	еще раз	1	1
270	тех кто	1	1
271	смысл того	1	1
272	с проблемой	2	1
273	формы в	3	1
274	является целью	1	1
275	в большей	1	1
276	литературных и	1	1
277	случае он	1	1
278	но что	1	1
279	у пушкина	1	1
280	более или	1	1
281	цельного и	1	1
282	конечном счете	4	1
283	приобретает характер	1	1
284	что по	1	1
285	на эту	2	1
286	не вполне	1	1
287	и слово	1	1
288	обращение к	1	1
289	первый взгляд	1	1
290	все и	1	1
291	больше чем	1	1
292	что этот	1	1
293	но нам	1	1
294	объясняется и	1	1
295	тематики как	1	1
296	это же	1	1
297	оформления материала	1	1
298	которых так	1	1
299	превращается в	2	1
300	что еще	1	1
301	в не	1	1
302	и формы	3	1
303	трудно подыскать	1	1
304	него не	1	1
305	ее как	1	1
306	эта работа	1	1
307	жанра в	1	1
308	бы то	3	1
309	этого и	1	1
310	как такового	3	1
311	для изучения	1	1
312	она в	1	1
313	быть тем	1	1
314	начала и	1	1
315	принципах построения	1	1
316	почему в	1	1
317	они в	1	1
318	не обладает	1	1
319	мировоззрения и	1	1
320	говорит он	1	1
321	в конечном	4	1
322	и основного	2	1
323	до крайности	1	1
324	ни от	2	1
325	и единого	1	1
326	одним из	2	1
327	к простому	1	1
328	и строится	1	1
329	в совокупности	1	1
330	так много	1	1
331	смысле и	1	1
332	для поэзии	2	1
333	в данное	1	1
334	стиля все	1	1
335	могли бы	2	1
336	с новой	1	1
337	не то	1	1
338	свое место	1	1
339	является только	1	1
340	месте в	1	1
341	между тем	2	1
342	в системе	2	1
343	не приходится	2	1
344	и что	1	1
345	этом смысле	2	1
346	но тут	1	1
347	представляется чрезвычайно	1	1
348	они находятся	1	1
349	он в	1	1
350	время на	1	1
351	рассматривать не	1	1
352	не значит	1	1
353	путь и	1	1
354	не ограничиваются	1	1
355	независимо от	1	1
356	почти не	1	1
357	в наиболее	1	1
358	стороны в	1	1
359	из которых	1	1
360	о которой	1	1
361	и делает	1	1
362	сводится к	2	1
363	слова у	1	1
364	и единственно	1	1
365	отлична от	1	1
366	при построении	1	1
367	его дифференциация	1	1
368	тем менее	2	1
369	он будет	1	1
370	не делает	1	1
371	и действительно	1	1
372	и роль	2	1
373	широком и	1	1
374	состоит из	1	1
375	более точно	1	1
376	в словах	1	1
377	приводит к	1	1
378	его представителей	1	1
379	образ живого	1	1
380	на каждом	2	1
381	на своем	1	1
382	существование в	1	1
383	для читателя	1	1
384	к созданию	1	1
385	в словесном	1	1
386	в отдельности	1	1
387	быть не	1	1
388	природе и	1	1
389	в современном	1	1
390	значение вообще	1	1
391	находящихся в	1	1
392	и вся	1	1
393	у других	1	1
394	в поэтическом	1	1
395	еще один	1	1
396	впервые в	1	1
397	от которой	1	1
398	какие мы	1	1
399	это впечатление	1	1
400	на значение	1	1
401	и искусства	1	1
402	формы как	1	1
403	заключенных в	1	1
404	этого термина	2	1
405	истории литературы	3	1
406	в свое	1	1
407	или просто	1	1
408	что ему	1	1
409	но прежде	1	1
410	даны не	1	1
411	общего и	1	1
412	и толстого	1	1
413	на одно	1	1
414	а это	1	1
415	он и	1	1
416	о нем	1	1
417	смысле этого	2	1
418	в виде	1	1
419	к построению	1	1
420	и индивидуального	1	1
421	данного произведения	1	1
422	по его	1	1
423	и литературного	1	1
424	или менее	1	1
425	в области	3	1
426	ряда и	1	1
427	но идея	1	1
428	функции это	1	1
429	это для	1	1
430	конце концов	2	1
431	именно к	1	1
432	мы снова	1	1
433	не следует	3	1
434	вы убедитесь	1	1
435	художественного произведения	2	1
436	на то	1	1
437	это в	1	1
438	ряда но	1	1
