N	3gram	Nazirov_Tv	Dialekti
186	которые сами по	1	1
187	в конечном счете	4	1
188	если он не	1	1
189	имел в виду	1	1
190	говорил что он	1	1
191	а с другой	1	1
192	именно в этот	1	1
193	это я делаю	1	1
194	таким образом и	1	1
195	не то что	1	1
196	по самой своей	1	1
197	его движения и	1	1
198	в целом со	1	1
199	для него есть	1	1
200	в одном из	2	1
201	за то что	1	1
202	вместе с тем	1	1
203	признать что в	1	1
204	не имеют для	1	1
205	что они имеют	1	1
206	себя но это	1	1
207	он хочет быть	1	1
208	мы видим в	1	1
209	от живой жизни	1	1
210	он пришел к	1	1
211	том или другом	1	1
212	на ту или	1	1
213	заключается в том	1	1
214	но она не	1	1
215	не мог не	1	1
216	могут быть без	1	1
217	организации пространства и	1	1
218	на первом плане	2	1
219	не заметить что	1	1
220	он видит и	1	1
221	со всеми его	1	1
222	имеем в виду	1	1
223	все более и	1	1
224	видим в нем	1	1
225	что же касается	1	1
226	в каждом человеке	2	1
227	нужно быть действительно	1	1
228	и дальше в	1	1
229	в основе всех	1	1
230	что он сам	1	1
231	жизнь для него	1	1
232	на аршине пространства	1	1
233	можно говорить лишь	1	1
234	более и более	1	1
235	все же не	1	1
236	я скажу что	1	1
237	мы уже говорили	2	1
238	со всех сторон	1	1
239	не похоже на	1	1
240	существует также и	1	1
241	исторического процесса в	1	1
242	как и на	1	1
243	добра и зла	2	1
244	именно в этом	1	1
245	это еще не	1	1
246	всю жизнь и	1	1
247	то все же	1	1
248	и настоящее и	1	1
249	он сам в	1	1
250	поступков и событий	1	1
251	и я бы	1	1
252	не только потому	1	1
253	мы имеем в	1	1
254	у нас не	1	1
255	не все же	1	1
256	а вместе с	1	1
257	в первую очередь	1	1
258	такое время? время	1	1
259	в романе достоевского	5	1
260	потому и является	1	1
261	есть по преимуществу	1	1
262	что такое время?	1	1
263	и в литературе	1	1
264	а что если	1	1
265	в этот день	1	1
