N	2gram	Bakhtin_KF	Analitik
141	в ее	17	7
142	и тем	3	7
143	приводит к	1	7
144	в соответствии	2	7
145	всяком случае	1	7
146	и для	10	7
147	жизни но	3	7
148	в литературе	1	7
149	все это	10	7
150	на его	1	7
151	субъекта и	1	7
152	и т.д	4	7
153	себя и	5	7
154	место в	6	7
155	во всем	7	6
156	эстетической деятельности	1	6
157	или в	1	6
158	одного и	2	6
159	хотя бы	5	6
160	превращается в	1	6
161	с другим	4	6
162	вовсе не	7	6
163	тем не	2	6
164	не знает	5	6
165	что не	3	6
166	не будет	2	6
167	могла бы	4	6
168	его как	5	6
169	в нем	32	6
170	на этом	1	6
171	из которых	2	6
172	не более	1	6
173	от своего	1	6
174	вследствие этого	2	6
175	соответствии с	2	6
176	в сознании	2	6
177	более чем	1	6
178	включая и	1	6
179	и то	2	6
180	должен быть	7	6
181	его в	5	6
182	же в	1	6
183	все что	1	5
184	не как	4	5
185	а затем	1	5
186	в этих	1	5
187	в первом	1	5
188	мысль о	1	5
189	тем что	3	5
190	в один	1	5
191	в котором	24	5
192	входит в	4	5
193	для того	3	5
194	для себя	7	5
195	может служить	1	5
196	в эту	1	5
197	к этому	2	5
198	не дано	1	5
199	и он	1	5
200	ни в	12	5
201	не о	2	5
202	я не	6	5
203	и до	1	5
204	я есть	1	5
205	но как	5	5
206	а с	2	5
207	бы быть	5	5
208	и по	1	5
209	и потому	2	5
210	с ее	2	5
211	во втором	1	5
212	и здесь	7	5
213	самом деле	3	5
214	как о	1	5
215	к его	1	5
216	жизни в	5	5
217	совершенно не	7	5
218	что мы	1	5
219	тот же	3	5
220	и смерти	2	5
221	мы не	3	5
222	картина мира	1	5
223	все эти	11	5
224	одно из	1	5
225	как предмет	2	5
226	в искусстве	1	5
227	и их	6	5
228	нового времени	1	5
229	такой же	1	5
230	мира в	6	5
231	его от	1	4
232	связь с	1	4
233	в своих	4	4
234	отличается от	1	4
235	с этим	1	4
236	в действительности	1	4
237	не должен	3	4
238	только на	1	4
239	значительной степени	1	4
240	не становится	1	4
241	жизни как	5	4
242	что она	1	4
243	лишь при	3	4
244	к нему	12	4
245	лишь однажды	1	4
246	ни было	4	4
247	я во	1	4
248	не было	8	4
249	в которой	1	4
250	между ними	1	4
251	в чем	4	4
252	в каждом	3	4
253	мы уже	1	4
254	то ни	2	4
255	этом смысле	3	4
256	известном смысле	1	4
257	и от	1	4
258	и есть	10	4
259	его к	2	4
260	а как	2	4
261	в составе	2	4
262	были бы	2	4
263	была бы	1	4
264	в отношении	1	4
265	смысла в	2	4
266	однако что	2	4
267	а именно	1	4
268	с ними	4	4
269	подхода к	2	4
270	бы не	3	4
271	который не	1	4
272	в известном	1	4
273	это и	3	4
274	его и	2	4
275	потому что	2	4
276	того чтобы	2	4
277	не должно	3	4
278	но о	1	4
279	и во	1	4
280	здесь и	1	4
281	к предмету	1	4
282	но это	6	4
283	как к	2	4
284	все они	2	4
285	о нем	4	4
286	ему в	2	4
287	ее в	1	4
288	здесь в	1	4
289	бы и	3	4
290	не любит	1	4
291	эстетического субъекта	2	4
292	по своему	3	4
293	об этом	1	4
294	и другого	3	4
295	жизнь и	2	4
296	но при	1	4
297	его не	1	4
298	в акте	3	4
299	в значительной	1	4
300	свою жизнь	2	4
301	на основе	7	4
302	и ее	2	4
303	основе своей	2	4
304	отношение к	6	4
305	и о	1	4
306	лирический герой	1	4
307	в области	2	4
308	сознания в	2	4
309	дело здесь	2	4
310	от него	3	3
311	человеческой жизни	1	3
312	живого и	1	3
313	эстетический субъект	1	3
314	тем как	3	3
315	в виду	3	3
316	с действительностью	1	3
317	и с	1	3
318	в жизни	2	3
319	с тем	2	3
320	только для	1	3
321	в момент	3	3
322	при условии	2	3
323	вопрос о	2	3
324	раз и	2	3
325	на самом	3	3
326	это было	2	3
327	от своей	5	3
328	себе в	1	3
329	пока еще	1	3
330	что все	1	3
331	в зависимости	1	3
332	в противном	1	3
333	научного мышления	2	3
334	гораздо более	2	3
335	всего в	1	3
336	бы то	2	3
337	на почве	1	3
338	имеют место	2	3
339	первом случае	1	3
340	должно быть	6	3
341	в единое	2	3
342	я как	1	3
343	и за	2	3
344	я всегда	1	3
345	между собой	1	3
346	представляется нам	1	3
347	но к	1	3
348	а для	2	3
349	не был	1	3
350	остается в	1	3
351	здесь как	1	3
352	смысл и	6	3
353	включает в	2	3
354	и тот	3	3
355	а тем	1	3
356	бы ни	1	3
357	оно может	1	3
358	в точке	1	3
359	всех этих	3	3
360	тогда когда	3	3
361	на первом	2	3
362	содержит в	1	3
363	поэтому в	1	3
364	оно не	2	3
365	если не	2	3
366	до этого	1	3
367	есть лишь	5	3
368	ни о	1	3
369	смысла и	2	3
370	с целью	1	3
371	никто не	1	3
372	ему и	1	3
373	зависимости от	1	3
374	человека и	3	3
375	только одно	1	3
376	ни к	2	3
377	принципиально не	5	3
378	к смыслу	1	3
379	быть не	2	3
380	из его	3	3
381	поскольку он	3	3
382	ритма и	1	3
383	для нее	9	3
384	она может	1	3
385	мог бы	1	3
386	субъектом и	1	3
387	к миру	1	3
388	к содержанию	2	3
389	смерть и	1	3
390	так как	1	3
391	они не	1	3
392	где он	3	3
393	видеть в	1	3
394	же не	1	3
395	дело в	2	3
396	ведь это	2	3
397	но с	1	3
398	не от	1	3
399	а то	1	3
400	в какой	1	3
401	при таком	1	3
402	противном случае	1	3
403	мира и	4	3
404	и я	6	3
405	полноте и	1	3
406	один и	3	3
407	ко всему	5	3
408	может иметь	2	3
409	только к	1	3
410	она не	2	3
411	также и	1	3
412	в ней	3	3
413	но он	1	3
414	независимо от	3	3
415	мы должны	1	3
416	и может	3	3
417	говоря о	1	3
418	этих случаях	1	3
419	его я	1	3
420	же самое	1	3
421	в категориях	4	3
422	произведения не	1	3
423	когда он	1	3
424	слова в	2	3
425	жизни и	8	3
426	на то	1	3
427	ведь и	1	3
428	для этого	2	3
429	и наконец	1	3
430	не к	1	3
431	момент его	9	3
432	субъекта в	1	2
433	было показано	1	2
434	и мира	1	2
435	я уже	2	2
436	не допуская	1	2
437	т.е в	1	2
438	я вступил	1	2
439	за исключением	1	2
440	случае мы	2	2
441	еще более	2	2
442	тому что	2	2
443	тем или	1	2
444	следует что	1	2
445	или нет	1	2
446	не являются	1	2
447	этого момента	1	2
448	от них	1	2
449	нами и	1	2
450	жизнь в	1	2
451	эту особенность	1	2
452	к другим	1	2
453	если он	1	2
454	только через	1	2
455	их в	1	2
456	выход из	2	2
457	его что	1	2
458	другое дело	2	2
459	в иной	1	2
460	найти себя	1	2
461	но мы	1	2
462	культуры в	1	2
463	определяется не	1	2
464	и ритма	1	2
465	любви к	1	2
466	а лишь	3	2
467	что этот	3	2
468	и иных	1	2
469	и смерть	1	2
470	войти в	3	2
471	смерти и	1	2
472	связь между	1	2
473	и эстетического	1	2
474	уже и	1	2
475	и ответственности	1	2
476	и себя	1	2
477	этого мира	3	2
478	к ним	4	2
479	вообще и	1	2
480	впрочем в	1	2
481	места для	1	2
482	быть в	4	2
483	как я	1	2
484	сих пор	1	2
485	во всей	4	2
486	жизни не	1	2
487	что именно	1	2
488	и всякого	1	2
489	в системе	1	2
490	не просто	1	2
491	но сама	1	2
492	оно становится	1	2
493	его эстетической	1	2
494	сведено к	1	2
495	или иным	2	2
496	в чужой	1	2
497	ближе к	3	2
498	этих моментов	2	2
499	но я	2	2
500	ее и	6	2
501	мы видим	1	2
502	от его	5	2
503	время и	5	2
504	к себе	2	2
505	бытия и	10	2
506	мы можем	1	2
507	что между	1	2
508	не путем	1	2
509	или не	1	2
510	том же	1	2
511	к чему	3	2
512	и приводит	1	2
513	как его	4	2
514	исходит из	1	2
515	в эстетическом	4	2
516	противоречие с	1	2
517	не остается	2	2
518	человек и	2	2
519	но ведь	5	2
520	между прочим	1	2
521	место и	2	2
522	а только	1	2
523	смысловой значимости	2	2
524	могло бы	4	2
525	всех своих	4	2
526	я его	2	2
527	данном контексте	1	2
528	причастности к	1	2
529	данный момент	3	2
530	не могу	3	2
531	существенно что	2	2
532	не тот	1	2
533	человека как	1	2
534	здесь мы	4	2
535	и та	3	2
536	других людей	3	2
537	в форме	1	2
538	но отнюдь	1	2
539	когда мы	1	2
540	не знаю	1	2
541	себя за	2	2
542	только с	3	2
543	культуры и	5	2
544	и др	1	2
545	подход к	1	2
546	что может	1	2
547	мы будем	1	2
548	значимость и	2	2
549	другого как	1	2
550	в данный	3	2
551	события в	3	2
552	приобщается к	2	2
553	бы я	1	2
554	не случайным	1	2
555	любви и	1	2
556	мире и	1	2
557	утверждать что	1	2
558	до сих	1	2
559	вступить в	2	2
560	та же	3	2
561	и конечно	2	2
562	безотносительно к	1	2
563	и свою	1	2
564	в специальном	1	2
565	ним и	3	2
566	в противоречие	1	2
567	и должно	1	2
568	художественного творчества	1	2
569	что это	4	2
570	предполагает не	1	2
571	переживание есть	1	2
572	со всеми	2	2
573	творчества и	1	2
574	должен был	1	2
575	с этого	2	2
576	оно ни	1	2
577	собой и	1	2
578	ни одно	5	2
579	не живет	2	2
580	две строфы	1	2
581	на месте	1	2
582	в процессе	2	2
583	целого или	1	2
584	и просто	2	2
585	целое как	1	2
586	которого является	1	2
587	не имеет	6	2
588	есть на	2	2
589	может не	2	2
590	всей своей	2	2
591	думать что	2	2
592	нет ничего	1	2
593	и мне	1	2
594	же я	1	2
595	не имеют	1	2
596	это только	2	2
597	у меня	1	2
598	всех сторон	1	2
599	но лишь	7	2
600	ни был	2	2
601	себя не	3	2
602	в которую	1	2
603	но сам	1	2
604	как если	1	2
605	в мир	2	2
606	было и	2	2
607	ибо он	1	2
608	не для	1	2
609	своей жизни	1	2
610	тем же	1	2
611	для всего	1	2
612	он может	2	2
613	который по	1	2
614	мира не	3	2
615	освобождения от	1	2
616	который и	1	2
617	другого и	2	2
618	как основной	1	2
619	только по	2	2
620	зависит от	1	2
621	не будем	1	2
622	он как	1	2
623	или с	1	2
624	для нас	4	2
625	одновременно и	1	2
626	другого но	1	2
627	а все	3	2
628	смысле этого	1	2
629	все равно	1	2
630	себя момент	1	2
631	образом в	1	2
632	жизни это	1	2
633	осуществляется в	1	2
634	но эта	6	2
635	в ту	2	2
636	внимание в	1	2
637	более что	1	2
638	и эстетический	2	2
639	на все	1	2
640	которой он	2	2
641	и таким	1	2
642	целого и	1	2
643	в одной	1	2
644	там где	5	2
645	со всех	1	2
646	и эти	2	2
647	отсюда и	3	2
648	нет и	3	2
649	не решает	1	2
650	ценностного центра	4	2
651	не по	4	2
652	но всегда	2	2
653	просто не	1	2
654	маленького человека	1	2
655	в большинстве	1	2
656	а скорее	1	2
657	героя это	2	2
658	бы он	2	2
659	не можем	1	2
660	единством а	1	2
661	эмоционально-волевым тоном	5	2
662	себе самому	1	2
663	и только	7	2
664	жизнью и	1	2
665	жизненные ценности	1	1
666	практически не	1	1
667	они имеют	1	1
668	к действительности	1	1
669	мира произведения	2	1
670	в единую	1	1
671	эту причастность	1	1
672	в душе	1	1
673	и ритм	1	1
674	при созерцании	1	1
675	различия в	2	1
676	же и	1	1
677	другим и	1	1
678	только что	1	1
679	можно и	2	1
680	самого себя	1	1
681	слышит и	1	1
682	познания и	4	1
683	все люди	1	1
684	эстетическая деятельность	2	1
685	в конкретное	1	1
686	и имеет	1	1
687	это лишь	1	1
688	что был	1	1
689	в стороне	1	1
690	бытия я	1	1
691	именно она	2	1
692	его культурной	1	1
693	мысли и	1	1
694	положения и	3	1
695	целому и	1	1
696	жить и	2	1
697	его то	1	1
698	сторона этой	1	1
699	существенно для	1	1
700	своей истории	2	1
701	сторону которая	1	1
702	только тогда	1	1
703	в различных	1	1
704	по способу	1	1
705	с собой	1	1
706	ведь один	1	1
707	целом как	2	1
708	положения в	3	1
709	но все	6	1
710	ни одна	2	1
711	воли здесь	1	1
712	событие может	2	1
713	равно как	1	1
714	мысли как	1	1
715	целом с	1	1
716	все моменты	1	1
717	отчетливо и	1	1
718	он предполагает	1	1
719	как событие	3	1
720	она является	1	1
721	эмоционально-волевое мышление	1	1
722	и действительного	1	1
723	все названные	1	1
724	включен в	1	1
725	характерной чертой	1	1
726	и момент	4	1
727	исходить из	1	1
728	вся его	1	1
729	места и	4	1
730	стороны в	3	1
731	его на	2	1
732	и превращает	1	1
733	единого и	9	1
734	не изнутри	3	1
735	мире все	1	1
736	к бытию	1	1
737	предмета и	1	1
738	эстетическое видение	6	1
739	последних двух	1	1
740	все другие	1	1
741	с действительной	2	1
742	прочим и	1	1
743	мира сам	1	1
744	интонирующее мышление	1	1
745	я а	1	1
746	мир и	1	1
747	этим самым	1	1
748	и из	1	1
749	заданности и	1	1
750	свой смысл	1	1
751	местом в	1	1
752	оживает и	1	1
753	и поступка	2	1
754	во все	1	1
755	уже давно	1	1
756	системное единство	1	1
757	смысла его	1	1
758	моменты и	3	1
759	и такие	1	1
760	лицом и	1	1
761	контексте и	1	1
762	логическое и	1	1
763	время от	1	1
764	чему не	2	1
765	события ибо	1	1
766	только как	4	1
767	и место	1	1
768	должна быть	4	1
769	из жизни	1	1
770	другом в	1	1
771	и продукт	1	1
772	и другой	1	1
773	вмещает в	1	1
774	мы подробно	1	1
775	в этот	1	1
776	задана как	1	1
777	из себя	11	1
778	из самого	2	1
779	котором протекает	1	1
780	смысле слова	1	1
781	себя со	1	1
782	имеет дело	1	1
783	между отдельными	1	1
784	я для	1	1
785	не об	1	1
786	согласия со	1	1
787	что предполагает	1	1
788	что ее	1	1
789	современный человек	1	1
790	не я	3	1
791	до того	1	1
792	будет и	1	1
793	всего этого	1	1
794	всех участников	1	1
795	это единство	3	1
796	живой жизни	1	1
797	день и	1	1
798	эмоционально-волевом тоне	9	1
799	ее как	2	1
800	что обусловлено	1	1
801	нее в	2	1
802	такая же	1	1
803	путь от	1	1
804	слово не	3	1
805	сознании поскольку	1	1
806	момент свершения	1	1
807	не мыслится	1	1
808	однажды в	1	1
809	просто с	1	1
810	к этим	1	1
811	события она	1	1
812	и моя	1	1
813	и входит	1	1
814	по которой	1	1
815	я другой	1	1
816	имеет места	1	1
817	и формальные	1	1
818	своего развития	1	1
819	момент как	1	1
820	и весь	4	1
821	поступка его	1	1
822	и оба	1	1
823	и значимость	2	1
824	которой я	2	1
825	при установлении	1	1
826	или бессознательно	1	1
827	и автора	1	1
828	мышления и	2	1
829	меня эта	1	1
830	она и	1	1
831	моего я	1	1
832	менее в	1	1
833	по соображениям	1	1
834	моя жизнь	1	1
835	других для	2	1
836	она в	1	1
837	ценностей или	1	1
838	нашей работы	1	1
839	это открытие	1	1
840	что я	5	1
841	что уже	1	1
842	смысл которого	1	1
843	ним в	1	1
844	не своей	1	1
845	соотнесено и	1	1
846	него самого	1	1
847	в напряженном	1	1
848	себя всем	1	1
849	и сама	1	1
850	систему ценностей	1	1
851	иные моменты	1	1
852	или иную	1	1
853	это слово	1	1
854	быть обоснованы	1	1
855	совершенно иначе	1	1
856	противоречие между	1	1
857	иной культурной	1	1
858	ритм как	1	1
859	первая часть	1	1
860	своей теоретической	1	1
861	утверждение что	1	1
862	в разные	1	1
863	между субъектом	1	1
864	живет и	1	1
865	а за	1	1
866	и отношения	3	1
867	ее действительного	1	1
868	сознания не	2	1
869	имеем не	1	1
870	в понятии	1	1
871	нем но	1	1
872	на характер	1	1
873	смысловое содержание	6	1
874	а должен	1	1
875	участника события	1	1
876	но само	1	1
877	смысле и	2	1
878	этом последнем	1	1
879	характер и	1	1
880	момент ее	2	1
881	нами мы	1	1
882	оба этих	2	1
883	себя как	2	1
884	большинстве случаев	1	1
885	рядом с	3	1
886	сознания как	2	1
887	к последним	2	1
888	и смыслы	1	1
889	от этого	2	1
890	мною они	1	1
891	больше и	1	1
892	его жизни	3	1
893	в интонации	1	1
894	есть непосредственно	1	1
895	героя для	1	1
896	чтобы охватить	1	1
897	конечно может	1	1
898	себе и	3	1
899	точек зрения	1	1
900	был не	1	1
901	на границе	1	1
902	делает его	1	1
903	но никто	1	1
904	как единую	1	1
905	мышление интонирующее	1	1
906	действительности и	1	1
907	нам остается	1	1
908	и мир	2	1
909	этой своей	1	1
910	не сумел	1	1
911	единство а	1	1
912	наличности в	2	1
913	если оно	1	1
914	и познания	1	1
915	своей архитектонике	1	1
916	только путем	1	1
917	приводит его	1	1
918	не он	1	1
919	и понимает	1	1
920	факт не	1	1
921	событий при	1	1
922	от бытия	1	1
923	в живой	1	1
924	единая и	4	1
925	границы и	1	1
926	в отношение	1	1
927	все остальные	2	1
928	соотнесении с	11	1
929	и передачи	1	1
930	и краткость	1	1
931	совсем не	2	1
932	беднее и	1	1
933	эти слова	1	1
934	ли будет	1	1
935	существенно не	1	1
936	ни была	1	1
937	отличаются от	1	1
938	на чем	1	1
939	здесь на	1	1
940	действительного эта	1	1
941	на нем	2	1
942	должны быть	1	1
943	содержания и	2	1
944	при такой	1	1
945	между жизнью	1	1
946	но только	1	1
947	который своей	1	1
948	и затем	1	1
949	в современной	3	1
950	неслиянность и	1	1
951	не способна	2	1
952	миру и	1	1
953	для жизни	1	1
954	не совпадает	1	1
955	требует чтобы	1	1
956	не само	1	1
957	я это	1	1
958	из нее	2	1
959	выбора все	1	1
960	и никогда	1	1
961	за вычетом	6	1
962	и каждый	1	1
963	это приводит	1	1
964	отнюдь еще	1	1
965	случайна и	1	1
966	поэтому столь	1	1
967	быть определено	1	1
968	с чем	1	1
969	соотнесенная с	1	1
970	с которым	1	1
971	своей есть	1	1
972	которых оказывается	1	1
973	к живому	1	1
974	автора как	2	1
975	еще менее	1	1
976	до абсурда	1	1
977	себе как	2	1
978	нет не	1	1
979	бытию не	1	1
980	действительной жизни	3	1
981	продолженный в	1	1
982	видения не	4	1
983	познания в	2	1
984	исходит и	1	1
985	которые могут	1	1
986	действием и	1	1
987	было с	1	1
988	лишь по	1	1
989	себя но	1	1
990	можно только	1	1
991	она сама	1	1
992	уже с	1	1
993	его целостности	2	1
994	быть только	8	1
995	от до	1	1
996	автор и	1	1
997	как необходимый	1	1
998	к единой	1	1
999	отношению ко	4	1
1000	в последнем	1	1
1001	котором не	1	1
1002	он стремится	1	1
1003	в событии	5	1
1004	как содержание	1	1
1005	жизни а	1	1
1006	и вследствие	1	1
1007	его с	2	1
1008	сознания о	1	1
1009	живет в	1	1
1010	на ее	1	1
1011	переживание переживания	2	1
1012	другого человека	1	1
1013	изнутри этого	4	1
1014	меня в	3	1
1015	это уже	2	1
1016	ее действительной	2	1
1017	ты и	1	1
1018	к выводу	1	1
1019	смыслу и	2	1
1020	и делает	3	1
1021	однако он	1	1
1022	самого по	1	1
1023	акта в	2	1
1024	действительно произнесенное	1	1
1025	его никогда	1	1
1026	как с	1	1
1027	в некое	2	1
1028	конечно и	1	1
1029	сознание не	1	1
1030	ряда это	1	1
1031	с ней	1	1
1032	их и	1	1
1033	данности ни	1	1
1034	дано только	1	1
1035	в соответствующей	1	1
1036	пространство и	2	1
1037	не противоречит	1	1
1038	за волосы	1	1
1039	и будет	1	1
1040	здесь-то и	1	1
1041	говорить в	1	1
1042	ту или	1	1
1043	относятся к	1	1
1044	всякий другой	1	1
1045	к действительному	1	1
1046	имманентный закон	2	1
1047	как момент	13	1
1048	как не	1	1
1049	жизнь на	1	1
1050	ценность этих	1	1
1051	быть понято	1	1
1052	возникает лишь	1	1
1053	мы ни	1	1
1054	и так	1	1
1055	меня я	1	1
1056	и жизни	4	1
1057	так она	1	1
1058	том смысле	1	1
1059	правда не	1	1
1060	есть эмоционально-волевое	2	1
1061	он есть	1	1
1062	которая сама	1	1
1063	между ним	1	1
1064	к человеку	1	1
1065	познания но	2	1
1066	научной истины	1	1
1067	этом его	2	1
1068	нет в	4	1
1069	подразделяются на	1	1
1070	и всей	1	1
1071	к той	1	1
1072	над ним	1	1
1073	специфика эстетического	1	1
1074	с человеком	3	1
1075	ни на	1	1
1076	мне до	2	1
1077	события его	1	1
1078	или иное	2	1
1079	объект моего	1	1
1080	располагается все	2	1
1081	вытекает из	2	1
1082	я должен	7	1
1083	в последней	1	1
1084	это понятие	1	1
1085	ни у	2	1
1086	оба эти	2	1
1087	чего нет	1	1
1088	на том	1	1
1089	ее до	2	1
1090	способу мышления	1	1
1091	слова и	1	1
1092	и уже	1	1
1093	и теперь	1	1
1094	для меня	22	1
1095	то все	1	1
1096	не могло	1	1
1097	не носит	1	1
1098	значение для	1	1
1099	в это	2	1
1100	отношении к	2	1
1101	мне в	4	1
1102	они остаются	1	1
1103	иной мир	1	1
1104	смысл в	3	1
1105	нечего делать	1	1
1106	к совершенно	1	1
1107	в истории	1	1
1108	всю полноту	1	1
1109	играть в	1	1
1110	цели и	1	1
1111	смысла который	1	1
1112	себя от	1	1
1113	в каком	4	1
1114	принципиально иной	1	1
1115	через него	1	1
1116	связанных с	1	1
1117	имеем в	2	1
1118	как одержимые	1	1
1119	есть его	2	1
1120	психический процесс	2	1
1121	ибо на	1	1
1122	мышления но	1	1
1123	в данной	1	1
1124	ее не	1	1
1125	акт и	4	1
1126	если мы	1	1
1127	не случаен	1	1
1128	то для	1	1
1129	общих понятий	3	1
1130	не за	1	1
1131	всех остальных	1	1
1132	жизнь других	1	1
1133	конца и	1	1
1134	ее мышления	1	1
1135	единство целого	1	1
1136	я со	1	1
1137	момента для	1	1
1138	только при	1	1
1139	являются здесь	1	1
1140	где оно	1	1
1141	данности бытия	1	1
1142	мышление в	1	1
1143	и смысловое	2	1
1144	сама она	1	1
1145	даже для	1	1
1146	друг друга	1	1
1147	участия в	1	1
1148	пути ее	1	1
1149	из него	4	1
1150	то или	2	1
1151	адекватного научного	1	1
1152	быть распространено	1	1
1153	формы и	1	1
1154	или другой	1	1
1155	человека но	1	1
1156	меня не	4	1
1157	единство в	1	1
1158	он должен	1	1
1159	могли быть	1	1
1160	именно к	1	1
1161	проникает в	5	1
1162	обе стороны	1	1
1163	но оно	1	1
1164	и всякий	1	1
1165	видения в	1	1
1166	необходимый момент	2	1
1167	содержания а	1	1
1168	вокруг него	2	1
1169	ничем не	1	1
1170	поскольку мы	4	1
1171	но прежде	1	1
1172	ее уже	1	1
1173	этот процесс	1	1
1174	за которую	1	1
1175	второй половине	1	1
1176	бы себе	1	1
1177	он становится	1	1
1178	одна и	2	1
1179	своей причастности	1	1
1180	которых он	1	1
1181	эстетического созерцания	5	1
1182	она будет	1	1
1183	не значит	6	1
1184	и новое	1	1
1185	и тут	1	1
1186	сознания и	3	1
1187	ответственности эта	1	1
1188	высшей ценностью	1	1
1189	отвлечься от	1	1
1190	конфликтов с	1	1
1191	бы для	1	1
1192	отказаться от	2	1
1193	когда оно	1	1
1194	его собственном	1	1
1195	за этим	1	1
1196	становления и	1	1
1197	и социальные	1	1
1198	можно быть	1	1
1199	позиции участника	1	1
1200	места в	4	1
1201	позицию по	1	1
1202	в бытии	26	1
1203	их нераздельности	1	1
1204	за свою	1	1
1205	чтобы быть	2	1
1206	бы оно	2	1
1207	не подлежит	1	1
1208	истины и	2	1
1209	помнить что	1	1
1210	я стал	1	1
1211	если и	1	1
1212	но нельзя	1	1
1213	и само	2	1
1214	а их	1	1
1215	их ценностную	1	1
1216	остается лишь	1	1
1217	в событие	2	1
1218	нисколько не	4	1
1219	эти стороны	1	1
1220	но уже	1	1
1221	себя или	2	1
1222	для которого	3	1
1223	вследствие чего	1	1
1224	бы действительно	1	1
1225	единство и	1	1
1226	из единого	1	1
1227	своей значимости	3	1
1228	за его	1	1
1229	значимости и	1	1
1230	увидим далее	1	1
1231	как все	1	1
1232	эстетическую активность	1	1
1233	именно вследствие	1	1
1234	я люблю	1	1
1235	сказать и	1	1
1236	но его	1	1
1237	свой мир	1	1
1238	отказа от	1	1
1239	не отменяет	1	1
1240	том случае	1	1
1241	как предмета	2	1
1242	этом смысл	1	1
1243	которого и	2	1
1244	и других	2	1
1245	может претендовать	1	1
1246	мире других	1	1
1247	как архитектоническое	1	1
1248	она должна	1	1
1249	выхода в	2	1
1250	и религии	1	1
1251	того сознания	1	1
1252	дело когда	2	1
1253	этом мире	2	1
1254	другой в	1	1
1255	ценностный центр	2	1
1256	быть и	3	1
1257	но эстетическое	1	1
1258	есть всегда	1	1
1259	в него	2	1
1260	отношения являются	1	1
1261	а по	2	1
1262	изнутри самого	4	1
1263	даны и	2	1
1264	самое что	1	1
1265	но такое	1	1
1266	отношений между	1	1
1267	ним как	1	1
1268	дан мне	1	1
1269	этот факт	2	1
1270	стороны его	1	1
1271	него свое	1	1
1272	которую я	2	1
1273	к которой	2	1
1274	ведь если	1	1
1275	во мне	3	1
1276	или как	2	1
1277	признать что	1	1
1278	и всех	2	1
1279	этого не	1	1
1280	поскольку оно	1	1
1281	знает и	2	1
1282	и заданного	1	1
1283	светом и	1	1
1284	к ней	1	1
1285	по всей	1	1
1286	смысл бытия	1	1
1287	полученный в	1	1
1288	бытия при	1	1
1289	его активность	1	1
1290	связи между	1	1
1291	выход в	2	1
1292	эту мысль	1	1
1293	только извне	1	1
1294	другой и	1	1
1295	для действительной	1	1
